मैडेलिन पयू सटाफ लेखक	మయాడలిన పయూ సటాఫ రెటర
हाँ, तुमहें वह हिससा नहीं बताया जिसमें तुमहारे पिता को शहर का	అవును, నీ తండరి నగరానికి మేయరగా ఉండే తపపిదం చేసినందుకు
-शुकरिया. नोट ऊपर हैं. -एक घंटे में सटेज पर लौटेंगे.	-ధనయవాదాలు. పెన నోటస. -ఇంకో గంటలో సటేజి మీదకు.
हमें यह बात कल करनी थी,	నిననే మాటలాడుకోవాలసి ఉంది.
इसे मेरा आभारी होना चाहिए.	అతను కొంచెం ఆలోచించాలి.
वह भी पूरे दल के सामने.	దానని మరింత ఘోరం చేసతోంది.
सुबह के तीन बज रहे हैं.	ఇపపుడు అరధరాతరి మూడయయింది.
-वह मान लेती हूँ. -ठीक है.	-అలాగే కానిసతాను. -సరే.
-हमें बात करनी होगी. -नहीं, मत कहना कि. . .	-మనం మాటలాడుకోవాలి. -లేదు, చెపపకు. . .
-यह तो दोहरी मार है. -यह मार नहीं है, मैं माँ बनने वाली हूँ.	-ఇది మంచి విషయం కాదు. -మంచీ చెడూ కాదు, నేను గరభవతిని.
शायद तुम दरशकों को बेवकूफ कह रहे हो. उसके लिए वे तुमहें जलदी माफ नहीं करेंगे.	పరేకషకులు వెరరివాళళు అంటుననారు అనిపిసతుంది. అందుకు మిమమలని కషమించరు.
वे कया कर रहे थे?	ఏమి చేసతుననారు?
तो हम सबकी ओर से,	మా అందరి తరపున,
-डेसी. -मैं एंजी.	-డెసి. -ఆంజీని.
वह उसका तरीका है.	ఇది ఆమె విధానం.
वाह, उससे मिलवाओ.	అబబో, తీసుకురా.
-पर कोई दूसरा मसला है. -खुलासा करने को और कुछ नहीं.	-కానీ ఇంకోటేదో ఉంది. -బయటపెటటటానికి ఏమీ లేదు.
जशन मनाने के लिए.	మరినని సంబరాలు.
मैं बहुत पहले यह मिसाल समझ गया था.	ఉపమానం నాకు ఎపపుడో అరథమయయింది.
-कया कहा? -घर पर.	-ఏమిటి? -ఇంటలో.
कोई परवाह नहीं.	ఉదాసీనంగా ఉంటాను.
तो मैंने कुछ लोगों को फोन किए. हेरालड एकसपरेस के संपादक को फोन किया.	నేను కొందరికి ఫోనలు చేసాను. హెరాలడ ఎకసపరెస ఎడిటరకు ఫోన చేసా.
देखो, लूसी, इसका यह मतलब नहीं. . .	చూడు, లూసీ, ఇది అరథం లేని. . .
-तुमहें किस बात की जयादा चिंता होगी? -कया?	-ఇంతకంటే దేనికి కంగారు పడతావు? -ఏంటి?
उसे मैडेलिन के हाथों एक संदेश के साथ भेजा.	అది సందేశంతో పాటుగా మయాడలినను పంపావు.
-द बिग सटरीट तो हिट थी. -बमुशकिल हिट.	-ద బిగ సటరీట హిట అయింది. -ఇది కరిటికల హిట.
-शायद. -चूंकि हम दोनों तरह से करेंगे,	-అనుకుంటాను. -రెండు విధాలా చేసతుననాం కనుక,
वह हफते में एक बार होता था, फिर दो बार. अब चार या पाँच बार होता है.	ఒకపపుడు వారానికి ఒకసారి, తరవాత రెండు. ఇపపుడు నాలుదెదుసారలు.
और वे पूरी कीमत वसूलते हैं, तो हमें अकेला छोड दें?	ఆ డబబుకు నయాయం జరుగుతుంది, కాసత సమయం ఇసతారా?
जहाँ मुझे सच बोलना पडेगा.	అబదధం ఆడకుండా ఉండలేను.
मैं कारयकारी निरमाता हूँ.	ఎగజికయూటివ పరొడయూసరను.
-उसे याद कर लिया? -मैंने इससे बदतर को याद किया है.	-బటటీ పటటావా? -ఇంతకననా ఘోరమెనవే బటటీ పటటాను.
-मजा लो. -तुमहारे लिए है.	-ఆసవాదించు. -అది నీకు.
मैंने जॉरज एम. कोहन के बाद ऐसा कोई इंसान नहीं देखा	అమెరికాపె ఉనన జారజ ఎం. కోహన తరువాత అమెరికాపె
तुमहारे लायक काम नहीं है.	మావదద నీకోసం ఏమీ లేదు.
दरवाजा खुला था. कुछ नहीं.	తలుపు వెయయకపోవటం. అలా.
माय फेवरेट हसबैंड के नाम.	మె ఫెవరెట హసబెండ కోసం.
और अगर तालियाँ नहीं बजीं?	వారు చపపటలు కొటటకపోతే?
कभी फरेंच टोसट नहीं लाता.	ఫరెంచ టోసట అయితే కాదు.
बस यह जताना चाहती हूँ कि मुझे तुम पर बिलकुल भरोसा नहीं है.	నీమీద అససలు నమమకం లేదని నా ధోరణిలో చెపుతుననానననమాట.
एक ही विकलप है. लूसी रिकारडो टेलीविजन पर बचचे को जनम देगी.	మరో మారగం లేదు, లూసీ రికారడో టీవీలో బిడడను కంటుంది.
कॉनफीडेंशियल डेसी की मसती भरी रात	కానఫిడెనషియల డెసి అలలరి రాతరి
उसने कहा मैं पतली लग रही हूँ.	నేను బరువు తగగినటటు కనబడుతుననానట.
-वरना एथल के लिए बुरा होगा? -हाँ.	-లేదంటే ఎథెలకు సమసయా? -అవును.
-एक फूल की टहनी काटूँगी. -उसे परवाह नहीं.	-ఒక పువవు కతతిరిసతాను. -పటటించుకోడు.
-हो गया? -खाने का मुआवजा देना पड सकता है.	-అయయిందా? -భోజనాల భతయం సమయం అయయింది.
-तुमने बेहद होनहार आदमी से शादी की. -हाँ.	-తెలివెన వాడిని చేసుకుననావు. -అవును.
-मिसटर लायंस का कोई जवाब नहीं आया? -नहीं.	-లయనస గారు ఇంకా ఏమీ చెపపలేదా? -లేదు.
-"पाखंडी कया होता है? " -फरेड से पूछेंगे.	-"కపటి అంటే ఏమిటి? " -అది ఫరెడ కోసం.
-ए, हम रुके कयों हुए हैं? -पकका नहीं पता.	-హే, మనం ఎందుకు వేచి ఉననాం? -తెలీదు.
-"रदद" शबद ही हटा दिया. -बाकी अखबार?	-పతరంలోనుండి తీసివేసింది. -మిగతా పతరికలు?
और मैं उनहें खुश करना चाहती थी, तो मैंने एक फॉरम भर दिया.	అందుకని ఆయనను సంతోషపెటటాలని, నేనూ బాకస టిక చేసాను.
गरुएन, पहनने लायक सबसे बेहतरीन घडी.	గరూయెన, మీరు ధరించగలిగే అతయుతతమ గడియారం.
-और हेमर सामयवादी है? -वह सात साल का है.	-హేమర కమయూనిసటా? -అతని వయసు ఏడేళలు.
कुछ बेहतर करते हैं, मैं शारीरिक कॉमेडी करती हूँ.	కొందరు బాగా చేసతారు. నేను హాసయం పండిసతాను.
जो अकसर उनके घर में घुस आते हैं?	తన ఇంటికి వచచి వెళుతుంటారని?
हम नाम बदल सकते हैं. पेडरो, पाबलो, होजे.	పేరలు మారచవచచు. పెడరో, పాబలో, హోసే.
बहुत ही खराब था.	ఘోరంగా ఉండేది.
-एक सेकंड. -हाँ.	-ఒకక కషణం. -ఆ.
मंगलवार	మంగళవారం
बलॉकिंग रिहरसल	బలాకింగ రిహారసిల
-और मैडेलिन ने बिलकुल सही कहा. -रिकी कर भरता है.	-మయాడలిన చెపపింది నిజం. -రికీ పనను కడతాడు.
"मिसटर लायंस, चेयरमैन, फिलिप मॉरिस को. "	"లయనస గారికి, చెరమన, ఫిలిప మోరిస. "
कया कहा?	ఏమిటది?
तुम कोई पिन-अप गरल नहीं.	కేలండరలో బొమమవు కాదు.
वह बहुत छोटी होगी. मैं बाकी फूल काटूँगी.	చిననదవుతుంది. మిగతా పూలు కతతిరిసతా.
-कितने लोग यह जानते हैं? -कया जानते हैं?	-అది ఎందరికి తెలుసు? -ఏమి తెలియాలి?
कया हुआ?	ఏమెంది?
-पर आपका नुकसान नहीं हुआ. -नहीं.	-కానీ మీరు నషటపోలేదు. -లేదు.
हमने तुमहें तब चुना जब जूडी हॉलिडे और रीटा हेवरथ	జూడీ హాలిడే మరియు రీటా హేవరత  లేకపోవటం వలల
गुरुवार	గురువారం
हाँ, चिढाते हुए.	అవును, సరదాగా.
मैंने सोचा, "निरमाण विभाग हमारे लिए	"నిరమాణ విభాగం వారు అపారటమెంట కటటిసతారు,
इसे मैडी और बॉब को बता दोगे कया?	మయాడీకి, బాబకు చెపపు, సరేనా?
और मैं हमारा आधुनिकतम कैमरा सिसटम दिखाता	మా అధునాతన కెమెరా సిసటం చూపెటటగలను,
यह नतीजा निकाला,	నిససందేహంగా, ,
कि लूसील बॉल एक सामयवादी है?	ఆధారాలు ఏవెనా ఎఫబీఐ దగగర ఉననాయా?
कि रिकी मानता है कि लूसी न सिरफ उसकी आवाज नहीं पहचानती,	కయూబన యాసలో మాటలాడే తన గొంతు లూసీ గురతుపటటలేదని,
"इस शो का पैसा आप देते हैं और मैं आपका फैसला मानूँगा. "	మీరు డబబులిసతారు కాబటటి మీరు చెపపింది చేసతాను. "
दूसरी फिलमें कर रही थीं और फॉनडा को खोना नहीं चाहते थे.	నినను తీసుకుననాం, ఇంకా ఫోండాను కోలపోవాలనుకోలేదు.
रिकी की लूसी से शरत है कि वह दो दिन झूठ न बोले.	లూసీ అబదధం చెపపకుండా ఉండలేదని రికీ పందెం.
तब तक, इतना याद रखो कि लूसी, रिकी, फरेड और एथल,	అపపటివరకు, లూసీ రికీలు, ఇంకా ఫరెడ ఎథెలలు,
उसे हारलम में एक बैंड में काम मिला	హారలెమలో ఒక బయాండతో పనిలో కుదురుకుననాడు
तुम. . . उसके लिए कोई अंगरेजी शबद नहीं.	నువవు-- దానికి ఇంగలీషులో పదం లేదు.
जिसमें शायद तुमहारा शरत जीतना शामिल हो.	అందువలల నువవు పందెం కూడా గెలవొచచు.
ऐसा कयों लगा कि तुम सही शबद नहीं जानते?	ఏమనాలో తెలియదని ఎందుకు అనుకుననావు?
-यह मुझसे बोल रही है? -हाँ.	-ఆమె నాతో మాటలాడుతోందా? -అవును.
देखो, तुमहें एक बात समझनी होगी.	నువవు ఒకటి అరథం చేసుకోవాలి.
और उस बंदे ने एक दिन आराम किया.	ఒకక రోజు సెలవు తీసుకుననాడు.
यह बकवास है और हालात बेहतर होने से पहले और बदतर होंगे.	ఇది చెతత ఇంకా బాగయయేముందు ఇంకా చెతత అవవబోతుంది.
तुम सब मेरे मुलाजिम हो!	నాకిందే పని చేసతారు.
"एथल और फरेड का झगडा. "	"ఎథెల, ఫరెడల కొటలాట"
आहट कयों नहीं सुनती?	లూసీ ఎందుకు గమనించలేదు?
पर यह संभव नहीं, कयोंकि ये तीनों हमारे सबसे करीबी दोसत और सहकरमी हैं.	కానీ అదెలా సాధయం, ఎందుకంటే వీరు ముగగురూ మనకు పరాణ సనేహితులు.
"लूसी सच बताती है. "	"లూసీ నిజం చెపుతుంది. "
-किसने चुगली की होगी? -उनहोंने ऐसे ही झूठ गढा?	-వారిలో ఎవరు చెపపారు? -ఊరికే సృషటించారా?
एक बार तुमने मेरी महतवाकांकषा पूछी थी, याद है?	నా లకషయం ఏమిటని ఒకసారి అడిగావు గురతుందా?
वह उसमें बेहद सफल होती.	ఆమె అదరగొటటి ఉండేది.
शायद 15 मिनट बाद है.	15 నిమిషాలు అనుకుంటాను.
-वह सब कया था? -उसे बुरा लगा तो मुझे अफसोस है.	-ఏమిటది? -అతనికి అవమానం జరిగితే మననించు.
"लूसी, तुमहें देखने के बाद से किसी और लडकी के साथ नहीं रहा. "	"నినను చూసిన కషణం నుండి వేరే ఏ అమమాయితో లేను, లూసీ. "
हम अब भी शो शूट करेंगे? तुम में से कोई कुछ बोल कयों नहीं रहा?	ఇంకా షో చేసతుననాము అనుకుంటుననావా? మీలో ఎవరూ మాటలాడరే?
-हाँ, उफ. -लूसी कुछ नाम सोचती है.	-అవును, దేవుడా. -లూసీ పేరలు చెపుతుంది.
जाम उठाने के लिए जलदी तो नहीं है?	సంబరం చేసుకుంటే తొందరపడినటటు అవుతుందా?
मुझे कोई शक नहीं कि तुम तीनों इससे अचछे से निपट लोगे.	మీరు ముగగురూ చకకగా చేసతారు అనటంలో సందేహం లేదు.
मुझे अपनी पसंद का काम करने का ढेर सारा पैसा मिलता है.	నాకు నచచింది చెయయటానికి నాకు చాలా డబబు ఇసతారు.
"रिकी दबे पाँव उसके पास आकर अपने हाथों से उसकी आँखें मूँद देता है. "	"రికీ మెలలగా ఆమె వెనకకు వచచి తన చేతులతో ఆమె కళళు మూసతాడు. "
और यह जवाब देंगे कि सीबीएस पर माँ बनने की बात दिखाने में कया गलत है.	మాతృతవం సీబీఎసలో పెటటటానికి ఎందుకు కుదరదో జవాబులు చెపుతారు.
और इस बारे में कुछ करूँगा.	దాని గురించి ఏదో ఒకటి చేసతాను.
मैं डेसीडेरियो अलबेरतो अरनेज यी डे एशा तृतीय,	మూడవ డెసిడెరియో అలబెరటో అరనాజ వె డీ అచా
-पैटी. -पैटी.	-పయాటీ. -పయాటీ.
कैसे पता था कि पैटी पैटरीशिया का छोटा नाम था?	పెటరీషియా అంటే పయాటీ అని నీకెలా తెలుసు?
अचछा, बढिया है.	సరే, బాగుంది.
और डेसी ने कहा?	డెసి ఏమననాడు?
-अचछा. -ठीक है.	-సరే. -అలాగే.
सबसे नौजवान गाता है एक गीत	అందరికంటే చిననవాడు పాడుతుననాడు
-मैडेलिन? -हाँ?	-మయాడలిన? -ఆ?
मैं नहीं जानती.	నాకు తెలియదు.
अचछा, तो. . .	సరే, అయితే. . .
घर की दिककत है?	ఇంటలో సమసయలా?
-हॉलिडे. -वह.	-హాలిడే. -ఆవిడ.
-मैडेलिन? -हाँ.	-మయాడలిన? -ఆ.
-अचछा. -ठीक है.	-సరే. -అలాగే.
डेसी घर पर बचचे के साथ है. हम यह कर सकते हैं.	డెసి ఇంటలో బిడడతో ఉననాడు. మనం చెయయొచచు.
जैल-ओ, दोसतो!	అందరికీ, జెల ఓ!
-हम रुके हुए है, किसी को तो वजह पता होगी. -पलीज, अंदर आ जाओ.	-వేచి ఉననాం, ఎందుకో ఎవరికెనా తెలియాలి. -దయచేసి రండి.
फरेड दादा जी गलत थे, लूसी!	ఫరెడ తాతయయ చేసింది తపపు, లూసీ!
बाहर मिलते हैं.	బయట కలుసతాను.
अपने पति से मिलने की चाहत के लिए मुझे बुरा मत ठहराओ.	నా భరతను చూడాలనుకోవటం తపపు అనిపించేలా చెయయకు.
अगर वह बनेगी, तो मैं उसे उसका शरेय देना सही समझूँगी.	ఆమె చేసతే, ఆమె పేరు వెయయటం సమంజసం అనుకుంటాను.
. . . पढ ली जब विंचेल ने खुलासा किया.	. . . డెసి గురించి వించెల చెపతే.
-कभी कोई हफता ऐसा रहा था? -नहीं.	-ఎపపుడెనా ఇలాంటి వారం గడిపావా? -లేదు.
लूसी आहट नहीं सुनती या फिर सामने का दरवाजा खुलते नहीं देखती	తలుపుకు 12 అడుగుల దూరంలో ఉనన లూసీ తలుపు తెరుచుకోవటం
". . . बिना जाँच की जरूरत हुए लाल बालों वाली मोहतरमा. . . "	". . . పరిశోధన అవసరం లేకుండా. ఎరర జుటటు ఆవిడ. . . "
तो मैं तुमहारे हलक में हाथ डालकर तुमहारे फेफडे निकाल लूँगा.	నీ నోటలో నా చెయయి కుకకి ఊపిరితితతులు బయటకు తీసతాను.
उसके पिता कयूबा के दूसरे सबसे बडे शहर, सेंटिआगो के मेयर थे.	అతని తండరి శాంటియాగో మేయర, కయూబాలో రెండవ పెదద నగరం.
और हाँ, सीखना चाहूँगी.	ఇంకా, నేరచుకుంటాను.
-रूंबा नहीं है? -नहीं.	-రుంబా లేదా? -లేదు.
तुम एक बैंडलीडर हो.	నువవు బయాండ నాయకుడివి.
फरेड की ओर मुडकर कहता है, "पाखंडी का मतलब? "	ఫరెడ వెపు తిరిగి అంటాడు, "కపటి అంటే? "
तुम जानते हो मैं तुमहारी कितनी कदर करती हूँ.	జెస, నీకు ఎంత విలువిసతానో నీకు తెలుసు.
-मतलब बूढों के घर में? -वैसे घर या संसथान में नहीं.	-ముసలివాళళుననదా? -ఇలలు కాదు, వృదధాశరమం కాదు.
नहीं, यह दिलचसप बात है. बॉब कह रहा था कि तुम	లేదు, ఇది ఆసకతికరంగా ఉంది. బాబ అదే చెపుతుననాడు. . .
-मुझे पता है तुम जानते हो. बस यह कह. . . -मेरा कहना है कि यह डेसी के सामने किया.	-నీకు తెలుసని తెలుసు, కానీ నేను అనేది-- -డెసి ముందు చేసావు అంటుననాను.
सुन लो कि कया समझना होगा.	ఇదే మీరు అరథం చేసుకోవాలసింది.
अपनी शादी को लेकर संजीदा हूँ.	నా కాపురానని తీసుకుంటాను.
-वह अंगूर के बाग में कयों जाना चाहेगी? -अभी हमें नहीं पता.	-దరాకషతోటకు ఎందుకు వెళలాలనుకుంటుంది? -ఇంకా తెలీదు.
जबकि वे हमें पैसे देते रहेंगे	మనకు ఇవవాలసిన జీతాలు ఇచచి
लूसी का आरकेओ से करार था.	లూసీ ఆరకేఓతో కాంటరాకటలో ఉంది.
मेरी तारीफ होनी चाहिए. झूठ बोलने पर जलदी कबूल कर लेती हूँ.	ననను పొగడాలసిందే. అబదధం చెపతే, తవరగా దొరికిపోతాను.
-और तुमने कार वहीं छोड दी? -मैं आखिरी 500 गज दौडकर आई हूँ.	-కారును అకకడే వదిలేసావా? -ఒక 500 గజాలు పరుగెతతాను.
दोनों तरीकों से शूट करके देखेंगे जयादा हँसी किस पर आती है.	రెండు విధాలా తీసి దేనికి ఎకకువ నవవుతుననారో చూదదాం.
". . . वह कुंवारे भेडिए-सा हॉलीवुड में घूमेगा? ऐसा है, तो कयों? "	". . . పెళలికాని వాడిలా హాలీవుడ మీద పడిపోతాడా? ఎందుకు? "
मुझे अभी बताओ कि कया चल रहा है?	ఏమి జరుగుతోందో నాకు ఇపపుడే చెపుతావా?
मुझे पता नहीं था कि यह हिट हो जाएगा.	ఇది హిట అవుతుందని నాకు తెలియదు.
यह अजीब है कयोंकि यह रेडियो है.	ఇది రేడియో అయినందున అసాధారణంగా ఉంది.
-यह कया लाई हो? -तुमहारे लिए नाशता लाई हूँ.	-నీ చేతులలో ఏముంది? -నీకోసం అలపాహారం.
तुमसे खुलकर पूछूँ, तुम डेसी को किसी बैंक का	మీరు డెసిని బయాంకలో ఐదవ వెస పరెసిడెంట
शायद हम आखिरी बार यहाँ बैठे हैं. बोल भी दो.	ఇకకడ మనకు ఇదే ఆఖరిసారి కావచచు. చెపపు.
अमरीका, अब समय हो गया है वॉलटर विंचेल की खबरों का.	సమయం ఆసననమెంది, అమెరికా, వాలటర వించెల సమయం.
-यह परासंगिक है. -मेरे और रिकी के लिए नहीं.	-తమను తాము చూసుకుంటారు. -నేను ఎగవెయయను. రికీ కూడా.
जेब में डाला था. बोली तुमने वैसा कभी नहीं किया था.	నా జేబులో పెటటావు. అలా ఎపపుడూ చెయయలేదననావు.
यह कोई छोटी बात नहीं थी जब विंचेल ने यह कहकर अपना परसारण खतम किया. . .	వించెల పరసారం చివరిలో ముగింపుగా అననదేమీ చినన విషయం కాదు. . .
सोमवार	సోమవారం
-हर हाल में. -हाँ. नहीं.	-ఏదో ఒక రకంగా. -అవును. కాదు.
-बाद में पता चला. . . -नहीं.	-నీకు తెలిసింది-- -లేదు.
पर सिरफ अपनी माँ के लिए.	కానీ మా అమమే అలా పిలుసతుంది.
और तुम हर मौके पर धोखा देते हो और मैं खुद को बेवकूफ दिखाती हूँ,	ననను నువవు మోసం చేసిన పరతీసారి ఏమీ తెలియనటటు నటిసతాను,
वह छपने लग रही है.	అదే అందరూ చూసతుననారు.
समझ गई.	అవును.
-वह अचछा सीन हो सकता है. -मेरे लिखने पर अचछा हो सकता है.	-మంచి సీన అవవచచు. -ఒకసారి నేను రాసాక బాగుండవచచు.
तुरही बजाना कितना मुशकिल है?	టరామబోన పెదద కషటమా ఏంటి?
कया चल रहा है?	ఇకకడ ఏముంది?
बुधवार	బుధవారం
ऐसे कई हफते आएँगे.	ఇలాంటి వారాలు ఉంటాయి.
यह कोट खोलो.	ఈ కోట తీసెయయి.
बढिया.	మంచిది.
अपना काम करो. चलो.	మీ పని చెయయండి. రండి.
उससे बच नहीं सकती.	పెరగకుండా ఉండలేను ఇక.
मैं जानती हूँ.	నాకు తెలుసు.
-पर मुददा वह नहीं है. -तुमने सच कहा.	-కానీ అదీ ఎటూ కాకుండా ఉంది. -అలా ఏమి కాదు.
रीटा हेवरथ वॉली पिप है. मैं लू गेहरिक हूँ.	రీటా హేవరత వాలీ పిప. నేను లూ గెహరిగ.
कयोंकि वे सपेनिश नाम हैं. मतलब मैकसिकी. कयूबन. लातीनी.	ఎందుకంటే అవి సపానిష పేరలు. మెకసికన, కయూబన, లాటిన అని నా ఉదదేశం.
-वैसी बात नहीं है. -हाँ, है.	-రెండూ ఒకటి కాదు. -ఒకటే.
ठीक है, बढिया.	సరే, మంచిది.
-तुमहें अचछा लगा? -अचछा लगा.	-నీకు నచచిందా? -నచచింది.
अब समय है लूसील बॉल दवारा माय फेवरेट हसबैंड पेश करने का.	లూసీల బాల నటించిన మె ఫేవరేట హసబెండ సమయం అయయింది.
जैल-ओ पुडिंग	జెల ఓ మిఠాయిలు
मैं समझा नहीं.	అరథం కాలేదు.
-नहीं. -हाँ.	-లేదు. -అవును.
मैं चाहूँगा कि कोई मेरे लिए नाशता लेकर आए.	నాకు ఎవరెనా అలపాహారం ఇసతే బాగుండేది.
यह शो शुरू करने के बाद से बारिश मेरे बालों से छिटक जाती है.	నేను ఈ షో చెయయటం మొదలుపెటటినపపటినుండి, వాన నా జుటటు చెడగొడుతూనే ఉంది.
-मैं डेसीडेरियो अलबेरतो अरनेज. . . -मेरे पास इतना समय नहीं है.	-నా పేరు డెసిడెరియో అలబెరటో అరనాజ-- -నాకంత సమయం లేదు.
दो लोग जिनका झगडा है, उनहें डिनर टेबल पर एक कुरसी पर बैठना है.	పోటలాడుకుంటునన ఇదదరు భోజనాల బలల వదద ఒకేచోట కూరచోవాలి.
और अगर इतना काफी नहीं, तो वह सोमवार को कैमरे पर आता है.	అది చాలదననటటు, సోమవారం కెమెరాకు సిదధంగా ఉంటాడు.
न, अपने दफतर में सीबीएस और फिलिप मॉरिस वालों के साथ है.	లేదు, సీబీఎస, ఫిలిప మోరిస వాళళతో ఆఫీసలో ఉననాడు.
हम हॉलीवुड में हैं. उस समिति का काम पूरा होने तक	మనం హాలీవుడలో పనిచేసతాం. ఆ కమిటి అయయేలోపు
इसने जो कहा, उसके बाद इससे कभी सुलह नहीं करूँगी.	అతను అనన మాటలకు అతనితో ఎపపటికీ రాజీ పడను.
कयोंकि शो कल है और मैं आज बात करने को तैयार हूँ.	ఎందుకంటే షో రేపు ఇపపుడు మాటలాడితే మంచిది.
अभी लूसी से कहा कि हम नहीं बताते किसने कया लिखा.	ఎవరు ఏమి రాసారో చెపపం అని లూసీకి చెపపాను.
मेरे नाना, फरेड सी. हंट पारटी के सदसय थे.	మా తాతయయ ఫరెడ సీ. హంట పారటీ సభయుడు.
वाकई? मैंने 40 सालों तक कॉमेडी शो किए हैं	నిజమా? నేను 40 ఏళళే వాడవిలలో ఉననాను
गेहरिक खेलने आया, और 40 साल तक खेलता रहा.	గెహరిగ వచచాడు, 40 ఏళలదాకా వెళళలేదు.
-परेस के कई सदसय हैं. -अचछी बात है.	-మాతో పాటు ఎందరో విలేఖరులుననారు. -పరలేదు.
इरविन गॉटलीब, डेसीलू का वकील.	డెసిలు తరఫు నయాయవాది ఇరవిన గోటలీబ.
-जरूर, मिसटर अरनेज. -शुकरिया.	-తపపకుండా, అరనాజ గారు. -ధనయవాదాలు.
और मैंने कुछ भी नहीं सुना, तो. . .	నేను ఏమీ వినలేదు, అందుకే. . .
-हम फिर कभी बहस नहीं करेंगे. -जान.	-మళళీ ఎపపుడూ గొడవపడము. -బేబీ.
-जेस. -लंच के बाद बात करेंगे.	-జెస. -భోజనం తరువాత మాటలాడుకుందాం.
हाँ. हम उनहें पीछे की ओर बिठाएँगे.	ఆ. వారిని వెనుక కూరచోబెడదాము.
वह वेसटिंगहाउस कंपनी है. तुम वहाँ थी. वह उस बंदे की भतीजी है.	అది వెసటింగహౌస కారపొరేట. నీకు తెలుసు. అతని మేనకోడలు.
अगर रसटी सामयवादी है, तो मैं सात साल के बचचे की पिटाई करूँगा.	రసటీ కమయూనిసట అయయుంటే, నేను ఏడేళళవాడితో పోటలాడినటటు.
मैं यह जानना चाहती हूँ,	తెలుసుకోవాలని ఆసకతిగా ఉంది,
-मैं समझ गया. -कया कहते हो?	-నాకు తెలుసు. -ఏమంటావు?
कुछ बकवास करना और चले जाना?	ఎననేళలు గడిపానో తెలుసా?
चौदह साल और वह वॉली पिप था.	పదనాలుగు, అది వాలీ పిప.
-तो मैं सामना करके मरूँगी. -मुझे नहीं पता कि इसका. . .	-తలెతతుకుని చనిపోతాను. -నాకు అరథం కావటం లేదు--
काम के बाद मैं घर जाती हूँ. तुम नाव पर जाते हो.	పనయయాక నేను ఇంటికి వెళితే నువవు పడవలోకి.
"लूसी एक खूबसूरत डिनर टेबल पर सामान सजा रही है. . .	"అందమెన భోజనాల బలలపె లూసీ తుదిమెరుగులు దిదదుతోంది. మంచి. . .
मुझे एक घर चाहिए.	నాకు కుటుంబం కావాలి.
-कयोंकि वह सही है. -मेरी बात सुनो.	-ఎందుకంటే ఇది పనిచేసతుంది. -నా మాట విను.
जैल-ओ मिठाई समूह.	మీకు అందించబడుతుంది.
जैक बैनी को देखा है. वह सटूडियो दरशकों के लिए अभिनय करता है.	జాక బెననీని చూసాను. సటూడియో పరేకషకులకె పలే చేసతాడు.
मुझे वह बेचने आए हो?	అమమటానికి వచచారా?
और बाकी के कलाकारों से आपका परिचय कराता.	మిగతా తారాగణానికి పరిచయం చెయయగలను.
"लूसी उसकी आहट नहीं सुनती. रिकी दबे पाँव पीछे आता है.	లూసీ గమనించదు. రికీ మెలలగా ఆమె వెనకకు వసతాడు,
मैंने पूछा कि कया तुम जानते हो कि अब तुम घर नहीं आते?	ఈమధయ ఇంటికి రావటం మానేసావని గరహించావా అననాను?
लगभग सबकी नौकरी छूटने ही वाली थी.	దాదాపు అందరి ఉదయోగాలు ఊడాయి.
"कया डेसी इतना बेवकूफ होगा. . . "	డెసి వెరరితనం కాకపోతే. . . "
सटेज की हरकतें कल तय कर सकते हैं.	సటేజి సంగతి రేపు చూసుకోవచచు.
तुमहारे पति को अमरीका से पयार है,	ఐదుసారలు ఒకే పాట రాసేంత పరేమ
-डेस. . . -मुझे वे भी नहीं मिलते.	-డెస-- -అవి నాకు రావటం లేదు.
मिसटर लायंस और फिलिप मॉरिस का है.	లయనస ఇంకా ఫిలిప మోరిస నుండి.
-शुरू होने पर हमें पता चल जाएगा. -गुड मॉरनिंग.	-నిలకడగా ఉననపపుడు తెలుసతుంది. -శుభోదయం.
पहली बात, हम इसे सटेज के सामने ले जाएँगे, ताकि कैमरा देख सके.	మొదటగా, మనం ఇది తీసుకుంటాము, పెకి పంపుతాము దానివలల కెమెరా నినను చూడగలదు.
-कयों? -जयादातर समय मैं बेहोश था.	-ఎందుకని? -చాలా వరకు మతతులో పడుకుననాను.
मैगजीन में सब झूठ लिखा था?	పతరికలో ఉననదంతా వదంతా?
-रुको! -रुको.	-ఆగు! -ఆగు.
लडका बोला, "मैं हूँ आकरषक"	"నేనే ఆకరషణ" అననాడతను.
-कयों? -अभी हमें पता नहीं.	-ఎందుకు? -ఇంకా తెలీదు.
-हमें हरकतें तय करनी होंगी. -बिल और मैं कर सकते हैं.	-ఎలా చెయయాలో చూసుకోవాలి. -నేనూ, బిల చెయయగలం.
-लूसील. -हाँ.	-లూసీల. -ఆ.
मैं चाहूँगी कि मेरे घर में दिककतें हों,	ఇంటలో సమసయలు ఉండాలని కోరుకుంటాను,
-शुकर है कि तुम ठीक हो. -कयों? कया हुआ?	-దేవుడి దయవలల బాగుననావు. -ఎందుకు?
या वह कैसे गरभवती हुई.	ఎలా గరభవతి అయయిందో అనవసరం.
मेरे रूम से डेसी को फोन करते हैं.	డరెససింగ రూంకు వెళలి డెసికి ఫోన చేదదాం.
