पहला खिलाडी हेंक रॉजरस	మొదటి పలేయర హెంక రాజరస
सेवानिवृतति निधि से कुछ मिलियन पाउंड गायब थे.	కొనని లకషల పౌండలు మిస అయయాయని చెపపాడు.
कया मुझे अपने भविषय के निनटेंडो बचत पर एडवांस मिल सकता है, कृपया?	నింటెండోకి భవిషయతతులో నేను డెలివర చేయబోయేవాటికి అడవానస ఏమెనా దకకే అవకాశముందా?
तो इसमें मारियो डालकर बेचो.	దీనని "మారియో"తో పాటు అందించండి.
मैं यहाँ आरकेड और हैंडहेलड अधिकारों के अनुबंधों को लेने आया हूँ.	ఆరకేడ, ఇంకా హయాండ హెలడ హకకుల కోసం నేను ఇకకడికి వచచాను.
कोई कीबोरड नहीं होता निनटें. . .	నింటెండోకి కీబోరడ లేదు. . .
-हम नफे में होंगे. -ठीक है.	-మళలీ మనం లాభాల బాట పడతాం. -సరే.
मैंने ऐसा नहीं कहा. मैंने कहा यह पेचीदा है.	అలా అని నేను అనలేదు. అది సంకలిషటమెనదనే నేను అననాను.
इसका नाम कया है?	ఇంతకీ దీని పేరేంటి?
लेकिन तुमहें लाइन में इंतजार करना होगा, हमारे महान देश से कुछ ही तार निकलते हैं.	కానీ మీరు కయూలో వేచి ఉండాలి, ఎందుకంటే మా గొపప దేశం నుండి విదేశాలు వెళళే లెనస చాలా తకకువ ఉంటాయి.
आरकेड अधिकारों के लिए 1, 50, 000 डॉलर?	ఆరకేడ హకకులకు 1, 50, 000 డాలరలు.
तो, तुम कहाँ से हो?	మీరు ఎకకడి వారు?
यह बहुत अचछी है.	సూపర అంటే సూపర గేమ.
मैंने उस बारे में कभी नहीं सोचा.	ఇపపటిదాకా నాకు ఆ ఆలోచనే రాలేదు కాబటటి.
हमें करना चाहिए?	మనం అలా చేయాలంటారా?
अपनी कमबखत "हम दोसत हैं" बात बंद करिए!	నీ సనేహితుల సోది పకకకు పెటటు ఇక!
हे भगवान, पापा. आपने कहा कि हम ठीक थे.	నాననా, అంతా బాగానే ఉందననావు కదా.
तुम ठीक तो हो न?	మీరు బాగానే ఉననారా?
और हमें गेम मिलेगा.	మాకు గేమ ఇవవాలి.
-यह आसान नहीं होगा. . . -ऐसे वादे करना बंद करो जिनहें तुम पूरा नहीं कर सकते.	-అదేమంత సులభంగా జరిగే విషయం కాదు. . . -నిలబెటటుకోలేని మాట ఇవవకు.
तुमहारा "टेटरिस" गेम कहता है कि तुमने इसका लाइसेंस लिया है, लेकिन तुमने नहीं लिया.	మీ "టెటరిస" గేమ పరకారం దాని లెసెనస మీ దగగరే ఉంది, అది కూడా నిజం కాదు.
अकेमी हमारी कंपनी की मुखय विततीय अधिकारी है.	అకెమీ, మా సంసథకి చీఫ ఫెనానషియల ఆఫీసర.
हेंक, यह सच में अचछा विचार नहीं है. मैं. . .	హెంక, అది మంచి ఆలోచనే కాదు. నేను. . .
उनहोंने मेरे नए अनुबंध में "कंपयूटर" शबद को फिर से परिभाषित किया, हँ?	నాకు ఇచచిన కొతత ఒపపందంలో "కంపయూటర" అంటే ఏంటో మారచి రాశారు.
आइए, एशिया का पसंदीदा गेम, "गो" को आजमाएँ.	ఆసియా పరఖయాత ఆట అయిన "గో"ని ఓసారి వచచి ఆడి చూడండి.
टरेसी. तुम कया कर रही हो?	టరేసీ. ఏం చేసతుననావు?
तुम विशेष रूप से मिररसॉफट के साथ डील करते हो, या तुम अपना अनुबंध भूल गए हो?	మీరు మిరరర సాఫట తోనే వయవహరించాలి, మీ ఒపపందానని మరచిపోయారా ఏంటి?
कैविन को इसके बारे में कुछ जानने की जरूरत नहीं है.	దీని గురించి కెవిన కి తెలియాలసిన పని లేదు.
ठीक है, तुमहें पता होना चाहिए, कयोंकि वे तुमहारी हर हरकत पर नजर रख रहे हैं.	మీకు తెలియాలి, ఎందుకంటే వాళలు మీ పరతి కదలికను గమనిసతూనే ఉననారు.
-मि. बेलिकॉव. -कमीने.	-మిసటర బెలకొవ. -చచచినోడా.
कृपया गेट की ओर बढें.	దయచేసి గేట వదదకు వెళలండి.
कृपया गेट की ओर बढें.	దయచేసి గేట వదదకు వెళలండి.
जिसने अपने जीवन में एक दिन भी ईमानदारी से काम नहीं किया है, वह मुझे मूरख कहता है?	జీవితంలో నిజాయితీగా ఒకకపూట కూడా కషటపడని నువవు, ననను దదదమమ అంటుననావా?
यह एकदम सही नहीं है, पर तुमहें अंदाजा हो जाएगा.	ఆట పకకాగా ఉందని చెపపను కానీ మీకు ఒక ఐడియా అయితే వసతుంది.
मैं खुद को सोविएत संघ के भागय से चिंतित करूँगा.	సోవియెట యూనియన కి ఏది మంచిదో, ఏది కాదో నేను చూసుకుంటాలే.
-अनुवाद सेवा? -जी नहीं, धनयवाद.	-అనువాదకులు కావాలా? -వదదు.
यह आसान था. मैंने सोचा, "कया है जो मैं कभी नहीं करूँगा? "	చాలా తేలిగగా కనుకుననా. "నేనెపపటికీ సాహసించని పనేంటి? " అని ఆలోచించా.
यह शानदार है, कया हम इसे रख सकते हैं?	అదిరిపోయింది, దీనని ఉంచుకోవచచా?
और उसे अभी पता चला कि एलोरग ने तुमसे "टेटरिस" का वादा किया था.	అదీగాక, ఎలారగ మీకు "టెటరిస" హకకులు ఇసతానని మాటిచచిందని కూడా తెలుసుకుననాడు.
हमें मिररसॉफट के साथ जाना होगा.	మేం మిరరర సాఫట తో చేతులు కలుపుతుననాం.
अगर तुम एक सिकके की तरह हलके हो	అది నాణెం అంత తేలిక వసతువు అయినా సరే,
आज रात मुझे यहाँ लाने के लिए धनयवाद.	ఈరాతరి ననను ఇకకడికి తీసుకొచచినందుకు థయాంకస.
हाँ, माना जाता है, वह रूसी आविषकारक, उसे टेनिस पसंद है.	హా, దీనని కనిపెటటిన రషయన కి టెననిస అంటే ఇషటమట.
लेकिन मैं उनकी ओर से बहुत उदार पेशकश करने को तैयार हूँ.	కానీ వారి తరఫున మీకు మంచి ఆఫర ఇవవాలనుకుంటుననా.
तुमने सचमुच कहा, "वापस आओ और जलद से जलद एक परसताव दो. "	"తవరగా వచచి ఆఫర ఇవవండి" అని నువవే చెపపావు కదా.
मेरे माता-पिता डच और पूरवज यहूदी और इंडोनेशियाई थे.	నా తలలిదండరులు డచ. వారికి యూదు, ఇంకా ఇండోనేషియన వారసతవం ఉంది.
"गो" योजना के अनुसार नहीं चला.	"గో" విషయంలో అనుకునన విధంగా జరగలేదు.
गो लेवल छः	గో ఆరవ లెవెల
तीसरा खिलाडी	మూడవ పలేయర
सेवा में, मि. आर. सटाइन दस हजार डॉलर	మిసటర సటెన కి, పది వేల డాలరలు.
मैं इसीलिए यहाँ आया हूँ.	అందుకే ఇకకడికి వచచా.
एडी, यह बहुत बडा मौका है.	ఈ అవకాశం మళలీ మళలీ రాదు, ఎడడీ.
यह लो. इस पर हसताकषर करो.	ఇదుగోండి. దీనిపె సంతకం చేయండి.
असल में हम बस "टेटरिस" की बात कर रहे थे.	నిజానికి మేము "టెటరిస" గురించే మాటలాడుకుంటుననాం.
बढिया.	సూపర.
बोरिस	బోరిస,
रिकॉरडिंग बंद करो.	రికారడింగ ఆపేయ.
मैं बस यहीं रहा हूँ.	నేను చిననపపటనుంచీ ఇకకడే.
-मि. बेलिकॉव, निकास इस तरफ है. -चुप रहो.	-మిసటర బెలకొవ, బయటకు ఇలా వెళలాలి. -నోరమూసుకోండి.
हमारे पास जिंदगी थी.	మనం బాగానే జీవించేవాళలం.
कया मैं अंदर आ सकता हूँ?	నేను లోపలికి రావచచా?
रूसियों से "टेटरिस" लेने और निनटेंडो के साथ डील करने के बाद,	రషయనల నుండి "టెటరిస" మన చేతులలోకి వచచి, నింటెండోతో మనకి ఒపపందం కుదరగానే,
{\an8}-कया बकवास है? -अटारी ने हमारा पेटेंट चुरा लिया.	{\an8}-ఏంటది? -అటారి మా పేటెంట దొంగిలించింది.
रुको.	ఆగండి.
मेरे लोग आजादी चाहते हैं.	నా పరజలు సవేచఛ కోరుకుంటుననారు.
-कया? -हमारी डील के साथ.	-ఏంటి? -మా ఒపపందంతో.
-हम कर सकते हैं! -जगह नहीं है!	-మనం వెళలగలం! -ఖాళీ లేదు!
तुम आज घर जाओ, "टेटरिस" का उतपादन बंद करो, सब माफ कर दिया जाएगा.	మీ దేశానికి వెళలిపోండి, "టెటరిస" పరొడకషన అంతటినీ ఆపివేయండి, మేము కషమించేసతాం.
कया तुमने कभी किसी अमेरिकी को ना कहने की कोशिश की है?	ఒక అమెరికా వాడికి "లేదు" అని ఎలా చెపపమంటావు?
मैं अभी हसताकषर करने के लिए तैयार हूँ. कया हो रहा है?	నేను ఇపపుడే సంతకం పెటటేసతా కూడా. ఏంటి సంగతి?
इससे पहले कि वे तुमहें पकडें, कृपया यहाँ से निकल जाओ.	వాళలు నినను అదుపులోకి తీసుకోక ముందే వెళలిపో.
जरूर. ठीक है, उसे बताओ कि मैं इसे ठीक कर दूँगा.	సరే. దీనని పరిషకరిసతానని ఆయనకు చెపపండి.
पर मैं यहाँ हैंडहेलड अधिकारों पर चरचा करने आया हूँ, वीडियो पर नहीं, इसलिए. . .	కానీ నేను ఇకకడికి హయాండ హెలడ హకకుల గురించి చరచించడానికి వచచా, వీడియో గురించి కాదు, కాబటటి. . .
सोविएत संघ में सबसे शकतिशाली आदमियों में से एक.	సోవియెట లో వాళలు చాలా శకతివంతమెన వాళలు.
{\an8}टेटरिस की नई सीईओ के रूप में नियुकत किया.	{\an8}టెటరిస కి కొతత సీఈఓగా నియమించారు.
करिसमस '89 पेड के नीचे एक नए उपहार के साथ	కరిసమస కానుకలలో గేమ బాయ అనే పరికరం
-और फिर तुमने उसे चुरा लिया. -नीना.	-చూసి, దొంగిలించేశారు. -నీనా.
यह चीज आग की तरह फैल गई.	అది దావాగనిలా వయాంపించేసింది.
-मैं अपनी पूरी कोशिश कर रहा हूँ. -नहीं, वह तो बोलना ही मत.	-నా చేతనెనంత నేను చేసతుననా. -ఆ మాట మాతరం అనవదదు.
जहाँ सबकी नजर तुम पर होती है?	ఎలా ఉంటుందో మీకు తెలుసా?
उचच लेवल का मतलब जयादा पॉइंटस. तो, तुम. . .	లెవెలస పెరిగేకొదదీ పాయింటస ఎకకువ వసతాయి, కాబటటి. . .
तुम गलत हो. यह अब पैसे के बारे में नहीं है.	మీరు పొరబడుతుననారు. నేనేం డబబు గురించి ఇలా చేయటలేదు.
आठ-बिट का संगीत और फलॉपी डिसक जिसे लोगों ने कॉपी किया और मुफत में शेयर किया.	8-బిట సంగీతం ఉంటుంది, ఇంకా అందరూ ఉచితంగా షేర చేసుకోవడానికి వీలుగా ఫలాపీ డిసకులు కూడా ఉంటాయి.
अगली सबसे अचछी बात.	ఆయన తరవాతి వాడు అననమాట.
नीचे से ऊपर ले जाओ.	కింది నుండి పెకి అనాలి.
हैलो. हेंक रॉजरस. बुलेट-परूफ सॉफटवेयर.	హాయ, నా పేరు హెంక రాజరస. బులలెట పరూఫ సాఫట వేర.
निकोलाई एवगेनिएविच. . .	నికొలయ ఈవగెనీచ. . .
मेरा नाम हेंक रॉजरस है.	నా పేరు హెంక రాజరస.
लिफट के लिए धनयवाद.	లిఫట ఇచచినందుకు థయాంకస.
यह थोडा उलझाने वाला है.	కాసత అయోమయంగా ఉంది.
माया, मुझे बात करने दो.	మాయా, ఫోన ఇలా ఇవవు.
यह अचछी खबर है, सजजनों.	శుభవారత, మితరులారా.
तुमसे अलग, मैंने अपने देश को पहले रखा.	నేను దేశానికి తొలి పరాధానయత ఇసతాను, మీలా కాదు.
बोशया ओरडिंका पर उततर की ओर बढ रहा है.	బొషాయా ఒరడింకా వీధిలో ఉతతరం వెపుకు వెళతుననాడు.
यह टेटरा का संयोजन है, मतलब गरीक में "चार". . .	ఆ పదం టెటరా, టెననిస పదాలను కలపగా వచచింది. టెటరా అంటే. . .
इस अपारटमेंट में.	కాదు, ఈ ఇంటలో.
पापा बोल रहा हूँ.	నేనమమా నాననని.
रुको, तुम मुझे बता रहे हो कि अमेरिका में अटारी में "टेटरिस" नहीं है?	ఒకక నిమిషం, అంటే అటారికి అమెరికాలో "టెటరిస" హకకులు లేవా?
यानी. . . तुम ऐसा कैसे कह सकते हो?	అలా. . . ఎలా అనగలుగుతుననావు?
-और मुझे तुमहारा घर गिरवी रखना होगा. -ठीक है!	-గయారంటీగా నీ ఇలలు తీసుకుంటాను. -సరే!
तो तुम गेम डिजाइनर हो, हेंक?	మీరు గేమ డిజెనరా, హెంక?
बस मुझे "टेटरिस" दिलाओ.	నాకు "టెటరిస" వచచేలా చూడండి.
लेकिन पहले, मैं चाहता हूँ कि तुम यह जान लो कि जब मैं इस गलतफहमी को दूर करूँगा,	కానీ ముందుగా, మీకొక విషయం చెపపాలి, ఈ అపారథానని నేను తొలగించేశాక,
एक लाख डॉलर के भुगतान पर निरभर करता है.	పది లకషల డాలరలు కూడా ఇవవాలి కదా.
और मैंने खुद से वादा किया कि मैं अपने बचचों को ऐसे खराब समय का सामना कभी नहीं करने दूँगा.	అలాంటి నరకం నా పిలలలకు ఎదురుకానివవను అని నేను అపపుడే గటటిగా అనేసుకుననాను.
पहला लेवल	మొదటి లెవెల
वह रॉबरट सटाइन था.	అలా రాబరట సటెన చేశాడు.
हैंडहेलड?	హయాండ హెలడ?
नहीं. तुमहारा भी परिवार है.	వదదు. మీకు కూడా కుటుంబం ఉంది కదా.
-मि. रॉजरस. -कृपया, मुझे हेंक बुलाओ.	-మిసటర రాజరస. -దయచేసి ననను హెంక అని పిలవండి.
हमें एक बार में जयादा से जयादा चार लाइनों को गायब होने देना चाहिए.	మనం ఒకేసారి నాలుగు లెనలు మాయమెపోయేలా చేసతే బాగుంటుంది.
वह यहाँ कया कर रहा है?	అతనికి ఇకకడేం పని?
अंदाजा लगाओ उनकी पहली गेम कया है.	వాళల మొదటి గేమ ఏంటో తెలుసా?
चौथा लेवल	నాలగవ లెవెల
कया, तुमने इस बेवकूफ को रिशवत दी?	ఈ సననాసికి లంచం ఇసతానననావా?
हे भगवान.	ఓరి దేవుడా.
{\an8}जिसके लिए उन पर मुकदमा चला था.	{\an8}ఆయనని నిరదోషిగా విడుదల చేయడం జరిగింది.
{\an8}और उनहोंने हमारे लिए एलोरग भी ढूँढा है.	{\an8}ఇంకా, మా కోసం ఎలారగ ఆచూకీని కూడా తను కనిపెటటింది.
-कोई सिकयोरिटी को बुलाओ! -और तुम, रॉबरट,	-ఎవరెనా సెకయూరిటీకి కాల చేయండి! -ఇక నువవు, రాబరట!
हम बाहरी पारटनरस की मदद नहीं लेते हैं.	మేము బయటి భాగసవాములతో పని చేయం.
आठ घंटे से लेकर एक हफते के बीच.	ఎనిమిది గంటల నుండి వారం దాకా అనుకోండి.
तुमसे बात न कर पाना दुखदायी है.	నీతో మాటలాడకుండా ఉండటం నాకేం నచచటలేదు.
तुम अपनी बेटी का कॉनसरट चूक गए.	నీ కూతురి సంగీత పరదరశనకు నువవు రాలేదు.
पापा, बस उसे दया के पैसे दे दो.	నాననా, అతను అడిగిన ముషటి అతనికి ఇచచేయ.
ठीक है, मुझे लगता है कि यह जापान में निनटेंडो के लिए "टेटरिस" है.	జపాన లో నింటెండో వాళలు రూపొందించిన "టెటరిస" అనుకుంటా.
तुमसे मिलने का सौभागय मिला.	మిమమలని కలవడం బాగుంది.
मैं एक बेकार रसोइया भी हूँ.	నేను చెతత కుక ని కూడా.
पूंजीपतियों के तुमहारे देश में घुसने के बाद, वे कभी नहीं निकलेंगे.	ఒకసారి పెటటుబడిదారులని రానిచచారంటే, వాళలు తిషట వేసుకొని కూరచుంటారు, ఇక వెళలిపోరు.
मैंने तुमहें "टेटरिस" बिना कोई मेहनत किए दी.	నువవు అడిగినటటు "టెటరిస"ని పువవులలో పెటటి ఇచచాను నీకు.
"टेटरिस" के लिए पीसी, वीडियो गेम और आरकेड के अधिकार खरीदे हैं, हैं ना?	ఇంకా ఆరకేడ హకకులను కొననారట కదా, అందుకే మీకు కాల చేసతుననా.
-और रॉयलटी? -ओह, भगवान के लिए, मि. बेलिकॉव.	-మరి రాయలటీలు? -అబబా, మిసటర బెలకొవ.
तुमहारा वीजा कहता है कि तुम एक परयटक हो, लेकिन तुम नहीं हो.	మీ వీసాలో యాతరికుడు అని రాసుంది, కానీ అది అబదధం.
उसे बहुत जयादा मत मारना. उसे अभी भी काम करना है.	మరీ ఎకకువ గాయపరచవదదు. అతను చేయాలసిన పనులు ఇంకా చాలా ఉననాయి.
ठीक है. शुकरिया.	సరే. థయాంకయూ.
कयोंकि मुझे निनटेंडो कारटरिज के लिए दो मिलियन की जरूरत होगी. . .	నింటెండో కయాటరిడజులకు ఇరవె లకషల డాలరలు అవుతుంది. . .
कया तुमने पहले कभी अपने घर को इतना शांत देखा है?	మన ఇలలు ఎపపుడెనా ఇంత నిశశబదంగా ఉండిందా?
तुम जा सकते हो, मि. सटाइन.	ఇక మీరు బయలుదేరవచచు, మిసటర సటెన.
असेमबलर मेरी पहली पसंद है.	అసెంబలర ని అపపుడపపుడూ వాడుతుంటా.
मि. सटाइन, कया तुमने अपना संशोधित अनुबंध पढा है?	మిసటర సటెన, సవరించిన ఒపపందానని చదివారా?
रासते से हटो!	పకకకు తపపుకోండి!
कयोंकि मुझे अभी कुछ नहीं मिला.	ఎందుకంటే, ఆ ఒపపందం ఇంకా నాకు దకకలేదు.
-लेकिन मुझे तुमहें चेतावनी देनी चाहिए. . . -ठीक है. ठीक है, बढिया. धनयवाद.	-కానీ మిమమలని హెచచరిసతుననాను. . . -సరే. సరే, మంచిది. థయాంకస.
कैविन, मेरा बेटा. ठीक है, बाहर निकलो.	కెవిన. అందరూ బయటకు వెళలిపొండి.
टेकनोलॉजी भविषय है और वीडियो गेम इसमें सबसे आगे है.	భవిషయతతును నడిపించేది టెకనాలజీయే, ఆ విషయంలో వీడియో గేమస దే హవా.
मुझे यह समझ नहीं आया.	నాకు అరథం కాలేదు.
यह परफेकट गेम है.	ఆటకి అసలెన అరథం ఆ ఆట.
तुम इसके लायक हो.	మీకు అది చెపపాలసిందే.
मिररसॉफट का सीईओ.	మిరరర సాఫట కి సీఈఓని.
मैं यह जोखिम उठाऊँगा.	రిసక తీసుకుంటాలే.
तुम अंगरेजी बोलते हो?	మీకు ఇంగలీష వచచా?
पासकल या असेमबलर?	పాసకలా లేదా అసెంబలరా?
शुभ संधया. कया तुमहारे पास नमक है?	గుడ ఈవినింగ. మీ దగగర కాసత ఉపపు ఏమెనా ఉందా?
एसटोनियाई लोग सडकों पर उतर आए हैं.	సోవియెట యూనియన నుండి సవేచఛ కావాలని కోరుతూ.
तुमहारे लिए, हाँ.	మీకు అది వీడియో గేమే.
चलो भी, यार. हटो!	కానివవండి ఇక. వదలండి!
सही कहा. यह हमारी पहला और आखिरी परसताव है.	అవును. ఇది మా తొలి, ఇంకా తుది ఆఫర.
मेरे पैसे का कया?	మరి నా డబబు సంగతేంటి?
सब तबाह हो जाएगा.	అంతా కుపపకూలిపోతుంది!
-तुम कहाँ से हो, मि. मैकसवेल? -इसका इससे कया लेना-देना?	-మీ ఊరు ఏంటో చెపపగలరా, మిసటర మయాకస వెల? -దానికీ, దీనికి సంబంధం ఏంటి?
और मुझे लगता है कि तुमने मिररसॉफट को वही डील दी जो तुमने मुझे दी थी.	నాకు ఇచచిన ఒపపందమే, మిరరర సాఫట కి కూడా మీరు ఇచచారు కదా.
मुझे मेरा अनुबंध वापस दिलाओ और मैं खुद तुमहारा शुलक दोगुना कर दूँगा.	నా ఒపపందానని నాకు తెచచివవు, నీ ఫీజును రెటటింపు చేసతాను.
{\an8}गंभीर गेमरस के लिए सोविएत पहेली.	{\an8}ఆటలంటే పరాణమిచచేవారికి సోవియెట వారి పజిల.
मेरे सकूल का कॉनसरट जलद ही होनेवाला है और हमने आज रिहरसल की	సకూలులో నా సంగీత పరదరశనకు ఇంకా ఎననో రోజులు లేవు, ఇవాళ పరాకటీస కూడా చేశాం,
-उसे अंदर लाओ. -कयों?	-లోపలికి పంపించు. -ఎందుకు?
हम जोखिम कयों उठा रहे हैं?	మనకి ఇంత రిసక అవసరమా?
ठीक है, उनहें बताना चाहिए.	అది తపపకుండా చెపపాలి.
हमारे पास कुछ नहीं बचा है.	మన దగగర ఇపపుడేం లేదు.
{\an8}हेंक और एलेकसी ने टेटरिस कंपनी बनाई.	{\an8}హెంక, అలెకసీలు కలిసి టెటరిస సంసథను నెలకొలపారు.
वह है, आरकेड, वीडियो गेम, कंपयूटर और हैंडहेलड.	అంటే ఆరకేడ, వీడియో గేమ, కంపయూటర, ఇంకా హయాండ హెలడ కి కూడా.
मि. मैकसवेल, ईमानदारी से कोई अरबपति नहीं बनता.	నిజాయితీగా ఉంటే, ఎవరూ కోటీశవరులు కాలేరు, మిసటర మయాకస వెల.
कयोंकि तुमहें हैंडहेलड अधिकार चाहिए.	హయాండ హెలడ హకకుల కోసం వచచారట.
अपना जीवन बरबाद करना आसान था.	నీ జీవితానని చాలా తేలిగగా పాడు చేశా.
बहुत हुआ! मैं तुम सभी को गिरफतार करवा सकता था.	ఇక చాలు! మీ అందరినీ అరెసట చేయించగలను.
-फिर मैं तुमहारी बयाज की दरें बढा रहा हूँ. -ठीक है.	-అయితే నీ వడడీ రేటలను పెంచుతుననాను. -సరే.
कया सटाइन तुमहें बीच से हटाकर अपने लिए डील कर रहा है?	సటెన మిమమలని పకకన పెటటేసి సొంతంగా తనకే ఒక ఒపపందం ఏరపరచుకుంటుననాడా?
यह कविता है. कला और गणित जादुई तालमेल में काम कर रहे हैं.	అదొక కవితలా ఉంటుంది. కళ, గణితం అననీ అందంగా, లయబదధంగా కలిసి పోయి ఉంటాయి.
कृपया सुनो, मैं अपने देश के लिए सबसे अचछी बात के लिए बातचीत कर रहा हूँ.	దయచేసి విను, మన దేశానికి ఏది మంచిదో, అదే నేను చేసతుననాను.
हम सरवहारा वरग के लिए उसके महल, सटालिनस सेवेन सिसटरस जा सकते हैं.	మనం సటాలిన సెవెన సిసటరస భవనాలను చూడవచచు, కారమికుల కోసం అతను నిరమించిన భవనాలు అవి.
इस गेम की सिरफ लत नहीं लगती,	ఇది కేవలం ఆకటటుకొనే ఆట మాతరమే కాదు.
सोविएत संघ	యుఎసఎసఆర
कौन?	ఎవరు?
बुडापेसट में आपका फिर से सवागत है, मि. सटाइन.	బుడాపెసట కి మళలీ సవాగతం, మిసటర సటెన.
हाँ हम कर सकते हैं. फैकस भेजो.	హా, చేయవచచు. ఫయాకస పంపు.
एक साल पहले.	ఒక ఏడాది కరితం.
हैलो.	హాయ.
योशी	యోషీ.
मिनोरू अरकावा, अमेरिका के निनटेंडो के अधयकष.	మినోరూ అరకావా, నింటెండో అమెరికా డివిజన కి పరెసిడెంట ని.
पर अगर तुम हर किसी को लाखों गेम बॉयज बेचना चाहते हो,	కానీ గేమ బాయస ని కోటలలో అమమాలనుకుంటే, అది కూడా పరపంచవయాపితంగా ఉనన
हैलो.	హాయ.
फोन पर. तुमने मेरे आरकेड अधिकार सेगा को बेच दिए.	ఫోనులో మాటలాడుకుననాం. నా ఆరకేడ హకకులని మీరు సెగాకి అమమేశారు.
उनहें पैसों की परवाह नहीं है, बेटा.	వాళలకి కావాలసింది డబబు కాదు.
-अनुवादक? -नहीं, धनयवाद.	-అనువాదకులు కావాలా? -పరవాలేదు.
हैलो.	హాయ.
माफ कीजिए?	ఏమననారు?
मुझे लगा कि तुम यहाँ छुटटियों के उददेशय से आए हैं.	మీరు సెలవులకి ఇకకడికి వచచారేమో అనుకుననా.
हाँ?	ఏంటి?
कया?	ఏంటి?
कमयुनिसट पारटी की केंदरीय समिति, विदेश वयापार विभाग.	కమయూనిసట పారటీ సెంటరల కమిటీలో, ఇంకా విదేశీ వాణిజయ శాఖలో సభయుడిని.
अचछा, वह आपराधिक है.	అది చాలా దారుణం.
कया?	ఏంటి?
अगर. . .	ఒకవేళ. . .
हैलो.	హలో.
हैलो.	హాయ.
हेंक, तुमहें "टेटरिस" कैसे मिली?	"టెటరిస" గురించి మీకెలా తెలిసింది, హెంక?
नहीं, यह ठीक है.	అబబే, మరేం పరవాలేదు.
एकदम असली?	ఒరిజినల?
कया?	ఏంటి?
-हेंक? -सही है.	-హెంక? -సరే.
कया?	ఏంటి?
नमक?	ఉపపా?
हाँ!	చీరస.
संगीत बहुत पसंद आया.	సంగీతం అదిరింది.
चलो. चलो भी.	ఎతతండి. ఎతతండి.
कया?	ఏంటి?
कम से कम, एक मिलियन.	తకకువలో తకకువ, పది లకషలు.
तुम समझते हो, है ना?	మీరు అరథం చేసుకోగలరు కదా?
वे मुझे बलैकमेल कर रहे हैं इसलिए मैं अपना मुँह बंद रखता हूँ.	నేను నోరు తెరవకూడదని ననను బలాక మెయిల చేసతుననారు.
और डील होने के बाद मुझे एलोरग में मेरे पद से हटा दिया जाएगा.	ఆ ఒపపందం ఖరారయయాక, ఎలారగ లో నా సథానం నాకు ఉండదు.
-तो हैंडहेलड अधिकार. . . -उपलबध हैं.	-అంటే హయాండ హెలడ హకకులు. . . -ఎవరికీ ఇవవలేదు.
मुझे या इन लोगों को बेचने का अधिकार कभी नहीं था.	నాకు అమమడానికి కానీ, వీళలకి అమమడానికి కానీ అసలు హకకులే లేవు.
और किसी को मत बताना.	ఎవరికీ చెపపవదదు.
या भारी. . .	అబబాయి అంత. . .
तुमहारे पास पैसा नहीं है.	మీ దగగర డబబులు లేవు.
हेंक की तरफ से.	హెంక పంపాడు.
अगर तुम विशववयापी वीडियो गेम अधिकारों के लिए एक परसताव देना चाहते हो,	పరపంచవయాపత వీడియో గేమ హకకుల కోసం మీరు ఆఫర చేయాలనుకుంటే,
-हैलो? -वे झूठ बोल रहे हैं, हावरड. सब झूठ बोल रहे हैं.	-హలో? -వాళలు అబదధమాడుతుననారు, హొవరడ. అందరూ.
डील यह है, मैं मिखाइल गोरबाचेव का दोसत हूँ.	కానీ అసలెన విషయం ఏంటంటే, నేనూ, మిఖాల గొరబచవ సనేహితులం.
मैंने अभी तुमहें जिंदगी की बेहतरीन डील पेश की है.	మీకు నేను ఇచచిన ఆఫర, చాలా అదభుతమెన ఆఫర.
उसने गिरने वाले बलॉकस बरेकेटस जोडकर बनाए थे.	అతని బలాకస అననీ బరాకెటలతో తయారెనవే.
"टेटरिस" पहले से ही सफल गेम है.	"టెటరిస" ఇపపటికే భారీ విజయం సాధించింది.
कोई भी बात आसानी से बाहर नहीं आती.	ఏదీ అంత సులభంగా బయటకు రాదు.
मैं कह रहा हूँ कि हमें. . .	లేదు, మనం నేటి విషయాల గురించి. . .
-मुझे पहले से ही पता है. जो. -हाँ.	-నాకు తెలుసు. జో. -చెపపండి.
यह बस एक वीडियो गेम है.	ఇది కేవలం ఒక వీడియో గేమే కదా.
कया मैं ऐसा कर सकता हूँ?	ఆ పని నేను చేయవచచా?
वे कोई काम नहीं करते थे.	అససలు పనే చేయటలేదు.
लेकिन मैं यहाँ चीजों को ठीक करने के लिए आया हूँ.	కానీ దానని సరిదిదదాలనే ఇకకడికి వచచాను.
मैकसवेलस की जीत इतनी महतवपूरण कयों है?	ఇందులో మయాకస వెల అబబాకొడుకులే గెలవడం అంత ముఖయమా?
तुम कया बोल रहे हो?	ఏం మాటలాడుతుననావు నువవు?
अपने पैर जमाओ. नीचे से ऊपर ले जाओ.	కాళలు సరిగగా పెటటి, కింది నుండి పెకి అనాలి.
सरकार की संपतति की सुरकषा और निरणय लेने की जिममेदारी हमारी है.	పరభుతవ ఆసథిని కాపాడటం, నిరణయాలు తీసుకోవడం మా పని.
असल में, मेरी छोटी सी नाकामयाबी हमारे लिए अब तक की सबसे अचछी बात हो सकती है.	నిజం చెపపాలంటే, ఇలా జరగడమే నాకు చాలా మేలు చేసిందని చెపపవచచు.
कया जापान उपलबध है?	జపాన లో కూడానా?
