मेड इन हेवेन	మేడ ఇన హెవెన
आप जिससे पयार करते हैं, उससे पयार करने में कोई हरज नहीं.	మీరు పరేమించేవాళలని పరేమించడం లో తపపులేదు.
अगरिम जमानत का सही रासता है आपका.	అలా వేధింపుల ఛారజెస కింద అతనని బయటకి తేవచచు.
कम से कम तुमहारे पास पति तो है!	కనీసం నీకో భరత ఉననాడు.
- माँ, मेरी बात सुनो. बात तो सुनो. - कपडे बदलो और निकलो.	- నీకు కరణ తపప ఇంకెవరూ దొరకలేదా? - అమమా, కనీసం, నే చెపపేది విను.
हर बात के लिए.	అననిటికీ.
हाँ, पर हम बाजार पर तो भरोसा नहीं कर सकते ना,	అవును, కానీ మనం మారకెట ధరల మీదే ఆధారపడలేంగా, గోయల గారూ?
खासकर आपके इंगलैंड वाले मेहमान.	ముఖయంగా మీ ఫామిలీలోని బరిట సెడ వాళళు.
बहुत खुश हूँ. . .	సూపర ఎకసెటింగా. . .
- तुमसे पयार करता हूँ. - मैं भी तुमसे पयार करती हूँ.	- ఐ లవ యు. - ఐ లవ యు, టూ.
हाँ?	ఎవరు?
हाँ. . .	అవును. . .
- थोडा भैंगा लगता है. -	కొదదిగా సెకోలా.
सब गँवा दिए नशे में.	అననీ మతతు కోసం పోగొటటేసాడు.
- भरोसा रखो. वह छूट जाएगा. -	- ఖంగారు పడకు. తను బయటకి వసతాడు. - సరే సర,
बदतमीज! बेशरम!	- అమమా. - సిగగులేనోడా
पता है कया हुआ था?	అకకడ ఏం జరిగిందో తెలుసా?
तैयारियाँ बहुत हैं. काम में उलझी हुई तो है आजकल.	కొంచెం బిజీగా ఉననాం.
- तो फिर आना, बेटा. - जी.	- వీలు చూసుకుని మళళీ రా, బాబూ. - తపపకుండా,
- गीतांजलि की माँ: बहुत खूब. . . - बस छोटी सी औपचारिकता है.	అది కేవలం ఫారమాలిటీ.
अपने विराट आकार और अपार शकति के बावजूद,	వాటికి పెదద శరీరాలు ఇంకా బలం ఉననా,
निखिल के पिता: बस तुमहारे लिए एक खूबसूरत सा पेड ढूँढना होगा.	మనం నీకో అందమెన చెటటుని వెతకాలి.
शरम नहीं आई तुमहें?	నీపె నీకు సిగగనిపించలేదా?
ऐसा है कि हमारा परिवार इंगलैंड से आ रहा है.	చూడు, మా బంధువులంతా ఇంగలండ నుంచి వసతుననారు. మేం వాళళకి ఇలాంటి. . .
रिसेपशनिसट: ओ, सब ठीक तो है ना?	అంతా బానే ఉందిగా?
मुझे कया चाहिए?	నాకు ఏం కావాలి నాకు?
उनका कया?	వాళళ గురించి ఏంటి?
वह लंदन में हैं. तो, परसों से पहले नहीं लौटेंगे.	ఆయన లండనలో ఉననారు. మరి, ఆయన ఎలలుండే వసతారు. వెయిట చేయమంటుననారు.
मैं यहाँ रहना चाहता हूँ.	నాకికకడ ఉండాలనుంది.
मिसेज गुपता: कया?	ఏంటి?
दफा 377 में जमानत मिलना मुशकिल है.	మీరు మంచి పని చేశారు. ఆరటికల 377లో బెయిల వచచే అవకాశాలు ఉండవు.
मांगलिक होने की इस बात जड से ही खतम कर देते हैं.	ఈ దురదరుషటానని మొగగలోనే తుంచెయయండి. చెటటు మీద జోక గురించి కషమించండి.
मैंने उससे कहा कि सब खतम हो चुका है.	అంతా అయిపోయిందని చెపపాను.
कबीर: ये तो कई सारी एक-जैसी बातें हो गईं.	చాలా విషయాలు కామనగా ఉననాయి.
मुसकान: एक बात कहूँ? हमें गोवा जाना चाहिए.	ఏం చెయయాలో తెలుసా?
पहने हुए?	ఒకసారి వేసకుననాకా?
मैं तुमसे पयार करती हूँ.	ఐ లవ యు.
- बहुत अचछे लोग हैं. - हाँ.	- వాళళది మంచిపేరునన కుటుంబం. - అవును.
और मुझे यकीन है कि परेस को ये बात उनहीं से पता चली है.	పోలీసులు ఎఫ. ఐ. ఆర ఫెల చేసారు నాకు తెలుసు వాళళే దీనని పరెసకి రిలీజ చేసారు.
और हम यहाँ मेरे पहले पति की तलाश में आए हैं.	చాలా బావుంది, బయట ఓపెనలో. మేం ఇకకడికి నా మొదటి భరతని ఎననుకోవడానికి వచచాం.
कबीर: भई, बात सुनना.	ఇదిగో చూడు.
अचछा, हाँ.	అలాగా.
दो दिन पहले का है.	ఇదంతా రెండు రోజుల కరితం చేసాం.
- हमें बता दीजिएगा जरूर. - बिलकुल, जनाब.	అయిపోయాక మాకు చెపపండి.
आपको कया जरूरत थी उसकी निजी जिंदगी में. . .	మీరతని బెడ రూంలోకి వెళళారు. అతని పరెవేట లెఫులో ఎందుకు కలపించుకుననారు?
करन: मैं उस कमीने पर मुकदमा ठोकना चाहता हूँ.	ఆ వెధవ మీద కేసు పెటటాలి.
- शुकरिया. - कबीर: बाय.	- థాంకయు. - బె
बात पककी.	డీల.
जैज की माँ: हाँ.	ఆ.
गे होना कोई पाप नहीं है.	నానన, మీరు చాలా తపపు చేసారు. గేలా ఉండడం తపపు కాదు.
बहुत अचछा.	గరేట.
तू सकूल नहीं गई अभी?	నువవింకా సకూలుకి వెళళలేదా? వంటలో బానే ఉందా?
आदिल: बिलकुल. मैं समझता हूँ.	నాకు అరథమయింది.
शुकरिया.	థాంకయు.
आदमी: करन सर, बाहर आइए. हमको बात करनी है आपसे.	సర. సర. బయటకి రండి.
अब?	ఇపపుడా?
हाँ, बेटा.	వాళలకివవు, బాబూ.
ठीक है.	డన.
शुकरिया.	థాంకయు.
और मुझे बोल रहे हो?	కరణ. కరణ, తలుపు తెరు.
खुद को घोडों के जंगल में पाता है.	ఓ యువ గేదె, కొలనులో సనానం తరవాత తాజాగా
कैसा महसूस हो रहा है?	ఖంగారు పడలసిందేం కనబడలేదు.
- आसानी से एक फोन कर सकते हैं या. . . - इस बात का सुझाव मैं नहीं दे सकता, ना.	నేను కరణ ఫరెండుని, బిజినెస పారటనరని. తను నా హసబెండ, ఆదిల ఖననా.
उनहोंने कहा चिंता की कोई बात नहीं है.	నీ వలల ఇదంతా అవుతోంది. నా మీద నింద వేసతుననావా?
गीतांजलि: बस भी करो!	అససలు మొదలెటటకు.
और हम ये नहीं चाहते. . .	నీ బటటలు తీసుకుని ఇకకడనుంచి పో.
अ. . .	అది సహజం.
हो गया?	దొబబెయయండి.
सच?	కమాన!
अचछे लोग हैं.	నేనది ఆయనకి చెపపలేను కదా.
इस उपमा के लिए माफ कीजिएगा.	పనికిరానోడా.
माँ को पता था.	తపపదు.
है ना?	ఏం కావాలి నీకు?
ओह.	చెతత వెధవా.
