वाह.	వావ.
और पता है उसने कया कहा?	అపపుడు అతను ఏం అననాడో తెలుసా?
हाँ. चलो उससे कहें कि वह मुँह खोले और "आ" कहे.	అవును. అపపుడు అతడిని నోరు తెరిచి "ఆహ" అనాలని మనం అడుగుదాం.
दरअसल, मैंने उसके बचपन की तसवीरें देखी हैं, और वह तब भी कमीना था.	నిజానికి వాడి చిననపపటి ఫోటోలని నేను చూశాను, వాడు అపపుడు కూడా చెతతవెధవ లాగే ఉననాడు.
मैं तुमहारे सिर पर मारकर	నీ తల మీద కొటటి మరీ
याद है तुमने पूछा था कया मुझे निषिदध पयार हुआ था?	నా జీవితంలో నిషేధ పరేమ ఉందా అని నువవు ఇందాక అడిగావు, గురతుందా?
हाँ, पर. . . गोली अंदर घुसेगी. यह अचछी शुरुआत है.	అవును, కానీ అది. . . తూటాలని ఎలా తీసుకువెళలాలి. అదే మొదటి పని.
हाँ. जानती हूँ.	అవును. నాకు తెలుసు.
पकका यह पेचीदा होगा. उसके. . .	కొదదిగా ఇబబంది ఉండచచేమో. ఆ కంటితో. . .
बताओ तुमने उसे कयों मारा. वरना मैं तुमहारे कॉमिकस जला दूँगी.	అతనిని ఎందుకు కొటటావో నాకు చెపపు. లేదా నీ కామిక పుసతకానని మంటలలో కాలచేసతాను.
भगवान. जैसे ही खुजली वाले पाउडर की बात करती हो, कोई उममीद नहीं बचती है.	దేవుడా. దురద పౌడర ని తీసుకువచచిన కషణం ఆట ముగిసిపోయినటలే.
काश मैंने भी वही किया होता. पता नहीं मैं कया सोच रही थी.	సరే, నేను కూడా నీలాగే చేసి ఉండాలసింది. నేను ఏం ఆలోచిసతుననానో తెలియలేదు.
वह मेरी तुलना में बेहतर महिला है.	ఆమె నా కననా తను మంచి మహిళ.
निषिदध पयार में दिल टूटना.	పరేమ నిషేధం వలల హృదయం భగనం కావడం.
मैंने सब गडबड कर दिया.	నేను అంతా గందరగోళం చేసేశాను.
ठीक है, हम नैशनल गैलरी का एक चककर लगा लेंगे.	సరే, మనం తవరగా. . . తవరగా నేషనల గయాలరీ ని చుటటేసి వదదాం.
वह कया शबद है?	అది ఏం మాట?
तुमने उसका चशमा तोड दिया.	నువవు అతని కళలదదాలు విరగగొటటావు.
नहीं. मेरा लिंग बडा और बैंगनी होता रहता है. मैं कया करूँ?	లేదు. నా అంగం పెదదగా పెరుగుతూ వంగపండు రంగులోకి మారుతోంది. నేను ఏం చేయాలి?
तो बस वारम-अप समझाने के लिए, हम एक सुंदर सा घेरा बनाएँगे.	కాబటటి వారమప గురించి ముందుగా వివరించడం కోసం, ఒక చకకని వలయంగా మనం ఏరపడదాం.
कार रोकोगे? मुझे बाहर निकलना है.	నువవు కారు ఆపగలవా? నాకు దిగిపోవాలని ఉంది.
हे भगवान.	దేవుడా.
बहुत खूब.	మంచిది.
हे भगवान.	దేవుడా.
बहुत खूब.	అదభుతం.
वे. 68 और मासक इसतेमाल करते हैं, हेलमेट नहीं.	వాళలు. 68 తూటాలు ఇంకా మాసకులు ఉపయోగిసతారు, హెలమెటలు వాడరు.
इससे तुम बुरी माँ नहीं बनती हो.	దాని వలల తలలిగా నీ కృషిని తకకువ చేయలేవు.
"हे भगवान" कया? कया हुआ?	"ఓహ, దేవుడా" ఏంటి? ఏం జరిగింది?
तुम उसके विपरीत हो. तुम रुबेन के लिए आशीरवाद हो.	నువవు దానికి పూరతిగా విరుదధం. నువవు రూబెన జీవితానికి వెలుగువి.
डोले चूमने की अनुमति है?	నీ కండలని ముదదు పెటటుకోనిసతావా?
मैं जाने से पहले तुमसे मिल लेना चाहता था.	నేను బయలుదేరడానికి ముందు ఒకసారి చూసి వెళదామని వచచాను.
मेरी आँख गई, उसके सिर में छेद हुआ.	నాకు కనను పోయింది. అతనికి తలలో చిలలు పడింది.
इससे फरक नहीं पडता है.	నేను పటటించుకోను.
आप बस एक माँ हैं.	నువవు ఒటటిగా మా అమమవి.
जैसे कि, "अनुमति नहीं थी" या "ठीक नहीं था. "	అంటే, "అనుమతి" లేదా "సరే" లాంటివి.
जो भी हो, अब सब हो चुका है.	ఏది ఏమెనా, ఇపపుడు అదంతా అయిపోయింది.
और तुम. . . तुम. . .	నువవు, సరే. . . నువవు. . .
बस समय काटने के लिए.	అంటే, ఏదో ఒకటి చేయడం కోసం.
रुको. पीछे जाओ! जाओ!	ఆగు. వెనకకి వెళలు! వెనకకి!
नहीं. नहीं. पर. . . तुम खुशियाँ बिखेरते थे.	లేదు. లేదు. కానీ. . . నువవు మా జీవితాలకు వెలుగు తెచచావు.
-एक छेद. -. . . एक छेद के साथ.	-రంధరంతో. -. . . రంధరం.
बस उसकी पीडा का आनंद उठाने के लिए.	కేవలం తన వికృత ఆనందం కోసం.
तुम सुधरोगी नहीं.	నువవు చేశావు.
और अगर हमने कोई उपाय नहीं ढूँढा, तो सबको पता चल. . .	మనం గనుక ఏదెనా మారగం కనుకకోలేకపోతే, మొతతం అందరికీ తెలిసిపోతుంది. . .
तुमहें यह गलतियाँ उन पर थोपनी चाहिए थी.	చేసిన తపపులకు ఆయనని శికష అనుభవించేలా వదిలేయాలసింది.
यह पेचीदा है.	అది సంకలిషటమెనది.
हाँ, मुझे भी.	అవును, నేను కూడా.
तुमहारी नाव मुझे हिला-डुला रही है.	నీ పడవ ననను ఆకటటుకుంటోంది.
तो, मैं पुरुषों के साथ समय बिताना चाहूँगा.	కాబటటి, నేను మగవారితో కొదది సమయం గడపాలని అనుకుంటుననాను.
बेशक गरेस की वजह से नहीं. . .	ఏది ఏమెనా, గరేస పరిసథితి అలా కాదు. . .
इसलिए हम यह कर रहे हैं, है न?	వాళల కోసమే మనం ఈ పని చేసతుననాం, అవునా?
नहीं. मैं उसी घर में पली-बढी.	లేదు. నేను అదే ఇంటలో పెరిగి పెదదయయాను.
मैं नहीं चाहता तुमहें देर हो.	నువవు ఇంటికి ఆలసయంగా వెళలడం ఇషటం లేదు.
-अगर मुझे बस. . . -अरे, नहीं.	-నాకు గనుక తెలిసి ఉంటే. . . -ఓహ, లేదు.
-"बी" से बेवकूफ बिबी. -हे भगवान.	-"బి" అంటే పిచచిముఖం బీబీ అని. -ఓహ దేవుడా.
मुझे लंच तैयार करना है. पर मैं जलद फोन करूँगी, ठीक है?	నేను భోజనం చేయడానికి వెళలాలి. కానీ మనం తవరలో మళలీ మాటలాడుకుందాం, సరేనా?
मुझे उस कमीने पर धयान देने से भी नफरत है.	ఆ చెతతవెధవ గురించి ఎకకువ సేవు మాటలాడటం నాకు ఇషటం లేదు.
-हाँ, बढिया हूँ. -हाँ.	-అవును, చాలా బాగుననాను. -సరే.
तुम नाव में कयों रहते हो?	నువవు పడవలో ఎందుకు నివసిసతుననావు?
तो कृपया, उनका सममान करो.	అందుకే, దయచేసి చెటలని గౌరవించండి.
ए, गरेस. तुम सपीकरफोन पर हो.	హేయ, గరేస. నువవు సపీకర ఫోన లో ఉననావు.
वह विलियम मकिनन की "होप" है.	ఇది విలియం మయాకినోన గీసిన చితరం 'హోప'
हमें किसका इंतजार है? चलो चलें!	దేనికోసం ఎదురుచూసతుననాం? ఇంక పరారంభిదదాం!
शायद हमें तुमहारा रकतचाप देखना चाहिए.	బహుశా నువవు కూడా నీ బలడ పరెషర ని పరీకషించుకోవాలి.
मेरा मतलब, तुम यह खुलकर सवीकार कयों नहीं करते हो?	నా ఉదదేశం, నువవు ఎందుకు బయటకు చెపపవు?
तुम उसे उठाओ जबकि मैं कार पारक करता हूँ.	నువవు దానని పాతిపెటటు, ఇలాగో, నేను కారు పారక చేసతాను.
वे आमतौर पर दो टीमों को आपस में भिडाते हैं.	వాళల మామూలు సెషన లో రెండు జటలు ఒకదానితో ఒకటి పోటీ పడతాయి.
तो तुमहें सचचाई ढूँढने में मेरी मदद करनी होगी.	కాబటటి అసలు నిజం ఏమిటో వెలికి తీయడంలో నువవు నాకు సాయం చేయాలి.
तो, हमें दुरघटना को लेकर एकाध सवाल पूछने हैं.	సరే, ఆ పరమాదం గురించి మేము కేవలం ఒకటి రెండు పరశనలు అడుగుతాం.
एक चीनी, थोडा सा दूध.	ఒక దాంటలో చకకెర, తకకువ పాలు.
बीमे की रकम कितनी है?	మనం వాసతవంగా ఎంత చెలలించాలి?
कृपया, नहीं. नहीं.	దయచేసి, అలా చేయకు. వదదు.
तुमसे कहता कि तुमहारे पिताजी को तुमसे यह कहने का कोई हक नहीं है.	మీ నాననకి నినను పరశనించే హకకు లేదని చెపపేవాడిని.
शुभकामनाएँ. येय.	గుడ లక. యాయ.
मैं पूरी तरह से पॉश हूँ.	నేను పాష అమమాయిని.
उसे जनम सपताह से वंचित मत करो.	ఆ పెదదబబాయి పుటటిన వారానని నువవు కాదనకు.
तुम पर फबता है.	ఇది నీకు సరిపోయింది.
नोरा का कया?	నోరా సంగతి ఏంటి?
पुराना बॉयफरेंड?	పాత మితరుడా?
वह गंभीर रिशता था, समझे?	అది అపపటలో గటటి అనుబంధం, తెలుసా?
मुझे एक और बार दिखाओ.	వాటిని మరోసారి నాకు చూపించు.
हम आज-कल थोडे परगतिशील हैं.	మనం ఈ రోజులలో చాలా అభయుదయంగా మారాము.
अरे, धत.	ఓహ, ఛ.
आखिरी बहन. हमने तुमहारी सारी बहनों का साकषातकार लिया.	చివరి వారు కానీ చిననవారు కాదు. మీ అకకచెలలెళలందరినీ మేము పరశనలు అడిగాము.
ठीक है. चलो, दोसतों. चलो जैसे मरजी नाचें.	సరే. రండి మితరులారా. మనకి ఎలా అనిపిసతే అలా డానస చేదదాం.
नहीं. नहीं बता सकती, वह सकॉरपिओ है.	చచచినా చెపపను. నా వలల కాదు. వాడిది వృశచిక రాశి.
अरे नहीं, रुको. मेरे पास तो सटूडियो ही नहीं है.	ఓహ! అయయో, ఆగండి. నాకు సటూడియో లేదు.
उससे नफरत करना जायज है.	వాడిని దవేషించే అరహత నీకు ఉంది.
कयोंकि वह सब निषिदध था.	ఎందుకంటే అవి అననీ నిషేధ పరేమలే.
सिर में छेद होना आसान बात नहीं है.	అతని మెదడు అలా గాయపడటం అంత తేలికెన విషయం కాదు.
कोई योजना रदद नहीं कर रहा है. समझी? बस अपना समय लो.	ఎవవరూ మన పథకానని విరమించుకోవడం లేదు. సరేనా? నీకు కావలసిన సమయం తీసుకో.
हाँ, पर हम सबकी जिंदगियाँ बेहतर हो जाएँगी.	అవును, కానీ మనం ఇంకా బాగుంటాము.
जूते मत उतारो.	మీరు అవి ఉంచుకోండి.
कया वह बिबी है?	తను బీబీనా?
ए, हम बस फोरटी फुट जा रहे हैं.	హేయ, మేము ఇపపుడే ఫారటీ ఫుట కి వెళతుననాము.
तुम मुझे यह चीजें सिखा सकते हो	నాకు కొదదిగా అంగం గురించి నువవు బోధించాలి
मैं समझती हूँ, वह मेरी रकषा करने की कोशिश कर रहा है.	తను ననను కాపాడాలని చూసతుననాడని తెలుసు.
तो तुम पॉश हो या सपोरटी हो.	అయితే నువవు పాష లేదా సపోరటీ అమమాయివి.
हाँ, हमने सुलह कर ली थी.	అవును, మేము దానని పకకన పెటటేశాము.
तो मेरे सममान की रकषा कर रहे थे?	అయితే నా పరువుని నువవు ఎందుకు కాపాడుతుననావు?
-नहीं थोप पाया. मैं. . . -नहीं, थोप सकते थे, टॉम. सकते थे.	-నేను చేయలేకపోయాను. నేను చేయలేక. . . -లేదు, నువవు చేయాలసింది, టామ. నువవు చేయాలి.
हम तुमहारी देखभाल करेंगे. ठीक है? अपनी आँख मत छूना. शाबाश.	మేము నినను జాగరతతగా చూసుకుంటాము. సరేనా? నీ కనను ముటటుకోవడానికి పరయతనించకు. అంతే.
हाँ. अब जब तुम मेरे सामने हो, तो मैं सीधे पूछ सकती हूँ.	సరే. ఇపపుడు మీరు నా ముందు ఉననారు కాబటటి, నేను నేరుగా మిమమలని ఒకటి అడుగుతాను.
इंदरधनुष वाला छोटा सा चिहन दिखाते.	ఆ చెతత చినన రెయినబో రిబబన పెటటుకుని ఉండాలసింది.
-खैर, हमें चलना चाहिए, है न? -हाँ, मैं. . . कयोंकि हमें. . .	-సరే, మేము ఇంక వెళలాలి, అవును కదా? -అవును, నేను అనబోతుననాను. . . ఎందుకంటే మేము. . .
शायद, तुम मेरे साथ चलना चाहोगे?	బహుశా, నువవు కూడా నాతో కలుసతావని అనుకోవచచా?
मुझे लगा कि तुमहारी बहनों ने तुमहें बता दिया होगा.	మీ అకకలు మీకు చెపపి ఉంటారు అనుకుననా.
-ठीक है, अलविदा. -अलविदा.	-సరే, ఉంటాము. -బె.
जान, मुझे माफ. . .	బంగారం, ననను కషమించు. . .
तरबूज खाना चाहोगी?	నీకు ఇంకో పుచచకాయ కావాలా?
और एक लाल बालों वाली है, पर कभी-कभी.	ఇంకా ఎరర పిలల ఉంది, కానీ కొననిసారలే ఎరరగా ఉంటుంది.
अब भी यहाँ कयों खडे हो?	ఇంకా ఇకకడే ఎందుకు నిలబడి ఉననావు?
वह बंद करो. एक-दूसरे की तरफ ऐसे देखना बंद करो.	అలా చేయడం ఆపండి. ఒకళలనొకళలు వెరరిమొహాలు వేసుకుని చూసుకుంటుననారు.
मैंने अभी-अभी मैरी टरेसी को करिसमस डरेसिंग गाउन में	కరిసమస డరెససింగ గౌన తొడుకకుని షెడడు వెనకాల నిలబడి మేరీ టరేసీ దొంగచాటుగా
अचछा? कुछ रोमां. . .	అవునా? ఏదెనా ఆసకతికరంగా. . .
यह कॉनर है, और यह टॉम है.	వీడి పేరు కొనర, ఇంకా వీడి పేరు టామ.
किसे मारो?	ఏం షూట చేయాలి?
बिबी, चलो.	బీబీ, కానివవు.
मलिन-सैरा गोजिन दवारा निरमित	మాలిన శారా గోజిన రచన
-माफ करना. पकका यह बहुत मुशकिल. . . -इससे तुमहारी जिंदगी बरबाद हो गई.	-కషమించాలి. అది మీకు కఠినమెనది కావచచు. . . -ఏది ఏమెనా, నా ఉదదేశం, అది మీ జీవితానని నాశనం చేసింది.
तुमने कयों. . . कया इवा को पता है?	నువవు అసలు ఇది ఎపపుడు. . . ఈవాకి ఈ విషయం తెలుసా?
मुझे लगा था कि इससे मुझे. . .	అది ననను సంతోషంగా ఉంచుతుంది అనుకుననా. . .
पर कोई एक आँख वाली लेसबियन बलानड का पालन-पोषण नहीं कर रही है.	బలానడ ని ఒంటి కనను లెసబియన పెంచడం లేదు కదా.
-नहीं. -नहीं? चाय या कॉफी लोगे?	-లేదు. -లేదా? మీకు టీ కానీ కాఫీ కానీ కావాలా?
ठीक है. तुमहें जाँच करनी चाहिए.	సరే, నువవు తన మూతరానని పరీకషించాలి అనుకుంటా.
खासकर तब जब कार में कोई गारवी लडकी हो.	ముఖయంగా గారవీ ఆడపిలల కారులో ఉందంటే ఇలాంటివి జరుగుతాయి.
हमें तुमहारी यहाँ जरूरत है.	నీ అవసరం మాకు ఉంది.
कोई एमबुलेंस बुलाओ!	ఎవరెనా అంబులెనసుని పిలవండి!
वह उसे देखना भी नहीं चाहती है. और वह उसके लिए कुछ भी करेगा.	ఆమె అతని వెపు చూడలేకపోతోంది. కానీ తరువాత అతను ఆమెలోని ఒక భాగానని తనతో తీసుకువెళతాడు.
पर जैसे ही यह बढता है, अपनी दाई को बुलाओ. समझी?	కానీ అది మళలీ బాగా పెరిగితే గనుక, మీ మంతరసానిని పిలిపించండి, సరేనా?
तुमने चाय या कॉफी पी?	మీరు టీ కానీ కాఫీ కానీ తాగారా?
मुझे यहाँ मौजूद होना चाहिए था.	నేను ఇకకడ ఉండాలసింది.
धनयवाद.	ధనయవాదాలు.
उसकी मृत बहन के कपडे.	అవి చనిపోయిన వాడి అకక దుసతులు.
साँस लेते रहो.	శవాస తీసుకుంటూ ఉండు.
तुमहें भी कभी ऐसा पयार हुआ था?	నీ జీవితంలో ఎపపుడయినా పరేమ నిషేధం జరిగిందా?
तो, उसके सिर का छेद भेदय होगा.	కాబటటి, అతని తలలో చిలలు బాహాటంగానే ఉంటుంది.
उसे यकीन है कि कुछ गडबड है.	ఏదో గందరగోళం జరిగిందని తను నమముతుననాడు.
पता नहीं.	నాకు తెలియదు.
पता नहीं.	నాకు తెలియదు.
पता नहीं.	నాకు తెలియదు.
कोई बात नहीं.	ఫరవాలేదు.
और तुम सबसे बुरी पोकर पारटनर हो. सच में.	నాకు దొరికిన అతి చెతత పోకర భాగసవామివి కూడా నువవే. ఎపపటికీ.
शायद. . . शायद सबसे बेहतरीन हो.	బహుశా. . . నీకు తెలుసా, బహుశా అతయుతతమ తలలివి.
और झूठे थे.	ఇంకా అబదధాలకోరు.
तुम सुंदर हो. मजाकिया हो. समारट हो.	నువవు అందమెన దానివి. సరదాగా ఉంటావు. తెలివెన దానివి.
शायद लियोटारड भी खरीद लूँ.	నేను కూడా చిరుతపులి డరెససు వేసుకోవచచు.
यह तुमहारा राजय है.	ఇది నీ రాజయం.
वह मरना चाहते थे.	తను చనిపోవాలి అనుకుననాడు.
-हाँ, बिलकुल. वह डोले बनाओ. -ठीक है.	-అవును, సరిగగా అదే. అంటే, ఈ కండలు పెంచే విధంగా. -సరే.
-तुम निशाना लगा लोगी. -हाँ.	-నీ నెపుణయం నీకు తిరిగి వసతుంది. -అవును.
काश वह कभी पैदा ही नहीं होता.	వాడు అసలు పుటటకపోతే బాగుండేదని కోరుకుంటాను.
होश में रहो. तुम मुझे सुन रहे हो न?	నువవు నాతో పాటే ఉండు. నా మాట నీకు వినిపిసతోంది, కదా?
हाँ.	అవును.
हिसाब बराबर.	సటీవెనస కూడా అంతే.
कैसा चरच?	ఏ చరచ?
हाँ.	అవును.
धत.	ఛ.
हाँ.	అవును.
हाँ.	అవును.
धत.	ఛ.
भाड में जाओ.	ఇంక ఆపు.
हाँ.	అవును.
कया हुआ?	ఏం జరిగింది?
उसकी आँखों से तरंगें निकलती हैं जो किसी भी चीज को जला सकती हैं.	అతనికి ఏదెనా కాలచేయగల శకతిగల కనను ఉంటుంది.
नहीं रोक सकता.	నేను ఆపలేను అనుకుంటా.
-कया हो रहा है? -घबराओ मत. हम तैयार हैं.	-ఎందుకు అందరూ ఆందోళన పడుతుననారు? -ఆందోళన కాదు. మనం సాధించాం.
हाँ.	అవును.
तो फिर मेरे पीछे आओ.	అయితే దయచేసి ననను అనుసరించండి.
अभी, बिबी. हमारी ओर उसकी पीठ है.	ఇపపుడు చూడు, బీబీ. అతని వెనుక భాగం మన వెపు ఉంది.
पाँच मिनट.	అయిదు నిమిషాలు.
अजीब बात है, पर नहीं. बस आँख ही तो फूटी है.	సరదాగా ఉంది, కదా. ఒక కనను కోలపోవడం అనేది కేవలం ఒక కనను కోలపోవడమే.
कयोंकि मुझे इन जंगलों का कोना-कोना पता है	ఎందుకంటే ఈ అడవిలో పరతి అంగుళం నాకు తెలుసు ఇంకా నాకు ఇషటం కూడా,
वह अचानक गुससे में आ जाती है. "	ఎలాంటి హెచచరిక లేకుండా కోపం తెచచుకుంటుంది" అని.
कया खोपडी दंभी दिख सकती है?	ఒక పురరె ఇలా ఆతమసంతృపతితో నవవుతూ ఉంటుందా?
तुम मिल गई, मैमी.	నువవు నాకు దొరికావు, మామీ.
और पहली डांसर अगली डांसर चुनेगी.	పరిచయం పూరతయిన డానస తరువాత డానసర ని ఎంపిక చేయాలి.
तो, बाकी बहनों से कब मिलवाओगी?	అయితే, నేను మిగతా సపెస గరలస ని ఎపపుడు కలవగలను?
ऑ. पर यह सच है.	తను నిజంగానే అటువంటిది.
आँख वाली. हालाँकि, तुमहारी दुरघटना किसी होटल के बाहर गाडियाँ टकराने से जयादा गंभीर थी.	రెండవది. అది హోటల వెలుపల జరిగిన చినన కారు పరమాదం మాతరమే.
मुझमें कोई समसया है?	నేను నచచలేదా?
कोई बात नहीं. यह मजेदार होगा. बस भागो, भागो, भागो.	అది బాగానే ఉంటుంది. సరదాగా ఉంటుంది. నువవు కేవలం పరిగెతతు, పరిగెతతు, పరిగెతతు.
और सोचो बलानड की किसमत कितनी बुरी है.	ఇంకా, పాపం బలానడ పరిసథితిని తలచుకుంటే ఎంత బాధ కలుగుతుందో.
कई गोल किए.	చాలా గోలస వేశారు.
पेंटबॉलिंग.	పెయింట బాలింగ ఆట.
-ठीक है. -ठीक है.	-సరే. -సరే.
बिलकुल सही!	ఖచచితంగా చెపపావు!
वह आपको साइकलॉपस बुला रहा था.	వాడు నినను ఒంటి కనను రాకాసి అని పిలుసతుననాడు.
चलो. चलो ढेर बरांडी पीएँ.	పద. మనం వెళలి దారుణంగా బరాందీ తాగేదదాం.
चलो भी.	ఇలా చూడండి.
बहुत खूब, माँ.	అది నీకు మంచిది, అమమా.
-बेहतर हो न जलाएँ. -रुबेन!	-నువవు తగులబెటటకుండా ఉంటే మంచిది. -రూబెన!
-कैसी हो? -कैसी हो?	-ఎలా ఉననారు? -మీరు ఎలా ఉననారు?
सटीक निशाना!	లకషయానికి తగిలింది!
और कोई दुरघटना जानलेवा नहीं होती है.	వాళలు అలా పరమాదంలో పరాణాలు కోలపోవలసిన అవసరం ఏ మాతరం లేదు.
सटीक निशाना.	లకషయానని గురి చూడు.
शाबाश. साँस लो. तुम अचछा कर रहे हो.	అంతే. బాగా చేసతుననావు.
और उस कमीने को मार डालूँगी.	. . . అపపుడు ఆ చెతతవెధవని తూటాలతో చంపుతాను.
-कयोंकि मुझे. . . -यह बढिया योजना है.	-ఎందుకంటే నాకు వేరే పని ఉంది అనుకుంటా. . . -అది గొపప ఆలోచన.
शायद डैड के लिए?	నానన కోసం?
चलो इस पर चरचा करें.	సరే, దాని గురించి మాటలాడుకుందాం.
उसे गंभीर चोट लग सकती थी.	నువవు శాశవతమెన నషటం కలిగించి ఉండేవాడివి.
दुखद कहानी है. मैं कभी माँ नहीं बन सकती.	విషాద గాథ. నేను చెపపలేను.
बेशक नहीं.	ఖచచితంగా చెపపను.
तो, आज, दो टीम बनाकर खेलने के बजाय,	కాబటటి, ఈ రోజు, మనం సాధారణంగా ఆడే రెండు జటల పదధతి బదులు,
हाँ. हाँ, मैं हूँ.	అవును. నిజం, నేను సూపర అమమనే.
मैं. . . दो हफते बाद?	నేను. . . అది రెండు వారాల తరువాతా?
पिससू के ढेर कहीं के.	ఈగలు మోసుకొచచే చినన చెతత సంచీదానా.
-हाँ. -थोडा वारम-अप हो जाएगा.	-అలాగే. -మనం కొదదిగా రకతపరసరణ అయయేలా తిరుగుదాం.
कॉफी कैसे लेना पसंद करोगे?	మీకు ఎలా కావాలి?
तुमहें उससे रिशता तोडकर उससे दूर रहना चाहिए.	నువవు ఆ చేపని తిరిగి సముదరంలో పడేసి, నీకు దూరంగా ఈదుకుంటూ పోయేలా చేయాలి.
यह भददा है!	అది దారుణంగా ఉంది!
सभी समझ गए?	అందరికీ అరథమయిందా?
तुम कोई साधारण शबद चुन सकते थे.	నా ఉదదేశం, నువవు మరింత తేలికెన పదం ఉపయోగించాలసింది.
बेशक. ए, मैट. तुम दुकान जाकर कुछ. . .	తపపకుండా. హేయ, మయాట. నువవు ఆ దుకాణం దగగరకి వెళలి కొదదిగా. . .
हाँ, पर अगर मुझे. . . अगर मुझे पता होता, समझे?	అవును, కానీ నీ గురించి నాకు తెలిసి. . . నాకు తెలిసి ఉంటే, ఎలా ఉండేదో తెలుసా?
गोली अंदर घुस गई, फादर.	తుపాకీ గుండు లోపలికి దిగబడింది, తండరీ.
मनुषय अनुकूलनीय हैं. कभी-कभी मैं पूरी तरह भूल जाती हूँ.	మనుషులు పరిసథితులకు అనుకూలంగా మారిపోతారు. నాకు కనను లేదని కొననిసారలు పూరతిగా మరచిపోతుంటాను.
धत.	చెతత.
मैं यह नहीं कर सकती.	నా వలల కాదు.
धत.	చెతత.
कयोंकि, निशाना न लगना अलग बात है.	ఎందుకంటే, నా ఉదదేశం, లకషయానని గురి చూసి కొటటడం ఒక ఎతతు.
दिलकश और तसललीबखश.	నవవుతూ మాటలాడుతూ సవాంతన ఇవవడం.
ऐसा नहीं है, बिबी.	నువవు ఆ చెతతవెధవవి కావు, బీబీ.
कभी नहीं.	ఆ అవకాశమే లేదు.
अब, सुनो.	ఇపపుడు, వినండి.
धत.	చెతత.
मेरी माँ. . .	మా అమమ అలా చేసేది. . .
गले कयों मिल रही हो?	ఇలా బయట ఎందుకు కౌగలించుకుంటుననారు?
पहला नियम, कभी मासक मत उतारना.	మొదటి నియమం, మీ మాసక ని ఎటటి పరిసథితులలోనూ తీయకండి.
तो फिर, कनपटी पर.	అయితే నుదిటి మీద గురి చేదదాం.
कहाँ. . . धनयवाद.	అది ఎకకడ ఉంది. . . ధనయవాదాలు.
योजना बदलेंगे.	సందరభోచితంగా వయవహరిదదాం.
एक तरफ से दूसरी तरफ जाना.	ఎవవరికీ దొరకకుండా పరిగెతతుకు రావడమే మీ పని.
इससे कोई फरक नहीं पडता है.	అది విషయం కాదు.
-बेशक. -तो फिर, ठीक है.	-సహజంగానే ఉంటాయి. -సరే, అయితే, తపపకుండా.
दो हफते बाद?	ఈరోజుకి రెండు వారాలా?
ठीक है.	సరే.
शाबाश. संगीत में ढल जाओ.	అదీ అంతే. మయూజిక కి అనుగుణంగా డానస చేయండి.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
काफी सुंदर घर है.	ఇది నిజంగా చాలా విశాలంగా ఉంది.
कसम खाती हूँ.	నేను పరమాణం చేసతుననాను.
कया मतलब?	ఏ విషయం గురించి?
मुझे तुमहारे साथ समय बिताकर सच में अचछा लगता है.	నాకు నీతో కలిసి ఉండటం ఇషటం.
मुझे खुशी है कि वह मर गया. सच में.	వాడు చనిపోవడం నాకు సంతోషంగా ఉంది. నిజంగా నేను సంతోషిసతుననాను.
उसके शेड के पीछे छुप-छुप कर सिगरेट पीते देखा.	సిగరెట తాగడం నేను చూశాను.
हैलो, बैका.	నీకు మళలీ హలో, బెకా.
डैडी की भी.	మా నాననకి కూడా ఇషటం.
तुम ठीक हो?	నువవు బాగానే ఉననావా?
अब नहीं रहे.	ఆయన ఇంక నాకు ఏమీ కాడు.
पर मामूली चोट तक नहीं लगी. . .	కానీ ఇకకడ ఇది కనీసం చినన చిలలు కూడా పెటటలేకపోతోంది. . .
अह-हँ.	ఉహ. . . హు.
दस साल पुराना.	పది సంవతసరాల కిందటి సనేహం.
"मैं गे हूँ" का बोरड दिखाता?	అంటే, "నేను సవలింగసంపరకుడిని" అని ఒక కారడు పటటుకోవాలా?
कसम खाओ. जोर से.	నాకు పరమాణం చేయి. గటటిగా చెపపు.
मेरी बहनें नहीं चाहती हैं.	నా అకకల కోసం.
ए.	హేయ.
तुमहें. . .	నువవు చెపపాలసింది. . .
अरे, नहीं!	అయయో!
अगर उतारा, तो खेल से बाहर हो जाओगे.	అలా చేసతే, మీరు ఆట నుండి బహిషకరించబడి నేరుగా సిన బిన లోకి వెళలిపోతారు.
चलो!	కానివవు!
उसका जनमदिन शुकरवार को है.	ఈ రోజు అతని పుటటిన రోజు కూడా కాదు, అది వచచే శుకరవారం.
यह 875, 000 यूरो है.	అది సుమారు ఏడు కోటల పదిహేను లకషల రూపాయలు.
-समझे? -हाँ.	-నీకు అరథమయిందా? -అయింది.
शायद तुमहारे लिए?	నీ కోసం?
यह लो.	ఇదిగో తీసుకో.
मैं धौंसिया हूँ और नियंतरण करना पसंद करती हूँ.	ఆధిపతయం ఇంకా నియంతరణ.
पता नहीं. शायद.	నాకు తెలియదు. బహుశా జరిగి ఉండచచు.
बताओ.	నాకు చెపపు.
सलट डरॉप.	పడిలేచే డానస చేయచచు.
उसके सिर के छेद में.	వాడి చెతత తల మీద ఉనన చినన రంధరంలో షూట చేదదాం.
