गोल!	గోల!
फिर दरशक पराणी इन किकों के नतीजे में	ఆ తరవాత వీకషకులు ఆ బంతిని తననినపపుడు వచచే ఫలితాలపె ఆశలు
जो मेरी नौकरी का भविषय तय करेगी.	నిరణయించే ఒక టెసటును కూడా తీసుకోమని అడుగుతుననారు.
ठीक है. अचछी गेम थी.	సరే. మంచి ఆట.
शांति से बैठ जाओ.	శాంతించండి.
शांति और नियमों के निषपकष रकषक.	నిషపాకషికంగా రూలస ని కాపాడుతూ ఆటను నడిపించేవారు.
हाँ, यह बहुत उबाऊ है	అవును, ఇది చాలా బోరు కొడుతోంది,
भावनातमक संरकषण एवं सुधार	మానసిక కౌనసెలింగ
यह आसान नहीं था.	అదేం అంత సులభంగా జరగలేదు.
जो पहले तीन गोल मारेगा.	ముందు మూడు గోలస వేసినవారు గెలుసతారు.
मेरी वफादारी सचची है.	నాకు మా జటటుతో ఉనన బంధం నిజమెంది.
पर तुम परकृति के अजूबे नहीं देख पाओगे.	కానీ మీరు పరకృతిలోని ఎననో అదభుతాలను చూడకుండా మిస అవుతుననారు.
हैंडगोला उललंघन किया है.	బాల ని చేతితో ముటటుకుననటటు తెలుసతుంది.
चाहे कितना भी हलका जहर पी लूँ, कल की गेम के बाद की समीकषा को लेकर	రేపటి పోసట గేమ రివయూను తలచుకుంటే వచచే భయం
खुशी और गम, साहस और डर	సంతోషం ఇంకా విచారం, ధెరయం అలాగే భయం
अब तुम पुनःपरमाणित हो.	ఇపపుడు నీకు సరటిఫికేషన అందిసతుననాం.
नयूटस सबसे बुरे हैं.	నయూటస నిజంగా చాలా దారుణమెన వారు.
हम तुमहारा साथ देने के लिए यहाँ होना चाहते थे.	నీకు సపోరట ఇవవడానికి వచచాము.
किताबें पढने में कोई बुराई नहीं है.	చదవడంలో తపపు ఏం లేదు.
उफ.	అమమో.
वे इतना शामिल हो गए	వాళళు ఎంతగా ఆటను ఇషటపడడారు అంటే,
यह कया किया?	అదేంటి?
आगे आओ.	ఇక మొదలెటటు.
अचछा बचाया!	భలే తపపించుకుననావు!
ठीक है.	సరే.
फुटगोले की एक गेम से.	ఒక ఆట ఆడదాం.
अपनी योगयता दिखानी होगी.	మీ నెపుణయానని ఉననత రీతిలో నిరూపించుకోవాలి.
नहीं, उसके लिए लाल कारड दिया जाएगा.	తపపు, అది రెడ కారడు.
तुमहारी पसंद को?	నీ ఇషటమా?
ये वहाइटटेलस यानि हिरण बच नहीं सकते.	ఆ జింకల పని అయినటటే.
कया है यह?	ఎందుకు ఇలా చేశారు?
वहाइटटेल!	జింక!
जो यह सुनिशचित करते थे कि दोनों टीमें ठीक से खेलें, कोई हेरा-फेरी न करें.	వారిని చూసి మురిసిపోవడం నాకు బాగా గురతు.
अचछा, माफ करना.	కషమించు.
यह तो पकका छल है.	నువవు ఖచచితంగా అబదధం చెపతుననావు.
मैं अपने सुपर-जीवनदाता यानि दादाजी के साथ मैच देखा करता था.	మా తాతతో కలిసి మయాచలు చూసేవారం.
तुमहें कुछ नहीं होगा.	నీకేం కాదు.
हमारी किसमत तो ऐसी ही है.	మన విధి అంతే.
गोले को सकोर करो.	బాల ని సకోర చెయ. బాల ని సకోర చెయ.
कया यह काफी नहीं है?	అది చాలదా?
हसतकषेप!	ఆటకు అడడుపడడావు!
चलो!	కానివవు!
बढिया निरणय!	మంచి నిరణయం! మంచి నిరణయం!
गलत फैसला! गलत फैसला!	తపపుడు నిరణయం! తపపుడు నిరణయం! తపపుడు నిరణయం!
मैच में दोबारा लौटेंगे.	నయూ పలేస ఫీలడ నయూటస వారి ఆటను తిరిగి చూడబోతుననాం.
हाउलरस जैसे थे, वैसे ही हैं.	కలాసిక హౌలరస.
शांत.	మాటలాడకండి.
तुमहें और मुझे, दोनों को ही.	మనిదదరికీలే.
आभार.	చాలా సంతోషం.
माफी चाहते हैं.	సారి.
