लंदन 2099	లండన 2099
छह, पाँच, चार, तीन, दो,	ఆరు, ఐదు, నాలుగు, మూడు, రెండు,
छह, पाँच, चार, तीन, दो,	ఆరు, ఐదు, నాలుగు, మూడు, రెండు,
अपने मन को अनुशासित करना होगा.	నీ మనసుని కటటడి చేయాలి.
माफ करना, कॉनर, तुमहें और न देने को कहा गया है.	కషమించండి, కానర, మీకు ఇక ఆపేయమననారు.
और वही एक है.	కేవలం ఒకకటే ఉంది.
यह सही भी है.	అలా చేయడం మంచిదే.
जिसके चलते मैं जैसपर से शादी करती,	ననను పరణయపు కళళతో చూసుంటే,
अब, तुम दोनों को यकीन है कि वह इसके लिए	వాడు దీనికి ఏమీ చెలలించలేదని మీరిదదరు కచచితంగా. . .
सच कह रहे हो?	నిజంగా అంటుననావా?
मैं कोई गडबड नहीं करना चाहता, पर बहुत सारा पैसा है.	దీని గురించి నేను వెధవలా మాటలాడను, కానీ అది చాలా భారీ మొతతంలో డబబు.
-हम कया ढूँढ रहे हैं? -कोई नकशा है.	-దేని కోసం వెతుతుకుననాం? -అదొక మయాప అయయుండాలి.
मैं इसमें मदद करूँ.	దీని విషయంలో సాయం కావాలా?
मिसटर आइस सुनने में अचछा लगता है.	ఐస గారు బాగా అనిపిసతోంది.
अगर किसी की आँखों में मेरे लिए पयार होता,	జాసపరని పెళళాడే ముందు ఏ మగాడెనా
और मेरे दिमाग में उसकी वह छवि बननी चाहिए,	అతని చితరానని అలా ఊహించుకోవాలి,
मैं दोहराता हूँ. दोबारा उसमें न गईं तो इस आपातसथिति में मैं कुछ नहीं कर सकता.	మళళీ చెబుతుననా. మీరు సెన ఇన అవవకపోతే నేను మీకు సహాయపడలేను.
तुमहें मिला?	మీరు కనిపెటటారా?
और फिर, अदाओं के साथ,	ఆ తరవాత, కెపుతో ఆకటటుకునేలా,
मुझे इसके बारे में एक आखिरी बात कहनी है.	దీనిపె చివరిగా ఒక మాట చెపపాలి.
इस बार भी बडी सी दाढी होगी?	నాకు ఈసారి ఓ పెదద గడడం ఉంటుందా ఏంటి?
मैं अभी कह सकता हूँ.	ఇపపుడే అడగొచచు.
बिलकुल, हाँ.	కచచితంగా, అవును.
माँ, आप उससे यह सब नहीं पूछतीं न?	అమమ, ఈ మాట ఆమెని అడగనని దయచేసి నాకు మాటివవు.
तुमहारा दिल.	నీ గుండె.
सीधे अंगों में सॉनिक मुकका मारता है.	శబద తరంగాలతో నేరుగా అవయవాలలోకి దెబబను కొడుతుంది.
डारक नेट में एक विजञापन डाला गया है,	డారక నెటపె ఒక పరకటన ఇచచారు,
अभी जो बात कर रहे थे.	ఇందాక మనం మాటలాడుతుననాం కదా.
कुछ पता चला?	ఏదెనా లభించిందా?
रचनातमक परयवेकषक दिनेश शाकुल	కరియేటివ సూపరవెజర రాధ
तो बुजदिल होने में वकत जाया कयों करना?	కాబటటి పిరికితనంతో ఒక నిమిషానని ఎందుకు వృధా చేయాలి?
कभी नहीं. दोबारा कभी नहीं.	ఇలాంటిది ఇక వదదు. చచచినా మళళీ వదదు.
-कितने? -तुमहारे पास कितने हैं?	-ఎంత? -నీ దగగర ఎంతుంది?
तुम हमारे डेटाबेस के नहीं लगते.	మీరు మా డేటాబేసలో లేరు.
मैं इसी समझ की उममीद कर रही थी.	నేను ఆశించిన చతురత ఇదే.
तुमने माँ की गोलियाँ बदलीं?	మాతరలు మారుసతుననావా?
यह मत कहना कि शरम आ रही है.	సిగగేసతోందని చెపపకు.
कैसे हम सब को चेतावनी मिली और हमने यकीन नहीं किया.	మన అందరికీ హెచచరిక ఉననా, మనం నమమలేదు.
इतना कि कई महीनों तक कोई मुशकिल नहीं होगी.	అంటే నెలల తరబడి మనకు ఢోకా లేదు.
-हैपटिकस का कैसा असर है? -पहले से बुरा है.	-ఆ హాపటికస ఎలా ఉననాయి? -ఘోరంగా.
हेडसेट जुड गया	హెడసెట కనెకట అయింది
वह अभी तक आया नहीं.	అదింకా రాలేదు.
माफ करना, जान.	బాధగా ఉంది, బంగారం.
मुझे ऐसा लगता है कि जिस बात के लिए इस गेम को बेचेंगे,	ఈ సిమని వాళళు అమమడానికి ఉనన ఏకెక కారణం,
जिसमें मारने के लिए 9 मिलियन डॉलर का इनाम रखा गया है.	ఒక కిరాయి హతయకు 90 లకషల డాలరల నజరానాతో.
फलिन आई थी.	ఫలిన చేసిన పని.
सततर सालों में बहुत कुछ हो सकता है, मिस फिशर.	70 ఏళళలో చాలా జరగవచచు, ఫిషర గారు.
शायद कोई उस 9 डॉलर के लिए आ रहा है.	చూసతుంటే ఆ 9 డాలరలని వేటాడటానికి ఎవరో వసతుననారు.
दुनिया को बचाना.	పరపంచానని కాపాడుతుననా.
घेरे के बीच में.	వలయంలో సగం దూరం వెళళు.
तुमहारा हिसाब सही नहीं है, फलिन.	నీకు లెకకలలో కొంచెం సాయం అవసరమనుకుంటా, ఫలిన.
तो, इसे एक तरह की परीकषा समझ लो.	కాబటటి, దీనని ఓ పరీకషలా చూడటానికి పరయతనించు.
शायद मुझे समझ में नहीं आ रहा.	నాకు అరథం కావడం లేదు.
बरटन उतना नहीं चलाता जितना कि चाहिए.	బరటన తొకకాలసినంతగా తొకకడు.
नहीं. बिलकुल नहीं.	లేదు. అసలు అలా లేనే లేదు.
बडा कुशल उपकरण है.	ఇది తెలివెన చిటటి పరికరం.
यह तुमहारे दूसरे गेम के जैसा है?	ఇది నీ ఇతర సిమలలా ఉందా?
बिली, शेर?	బిలలీ, సింహమా?
बगीचे में, जान.	తోటలో ఉననారు, బంగారం.
पलीज, अंदर जाओ.	దయచేసి లోపలికి వెళళు.
और तुम?	మీరు?
या फिर?	లేదా?
अचछा बचचा.	మంచి అబబాయివి.
यह बहुत अचछा सवाल है.	అది మంచి పరశనే.
उसे यकीन दिलाना होगा कि यह सब एक कलपना है.	ఇదంతా ఊహాతమకమని దానని ఒపపించు.
ईजी आइस, है न?	ఈజీ ఐస, ఆ?
महान फलिन.	శకతిశాలి ఫలిన.
तुमहें अपनी जेब में एक काँच का कैपसूल मिलेगा.	నీ జేబులో, ఓ గాజు గుళిక ఉంటుంది.
मुझे बहुत ही अजीब लगा.	అది చాలా విడడూరంగా అనిపించింది.
तो मुझे पैसे चाहिए, अभी.	నాకు డబబు కావాలి.
तो मैं जरूर जानना चाहती.	ఆ విషయమేంటో కనుకకోవాలని చూసేదానని.
सब कहाँ हैं?	అందరూ ఎకకడుననారు?
"बनाने की जरूरत थी,	"వీటి సృషటి అవసరమెన కషణంలో,
आँखों की रोशनी जाने की अजीब बात यह है	చూపు పోవడంలో తమాషా ఏంటంటే,
तुमहारी बातों में कहीं कोई सवाल छुपा है कया, टॉमी?	నీ మాటలలో ఏదెనా పరశన దాగుందా, టామీ?
कोई भी जानवर चुन लो.	ఏదో ఒక జంతువు.
यह कया है?	ఇదేంటి?
यह कया है?	ఇదేంటి?
शायद मेरा कुछ छूट गया. मुझे बताओगी?	నాకు తెలియని సంగతులేవో ఉననటటు ఉననాయి. అవి చెపతావా?
दोबारा खेल शुरु करते हैं: ईजी आइस	ఆట కొనసాగుతుంది: ఈజీ ఐస
यह तो पूरे भरषट छतते की सबसे परभावशाली औरत है.	ఈ నీచమెన తేనెపటటుకు రాణి ఈగ ఆమే.
तुमहारे लिए कया मतलब होगा?	నీకు ఏమనిపిసతుంది?
वह कैसा है?	వాడు ఎలా ఉననాడు?
हेडसेट को लेकर अपने अनुभव के बारे में जो भी सोचती हो, वह गलत है.	మీరు మీ హెడసెట గురించి నమమే పరతీ విషయం తపపు.
यह तो उसकी दरियादिली पर निरभर करता है.	వాడి ఉదారతను బటటి ఉంటుంది.
तुम मजाक कर रहे हो?	మాతో తమాషాలా?
वह खुश होकर तुमहें बीयर पिलाएगा.	నినను చూసే భావోదరేకంలో నీకు బీరు కూడా ఇవవచచేమో.
आगे पैदल जाना है.	నువవు ఇకకడి నుండి నడవాలి.
सिमुलेशन किस बारे में था?	సిమ దేని గురించి?
अगले कुछ घंटे तुमहें काफी दरद सहना होगा, ठीक है?	రాబోయే కొనని గంటలలో నువవు తీవరమెన నొపపిని తటటుకోవాలని ఆశిసతుననా, సరేనా?
एक बार इस नामुराद चीज का सिर काट दें,	ఈ చెతత శరీరపు తల తీసేసతే,
खैर,	అయితే,
यह किस काम के लिए है?	ఇదేం చేసతుంది?
जलदी करो. आगे बढो.	తవరగా, తవరగా. బండిని నడుపు.
चले जाओ.	వెళలి పోండి.
ऐसी परिसथिति में पता है कया होता है?	చూశారా, ఇలాంటి సందరభంలో?
तो, दरद कैसा है?	అయితే, నొపపి ఎలా ఉందమమా?
मैं ऐसा कयों करूँगी?	నేను అలాంటి పని ఎందుకు చేయాలి?
तुमहारी आँख.	నీ కనను.
कया हुआ?	ఏం జరిగింది?
मदद? काश कि ऐसा होता.	సాయమా? అది ఎవరెనా చేసతే బాగుండు.
-अपनी आँखें बंद करो. -बस करो.	-కళళు మూసుకో. -ఆపు.
और थोडा करीब.	ఇంకా దగగరికి రావాలి.
नहीं, बरटन.	నావలల కాదు, బరటన.
जरा रुको.	ఒక నిమిషం ఆగు.
चलते रहो.	వెళుతూనే ఉండు.
उसका कया?	అతని సంగతేంటి?
अभी नहीं, थोडा समय लगेगा.	ఇంకా చేయలేదు, కానీ కొంత సమయంలో చేసతారు.
और कौन शामिल है?	ఇంకా ఎవరెవరికి పాతర ఉంది?
दफा हो जाओ.	నోరముయ.
हाँ. पर यह सच है.	నాకు తెలుసు. కానీ ఇది నిజం.
यह बहुत बडा होगा.	ఇది చాలా భారీగా ఉండబోతోంది.
तो ठीक है.	లెకక సరిపోయింది.
साफ-सफाई	కలీనస
हैलो.	ఓయ, హలో.
कयों नहीं?	ఎందుకు చేయకూడదు?
जो इस मुददे की सबसे दिलचसप बात है.	ఆ చరచకు కీలకభాగం అదే.
कल उसे चुप करा दूँगा.	ఇకపె సతాయించకని రేపు వాడికి చెపతా.
और करीब.	దగగరికొచచావు.
और करीब.	దగగరికొచచావు.
दूर संचालन का कोई उपकरण है.	దూరం నుండే కదలికలు నియంతరించే పరికరంలాంటిది.
संवाद अनुवादक परवीन कौर शोम	సబటెటిల అనువాద కరత Pradeep Kumar Maheshwarla
"तुमहारे हाथ की हथेली में अनंत,	"అనంతం నీ అరచేతిలో,
बहुत बढिया.	చాలా చకకగా చేశావు.
बहुत बेकार है.	అది చాలా మూరఖమెన విషయం.
यह पहले कभी देखा है?	ఇలాంటిది ఇంతకు ముందు ఎదురకొననావా?
"खेल खतम. " "बंद करो. "	"ఆటను ముగించు. " "కనెకషన తెంచు. " అని.
कोई किलर?	కిరాయి హంతకుడా?
एक.	ఒకటి.
दायीं तरफ रोको.	నీ కుడివెపున, బండి ఆపుకో.
यह कौन है?	ఎవరది?
एक.	ఒకటి.
जानना है कि यह कया है.	ఇదేంటో అడుగు.
पैसे निकालिए	విత డరా
बस वही?	అంటే ఒకటేనా?
तुमहें पूरी तरह से मार देना था.	నినను చంపేసుండాలి.
अगर कभी कोई बात करनी हो तो मैं हूँ.	హేయ, నువవు ఎపపుడెనా మాటలాడాలని అనుకుంటే, నేను శరదధగా వింటాను.
बस करो.	ఆపు.
खासकर तब जब तुमहारे हाथ में इससे कहीं जयादा वेतन वाली	ముఖయంగా వీడియో గేమస ఆడడం దవారా
फिर मुलाकात होगी, टॉमी.	ఉంటాను, టామీ.
मुझे गोली दो.	నాకు ఆ మాతర ఇచచి తగలడు.
मुझसे नहीं होगा.	చెపపలేను.
समझे?	అరథమెందా?
भागो!	పరిగెతతు!
यह कया हुआ?	అసలేం జరిగి చచచింది?
अनाज और फलियाँ.	ధానయాలు, పపపుదినుసుల విభాగం.
मुझे लगा था कि एक हाथ वाले आदमी को पता होगा	ఒక చేయి మాతరమే ఉననోడికి
आगे बढो!	ముందుకు కదలండి!
सकारातमक आलोचना?	కొంత నిరమాణాతమక విమరశ చేదదామా?
तुमहारा सवागत है.	ఫరవాలేదు.
बाएँ.	ఎడమవెపుకి.
बाएँ.	ఎడమవెపుకు.
बाएँ.	ఎడమవెపుకు.
तो,	అయితే,
सजजनो.	పెదదమనుషులు.
सब कुछ.	అననీ ఇబబందులే.
लो.	ఇదిగో.
नुककड पर.	మూలలో మలుపు తిరుగు.
तुम कुछ और देना चाहो तो?	ఒక ఇచచిపుచచుకోవాలనే ఒపపందం కుదురచుకోవాలనుకుంటే తపప?
किस चीज के लिए?	దేనికి?
बढिया.	చకకగా చేశావు.
तुमहारा नाम कया है?	మీ పేరు?
वही हुआ.	ఇదీ అలాగే జరిగింది.
अब तुम सो सकते हो.	నువవు ఈ ఆటలో ఓ మూతపడడ కననుని గెలుచుకుననావు.
भाड में जाओ.	పోరా.
भाड में जाओ.	పోరా.
अब कया?	ఇపపుడు ఏం చేయాలి?
और?	కూరచుని?
नौकरी है.	తేలిగగా డబబు సంపాదించచచు.
बेडा गरक.	ఛత.
धत तेरे की.	ఛత.
सतयानाश.	ఛ.
