पिकेटमोटरस. कॉम	పికెటమోటరస. కామ
एकसाथ पलने वाले बचचे छोटी एकजुट टुकडियों की तरह काम आते हैं.	కలిసి పెరిగిన పిలలలు ఓ చిననపాటి ఐకయ బృందంగా ఉంటారు.
वजह तो नहीं पता, पर मुझे ऐसा लगने लगा है कि मुझे पूछना बंद कर देना चाहिए.	ఎందుకో తెలియదు, కానీ వారిని ఆ పరశన అడగటం ఆపేయాలని అనిపిసతోంది.
मतलब, सच में अहम राज, असतितव की दृषटि से अहम,	అంటే చాలా ముఖయమెన రహసయానని, మనుగడకే ముఖయమెన రహసయానని,
तुमहें वह हेडसेट लगाना चाहिए. . .	నువవు ఆ హెడసెటలో ఉండాలి. . .
तो तुम हमेशा अधूरे ही रहोगे.	నువవు ఎపపటికీ సంపూరణుడివి కాలేవు.
जो मेरा आलस था और गलत भी था.	అందుకు నా బదధకం కారణం, తపపు నాదే.
-माँ. -तुमहें देख रही हूँ.	-అమమా. -నినను చూడగలను!
फिशरस को सवाभाविक जिंदगी जीने दो.	ఫిషరలని వారి బతుకులని వారిని బతకనిదదాం.
बाप रे, फलिन.	అబబా, ఫలిన.
मुझे नहीं पता. कोई बैग है.	నాకు తెలియదు. ఒక బయాగ.
हमारे घर पर ऐसी एक है.	ఇలాంటిది మా ఇంటలో ఒకటుంది.
बहुत बढिया.	చకకగా చేశావు.
एक अलग तरह के कारोबार का परचार करूँगा.	ఓ భిననమెన కారయకరమానని ముందుకు తీసుకొసతుననాను.
तुम हम सबसे एक कदम आगे हो. बिना शक के.	మా అందరికననా నీ చేతులలో లాభం ఉంది. ముమమాటికీ.
न फटने वाली तेल की टंकियाँ.	పేలుడుకు గురికాని ఇంధన టయాంకులు.
तुमने सच में दिल को ठेस पहुँचाई.	నువవు నా మనసును గాయపరిచావు.
पर एलीटा में कोई तो बात थी.	కానీ ఎలీటాలో ఏదో ఒక గుణం ఉండేది.
कोई एक इंसान? जिसके पास सही हथियार हो?	కేవలం ఒక వయకతే? ఒక సరెన ఆయుధంతో?
अठारह, सैकविल मारग.	18, సాకవిల వీధి.
जब तक अपने अंदर के उस हिससे को नहीं अपनाओगे,	నీ వయకతితవంలో ఆ భాగానని సవీకరించపోతే,
मेरियल को अगवा किया, उसकी आँख निकाली,	మరియెలను అపహరించాం, ఆమె కనుగుడడు దొంగలించాం,
यहाँ काम खतम होने के बाद,	ఇకకడి పని పూరతవవగానే,
-यह सब करने की जरूरत नहीं है न? -शरम की बात थी.	-మనం ఇది మాటలాడాలసిన పనిలేదుగా? -అది అవమానకరంగా ఉండింది.
बहुत ही घटिया लोग इसे चलाते थे.	పరమ నీచులు దీనని ఏలేవాళళు.
तुमहें बहुत समय लग रहा है.	నువవు చాలా సమయం తీసుకుంటుననావు.
तुमहारे कई दोसत हैं, गरेस?	నీకు చాలా సనేహితులుననారా, గరేస?
इसमें रहम वाली कोई बात नहीं है.	ఇందులో ఆవేశానికి చెందిన ఏ విషయం లేదు.
उसने मुझे परेत कहा. उसका कया मतलब है?	ననను పోలట అంది. దాని అరథం ఏంటి?
उसके आईपी ऐडरेस से बढती दिलचसपी देखने को मिली.	అతని ఐపీ అడరస నుండి ఆసకతిలో మేం గుణాతమక పెరుగుదల చూశాం.
मुझे इनमें से कोई भी बात जम नहीं रही, जान.	వీటిలో నాకు ఏవీ నచచటం లేదు, బంగారం.
जानती हूँ.	నాకు తెలుసు.
तुमहें आराम की जरूरत थी.	నీకు విశరాంతి అవసరం.
इनका टीकाकरण हो गया?	వీరికి టీకాలు వేయించారా?
वह आखिरी बार यहाँ कब थी?	చివరగా ఎపపుడొచచింది?
कई साल बीत चुके हैं.	తను వచచి ఎననో ఏళళయయింది.
पढाई. बेहतर मौका. एक. . .	పాఠశాల విదయ. అవకాశాలు. ఒక. . .
रुको, वापस जाओ.	ఆగు, వెనకకు వెళళు.
भाड में जाओ.	చాలలే ఆపు.
ऐसी कोई बात नहीं है.	అంత కచచితంగా అయితే లేదు.
नहीं, मैं देख लूँगी.	లేదు, నేను పరిషకరిసతాను.
नुककड पर दायें मुडो.	మూలలో కుడివెపుకు తిరుగు.
इसकी पहली दो यातराओं में	తొలి రెండు పరయటనలలో,
हाँ, मैडम.	అలాగే, మేడమ.
पलीज, नहीं! मैं कुछ भी करूँगी!	వదదు. ఏది కావాలననా చేసతా!
अगर तुमहें और कुछ पता न हो तो,	రెండు మనసులు ఒకకటెనపపుడు,
एलीटा के बुदधिमान सूरमाओं में से एक.	ఎలీటా ఆరాధించే మేధావులలో ఒకరు.
मुझे और मिसटर पिकेट को कुछ बात करनी है.	నాకు, పికెట గారికి మధయ చరచ జరగాలసిన అవసరం ఉంది.
अंकल के यहाँ कुछ सामान पहुँचाना है.	మా బాబాయికి ఒకటి ఇచచి రావాలి.
उसने ऐसा कयों पूछा, लेव?	ఆమె అలా ఎందుకు అడిగింది, లెవ?
हमें कोई दान नहीं चाहिए.	మాకు ఎవరి దానధరమాలు అకకరలేదు.
थोडे और पारंपरिक नाम से.	అంటే కాసత సాంపరదాయమెన పేరుతో.
तो इसी बात पर हाथ मिलाते हैं,	దీనికి సరే అనుకుననామంటే,
पंचर के बाद भी चलने वाले टायर. रात के लिए थरमल विजन.	రన-ఫలాట టెరలు. ఉషణంతో పని చేసే రాతరి దృషటి.
यह बहुत बेरहमी है, यार!	ఇది నీచమెన మోసం రా!
आप जा रहे हैं?	మీరు వెళుతుననారా?
-अपना नाम पसंद है? -हाँ, सर.	-నీకు నీ పేరంటే ఇషటమా? -ఇషటమేనండి.
सच में, जब माहौल गंभीर हो जाता था,	పరిసథితి తీవరంగా మారినపపుడు,
बिली ऐन, नहीं.	బిలలీ యాన, చూడకు.
वो सलीब घसीटकर लाना और सडक के किनारे रख देना.	ఆ శిలువలని లాగి ఈ నడవపెకి తెచచిపెటటు.
चलो. जहाँ लंदन में आखिरी बार बरफ पडी.	వెళదాం పద. లండనలో చివరగా సనో నేలరాలిన చోటుకు.
या फिर वैसा ही कुछ. विलफ के साथ.	లేదా అలాంటి పనినే చేశాననుకుంటా. విలఫతో.
ऐसा लगता है कि हमारे दोसतों के लिए गाडियाँ चालू नहीं हो रहीं.	చూసతుంటే మన మితరులకు ఈ వాహనాలు మొదలవుతుననటటు లేదు.
यह लंदन है,	ఇది లండన,
नहीं. अब तो देर हो चुकी है.	వదదు, వదదు, వదదు. చాలా ఆలసయమెంది.
इंपलांट है.	ఇది నాటు.
तुमने जो किया, वो शरम की नहीं बलकि गरव की बात है.	నువవు చేసినదానికి సిగగుపడాలసిన పని లేదు.
हमेशा की तरह, तुम गलत सवाल पूछ रहे हो,	కానీ ఎపపటిలా, నీ పరశనే తపపెనది,
या तो उसकी जिसे आप बता रहे हैं.	నువవు రహసయానని చెబుతునన వయకతి కోసమెనా.
दरद को और लंबा खींच रही हो.	నొపపిని సాగదీసతుననావు.
सुनने में शायराना लगता है, है न?	కాసత కవితాతమకంగా ఉంది కదా?
वरना यह सब बेकार हो जाएगा.	లేదంటే ఇందులో ఏ చెతతా పని చేయదు.
इसलिए गलत जवाब मिल रहा है.	కాబటటి తపపుడు జవాబే దొరుకుతోంది.
बकिंघम पैलेस को बीच में रखकर गाडी एक गरिड में चलेगी.	బకింగహామ పయాలెస కేందరంగా ఓ మారగంలో తిరిగేలా కారును పరోగరాం చేశా.
यह गाडी से बाहर निकल गई. और अब हम यहाँ हैं.	ఆమె కారులో నుండి దూకేసింది. దాంతో ఈ పరిసథితికి వచచాం.
तुमहारे पिता और मेरे अंदर कमियाँ जरूर थीं.	మీ నానన, నేను తపపులు చేశామనుకుంటా.
मैं उममीद नहीं करती कि तुम समझोगे.	నువవు అరథం చేసుకుంటావని నేను ఆశించడం లేదు.
हम पहले बात करेंगे. वादा करता हूँ.	మనం మొదట మాటలాడుకుందాం. నేను మాటిసతుననాను.
अब, मुझे जितना पता चलेगा, उतना फिशर परिवार की हिफाजत कर सकूँगा.	నాకు, ఎంతగా తెలిసతే, నేను ఫిషరలని అంతగా రకషించగలను.
अचछी लग रही है, है न?	చాలా బాగా అనిపిసతోంది కదా?
मुझे कैसा महसूस हो रहा है?	నేను ఎలా అనిపిసతుననా?
तुमहें यह दिखाई नहीं देता?	ఆ విషయం నీకు తెలియదా?
तुम लोग उस जगह से डरते हो, हाँ?	మీ అందరికీ ఆ చోటంటే భయమా?
चीज बिना अहसास वाली वसतु होती है.	వసతువు, ఇందరియ సపందనలు లేని భౌతిక పదారథం.
सटब वालों को वही कहकर बुलाते हैं.	సటబ నుండి వచచే మనుషులని మేం అలా పిలుసతాం.
-दरवाजा खोलो! -उसे "कतलेआम" कहते हैं.	-తలుపు తెరువరా! -దానని "తల తెంచే దాడి" అంటారు.
सही जगह से मेरा मतलब है, फरश को छोडकर कहीं भी.	సరెన చోట అంటే, నేలపె కాకుండా ఎకకడెనా.
ऐसा नहीं है कि मैंने उसे कोई जरूरी बात बताई, डॉकटर.	నేను ముఖయమెన విషయాలేవీ పంచుకోలేదు, డాకటర.
तुम धारमिक बनने वाले हो, कोरबेल?	మాతో మతబోధకుడిలా పరవరతిసతుననావా, కారబెల?
अगर पूरी जिंदगी में,	మీ జీవితకాలాలలో,
कोई भी दिककत हुई तो,	ఏ సమసయ తలెతతినా,
उसके बाद फैसला करना.	ఆ పె సమీకషిదదాం.
यह तुमहारे लिए!	ఇది నీ కోసం!
तुमने ऐसा कयों किया?	ఎందుకు ఈ చెతత పని చేశావు?
इनहें एकसाथ सडक से उठाया गया था.	వీరిదదరినీ వీధుల నుండి ఒకేసారి రకషించాం.
बोली कि अगर मैंने कभी थोडा धयान देने की जहमत उठाई होती,	నేను కాసతంత సావధానతతో వినడానికి పరయతనించినా,
जो मुझे हमेशा से बहुत आराम देती थी.	నాకు గాఢమెన సవాంతనను ఇచచేది.
कया?	ఏంటి?
तो वे आपके बारे में अचछा नहीं सोचते.	కచచితంగా మీపె వాళళకి పెదద అభిపరాయమేమీ లేనటటే.
यह तो परेशान करने वाली बात है.	అది చాలా కుంగదీసే విషయం.
हाँ?	ఏంటి?
ऐसा लगता है कि हमें कभी बात करने का मौका ही नहीं मिला, है न?	మాటలాడుకోవడానికి మనకు పెదద అవకాశమే దొరకలేదు కదా?
यह सब देखकर हमें लगता है कि जैकपॉट,	మనం ఇదంతా చూసి, జాకపాట ఘటటం,
अचछा.	సరే.
हैलो.	హేయ.
अचछा.	సరే.
कयों पूछ रही हो?	ఎందుకు అడుగుతుననావు?
अचछा.	సరే.
वह कौन है?	అతనెవరు?
ठीक कहाँ पर?	కచచితంగా, ఎకకడ?
कया?	ఏంటి?
मुझे वापस जाना है, बरटन.	తిరిగి వెళళాలనుకుంటుననా, బరటన.
लोगों को कया बताना है. कब बताना है.	జనాలకు ఏమి తెలియాలి. వారికి ఎపపుడు తెలియాలి.
जैसे कि कभी-कभी पेश आती है और बोली,	కొననిసారలు అలా చూపిసతుంది కదా. ఇలా అంది. . .
-तुम कया कर रहे हो? -तैयारी कर रहे हैं.	-ఏం చేసతుననారు? -సిదధమవుతుననాం.
और यह कॉनर के लिए भी लागू होता है!	అది కానరకు కూడా వరతిసతుంది!
मोहतरमा मेरी, एकदम उलटी	రాణివాసపు మేరి, విరుదధాల నారి
जैसे-जैसे वह शरीर में घुलेगा,	అది నీ దేహంలోకి వెళళాక,
लोग उसमें भटक सकते हैं.	అందులో మనుషులు కొటటుకుపోవచచు.
बरटन, यहाँ आओ. अभी.	బరటన, వెంటనే ఇకకడికి రా.
और बस बेहोश हो गया.	తరవాత నాకు సపృహ పోయింది.
या पैसा ले लो, फिर कुछ मत करो.	లేదా డబబు తీసుకుని, ఏమీ చేయకుండా ఉండు.
भविषय की यातरा.	భవిషయతతుకు పరయటనలు.
"चोरी से घुसना" भी.	"చొరబడటం" కూడా.
संपरक सथापित हो गया	సంధానం ఏరపడింది
वह जानना चाहती थी, तो मैं. . .	ఆమె కుతూహలంగా ఉండింది, దాంతో నేను. . .
फिशर परिवार से.	ఫిషర కుటుంబం నుండి.
पर मान लो कि हम तुमहें किसी और नाम से पुकारना चाहें,	కానీ మేము నినను మరో పేరుతో పిలవాలనుకుంటే,
माफ करना, यार. गलत शबद था.	కషమించు, బాబు. అది సరెన మాట కాదు.
और फिर मुझे लाशों का हिसाब चाहिए.	ఆ తరవాత నాకు శవాలు కావాలి.
एलीटा वेसट. वह भी दोसत है?	ఎలీటా వెసట. ఆమె నీ సనేహితురాలేనా?
किसी से पैसा लेने से पहले,	ఎవరి నుండెనా డబబు తీసుకునే ముందు,
जब होश आया, मैं उसके ऊपर झुका खडा था.	నాకు తిరిగి సపృహ వచచేసరికి, వాడిపె నిలబడి ఉననా.
कमीना कहीं का!	చెతత వెధవా!
उसे कया बताया?	ఏం చెపపావు?
मानो हाथ सुनन पड गया हो, अगर आप समझ रहे हों.	అంటే చేతిపె ఎరుకే ఉండదు, నేను చెపతోంది మీకు అరథమవుతోంటే.
यानी भूत. जो यहाँ है, पर नहीं है.	ఒక దెయయంలా. ఇకకడే ఉంటారు, కానీ ఇకకడ ఉండరు.
तुमहें यह तो पता ही होगा कि मैं तुमहें बडी आसानी से हटा सकती हूँ.	నేను నినను సులువుగా చంపేయగలనని నీకు తెలుసనుకుంటాను.
तो, मेरी दुनिया में यही होगा?	అయితే నా పరపంచంలో రానుంది ఇదేననన మాట?
हम वैसे इंसान नहीं हैं.	కానీ మనం అలా కాదు.
ओलड हवाना जाना बंद कर दो.	పాత హవానా లోకంలోకి వెళళడం ఆపేయి.
जो कुछ ही समय तक असरदार होती है.	కేవలం సవలపకాలం మాతరమే శకతివంతంగా ఉంటుంది.
चलो भी!	కానివవరా!
मैंने बात करने की कोशिश की,	సంభాషణకు పరయతనించాను,
हाँ. शायद मैं कुछ जयादा ही भावुक हो गई थी.	అవును, అవును. ఈ విషయమె నేను మరీ ఉదరేకానికి లోనవుతుననా.
आपका मतलब, वयकतितव की विचितरताओं से बेदाग.	తన వయకతితవం ఏ వికరషణా గుణాలతో మలినం కాలేదని అంటుననావు.
और मैं अपने रासते चलता हूँ.	నేను నా దారిన పోతాను.
मेरा शहर.	నా ఊరు.
पर आज के लंदन से 70 साल आगे का.	కానీ మీ పరసతుత కాలానికి 70 ఏళళ ముందుంది.
शायद तुमहारे काफी सारे गतिशील हिससे हैं.	నీకు మరీ ఎకకువ వనరులు ఉననాయోమో?
मदद करना मेरा सौभागय है, डॉकटर.	సాయపడే సథితిలో నేనుండటం గరవకారణం, డాకటర.
-कौन? -फॉरएवर फैब, बरटन.	-ఎవరు? -ఫారెవర ఫాబ వాళళు, బరటన.
तुम अब फौज में नहीं रहे.	నువవు ఇపపుడు సెనయంలో భాగం కావు.
एलीटा को भी नहीं?	ఎలీటాకు కూడా చెపపలేదా?
पर इसे यह नहीं पता था कि परिफरल भाडे पर नहीं मिलता.	కానీ ఈమెకు తెలియని విషయం ఏంటంటే, ఈ పెరిఫరల అదదెకు తీసుకుననది కాదు.
मैंने ऐसी अजीब चीज कभी महसूस नहीं की.	నేను అనుభూతి చెందినవాటిలో అతయంత విడడూరమెనది ఇదే.
कया बकवास है?	ఏంటీ చెతత!
जिसके चलते वे मुझे बताना ही नहीं चाहते.	అందుకే నాకు అసలు చెపపడమే లేదు.
एक अचछी बात है, और एक बुरी, मिसटर पिकेट.	నా దగగర ఓ బహుమతీ ఉంది, ఓ బెదిరింపూ ఉంది, పికెట గారు.
यह याद है?	ఇది గురతుందా?
तुमहारे दिमाग में कोई तो बात है जो गुससा दिलाने के लिए कहना चाहते हो.	ననను చిరరెతతించే ఇంకా ఏవో చెతత విషయాలు ఆలోచిసతుననావు.
ये इतनी लगन से अपना काम करती हैं,	వాటి పనిని అవి ఎంతో శరమ, పటటుదలలతో చేసతాయి,
दरवाजे में केवलार पलेट.	తలుపులపె దృఢమెన కెవలార పలేటలు.
उसके रहन-सहन में कोई तो बात थी	తన నడవడికలో ఉనన ఆ గుణం,
तो वह कया है?	మనం ఏం చూసతుననాం?
ऐसा करते हैं.	ఈ ఆలోచన ఎలా ఉంది?
मुझे दिखाई दे रहा है.	నాకు కనపడుతోంది.
इन खरचों के लिए राजय वजीफा देगा.	పరభుతవం ఇచచే భృతితో అలాంటి ఖరచులు చేయవచచు.
आपको एक कहानी सुनाऊँ?	మీకొక కథ చెపపనా?
मुझे सीधी सी बात लगती है.	దీనని ఇలా వివరిసతే.
वह मेरी समझ में नहीं आया.	అది నాకు బోధపడలేదు.
पता चला कि मैंने उसे मार-मारकर उसका भुरता बना दिया था.	వాడిని దాదాపు చచచేలా కొటటానని కనుగొననాను.
गरमी का कोई अंदाजा है?	లోపల ఎంత వేడెకకుతుందో తెలుసా?
"चोरी करना" थोडी जयादती होगी.	"దొంగతనం" తీవరమెన మాట.
मेरे दो छोटे बचचे हैं.	నాకు ఇదదరు పసి పిలలలు ఉననారు.
जलदी से यहाँ दसतखत कर दो,	నాకు కావాలసిందలలా ఇకకడ మీ సంతకమే,
उनकी जगह ये सलीब लगाऊँगा.	వాటి సథానంలో ఈ శిలువలు పెడుతుననా.
यही कि इनका तुम पर काफी बुरा असर रहा.	వాళళు నినను బాగా చెడగొటటారు.
और अगर होमलैंड सिकयूरिटी की कोई घटिया चाल हुई तो,	ఒక వేళ అది మూరఖపు హోం శాఖ ఉచచు అయితే,
मैंने पता किया.	దాని గురించి చూశాను.
-धत तेरी. -हाँ.	-ఓరి దేవుడా. -అవును.
चांदी की घंटियों	వెండి గంటలతో
और हमारी अभी की समसयाएँ?	పరసతుత కాలంలో మన సమసయల మాటేమిటి?
एलीटा ने कहा कि दस साल में शायद मैं नहीं रहूँगी.	నేను 10 ఏళళలో ఉండనని ఎలీటా చెపపింది.
शुकरिया.	థాంకస.
शुकरिया.	థాంకస.
अब तुमहें संभलकर रहना चाहिए.	ఇపపుడు జాగరతతగా ఉండు.
रचनातमक परयवेकषक दिनेश शाकुल	కరియేటివ సూపరవెజర రాధ
जो ऐलगोरिदम की पूरव-सूचना का काफी हद तक उललंघन करता है.	అతికరమించే ఓ అనిరధిషట రీతిలో తిరుగుతోంది.
मतलब, ऐसा लग रहा है मानो मैं तुमहारा हिससा हूँ.	అంటే, నేను నీలో భాగమని అనిపిసతోంది.
और एकसाथ चलती खूबसूरत नौकरानियों से	ఒకే వరుసలో అందమెన సేవకులతో
मैंने उससे पूछा कि वह कहाँ रहती है.	తను ఎకకడ ఉంటోందని అడిగాను.
एक सामानय नमूना काफी नहीं?	మనిషిలాంటి యాంతరిక బొమమ సరిపోతుందా?
या एलीटा ने या आरआई ने.	ఎలీటా లేదా ఆరఐ ఆమెను చంపుండాలి.
कोई भी फैसला करने से पहले, मुझसे बात करोगे?	నువవు ఏవెనా నిరణయాలు తీసుకునే ముందు, నాతో మొదట మాటలాడతావా?
ऐश और ऑसियन इनके संबंधों से इनके ऑपरेटरों तक पहुँच पाएँगे.	ఆష, ఓసియనలు వీరి నిరవహకుల జాడను పసిగటటగలరు.
तीसरी यातरा की न दरखवासत की गई थी, न ही मंजूर हुई.	మూడవ పరయటనకు విననపం లేదు, ఆమోదం లేదు.
जुड रहें हैं. . .	మూలయాంకనం చేసతోంది. . .
इसका कोई मतलब है?	ఇది అరథవంతమెన విషయమేనా?
जिमीज बार और शराब	జిమమీస బార మరియు సారాయి
उसका कया मतलब था?	అది ఏ అరథంలో అనుంటుంది?
मैंने मेकन और एडवरड को जिममेदारी सौंपी है.	మేకన, ఎడవరడలకు అజమాయిషీ ఇచచాను.
पर तुमने धयान दिया, विलफरेड.	కానీ నువవు సావధానంగా విననావు, విలఫరెడ.
काफी हद तक.	దాదాపుగా అనుకో.
बहुत कुछ चल रहा है.	ఎననో విషయాలు జరుగుతుననాయి.
हम कोई मदद करें?	మేం ఏదెనా సాయం చేయాలా?
मुझे पता करने के लिए भेजा गया है.	విచారించమని ననను పంపారు.
वे जिस तरह के जुमले गढते हैं.	వాళళు సృషటించే మాటలు.
इतने साल बाद,	ఇననేళళ తరవాత కూడా,
उसका कया हुआ?	ఆమెకు ఏం జరిగింది?
अगली वाली तुमहारे कान में.	తరువాతది మీ చెతత చెవిలోకి వెళుతుంది.
उससे याद आया, मुझे पुलिस से डरना चाहिए?	ఈ విషయం వచచింది కనుక, మనం పోలీసుల గురించి దిగులుపడాలా?
जब तक तुम मरती नहीं, वह नहीं रुकेगी.	ఆమె ఆగదు, నువవు చచచే దాకా.
इनमें बैठो. देखो, कैसा लगता है. यह लो, लडको.	వాహనాలు ఎకకండి. ఎలా ఉననాయో అనుభూతి చెందండి. ఇదిగోండి, బాబులు.
देखो कैसा लगता है.	ఎలా ఉందో అనుభూతి చెందండి.
तुमहारी कया उमर है, बेटा?	నీ వయసెంత, బంగారం?
किसी को सटब रिसरच विभाग की खबर होगी?	మన సటబ పరిశోధనా విభాగం గురించి ఎలా తెలిసి ఉంటుంది?
पूल में पेशाब कर रहे हो, कोरबेल?	కొలనులో ఉచచ పోసతుననావా?
उसकी ताकत को हासिल करो.	దాని శకతి నీదిగా చేసుకోనంత వరకూ.
पर एलीटा तो एलीटा है, सिरफ मेरी तरफ से कोशिश थी.	కానీ ఎలీటా ఎలీటాలా పరవరతించడం వలల, ఆ పరయతనం కేవలం ఒక వెపే జరిగింది.
टेली-मौजूद हो.	మానసికంగా.
अंदर बैठो.	వెంటనే ఎకకండి.
मेरा काबू नहीं रहता.	నేను నియంతరణ కోలపోతూ ఉననాను.
शायद. पता नहीं.	కావచచు. నాకు తెలియదు.
सब कुछ.	అననీ.
खोलो.	తెరువు.
तुम बहुत ही भोली हो, मिस फिशर.	నీలో హరివిలలులు, ఎగిరే గురరాలుననాయి, ఫిషర.
तुम किस चीज में फँसे हुए हो?	ఎందులో చికకుకుననావు?
-कुछ हद तक पता है. -बताओ.	-అంటే సథూలంగా తెలుసు. -ఎలాగో చెపపు.
मैं नहीं चाहती कि तुम अनुमान लगाओ, डेनिएल.	నువవు అంచనా వేయకూడదు, డానియెల.
पैसा.	డబబులు.
कयों?	ఎందుకు?
इसे दोबारा रहने लायक बनाया.	జీవించడానికి మళళీ మంచి చోటుగా మారచాను.
हाँ, कभी न कभी, टट, एक मुकाम पर	అవును, టట, కొననిసారలు,
हफते के दो लाख चलेंगे?	వారానికి 2 లకషల డాలరలు బాగుందా?
मेरा साथ दो.	నా పరకారం నటించు.
मैं पहुँच गई हूँ.	నేను వచచాను.
वरना, तुम इस चीज जैसे खोखले हो.	లేదంటే, నువవూ ఈ వసతువులా ఖాళీగావాడివి, అంతే.
मैं चाहती हूँ कि तुम पककी खबर निकालो.	నువవు కచచితంగా కనుకకోవాలి.
चांदी की घंटियों और कौडियों से	వెండి గంటలతో, గవవలతో,
मैं तुमसे नहीं पूछती कि खाना कैसे बनाऊँ.	వంట చేయమని నినను అడగటం లేదు.
यह कया है?	ఇదేంటి?
साथ में उस कमीने को खतम करने की सनक थी,	దాంతో పాటు ఆ చెతతగాడిని నాశనం చేయాలనే గాఢమెన కోరిక ఉంది,
जिन चीजों ने इनहें मारा, वे अभी भी हैं.	మిగతావి ఎననో వాటిని చంపినా, అవి ఇంకా మనుగడ సాగిసతుననాయి.
शायद अपने दोसतों को रोक सकते हो. पहल कर सकते हो.	బహుశా నువవు నీ సనేహితులని కూడా ఆపమని చెపపవచచు. ఓ టరెండ మొదలుపెటటవచచు.
वे हर हफते देते रहेंगे?	నేను నీకు చెపతే?
ऐसे समझाया जाए तो,	చాలా సులువుగా అనిపిసతోంది,
मंजूर है.	ఒపపుకుంటుననా.
पता नहीं.	నాకు తెలియదు.
बेशक आती.	రావాలిగా మరి.
आपको कया. . .	మీకు. . .
बिना चाहे इसे दबाने लगती हूँ.	నా పరమేయం లేకుండానే ననను పిండేసతూ ఉంటుంది.
नहीं, मैडम.	లేదు, మేడమ గారు.
आपकी दूरसथ-यातरा रदद की जाती है.	మీ దూర పరయటన రదదయింది.
चलो. ले लो.	కానివవు. తీసుకో.
आतंकवादियों के दल. अभेदय छोटे गठबंधन.	కిరాయి హంతకుల బృందాలు. చొచచుకుపోలేని చినన ఊరల పొతతులు.
पर, आपने ठीक कहा था, कोई कलेपट लगता है.	మీరననది నిజమే, దానికి సమాంతర విశవనివాసి, కలెపట భావన ఉంది.
मैं इसका मालिक हूँ.	ఇది నా సొంతం.
मैं तुमहें दिखाता हूँ.	చూపిసతాను రండి.
तुमने कुछ लिया.	నువవు ఏదో తీసుకుననావు.
आरआई मुखयालय हमारा पहला हवा शोधक था.	ఆరఐ పరధాన కేందరం, గాలిని సవచఛపరిచే తొలి భవనాలలో ఒకటి.
और तुम वाकई में हो.	కచచితంగా నువవే సరెన వయకతివి.
कार में बंद, ऐसे दिन में.	తెరుచుకోని కారు, ఇలాంటి ఎండ ఉనన రోజు.
हाँ.	అవును.
जवाब दो.	జవాబు చెపపు.
मैंने उसे राज रखने को कहा.	దానని రహసయంగా ఉంచమని నేను తనకి చెపపాను.
तो उसमें हम सभी का भला है.	అంతగా మన సమూహ సవారథానికి మంచిదని అందాం.
हाँ.	అవును.
कया सुना है?	ఇవేమిటి, కచచితంగా?
जब वह 16 साल का था, इस कमीने ने उस पर हमला किया था.	16 ఏళళ వయసులో, ఆ చెతతగాడు కొటటాడు.
साफ-सुथरा, शांत.	శుభరమెన, నిశశబదమెన చోటు.
हमारे पास इतना समय नहीं है.	అది మేము భరించలేం.
जी है.	నమోదెంది.
कुछ हैं.	కొందరుననారు.
शौचालय में जाकर,	మూతరపు బేసిన వాడేటపపుడు,
कया?	ఏంటది?
जवाब दो.	జవాబు చెపపు.
कया?	ఏంటది?
अगर मैं तुमसे कहूँ कि आगे कुछ समय तक,	వాళళు సమీప భవిషయతతులో ఇలా వారానికి ఒకసారి ఇసతూనే ఉంటారని
खतम होकर, नए सिरे से लौटकर आना.	శూనయం నుండి సుదీరఘంగా పరయాణించి మనుగడకి వచచాయి.
इससे हमें सुरकषित महसूस करना चाहिए?	వాటి వలల మనం సురకషితమా?
ऐसा लगता है कि वह गायब हो गई.	ఆమె అదృశయమెనటటుంది.
इस चीज को बदल डाला.	దాదాపు రాతరికి రాతరే మారచాను.
और फिर, पता है. . .	ఇక తరువాత, నీకు తెలుసుగా. . .
किस बात में दिलचसपी?	ఎందులో ఆసకతి?
-किसके लिए? -किसकी, जान.	-ఎవరి కోసం? -ఎవరి కోసమో కాదు, బంగారు.
भाडे की है.	అదదెకు తీసుకుననా.
कमाल की कहानी है.	ఇది భలే కథ.
कमीना कहीं का.	కోతిగాడు.
शायद तुम यह पूछना चाहते थे,	నా అనుమానం పరకారం, నువవు అడగాలనుకునన పరశన,
बुदधिमान.	తెలివెనదానివి.
समझ रहे हो?	చూశావా?
और तुमहें कया लगता है?	నీ అంచనా ఏంటి?
समझ रहे हो?	తెలుసా?
चलो, डेनिएल. काम पूरा करो.	ముదదు, ముదదు, డానియెల. తవరగా పని కానివవు.
चल नहीं रही?	ఇది పని చేయడం లేదా?
और दोबारा सवागत है.	ఇక సుసవాగతం.
"परेतातमा. "	"దెయయం"కి పొడిరూపం.
हाँ! बिलकुल!	అదది! కచచితంగా అది!
कयों?	ఎందువలల?
मेरी, मेरी एकदम उलटी	మేరి, మేరి, నువవొక విరుదధాల నారి
मैंने रातों-रात	నేను ఆ పరిసథితి మారచాను,
कई तरह से. बस अपना हाथ हिलाकर.	ఎననో విధాలుగా చంపగలను. నా చేతిని అలా ఊపడం దవారా.
पहचान, सर.	మీ గురతింపు, సర.
नहीं.	తెలియదు.
अचछा.	సరేనండి.
उसी ने उडाए होंगे.	అతను వాటిని పెన పెటటి ఉంటాడు.
दिल से कोशिश करना.	మంచి ఆలోచనతో అడుగు ముందుకేయి.
अब माँ की बात आती है.	ఇక అమమ విషయం.
मेरे कान खुले रहेंगे.	వింటూ ఉంటాను.
