हाँ.	సరే.
हाँ.	వసతుననా.
हाँ.	విననాను.
ए!	హేయ!
कोई भी नहीं?	ఒకకరు కూడా తిరిగిరాలేదా?
चलो.	పోనివవు.
पैराशूट दिखे?	పారాచూటలు ఏమెనా కనిపించాయా?
सीधे सामने.	సరిగగా మన ఎగువన ఉననారు.
शाबाश.	ఇంక కానిదదాం.
अगली बार "मासटरस ऑफ दी एयर" में	తరువాయి భాగంలో
इंटेलिजेंस रिपोरट के अनुसार	నిఘా వరగాల నివేదికల పరకారం లకషయానికి చుటటుపకకల ఉనన చాలా ఇళలు
काश आज मेरी जगह वह जिंदा होता. . .	నా బదులు అతను ఇకకడ కూరచుని ఉండాలని నేను అననింటికననా ఎకకువగా కోరుకుంటుననాను. . .
चलो भी!	పద!
आराम से.	జాగరతతగా, నిదానంగా.
पकका, सर?	నిజంగానే అంటుననారా, సర?
बम गिराओ!	బాంబులని విడుదల చేయండి!
आस-पास के इलाकों में जयादातर रेलकरमी ही रहते हैं.	రెల రోడ కారమికులవే.
माफ कर दीजिए.	సారీ.
चलो, चलो.	ఇదిగో పదండి, వెళదాం పదండి.
सारे?	వాళలందరూ రాలేదా?
अभी?	ఇపపుడు వేయనా?
