नहीं.	లేదు.
फिर उसके एवज में कोई और आएगा	ఆ తరువాత అతని సథానంలో మరొకరు భరతీ అవుతారు,
तो फिर, ठीक है.	సరే అయితే.
तो फिर, ठीक है.	సరే అయితే.
नहीं, नहीं, तुम रुको. तुम रुको.	లేదు, లేదు, నువవు బాగానే ఉననావు. బాగానే ఉననావు.
जो लुफटवॉफ के किसी भी विमान से जयादा तेज और बेहतर हैं.	అవి ఆ జరమన యుదధవిమానాలలో పరతి ఒకక విమానాననీ ఈ పి-51 విమానాలు ఎదురకొని నేలకూలచగలవు.
- धनयवाद. - बस इतनी ही आई हैं, दोसतों.	- థాంకయూ. - అంతే, బాబులూ.
चौदह! एक गायब है!	పదనాలుగు! ఒకటి నేలకూలింది!
चलो बरलिन चलें.	మనం బెరలిన వెళదాం రండి.
बेस पर मौजूद हर आदमी यह देखने के लिए साँस थामे इंतजार कर रहा था	మాలో పరతి ఒకకరూ ఎంతో ఉతకంఠతో ఊపిరిబిగపటటి
सततर, शायद 80 सैनिक बचकर भाग निकले.	డెబబె, లేదా బహుశా ఎనభె మంది ఆ సొరంగం గుండా పారిపోయారు.
यह खबर सबको दे दो.	ఈ విషయం మిగతా అందరికీ చెపపు.
कमीना कहीं का!	చెతతవెధవ!
कमीना कहीं का!	చెతతవెధవ!
सन 1944 की शुरुआत में ही यह समझ आ गया था कि यूरोप पर आकरमण आसनन था.	యూరప ఆకరమణ అనివారయం అని 1944లోనే గరహించారు.
मैंने जितने भी पायलटों को बी-17 उडाते देखा है, रोजी उनमें बेहतरीन पायलट है. सबसे बेहतरीन है.	బి-17 ని నడిపిన పెలెటలు అందరిలో బెసట పెలెట రోసీనే. ఎపపటికీ.
जैक, तुम ठीक हो?	జాక, నువవు బాగానే ఉననావా?
इस धूमिल मौसम में एक साल बिताने के बाद,	ఈ పొగమంచు వాతావరణంలో ఏడాది గడిపిన తరువాత మంచి వెచచని పరదేశంలో
आराम से, आराम से, समझे?	మరేం ఫరవాలేదు, మరేం ఫరవాలేదు, సరేనా?
और भागने में मदद करने वाले	వాళలకి తపపించుకునే మారగాలు చాలా తెలుసతాయి
हताहतों की संखया बढने लगी और बेस का मनोबल गिरने लगा.	పరాణాలు కోలపోయిన వారి సంఖయ పెరిగిపోతూ మా సథావరంలో అందరిలో ఆతమసథయిరయం దెబబతింటోంది.
कई सौ विमान. हजारों सैनिक.	వందల సంఖయలో విమానాలు. వేల సంఖయలో మనుషులు.
मेरी योजना है कि मैं मारज के पास घर अपने सब अंगों के साथ सलामत पहुँचूँ.	నా పలాన ఏమిటంటే పరాణాలతో మారజ దగగరకి వెళలడమే.
और अब हम हमारे नए पी-51 के साथ यह कर सकते हैं	మనం అది సాధించగలం, ఎందుకంటే ఇపపుడు కొతత పి-51 విమానాలు మన చేతిలో ఉననాయి
उसे तुरंत असपताल ले जाओ.	అతడిని తవరగా హాసపిటల కి తీసుకువెళలండి.
हमारी संभावनाएँ बढने लगी थीं.	గెలుపు అవకాశాలు మాకు అనుకూలంగా మారడం మొదలెంది.
- शुभरातरि. एक बार में पीयो. - ए, शुभरातरि.	- గుడ నెట. తాగు. - గుడ నెట.
पंदरह, 16.	పదిహేను, పదహారు.
वह ठीक है?	ఇది బాగానే ఉందా?
समझ गया.	కాపీ.
कल बरलिन पर सबसे भारी बमबारी हुई.	యుదధంలో ఎపపుడూ లేనంతగా నినన బెరలిన మీద దాడి జరిగింది.
तुरंत बैरेक में लौटो!	వెంటనే బారాకస లోకి తిరిగి వెళలండి!
कयोंकि उस दिन ढेरों सैनिक मारे गए थे.	ఎందుకంటే ఆ రోజు చాలామంది సెనికులు యుదధంలో పరాణాలు కోలపోయారు.
वापस अंदर जाओ. अभी.	లోపలికి తిరిగి వెళలండి. వెంటనే.
और गेसटापो उसे पकडकर परताडित करते, तो उनहें बचकर निकलने वाले रासतों	అతడిని గెసటాపో పోలీసులు పటటుకుని బంధిసతే,
कल का मिशन.	రేపు మన మిషన ఉంది.
हो सके तो उलटी मत करो, बैनी.	నీకు కుదిరితే దానని మింగేయ, బెననీ. అది పరొటీన.
वापस अंदर जाओ!	లోపలికి తిరిగి వెళలండి!
लगता है वे आधे जरमनी से जमीनी हमला कर रहे हैं.	చూడబోతే జరమనలు సగం జరమన భూభాగం నుండి శతరు విమానాలని పంపించారేమో అనిపిసతోంది.
कि हमें कितनी भारी कीमत चुकानी पडी है.	ఆ మిషన ఎంతమంది పరాణాలు తీసతుందా అని అంచనాలు వేయడం మొదలుపెటటారు.
तुमहें दोबारा कभी उडान भरने का मौका नहीं मिलता है.	విమానం నడపడానికి అవకాశం ఉండదు.
और हताहतों का मतलब था, एवज में और सैनिक.	ఎకకువమంది పరాణాలు కోలపోతుంటే అంతమందిని తిరిగి భరతీ చేయాలసి వసతోంది.
कुतते को रोको! उसे छुडाओ!	ఆ కుకకని లాగండి! అతని మీద నుండి తపపించండి!
अपना फैसला लेना चाहिए.	మీరు నిరణయం తీసుకుంటారని ఆశిసతుననాను.
तुम बस इन परिसथितियों के कारण ऐसा कह रहे हो.	ఇకకడ నాకు అదే అనిపిసతోంది.
चलो जलदी करो, लडकों.	మనం తవరగా ఇది ముగించాలి, కురరాళలూ.
सरपराइज मुआयना.	హఠాతతుగా గుమిగూడమంటుననారు.
और फिर मैं. . .	ఇంకా తరువాత కూడా నేను. . .
हटो!	కదలండి!
ठीक है.	సరే.
ठीक है.	సరే.
तीस मिशन कर रहे हैं.	దానిని 25 నుండి 30కి పెంచబోతుననారు.
फिर से बरलिन?	మళలీ బెరలిన మీద దాడులా?
अंदर जाओ!	లోపలికి వెళలండి!
शायद अगली बार.	బహుశా మళలీసారి వసతుందేమో.
- और ऑफिसर बाईं तरफ. - ये बचचे हैं.	- నా కుడి వెపు ఇంకా ఆఫీసరలు నా ఎడమ వెపు ఉండాలి. - పిలలలు, బాబు.
बैरेक में लौटो!	తిరిగి బారాకస లోకి వెళలండి!
संभावनाएँ काफी कम थीं.	కషేమంగా తిరిగి వచచే అవకాశాలు చాలా తకకువ.
धत तेरी की.	డామిట.
हम सभी को युदध से अपना धयान हटाना था.	మేమంతా యుదధం గురించి ఆలోచించకుండా వేరే వయాపకాలు పెటటుకోవాలసి వచచేది.
डमी ईंट की दुककी है.	డమమీ నుంచి మనకి రెండు డెమండలు వచచాయి.
अटठाईस?	ఇరవె ఎనిమిదా?
चाहे ऐसे या वैसे.	ఒక రకంగా అయినా మరొక రకంగా అయినా.
- सामने देखो. - भरती किए गए सैनिक मेरे दाईं तरफ आएँ	- ముందుకే చూడండి. - జవానులు
अभी नहीं.	ఇంకా అపపుడే కాదు.
वह मुंसटर था.	అది మాంసటర మీద దాడి మిషన.
वैसे, तुम यहाँ	కానీ, నువవు ఇకకడే చనిపోతావు
बेहद खेद हो रहा है	మీకు చెపపడానికి చాలా చింతిసతుననాను,
पंखे देखो! पंखे देखो!	ఆ రెకకలు చెక చేయండి! ఆ రెకకలు చెక చేయండి!
हाँ, जरूर.	అవును, ఖచచితంగా అదే.
चलो!	వెళలండి!
आठ, नौ, दस.	ఎనిమిది, తొమమిది, పది.
बारह, 13, 14,	పననెండు, పదమూడు, పదనాలుగు.
सच में?	నువవు అడిగావా?
बरलिन,	బెరలిన నగరం,
लकषय 30 सेकंड दूर है.	టారగెట కి సరిగగా ముపపె సెకనల దూరంలో ఉననాం.
हाँ!	బాగుంది!
यह संवाहन की बात है.	ఇది పరసరణ.
शायद. . .	నేను అనుకోవడం. . .
अससी?	ఎనభె మందా?
तो वे कडी काररवाई करेंगे.	ఇంత భారీ సంఖయలో ఖెదీలు పారిపోవడంతో అపరమతతం అయయారు.
समझ गया.	సరే.
पी-51 मसटैंग के आने से	పి-51 మసటాంగ జెట విమానాలను మేము మోహరించడం వలల
बालटी का इसतेमाल करो.	బకెట వాడు.
न तो आकरमण होगा, न हो सकता है.	అందుకోసం మనం గగనతలంలో సంపూరణ ఆధిపతయం సాధించాలని ఆయన ఆదేశించారు.
मैंने सुना है कि	బరెమన మిషన లో పాలగొనన 18 విమానాలలో
मुझे भी.	నినను చూడటం కూడా.
पचचीस. अब हम घर जाएँगे.	ఇరవె ఐదు పూరతయయాయి. మనం కషేమంగా తిరిగి వెళతుననాం.
युदध के कारण.	యుదధం.
यह लो.	ఇదిగో తీసుకో.
हाँ, तुम थे.	అవును, మీరు బిజీగా ఉననారు.
मुझे आदेश दिए गए हैं कि मैं सटालग लुफट III में मौजूद	నాకు అందిన ఆదేశాల పరకారం
अगली बार "मासटरस ऑफ दी एयर" में	తరువాయి భాగంలో
डाक की कोई खबर?	ఉతతరాల గురించి ఏమెనా సమాచారం ఉందా?
उसके पैर पकडो! उसके पैर पकडो, चलो भी!	తన కాళలు పటటుకో!
हर एक को.	చివరి సెనికుడితో సహా.
किसी को कोई परवाह नहीं है!	ఒకకరు కూడా!
मैं सावधान करना चाहूँगा कि आप अपने आदमियों को न तो कोई बदले की काररवाई करने दें,	ఎలాంటి పరతీకార దాడులకి పాలపడవదదని
फिर वे सीधे नीचे गिरे.	కానీ తరువాత అది. . . అది నేరుగా నేల వెపు దూసుకెళలింది.
शाबाश.	ఇదిగో దొరికావు.
चलो. चलो.	వెళదాం పదండి. వెళదాం పదండి.
