अरे, गैबरिएल.	ఓహ, గాబరియేల.
लिअम कलाफिन 1957 से 2021	లియమ కలాఫిన 1957 నుండి 2021 వరకు
हाँ. और. . .	అవును. ఇంకా. . .
पकका वह ठीक ही है.	తను ఖచచితంగా బాగుంటుంది.
-तो बेशक, मैं चली आती. -और बाकी समयों का कया?	-ఖచచితంగా, నేను వచచేసి ఉండేదానని. -మిగతా సమయాలలో సంగతి ఏంటి?
कया देख रहे हो?	నువవు ఏం చూసతుననావు?
मुझे जानना है कया वह कल रात हिरासत में था.	అతను నినన రాతరి కసటడీలోనే ఉననాడా లేదా నేను తెలుసుకోవాలి.
मलिन-सैरा गोजिन दवारा निरमित	మాలిన శారా గోజిన సృజన
कभी सोचा कि तुम उनहें रोकने के लिए कुछ कर सकते थे?	ఆయన ఆతమహతయ చేసుకోకుండా ఆపే పరయతనం గురించి నువవు ఎపపుడూ ఆలోచించలేదా?
पर इस बार मैं मदद कर रहा हूँ, है न?	కానీ ఈసారి నేను నీకు సాయం చేసతుననాను, కాదంటావా?
पकका वह मेरी कलपना नहीं थी कि हर दूसरे सपताहांत को तुम नीचे वाले बंकर में होते थे.	రెండు వారాలకోసారి నువవు ఇంటికి వసతావని నేను నిజంగా ఊహించలేదు.
कभी-कभी दरदनाक अनुभव से गुजरने पर ऐसा होता है.	పరాణాపాయ సథితిని ఎదురకొనన వారిలో కొననిసారలు ఇలా జరుగుతుంటుంది.
तुमहें यह सुलझाना होगा.	సరే, మనం ఆ సమసయని పరిషకరించాలి.
पर कल रात की घटनाओं के बारे में कुछ बताओगे?	కానీ నినన రాతరి ఏం జరిగిందో ఏదెనా గురతుననది నాకు చెపపగలరా?
तुम अचछे दिख रहे हो.	నువవు మంచిగా కనిపిసతుననావు.
-यह बेहद अजीब है. -वे बस करीब आ रहे हैं.	-ఇది చాలా విచితరంగా అనిపిసతోంది. -వాళలు దగగరవుతుననారు.
उसे देखकर उलटी होने वाली थी. वह इतनी नाजुक दिख रही थी.	ఆమెని చూశాక నేను వాంతి చేసుకుంటానేమో అనిపించింది. ఆమె చాలా బలహీనంగా ఉంది.
मुझे उनकी कबर के पास थॉमस से मिलना है.	సమాధి దగగర థామస ని కలుసతాను.
उस बूढी औरत का खाता खाली था.	ఆ వృదధురాలి అకౌంటు దాదాపు ఖాళీగా ఉంది.
-इवा, हमें यहाँ से. . . -बस रुको, रुको.	-ఈవా, మనం ఇకకడి నుండి వెళలాలి. . . -కొదదిగా ఆగు, ఆగు.
-मैं बस चाहती हूँ कि तुम खुश रहो. -मैं खुश हूँ.	-నువవు సంతోషంగా ఉండాలనే నేను కోరుకుంటాను. -నేను సంతోషంగా ఉననాను.
-ऐसा हो सकता है? -हाँ.	-అలా జరిగే అవకాశం ఉందా? -ఉంది.
कैसे? कयों?	ఎలా? దేని కోసం?
उसने बताया कौन मारना चाहता है?	సరే, తను ఎవరో చెపపాడా?
अरे, नहीं, कर सकती हो. बस हाल ही में तुम काफी मुसकुराने लगी हो,	ఓహ, లేదు, నువవు చేయవచచు. కేవలం, ఈ మధయ నువవు ఎకకువ నవవుతూ ఉండటానని నేను గమనించాను అంతే,
तुमहें कुछ भी याद नहीं है?	నీకు ఏమీ గురతులేదా?
ए, जान, हम सब यहाँ अरसला के घर हैं.	హేయ, బంగారం, మేము అందరం ఇకకడ ఉరసులా ఇంటలో ఉననాం.
सोचा था यह इकलौती जगह है	ఆమెను మీతో కలుపుకోకుండా చేయడానికి
तुम डरगस लेकर आई. तुम ही उसे छुपाओगी.	నువవు ఆ మతతుమందు తెచచావు. ఇపపుడు వాటిని తొలగించాలి.
मिना के लिए खरीददारी कर दोगी?	నా బదులు మినాతో కలిసి షాపింగ కి వెళతావా?
-यह ले लूँ? मेरे पास पैसे नहीं हैं. -बेचारी.	-నువవు ఏమీ అనుకోవు కదా? నా దగగర డబబు లేదు. -అయయో, పిచచి పిలల.
जो कबरिसतान जाने से थोडा कम निराशाजनक हो.	నిరాశ కలిగించే సమాధి సందరశన లాంటిది కాకుండా ఏదెనా చేదదాం.
अगर हम बस जरूरी इलाज करवाएँ.	నీకు అవసరమెన సహాయానని నువవు తీసుకోవాలి.
तुम तभी मूँछें वैकस करती हो जब तुम सेकस करने वाली होती हो.	నువవు నీ మూతి మీద వయాకస చేసుకోవడానికి ఏకెక కారణం నువవు ఎవరినెనా లెంగికంగా కలవడమే.
कयों?	దేనికి?
दुरभागयवश.	దురదృషటవశాతతు.
कमीना कहीं का.	చెతత వెధవ.
तुमने कया लिया?	నువవు ఏం తీసుకుననావు?
वह बस एक गलतफहमी थी.	అది నేను అపారథం చేసుకుననాను.
कयों?	ఎందుకు?
बस थोडा आराम कर रही हूँ. मेरी बगल में बैठोगी?	నేను కొదదిగా విశరాంతి తీసుకుంటుననాను. నువవు నా పకకన కూరచుంటావా?
काफी थक गई हूँ.	నేను చాలా అలసిపోయాను.
ऐसे शहर में हतया की जाँच, इससे लोग नाराज होते हैं,	ఇటువంటి పటటణంలో ఒక హతయ విచారణ అంటే, అది పరజలను ఆందోళనకు గురి చేసతుంది,
यह हमारे लिए है. हमारे परिवार के लिए है. यह हमारे भविषय के लिए है.	ఇది మన కోసం. మన కుటుంబం కోసం. మన భవిషయతతు కోసం.
ए. वह ठीक है. शारीरिक रूप से, ठीक है.	హేయ, అతను బాగానే ఉననాడు. శారీరకంగా, ఆరోగయంగా ఉననాడు.
तो हमारे साथ कभी समय कयों नहीं बिताती हो?	మరి ఎపపుడూ ఇకకడ ఎందుకు ఉండవు?
तुमने मुझे फोन कयों. . .	కానీ, నాకు ఎందుకు ఫోన చేయలేదు. . .
उसने मारा होगा जिसे उसने अँधा किया था.	అతను ఒక కనను పోగొటటిన బీబీ మీద నాకు గటటి అనుమానం ఉంది.
फलैट में आना चाहोगे?	ఇంటికి వసతావా?
बस सिर और कलाई में मामूली चोट लगी है.	కేవలం తల మీద చినన గాయం అయింది ఇంకా మణికటటు బెణికింది.
वह तुमहारा सहकरमी है न?	అతను నీ ఆఫీసులో ఉదయోగి కాదు, కదా?
उनहोंने दो दिन पहले कहा था, तो शायद, हाँ.	ఆయన ఆతమహతయ చేసుకోడానికి రెండు రోజుల ముందు విషయం అది, అవును.
पता नहीं.	నాకు తెలియదు.
कयोंकि लुकोजेड और अंगूरों से सब ठीक हो जाएगा?	ఏంటి, ఒక లుకోజేడ డరింక ఇంకా కొనని దరాకషపండలు ఈ తపపుని సరిచేసతాయా?
पीछे हटो.	వెనకకి జరుగు.
तुम तनाव में हो. तुम उदास हो.	నువవు మానసికంగా కుంగిపోయావు. బాధలో ఉననావు.
-हाँ, जरूर. -धनयवाद.	-అలాగే, తపపకుండా. -ధనయవాదాలు.
मुझे खेद है कि हम नागरिकों को यह जानकारी नहीं दे सकते हैं.	ఆ సమాచారానని పబలిక కి మేము తెలియజేయలేము.
वह कैसा है?	అతను ఎలా ఉననాడు?
कृपया, गरेसी.	దయచేసి విను, గరేసీ.
-बकवास. -कया?	-చెతత మాటలు. -ఏంటి?
पर, तुम मुझे बताओगी, है न?	అయినా నువవు నాకు చెబుతావు కదా, చెపపవా?
हाँ, तुम काफी खुश लग रही हो.	అవును, నువవు చాలా ఉదవేగంగా కనిపిసతుననావు.
एक एहसान करोगी?	నాకు ఒక సహాయం చేయగలవా?
कया देख रहे हो?	నువవు ఏంటి చూసతుననావు?
अगर जेपी ने आपको नाइटी पहनकर सडक पर घूमते देखा,	నీకు తెలుసా, నువవు నీ లోదుసతులలో వీధులలో తిరుగుతుననటలు జెపి చూశాడంటే,
-अरे, नहीं. -अरे, चलो भी.	-అయయో. -ఓహ, చూడు.
कया तुम उदास महसूस करते रहे हो?	ఏమెనా నిరాశలో ఉననారా?
सब हो गया. तुम कैसे हो?	అంతా అయిపోయింది. నువవు ఎలా ఉననావు?
जिसमें वह लगभग मारा गया था.	అకకడ అతను దాదాపుగా చావు అంచులకు వెళలాడు.
तुम उनके जीवन का जशन मना रहे हो, मौत का नहीं.	కానీ, మీరు ఆయన జీవితానని వేడుకలా జరుపుకొంటుననారు, ఆయన మరణానని కాదు.
उसने कहा. . . उसे लगता है. . .	తను ఏం చెపపాడంటే. . . అతను అనుకుంటుననాడు. . .
पहले परिवार, बाकी बाद में, याद है?	కుటుంబం ముఖయం, మయాట లెంగిక వాంఛలు తరువాత, గురతుందా?
हाँ!	అవును!
-सच? -हाँ.	-అవునా? -అవును.
हाँ.	అలాగే.
सही कहा. और, वह शानदार महिला है,	ఖచచితంగా. ఇంకా, నా ఉదదేశం, తను ఒక అదభుతమెన మహిళ,
हाँ, वह और उसका मानसिक तौर पर टूट जाना.	అవును, ఇంకా ఆమె విడిపోవడం.
डैड!	నాననా!
मैं अभी सोने जा रहा हूँ.	నానన ఇపపుడు వెళలి కాసేపు పడుకుంటాడు.
चलो.	చెపపు.
कब तक?	ఎంత కాలం?
अरसला नहीं आई?	ఈ రోజు ఉరసులా రాలేదా?
धनयवाद, जान.	ధనయవాదాలు, బంగారం.
तुम कहाँ थी?	నువవు ఎకకడ ఉననావు?
हाँ.	అలాగే.
हाँ.	అలాగే.
मुझे बताना नहीं चाहिए, पर मानना पडेगा	నేను చెపపకుండా ఉండలేకపోతుననాను, కానీ నేను ఒక మాట చెపపాలి
उममीद है उसे कैंडललाइट पसंद आएगी.	ఆమె కయాండిల లెట విందుని ఆసవాదిసతుందని ఆశిసతుననాను.
पर अब वह नियंतरण में लगती है.	కానీ ఇపపుడు ఆమె దాని మీద నియంతరణ సాధించింది.
-कया मतलब? -मैं तुमहारी ओर हाथ हिलाता,	-నీ ఉదదేశం ఏంటి? -అంటే, నినను చూసి చేయి ఊపుదాం అనుకుననాను,
-वापस दो. -मैं. . .	-అది తిరిగి ఇచచేయ. -నేను. . .
कया मैंने कुछ चूका?	నేను ఏదెనా మంచిది మిస అయయానా?
वह खतरनाक है.	వాడు చాలా పరమాదకారి.
-ठीक है. -ठीक है.	-సరే. -సరే.
हम तुमहारे साथ हैं. ठीक है. तुमसे पयार है.	మేము నీకు సాయం చేయడానికి సిదధంగా ఉంటాం. సరే. నినను పరేమిసతుననాను.
जॉरज बीमार है. उसे हॉट टॉडी पिलानी होगी.	జారజ కి ఆరోగయం బాగాలేదు. అతనికి వేడి సారా తాగించే సమయం అయింది.
मैं बस वही बता सकता हूँ जो उसके तट पर आने के बाद हुआ था.	అతను మరీనాకి వచచిన తరువాత ఏం జరిగిందో అది మాతరం చెపపగలను, దానికిముందు జరిగింది తెలియదు.
जब वह असफल रही, तो उसके बीमा के पीछे पड गई.	ఆ పథకం పారకపోవడంతో, ఆమె ఆ వెధవ జీవిత బీమా డబబుల కోసం ఆశపడి ఉంటుంది.
मुझे जानकारी ढूँढनी होगी.	నేను ఒకసారి దాని గురించి అధయయనం చేయాలి.
और यह आकरषक हैं!	ఇంకా అది ముదదుగా ఉంటుంది!
जॉन पॉल विलियमस केस का.	జాన పాల విలియమస కేసుకు సంబంధించినది.
इसलिए आधी रात को समंदर में कूद पडे?	అయితే అందుకోసం నువవు అరధరాతరి వేళ సముదరంలోకి దూకేసతావా?
शुभकामनाएँ.	గుడ లక.
कुछ चीजें हैं जो. . .	దాని గురించి చాలా జరుగుతోంది. . .
हम यह नहीं कर सकते.	మనం కలవలేము.
हाँ. बेशक.	అలాగే, తపపకుండా.
तो, वह कहाँ है?	అయితే, అతను ఎకకడ ఉననాడు?
जेपी ने यह कहा?	జెపి నీతో ఆ మాట చెపపాడా?
मैं वह ढूँढकर फेंक दूँगी, ठीक है?	నేను ఆ చెతత సపరేని తీసుకుని, దానిని పారేసతాను, సరేనా?
सबको पता है कि वह पियककड है, पर उस समय वह. . .	తనకి మదయం తాగడం ఇషటం అని అందరికీ తెలుసు, కానీ గతంలో అది వేరేలా ఉండేది. . .
तुम नींबू और कीमती शराब नहीं खरीद सकती.	నిమమకాయలు ఇంకా ఖరీదెన మదయం కూడా నువవు పాపం కొనుకకోలేకపోతుననావు.
जब शरी विलियमस डूबकर मरने वाले थे?	విలియమస దాదాపు మునిగిపోయే పరిసథితి గురించి వివరించగలరా?
अगर उसकी याददाशत लौट आई तो?	అతని జఞాపకశకతి తిరిగి వచచేసతే ఏంటి పరిసథితి?
मैट, कृपया.	మయాట, దయచేసి విను.
अरे, धत. मुझे भी. मैं नल खुला छोड आई.	ఓహ, చెతత. నేను కూడా వెళలాలి. సనానానికి నీళలు తిపపి వదిలేశాను.
वह अजीब था, तीवर था, समझे?	అది విచితరంగా, తీవరంగా అనిపించింది, తెలుసా?
धत.	చెతత.
हाँ, तुम मदद कर सकती थी.	అవును, కానీ, నువవు సాయం చేసి ఉండాలసింది.
धत.	చెతత.
यह बढिया है.	సరే, అది గొపప విషయం.
धत!	అయయో!
-ठीक है. -अलविदा.	-సరే. -బె.
हमें बताओगे कि उस रात कया हुआ था	ఆ రాతరి జరిగిన ఘటన గురించి మాకు కొనని వివరాలు చెపపగలరా,
गरेस. मैं नाजुक या कमजोर या आतमघाती नहीं हूँ.	గరేస. నేను సుననితంగా కానీ బలహీనంగా కానీ లేను లేదా ఆతమహతయ చేసుకునే వాడిని కాను.
उनके बीच कैसा रिशता था?	వాళల మధయ అనుబంధానని మీరు ఎలా వివరిసతారు?
ठीक है.	సరే.
ठीक है.	సరే.
कया?	ఏంటిది?
हाँ.	వసతాను.
ठीक है.	సరే.
ठीक है.	సరే.
लगता है तुम सफल रही.	నువవు అనుకుననది సాధించినటలు ఉననావు.
ठीक है.	సరే.
जहाँ वह पकका मिलेगी.	ఇది సరెన పరదేశం అని అనుకుననారు కదా.
ठीक है.	సరే.
और तुमहें यह अभी याद आया?	అయితే ఏంటి, అది నీకు ఇపపుడే గురతుకు వచచిందా?
बेशक.	ఖచచితంగా.
बेशक.	తపపకుండా.
तो वह कैसे. . .	అయితే అతను అకకడ ఎందుకు. . .
बस आज रात एक दोसत आ रही है.	ఓహ. నేను, ఈ రాతరికి ఒక సనేహితురాలిని కలుసతుననాను.
और मैं उतसुक हूँ,	ఇంకా నేను చాలా ఉతసాహంగా ఉననాను,
-मुझे जाना होगा. मुझे जाना होगा. -नहीं.	-నేను వెళలాలి. -వదదు.
टरॉली ले आओगे?	ఆ టరాలీ తీసుకురా, తెసతావా?
पर तुम वहाँ से भाग गई.	కానీ నువవు ఆ సంఘటనాసథలం నుండి పారిపోయావు.
सुनकर खुशी हुई.	అది వినడానికి సంతోషంగా ఉంది.
ए, जरूरत हो तो फोन करना.	సరే, చూడు, హేయ, మేము ఎకకడ ఉంటామో నీకు తెలుసు.
सकूल से.	సకూల మితరురాలు.
कसम से, कमबखत रोडरनर को भी मारना आसान होगा.	పరమాణం చేసి చెబుతుననాను, ఆ చెతత రోడ రననర ని చంపడం ఇంతకననా తేలికగా అయిపోయి ఉండేది.
और घबराई हुई भी हूँ.	ఇంకా నేను భయంగా, ఉదవేగంగా కూడా ఉననాను.
धत.	చచచాం.
हाँ.	తెచచాను.
हाँ. . .	అవును, కానీ. . .
तुमहें कोई अंदाजा नहीं है?	నీకు తెలియదా?
इसलिए तुमसे बिना मिले चली गई.	దాంతో ఎకకడ ముగగురం గడపాలసి వసతుందో అని తిరిగి వెళలిపోయాను.
इससे मेरा कोई लेना-देना नहीं है.	అది నా పని కాదు.
मैं खुद को दोष देती हूँ.	ఈ తపపు నాదే.
बोलो.	ఏదెనా సరే.
बाद में मिलेंगे.	కలుదదాం.
मैट तुम कब आओगे?	మయాట నువవు ఏ సమయానికి వసతుననావు?
चलो अंदर चलें.	నినను లోపలికి తీసుకువెళతాను.
कहाँ जाकर?	ఎకకడ?
शायद, सीधे कैन से.	కయాన నుండి నేరుగా తాగేవాడు, అనుకుంటా.
तुम कैसी हो?	ఎలా ఉననావు, నిజంగా చెపపు?
हाँ. हाँ.	అవును. అవును, నిజం.
कल. . .	ఎకకడ నుండి. . .
खुशकिसमत निकोला.	పాత మితరురాలు నికోలా అదృషటవంతురాలు.
तो, फिर पुलिस अभी आती ही होगी.	అంటే, దాని అరథం, పోలీసులు ఇపపటికే ఇకకడికి వచచే దారిలో ఉండి ఉంటారు.
चलो.	ఇదిగోండి.
कि वे कया?	వాటికి సపందించడం ఏమిటి?
कृपया.	దయచేసి వెళదాం.
कृपया?	దయచేసి రావచచా?
कृपया.	దయచేసి వసతాను.
सौदा तय रहा.	పకకా.
वैसे, दरअसल,	అంటే, నా ఉదదేశం, అది ఎందుకంటే,
बखूबी किया.	ఇంటరవయూ నిజంగా బాగా సాగింది.
उसे कुछ करना था.	ఈ విషయంలో ఏదెనా చేయాలని తను కోరుకుంటోంది.
दरवाजे के पास खडी होकर.	ఇంటింటికీ తిరిగే యెహోవా సాకషి మాదిరిగా తలుపు దారిలో నిలబడడావు.
-ए. -धत.	-హేయ. -కొంప మునిగింది.
जैसे?	అంటే ఎలాంటిది?
गरेस का फोन है.	గరేస.
-फेंक दिया. -धत.	-తను చనిపోయా అనుకుని వెళలిపోయారని అంటుననాడు. -చెతత.
और जलदी खतम करना होगा.	తవరగా.
मुझे भी.	నేను కూడా నినను పరేమిసతుననాను.
धत.	కొంప మునిగింది.
ए.	హేయ, చూడు.
