मुकदमे चलाने को कहा.	అలఫోనసిన ఆదేశించారు.
यह मौका खो दोगे कि उन अपराधियों ने कया. . .	దేశానికి తెలిసే అవకాశానని నువవు తీసేసతుననటలు. . .
मुझे नहीं पता कि कितने लोग सुनवाई को सुन रहे हैं.	ఈ విచారణను ఎంతమంది వింటుననారో నాకు తెలియదు.
एक इंसान को पीएएफ में शामिल होने के लिए अगवा कर लिया गया.	పీఏఎఫలో భాగమెనందుకుగానూ, ఒక వయకతిని కిడనాప చేశారు.
और फिर?	ఆ తరవాత?
भेदिया?	గూఢచారా?
-पाजामा पहन लो. -ठीक है.	-పెజామా వేసుకో. -సరే.
-हूलियो. -कया?	-హూలియో. -ఏమిటి?
मिसटर सटरासेरा वयसत हैं.	సతరసేరా పనిలో ఉననాడు.
अभियोकता साहब.	పరాసికయూటర గారూ.
-तुमहारा नाम? -एंटज, सर.	-మీ పేరు? -అంటజ, సార.
सटुरला ने इंकार कर दिया?	సటురలా రానని చెపపాడా?
कटटर फासीवादी.	తీవరమెన అతివాది.
विंसटन चरचिल कैसे थे?	వినసటన చరచిలపె అభిపరాయం?
वे जिममेदार हैं.	వాళళే బాధయులు.
जरा सुनिए, सर?	ఇటు చూడండి, సార?
बधाई हो, दोसत.	అభినందనలు, బాబూ.
सटरासेरा के बचचे	సతరసేరా పిలలలు
-शैमपेन? -हाँ.	-షాంపేన? -అవును.
-फिर से? -हाँ.	-మళళీనా? -అవును.
-कहाँ? -मिलान.	-ఎకకడకు? -మిలాన.
-लुइस, मेरे साथ चलो. -माफ कीजिए.	-లూయిస, నాతో రా. -మననించండి.
नहीं, शुकरिया.	వదదు, ధనయవాదాలు.
यकीन से कैसे कह सकते हो?	మీరు ఎలా హామీ ఇసతారు?
अगर आपने आज सुनवाई सथगित की, मुकदमा नहीं चला, तो कभी नहीं चलेगा!	ఇవాళ వాయిదా వేసతే, అసలు విచారణే లేకపోతే, ఇది మళళీ జరగదు!
-हूलियो? -कया?	-హూలియో. -ఏమిటి?
17 जुलाई	జులె 17
यह अंतराल खतम करके सुनवाई जारी रखते हैं.	ఇక దీనిని ఆపి విచారణను కొనసాగిదదాం.
20 जुलाई	జులె 20
बात समझ में आई? अधिकारी.	అరథమయిందా? అధికారులం.
तुम ठीक नहीं हो.	నీకు బాగాలేదు.
-ठीक है. -यह अहम है. . .	-సరే. -ఇది ముఖయం. . .
-हाँ, शांत हो जाते हैं. -ठीक है.	-అవును, మనం శాంతిదదాం. -సరే.
और फिर,	ఆ తరవాత,
"आधिकारिक रिपोरट की जगह आरोपों ने ले ली.	"అధికార నివేదికల సథానంలోకి ఆరోపణలు.
कि परपीडन एक राजनैतिक विचारधारा नहीं है,	కాదని, ఒక నెతిక వకరబుదధి మాతరమే అని
मेरे पास खबर है.	నా వదద ఉననాయి.
-हूलियो? -कया?	-హూలియో? -ఏమిటి?
-मजाक कर रहे हो. -हाँ. मैं अटॉरनी जनरल के दफतर में हूँ.	-నువవు హాసయమాడుతుననావు. -అవును. అటారనీ జనరల ఆఫీసులో పనిచేసతాను.
-कयोंकि उनका वही काम है. -और हमारा काम मुकदमा जीतना है, हूलियो!	-ఎందుకంటే, అది వారి పని. -మన పని విచారణ గెలవటం, హూలియో!
मैं किसी बात से परेशान हूँ और तुमहारी मदद चाहिए.	నాకు ఒకదాని గురించి ఆందోళనగా ఉంది, నీ సాయం నాకు కావాలి.
कया सोचते हो, हमने तानाशाही में कया किया?	నియంతృతవం సమయంలో మేం ఏమి చేశామని అనుకుంటుననావు?
हम अचानक खयाली दुनिया में रहने लगे हैं?	అదభుతలోకంలో ఉననామని అనుకుంటుననావా?
और एक संभावना है, बहुत छोटी सी संभावना.	అకకడ ఒక సందు ఉంది, చాలా చినన ఖాళీ.
-राषटरीय अभियोकता. -कैसे हो, बजील?	-జాతీయ పరాసికయూటర. -ఎలా ఉననారు, బాసిలే?
फिर उनहोंने मुझे मारने की धमकी दी.	తరవాత వాళళు ననను చంపుతామని బెదిరించారు.
आधिकारिक रिपोरट की जगह आरोपों ने ले ली.	అధికారిక నివేదికల సథానంలో ఆరోపణలు.
मेरे अंकल को छह महीनों के लिए अगवा किया गया था और वह मुशकिल से बच पाए.	మా మామయయ ఒకాయన ఆరునెెలలకరితం కిడనాప అయయాడు, ఇంతవరకు దొరకలేదు.
राषटरपति का समरथन दिखाने के लिए? शायद टरोकोली ने उससे कहा हो.	అధయకషుడితో కలిసి ఉననానని చూపటానికా? బహుశా టరొకోలి ఆయనను అడిగి ఉండొచచు.
कया? वह एक साल पहले चल बसा.	ఏమిటి? అతను గత ఏడాది చనిపోయాడు.
एसमा में, सकूल ऑफ मैकेनिकस में.	ఎసమాలో, సకూల ఆఫ మెకానికసలో.
वायु सेना के उन कमीनों को देखो.	ఆ వెమానిక దళం వెధవలను చూడు.
-सामने आकर कयों नहीं कहते? -सावधान रहना, कमीने.	-నువవు నా ఎదురుగా వచచి చెపపవచచు కదా? -జాగరతత, మూరఖుడా.
आप इन अपराधों की जाँच और फैसला करने के इस अदालत के अधिकार को बखूबी जानते हैं.	ఈ నేరాల దరయాపతుకు, విచారణకు, ఈ నయాయసథానానికునన అధికారం మీకు తెలుసు.
यह अफवाह तेजी से फैल रही है कि मुकदमा गैर-सैनिक अदालत में चल सकता है.	పౌర నయాయం దవారా విచారణ చేపటటవచచనే పరచారం వేగంగా వయాపిసతోంది.
-अभी तक तो नहीं. -नहीं!	-అయినా. -వదదు, వదదు!
तुमहें वाकई लगता है कि सैनय अदालत जनरल विडेला को जेल भेजेगी?	సెనిక నయాయసథానం జనరల విదేలాను జెలులో పెడుతుందని నిజంగా అనుకుంటుననావా?
मुझे सुरकषा नहीं चाहिए.	నాకు భదరత అవసరంలేదు.
मैं उप अभियोकता हूँ.	నేను సహాయ పరాసికయూటరను.
सममान के साथ कहूँगा,	మీ పటల ఎంతో గౌరవం ఉంది,
अटॉरनी जनरल के दफतर में परशासनिक जिममेदारियाँ.	అటారనీ జనరల కారయాలయంలో పాలనపరమెన విధులు.
शुरू से ही जानती थी.	మొదటినుంచి నాకు తెలుసు.
पूरा दिन. चिंता मत करो.	రోజంతా. కంగారు పడకు.
मुझे एक कार में बैठाया.	ఒక కారులో ఎకకించారు.
मेरा अपमान किया गया.	వాళళు ననను అవమానించారు.
आपने रेडियो पर सुनी?	నువవు రేడియోలో విననావా?
मुझे कयों बुलाया है?	నాకు ఎందుకు ఫోన చేశావు?
हाँ, नाजुक मामला है.	అవును, అది సుననితమెనది.
-अभियोकता के नाते मेरा काम आरोप लगाना है. -गुड मॉरनिंग, बजील.	-నేను పరాసికయూటరను. ఆరోపణలు నా పని. -నమసకారం, బాసిలే.
"और चुनिंदा मामले दरशा नहीं सकते कि वह कितना बडा. . .	"మేము తీసుకునన కేసులు సామూహిక హతయాకాండ యొకక పరిమాణానని. . . "
हमारे साथ काम कयों करना चाहते हो?	మాతో ఎందుకు పని చేయాలని అనుకుంటుననావు?
जब वह रुका, तो उसने सिगरेट जला ली	అతను ఆపిన తరవాత, ఒక సిగరెట వెలిగించాడు
तो अपील की संघीय अदालत को मुकदमे की सुनवाई करनी होगी.	ఫెడరల కోరట ఆఫ అపపీలస విచారణ చేపటటవలసి ఉంటుంది.
4 फरवरी, 1977 को मुझे मेरे घर से अगवा कर लिया गया था.	1977 ఫిబరవరి 4న, ననను మా ఇంటినుంచి అపహరించారు.
-बरुजो. -कया?	-బరూజో. -ఏమిటి?
मैं कोई सुरकषा नहीं लूँगा.	నేను ఎలాంటి భదరతనూ సవీకరించను.
एक सवाल है, सर!	ఒక పరశన, సార!
सटरासेरा कौन है	సతరసేరా ఎవరు?
-नहीं. -कयों?	-కాదు. -ఎందుకు?
-शरीमान, सुनिए. -माफ कीजिए, मैं जा ही रहा था.	-మహాశయా, పలీజ. -సారీ, నేను వెళుతుననాను.
सटरासेरा, अपना मुँह बंद करोगे?	సతరసేరా, నోరు మూసుకుంటారా?
आप सब हीरो हैं.	మీరు ఒక హీరో.
-बात जोखिम की है. -पहले ही जोखिम ले चुका हूँ.	-ఇది ముపపు గురించి. -ఇపపటికే తెగించాను.
टिएमपो नुएवो.	తియెంపో నుయేవో.
बुरा हुआ, बेटा.	చెడడగా, బాబూ.
आप दूसरों का कुछ नहीं कर सकते?	మిగిలినవాళళను ఏమీ చేయలేమా?
नरक का सातवाँ घेरा हिंसक लोगों के लिए रखा था.	నరకంలోని ఏడవ వలయంలో హింసించినవాళళను పెడతారని అంటాడు.
उसके साथी के साथ अगवा कर लिया गया था.	తన భాగసవామితో సహా కిడనాప అయింది.
हाँ, समझ गया, एटम एंटज. शुकरिया.	అవును, అరథమయింది, ఆటమ ఆంట. ధనయవాదాలు.
उप अभियोकता? ऐसा कोई पद होता है?	డిపయూటీ పరాసికయూటర? అలా ఒక పదవి ఉందా?
अकेले जमा करें? नहीं. साथ में करेंगे.	ఒంటరిగా సమరపించాలా? లేదు. కలిసి.
मेरी बात सुनो. जयादा दबाव नहीं डालते.	నా మాట విను. మనం దానిని తోయవదదు.
आपको पता चला कि आपके बेटे का कया हुआ?	మీ కుమారుడికి ఏమయిందో తెలిసిందా?
पर अगर सोचोगे कि अचछा कर रहे हो,	కానీ నువవు బాగా చేసతుననావని అనుకుంటే,
खुद राषटरपति ने कहा कि यह एक मिसाल है, कुछ ऐतिहासिक बात है.	అధయకషుడే ఇది ఒక ఉదాహరణ అని, చరితరాతమకం అని చెపపాడు.
मैंने सुना आपको और आपके परिवार को धमकी मिली.	మిమమలని, మీ కుటుంబానని బెదిరిసతుననారట.
तो तुम कया करते हो?	అయితే మరి ఏమి చేసతావు?
और कया सोच सकती हो?	మరి ఏమి ఆలోచిసతుననావు?
इस अदालत का फरज है.	పరతివాదులకు, సాకషులకు.
इसमें हमें एक खोपडी की तसवीर दिखती है जिसके अगले हिससे में छेद है,	ఈ ఫోటోలో కపాలానికి ముందువెపున ఒక రంధరం ఉననటలు కనబడుతోంది,
कुबिक की मारमिक गवाही के साथ शुरू हुई.	ఆమె అదృశయమెన మారియా కరిసటినా లెఫటరాఫకు తలలి.
सर, मुझे वहाँ काम करने पर मजबूर किया गया था.	సార, ననను అకకడ బలవంతంగా పని చేయించారు.
बहुत अजीब और रूखी आवाज थी. थोडी हासयासपद थी.	అది ఒక వింతెన, గరుకు గొంతు. కొదదిగా అసంబదధంగా ఉంది.
हम रोज उममीद करते थे. . .	మేము రోజూ ఆశగా చూసేవాళళం. . .
मुझे एक बात समझ में नहीं आती.	నాకు ఒకటి అరథం కావటంలేదు.
मैं अपने लोगों के साथ करूँगा.	నేను నా మనుషులతో చేసతాను.
पागल सटरासेरा खुद आया है.	మయాడ మయాన సతరసేరా వయకతిగతంగా.
हैलो, जरा सुनिए. गुड मॉरनिंग.	హాయ, ఇటు చూడండి. నమసకారం.
ये लोग अभियोजन पकष से आए हैं.	వీళళు పరాసికయూషన మనుషులు.
देखो तो कौन मिलने आया है.	చూడటానికి ఎవరు వచచారో చూడండి.
इन सभी नौजवान लोगों और मेरे सहकरमी, मिसटर मोरेनो ओकामपो की बदौलत.	ఈ యువత, నా సహాయకుడు మొరేనో ఒకాంపో వలనే ఇదంతా సాధయమయింది.
और उसने आपके बारे में कभी नहीं पूछा.	అతను మీ గురించి ఎపపుడూ అడగలేదు.
सुनवाई होगी और आज ही शुरू होगी.	ఈ విచారణ జరుగుతోంది, ఇవాళ మొదలయింది.
-यह तो बिलकुल बेइजजती है. -बहुत हुआ.	-ఇది పూరతిగా అగౌరవపరచటం. -చాలు.
न ही यह मामले का बयौरा है, सटरासेरा!	ఒక కేసు ఫెల కూడా కాదు, సతరసేరా!
अगर मुकदमा गैर-सैनय अदालत में चले तो?	ఒకవేళ సాధారణ నయాయసథానం ఆ కేసులను తీసుకుంటే?
"सामयवाद कया है? " मुझे कोई अंदाजा नहीं था.	"కమయూనిజం అంటే ఏమిటి? " నాకు తెలియదు.
-रुक जाओ! -चलो भी, जेवियर, तुम बहुत खूबसूरत लगोगे!	-ఆపు! -రా, హావియర, నువవు అందంగా కనిపిసతావు!
-पर यह साबित करना सबसे मुशकिल है. -मुशकिल कयों है?	-కానీ దానిని నిరూపించటం కషటం. -ఎందుకు కషటం?
यह बहुत अहम हो सकता है, कयोंकि वे जयादा मामलों की	ఇది చాలా ముఖయం అవవొచచు, ఎందుకంటే వాళళు మరినని కేసులు. . .
मेरे सिर पर सवेटर डालकर मुझे कार के फरश पर धकेल दिया गया,	వాళళు నా తలపె ఒక సవెటర కపపి, కారులో నేలపె తోశారు,
उनकी ओर से मैं यह ऐलान करने की जिममेदारी लेता हूँ	కాబటటి, పెశాచికతవం ఒక రాజకీయ సిదధాంతంగానీ, యుదధ వయూహంగానీ
पलीज, बैठ जाओ.	కూరచో, పలీజ.
वे वैसा नहीं कर सकते.	వాళళు అది చేయలేరు.
डॉकटर अलबरटो मुचनिक वकील	డాకటర ఆలబరటో ముచనిక నయాయవాది
मिसटर सटरासेरा, रोकने के लिए माफी चाहूँगा.	సతరసేరా గారూ, అంతరాయానికి మననించండి.
मेरी बात मानो.	నా మాట విను.
यह धयान में रखकर कि मधयम वरग किसी सैनय तखतापलट को	మనసతతవం ఉనన ఈ మధయతరగతివారిని మనం ఒపపిసతేనే
दिसंबर	డిసెంబర
अपनी योजना पर धयान देते हैं.	మనం పలానపె దృషటి పెడదాం.
पकका पता है?	బాగా నమమకమేనా?
कया किसी ने देखा. . .	ఎవరెనా చూశారా. . .
मारिया करिसटीना लेफटरॉफ को अगवा करके किलमेज बरिगेड ले जाया गया.	మారియా కరిసటినా లెఫటరాఫను కవిలమెస బరిగేడకు అపహరించారు.
हमें बताया गया कि हमारी माँ को तुकुमन भेजा जाएगा.	మా అమమను టుకుమానకు పంపుతామని మాకు చెపపారు.
तुमहें पता है.	నీకు తెలుసు.
और यह बहुत फूहडपन है.	అది చాలా అనాగరికం.
तो मरने वालों को कौन गिनेगा?	మృతులను ఎవరు లెకకిసతారు?
और जज साहिबान?	నయాయమూరతులు?
मैं कानून तोडने वालों को सजा पाए बिना नहीं जाने दे सकता.	చటటానని అతికరమించి తపపించుకునేవారిని నేను వదలను.
अरजेंटीनियन फेडरेशन ऑफ साइकेटरिसटस.	అరజెంటీనా సెకరియాటిసటుల సమాఖయ.
जनम दिलवाए, और वह अपनी बचची को	ఇవవకపోవటం వంటి అఘాయితయాలు చేయటానికి
जिसे उससे सिरफ पूछताछ करने का आशवासन दिया गया था.	కేవలం పరశనిసతామని ఆమె సోదరికి హామీ ఇచచారు.
गवाहों को बयान देने का डर नहीं होना चाहिए.	సాకషులు సాకషయం చెపపటానికి భయపడకూడదు.
और बाकियों को?	మిగిలినవారు?
अपने इतिहास का सबसे अहम मुकदमा इतने कम समय में चलाना है	మన చరితరలోనే అతయంత ముఖయమెన విచారణను చేయబోతుననాం
-जानते हैं कि यह फैसला. . . -अचछी तरह जानता हूँ.	-ఈ నిరణయం గురించి మీరు. . . -నాకు తెలుసు.
किस चरचा के चलते वे आदेश दिए गए थे?	ఆ ఫరమానాలను జారీ చేయటానికి మీ వాదన ఏమిటి?
पूछताछ करते हुए उनहें यातनाएँ दीं.	విచారణ పేరుతో హింసలు పెటటారు.
मेरी जासूसी मत कीजिए, ठीक है?	నా పెన గూఢచారులను పెటటవదదు, సరేనా?
पलीज, मेरा मूड खराब मत करो.	పలీజ, నా మూడ పాడుచేయకు.
-मिलकर खुशी हुई. -खुशी हुई.	-నా సంతోషం. -ఒక సంతోషం.
वह असपताल में परमुख है.	ఒక ఆసుపతరిలో పరధాన వెదయుడు.
आप शांत होंगे? आराम से.	నువవు శాంతిసతావా? శాంతించు.
मुकदमे जारी रहने चाहिए. . .	విచారణలు కొనసాగాలి. . .
कया उसका मतलब हर कीमत पर जानकारी हासिल करना है?	దాని అరథం ఎలాగెనా సమాచారానని సేకరించటమా?
-वह काफी नहीं है. -कैसे? मैंने नहीं कहा.	-అది సరిపోదు. -అది ఎలా? నేను వదదని చెబుతుననాను.
आप एक रिपोरट देखेंगे	అదృశయమెన వయకతులపె
कुछ गडबड हो सकती है.	ఏదెనా చెడిపోవచచు.
वह इस काम के लिए बहुत बूढा हो गया.	అతను ఇలాంటివాటికి చాలా పెదదవాడు అవుతాడు.
अभी बेरोजगार हूँ.	పరసతుతం నిరుదయోగిని.
-उस तरफ दो बलॉक दूर. -उस तरफ. चलो.	-అటువెపు రెండు వీధుల అవతల. -అటువెపు. రా.
-जमा कर दो. -कया?	-సమరపించండి. -ఏమిటి?
हाँ, हमारे साथ चलिए.	అవును, మాతో రండి.
ऐसा नहीं कर सकते.	లేదు, మనం కాపాడలేము.
मैं चिंता न करूँ.	నేను పటటించుకోగూడదు.
करनल अंकल के साथ?	ఒక కలనల మామతో కలిసి?
कया? उसे फिर से समझाऊँ? 20वीं बार?	ఏమిటి? అతనికి మళళీ వివరించాలా? 20 సారలా?
तुम राषटरीय हीरो हो.	మీరు ఒక దేశ హీరో.
यह बात सामने लानी चाहिए कि दमन का आदेश मारिया एसटेला मारटिनेज डे पेरोन की	మారియా ఎసటెలా మారటినెజ డి పెరోన గారి పరజాసవామిక పరభుతవం సమయంలో
गवाहियों में जाहिर तौर पर उनके जखमों की झलक होगी. . .	రాతపూరవక సాకషయాలలో గాయాలు పరతిబింబిసతాయి. . .
और कया गारंटी दे सकते हैं कि मुकदमा परकरिया से चलेगा.	ఇంకా మనం హామీ ఇసతే విచారణ పరకరియ మొదలవుతుంది.
हम उनहें वह देंगे जो उनहोंने अपने पीडितों को नहीं दी.	వాళళు బాధితులకు ఇవవనిదానిని మనం వాళళకు ఇదదాం.
और तुम कुछ नहीं कर पाओगे? फिर से?	ఏమీ చేయలేకపోతుననారా? మళళీనా?
आप विडेला को जेल पहुँचाएँगे.	విదేలాను మీరు జెలులో పెడుతుననారు.
-पेरोनवाद-विरोधियों के बीच रहना पसंद नहीं. -सवागत है, माको.	-పెరోనిసటుల వయతిరేకి ముదర ఇషటంలేదు. -సవాగతం, మాకో.
और उनकी बदौलत ही आज मैं यहाँ इंसाफ माँगने के लिए मौजूद हूँ.	ఇవాళ నయాయం కోరుతూ నేను ఇకకడ ఉననానంటే, వాళళ పుణయమే.
जानते हो कि अगर जज मुकदमे के लिए राजी होते हैं, तो तुम मना नहीं कर सकते?	నయాయమూరతులు కేసులు తీసుకోవటానికి ఒపపుకుంటే, కాదనలేవని తెలుసా?
तो वे आरोप-मुकत होंगे.	నిరపరాధులు అని పరకటించాలి.
-हैलो. -हैलो.	-హాయ. -హలో.
बेचारा शूबरट.	పాపం షూబరట.
तुम मेरी बेटी से मिले.	మీరు నా కుమారతెను కలిశారు.
जज साहिबान,	గౌరవనీయులారా,
तुमने पहले से कुछ चुना है?	పూరవ ఎంపిక ఎలా చేశావు?
मैं पानी नहीं पी सकता था. मुझे बिजली के झटके दिए गए.	నేను నీళళు తాగలేకపోయాను. నాకు కరెంట పెటటారు.
-वह भेदिया हो सकता है. -कैसे पता?	-అతను గూఢచారి అయి ఉండొచచు. -ఎలా తెలుసు?
उनहोंने मुझे बाहर निकालकर सवेटर निकाला,	ననను బయటకు దించారు, సవెటర తీశారు,
यह तथय ही है, जज साहब.	ఇది ఒక నిజం నయాయమూరతిగారూ.
ऐसी कोई कमांड नहीं है. कोई खास जानकारी दोगी?	అలాంటి కమాండ ఏమీ లేదు. మరి కాసత నిరదిషటంగా చెబుతావా?
मैं चिललाई,	నేను అరిచాను,
वे पिजजा की दुकान में हैं.	పిజజా హోటల వదద ఉననారు.
और वियोला को?	మరి వియోలా?
माफ करना, मुझे वह बंदा पसंद नहीं. पता नहीं तुम जानती हो या नहीं कि. . .	సారీ, నాకు ఆ మనిషి ఇషటం లేదు. నీకు తెలుసో, లేదో ఈ విషయం. . .
घरों से जबरदसती ले जाते देखा, जो आज तक लापता हैं.	ఇళళనుంచి తీసుకెళళబడి, కనిపించకుండా పోయారో చాలామంది చూశారు.
मैं 14 नंबर अदालत की रिसेपशन पर काम करती हूँ.	14వ కోరటులో రిసెపషన డెసకలో పనిచేసతాను.
अदालत ने कहा है कि तुम किसी से नहीं मिल सकती.	నువవు ఎవరినీ చూడకూడదని కోరటు చెపపింది.
"हजारों मामलों के बारे में बताना नामुमकिन है,	"వేలాది కేసుల గురించి మాటలాడటం అసాధయం,
पूरे देश से लोग गायब हो गए.	దేశవయాపతంగా మనుషులు అదృశయమయయారు.
यही नृशंसता सजा-माफी की परिकलपना को बेहद भयानक बना देती है.	వీళళు చేసిన అకృతయాలకు ఇపపుడు శికషలు పడకపోతే, అది భయవిహవలత సృషటిసతుంది.
मैं अभी आती हूँ!	నేను ఇపపుడే వసతాను!
वह 21 साल की थी.	ఆమెకు 21 సంవతసరాలు.
जितने में मुरगी चोर का मुकदमा भी पूरा नहीं होता.	ఒక కోడి దొంగతనం కేసు చేయటానికి పటటేదానికననా తకకువ సమయంలో.
अगर किसी ने उनहें देखा ही न हो तो? वही तो योजना थी, है न?	ఎవరూ చూడకపోతే ఏం చేయాలి? అది పలానలో భాగం, అవునా?
-यह ठीक है? -उस शेलफ पर एसमा वाले हैं.	-ఇది బాగుందా? -ఎసమా ఆ అరపె ఉంది.
माफी चाहूँगा, जनरल.	మననించండి, జనరల.
फरवरी, 1975 में,	1975 ఫిబరవరిలో. . .
इसका जवाब दीजिए.	మీరు జవాబు చెపపాలి.
तीन मिनट बाद मेरी बचची रोने लगी.	మూడు నిమిషాల తరవాత నా బిడడ ఏడవసాగింది.
तुम अचछा कर रहे हो,	బాగా చేసతుననావు,
हमारे अपराध-सिदधि के अनुरोधों पर	ననను జాగరతతగా ఉండమని నాకు చెపపాడు. . .
पर तुम जानते हो.	కానీ నీకు తెలియాలి.
जब तीन परतिवादियों ने एक बार फिर	సాయుధ దళాల తరపున పరతివాదులలోని ముగగురు
वह 16 साल की थी.	ఆమెకు 16 సంవతసరాలు.
मिसटर सटरासेरा, कृपया कारयवाही के नियमों का सखती से पालन कीजिए.	సతరసేరా గారూ, నయాయసథాన నిబంధనలకు కటటుబడి వయవహరించండి.
जिसमें मुझे फँसाकर कोई सौदेबाजी कर सकते हैं.	బేరసారాలు ఆడడానికి ననను వాడుకుంటారని.
पता था. यह शहर फासीवादियों से भरा है.	నాకు అది తెలుసు. నగరంనిండా అతివాదులు ఉననారు.
-कोई वजह जरूर होगी. -कोई वजह नहीं है!	-దానికి ఒక కారణం ఉండాలి. -దానికి కారణం లేదు!
वे सभी सैनिक जैसे ही हैं.	వాళళు ఒక రకమెన సెనయం.
-कौन था? -एक दोसत था.	-అది ఎవరు? -ఒక సనేహితుడు.
कितने आरोप दाखिल किए?	ఎనని పరాసికయూషనలు చేశావు?
तुमहारी माँ मदद करती हैं?	మీ అమమ సాయం చేసతుందా?
इससे तो मुशकिल सहोगे.	దానివలన నీకు ఉపయోగం లేదు.
-अभियोकता साहब. -हाँ?	-పరాసికయూటర గారూ. -చెపపు?
जैसे कि घरेलू कानून में किसी खास परिभाषा का न होना	దేశీయ చటటంలో ఇవాళ విచారణలో ఉనన నేరం రకానని
बहुत अहम और जरूरी है,	అరజెంటీనా దేశానికి అవసరం,
अचछा, कया जानना चाहते हो?	సరే, మీకు ఏమి కావాలి?
वे उसका कोई और मतलब निकाल ही नहीं सकते थे.	వాళళు దానిని వేరేవిధంగా అరథం చేసుకునే అవకాశం లేదు.
पुरानी यादों, सचचाई और नयाय के दावे कभी नहीं रुके.	జఞాపకాలు, నిజం, నయాయంకోసం పరయతనాలు ఆగలేదు.
कि वह मुझे और अपने पिता को एक संदेश भेज रही थी,	నాకు, తన నాననకు ఒక సందేశం పంపుతుననానని దానిలో రాసి ఉంది,
लेकिन तुमने कुछ देखा. कया वे खुश थे, परेशान थे?	కానీ ఏదో చూసి ఉంటావు. వాళళు సంతోషంగా ఉననారా, ఆందోళనగానా?
अभी? नहीं. कोई नहीं, शूनय.	ఇపపుడా? లేదు. ఎవరూ లేరు, శూనయం.
हाँ, सबको उसे सुनना चाहिए.	అవును, దీనిని పరతివాళళూ వినాలి.
एक खडूस नासतिक से हुई है, और अब तुम राषटरीय हीरो हो.	పెళళి చేసుకుననానని ఎపపుడూ అనుకునేదానిని, ఇపపుడు మీరు దేశ హీరో.
लेकिन वे एएफपी से जुडे थे,	కానీ వాళళు ఏఎఫపీకి చెందినవాళళు.
चलो भी, मुझे थोडी खुशी दो.	చాలు, కొదదిగా ధెరయం తెచచుకోండి.
इसका मतलब शारीरिक दमन बिलकुल नहीं है.	భౌతికంగా నిరమూలించటం కానే కాదు.
15 अपरैल को मुझे परसव पीडा हुई.	నేను ఏపరిల 15న పరసవించటానికి వెళళాను.
मानव अधिकारों के लिए परतिबदध वकीलों के बजाय	యువ నయాయవాదులను తీసుకోవటం మంచి ఆలోచన
मैं इस मुकदमे और सजा की सिफारिश कर रहा हूँ,	నేను వాదిసతునన ఈ విచారణ, శికషల దవారా
-तुमहें किस बात का डर है? -हर बात का, सिलविया!	-మీరు దేనికి భయపడుతుననారు? -అననిటికీ సిలవియా! అననిటికీ!
एडरियाना कैलवो दी लाबॉरडे अदालत में हाजिर हों.	నయాయసథానం శరీమతి అడరియానా కాలవో డి లబోరడేను పిలుసతోంది.
पता है कया बात है? मुझे हमेशा लगा कि मेरी शादी	మీకు ఇది తెలుసా? నేను ఒక ఆసతికుడెన కోపధారి మనిషిని. . .
हम जानते हैं कि वह उस सकूल वाली लडकी का कजिन है.	అతను సకూల నుంచి ఆమెతో కలిసి చదివిన కజిన.
-ऐसा कर सकते हैं? -बेशक कर सकता हूँ?	-అలా చేసతారా? -అవును, చేసతాను.
वह यहाँ आ रहे हैं.	అతను వసతుననాడు.
हावी, इसे चला दोगे, पलीज?	హావి, దానిని ఆన చేసతావా, పలీజ?
यह लो.	ఇకకడ.
"गैर-सरकारी तखतापलट का सामना करने के लिए	"సెనిక పరకరియలు అనని విధాలుగా దోషరహితంగా ఉననాయని
तुमहें एक बात बताता हूँ. सुनो.	నీకు ఒకటి చెబుతాను. విను.
पापा?	నాననా?
-कोई बात नहीं? -खैर. . .	-ఏమీ లేదా? -సరే. . .
बाप रे! मुझे पता नहीं था. अफसोस की बात है.	నువవు చెపపలేదు! నాకు తెలియదు. పాపం.
मतलब हमारे देश को गुरिलला योदधाओं से बचाने वालों पर आरोप लगाना है.	అంటే విపలవకారులనుంచి మనను కాపాడేవారిపె అభియోగాలు మోపటం.
-सही नाम लिया? -हाँ.	-సరిగగా పలికానా? -అవును.
पेशा?	వృతతి?
फरवरी 1985	ఫిబరవరి 1985
कमान की जिममेदारी सैनय सरकार की है.	సెనిక దళం బాధయత సెనిక పరభుతవం చేతిలో ఉంది.
पापा.	నాననా.
-बम का कया होगा? -उसे फटने दो.	-బాంబు సంగతి ఏమిటి? -అది పేలనివవండి.
जिसमें सैनय बलों के निमन अफसर शामिल हैं.	విచారణ మొదలయిందని నేను ఇందుమూలంగా పరకటిసతుననాను.
हसतकषेप के लिए.	సహకారం అవసరమయింది.
लुइस.	లూయిస.
मिसटर सटरासेरा, अपनी बारी का इंतजार कीजिए, पलीज.	సతరసేరా, మీ వంతు వచచేదాకా ఆగండి, దయచేసి.
-यह साथ रह सकती है? -नहीं. बस गवाह रहेंगे.	-ఆమె నాతో ఉండవచచా? -సాకషులు మాతరమే.
यह ऐसे इंसान का मामला है जिसे मैं नहीं जानती थी. जिसे कई दिनों तक यातना दी गई.	ఇది నాకు తెలియని వయకతి కేసు. అతనిని వాళళు రోజుల తరబడి హింసించారు.
यह हर रोज गवाही देने वाले	పరతిరోజూ సాకషయం చెపపే సాకషులకు
मुझे एक गशत कार में बैठाया और हम पाँच नंबर के थाने से निकले.	ఒక గసతీ దళం వచచింది, ననను ఎకకించుకుని తీసుకెళళారు.
