पैट!	పాట!
हाँ, वह तुमहें नहीं जानता है. उसे याद नहीं है.	అతనికి మీరెవరో తెలీదట. గురతు లేదట.
तुम एक बीमारी हो.	మీరు అసలు మనుషులే కాదు.
तुमने उसे इतनी चोट. . .	ఎందుకు ఆమెని. . .
इसलिए समय आ गया है कि तुम मुझे सब सच बताओ.	కాబటటి, ఇపపటికెనా నిజం చెపపండి.
कया वह ठीक है?	అతను బాగానే ఉననాడా?
कया वह ठीक है?	వాడు బాగానే ఉననాడా?
इवेट. तुमहें शरी कारडोना को घर छोडने जाने में ऐतराज नहीं होगा, है न?	ఇవెట. ఏమనుకోకుండా మిసటర కారడోనాని ఇంటలో దింపుతావా?
मेरे पास एक गवाह है जिसने उस दिन आपातकालीन सेवाओं को	ఆ రోజు మీ ఫలాటులో ఏదో గోల జరుగుతుననటటు
मेरे सिवाए, मैं किसी के साथ भी सेकस कर सकता हूँ.	నాకు తపప. నాకు అమమాయి అయితే చాలబబా.
हाँ, मैं जलद ही घर आ जाऊँगा, वादा करता हूँ. जलद ही.	హా, తవరలోనే ఇంటికి వచచేసతా. పరమాణపూరతిగా చెపతుననా. వచచేసతా ఇంకాసేపటలో.
अरे, यह अचछा संकेत है.	అది మంచి విషయమే.
तुमहारे फलैट में हो रहे हंगामे के बारे में सूचना दी थी.	ఒక సాకషి, ఎమరజెనసీ సరవీసులకు కాల చేశారు.
एरॉल बस सकूल से लौटा था.	ఎరరొల అపపుడే కాలేజీ నుండి వచచాడు.
- मैं उससे पयार करता था. मैंने उसे नहीं मारा. - कोई बात नहीं. ठीक है.	- తనంటే నాకు పరాణం. తనని నేను చంపలేదు. - పరవాలేదు.
अरे, ऑमलेट, हाँ. ठीक है, हाँ.	హా, గురతొచచింది. సరే.
हमें हमारा अपराधी मिल गया है.	నేరసథుడు అతనే అంటావు.
हम आपको निराश नहीं करेंगे. चिंता मत कीजिए, बॉस.	నినను నిరశపరచం. కంగారుపడవదదు, బాస.
पासता? फराइज?	పాసతా? ఫరెంచ ఫరెస?
और उस लडकी का कया?	మరి ఆమె ఎవరు?
चलो भी. यह कया है?	బాబోయ. ఏం మాటలాడుతుననారు?
तो कोई तुमहें गलत नहीं समझेगा, समझे?	నీ గురించి ఎవరూ చెడుగా అనుకోరని గురతుంచుకో, సరేనా?
बेटी है. उसे जयादा कषट सहना पडा.	పాప. తను కుదేలెపోయింది.
बेशक सुंदर भावनाएँ थीं. मुझे माफ कर दो.	అవునులే. ననను కషమించేసేయండి.
गवाह का बयान - जेसन उमर 18 से जयादा - पागल है	సాకషి వాంగమూల - జేసన 18కు పెనే - ఏం చేసతుననాడో అతనికే తెలీటలేదు
कैसा झगडा?	గొడవపడటం అంటే?
नहीं.	రాలేదు.
- मुझे बस पता है! हाँ. - बस यूँ ही पता है?	- నాకు తెలుసు, అంతే. - అంతేనా?
सुनो. मेरी बात सुनो.	వినండి. చెపపేది బాగా వినండి.
मैं बयान नहीं दूँगा.	నేను అధికారికంగా ఇది చెపపను.
उस बचचे का कया होगा?	మరి ఆ పిలలాడి పరిసథితి ఏంటి?
चलो भी.	రండి.
तो, नहीं, वह ठीक नहीं है.	కాబటటి అతను అంత బాగా లేడనే చెపపాలి.
वह सच में शकतिशाली है, है न?	అసలెన పులి కదా అతను?
कैसा झगडा?	గొడవపడటం అంటే?
तुम सुनना चाहोगे पैटरिक ने तुमहारे बारे में कया कहा?	మీ గురించి పాటరిక ఏమననాడో వినాలనుందా?
मैं पीआर विभाग से हूँ.	నేను పీఆర శాఖలో పని చేసతుననాను.
- कि अभी सचचाई पता चले, समझे? - हाँ.	- తరవాత ఏ పురోగతి లేకుండా చతికిలబడకూడదు మనం. - సరే.
वह चीख रही है.	ఆమె కేకలు పెడుతోంది.
चलो भी!	కానివవండి!
हमें हमारा अपराधी मिल चुका है.	దోషి మనకి దొరికాడుగా.
उनहोंने कहा, "बस उसकी माँ. "	వాళలు "అమమ మాతరమే వచచింది, " అని అననారు.
"तुमहें कया लगता है हम कौन हैं? हमारे पास कोई पैसे नहीं बचे.	"మనమేమననా డబబుననోళళమా? డబబులు ఎకకడ ఉననాయి?
कया यह जानबूझकर किया गया था? कया उसने दिमागी संतुलन खो दिया था?	అది ఉదదేశపూరవకంగా జరిగిందా? పిచచెకకి చేశాడా?
- हमें यह नहीं पता. - हमें यह नहीं पता?	- అలా అని మనం ఖచచితంగా చెపపలేం కదా. - ఖచచితంగా చెపపలేమా?
यह बुरा नहीं है.	చెడడ పని కూడా కాదు అది.
तुमहारे सिर में शारीरिक चोट का कोई सबूत नहीं है.	దానని ఎలా అరథం చేసుకుననానో, ఇపపుడు మీది కూడా అలాగే అరథం చేసుకుంటుననా.
तुमहारी अपनी याददाशत का कया, कुछ याद आया?	మీ జఞాపకాల పరిసథితి ఎలా ఉంది, మీకు ఏమెనా గురతుకు వసతుననాయా?
कया वह अकसर बचचे के साथ यहाँ आकर आपकी मदद करती थी?	పిలలాడిని తీసుకొని తను ఇకకడికి చాలాసారలే వచచేదా, మీకు సాయం చేసతూ ఉండేదా?
पर तुमहारे अंदर कया है, तुम कया करने में सकषम हो,	కానీ మీలో ఏముందో, మీరు ఏం చేయగలరో,
उसके पास एक जीनस थी, लडकियों वाली जीनस जिसपर यूनिकॉरन बने थे.	వాడికి అమమాయిలు వేసుకుంటారు కదా, అలాంటి జీనస పయాంట ఒకటి ఉంది, దాని మీద యూనికారనస ఉంటాయి.
पैसों के.	డబబు విషయంలో.
असपताल ने	ఆసుపతరి వాళలు
शायद मैंने तुमहें पहले भी इस बारे में बताया था, पर. . .	నీకు ముందే చెపపాను అనుకుననా, కానీ. . .
- मैं बस अपना फोन ढूँढ रहा हूँ. - मैंने उसकी हतया नहीं की.	- నా ఫోన కోసం. - తనని చంపింది నేను కాదు.
पैटरिक नशे में बिताई. . . एक रात का परिणाम है.	తాగి ఉననపపుడు ఒక రాతరి జరిగిన దానికి పరతిఫలంగా. . . పాటరిక పుటటాడట.
झगडा नहीं करते हैं?	గొడవపడటం? హా?
यह उसने किया?	ఆ పని ఎరరొల చేశాడా?
कयों पहुँचाई?	అంత కసిగా పొడిచారు?
अचछी चीजें करना अचछी बात है.	అంటే, మంచి పనులు చేయడం అనేది మంచి విషయమే.
मुझे मेरे घर, मैनिनघम फलैटस में फलैट 616 में घुसने से लेकर	మానింగమ ఫలాటస లో నేను ఉండే ఫలాట అయిన, ఫలాట నంబరు 616లోకి నేను పరవేశించిన తరవాత నుండి,
उसे छोडो! छोडो!	అతడిని వదలండి! వదలండి!
तुमहारी माँ यहाँ नहीं है.	మీ అమమ ఇకకడ లేదు.
- हमारे बीच कोई लडाइयाँ नहीं होती थीं. - एरॉल. . .	- మాకేమీ గొడవలు లేదు. - ఎరరొల. . .
मैं बस यूँ ही सबके सामने. . . यह सब नहीं कहता हूँ.	వాటిని నేను. . . నేను ఎవరితో అనను.
तुमहें ऐतराज तो नहीं होगा न?	మీకేం పరవాలేదు కదా?
- कया? - सातवाँ पनना.	- ఏం వేశారు? - ఏడవ పేజీలో ఉంది.
तुम सब ले जा चुके हो. "	అననీ నువవు పటటుకుపోయావుగా. " అననా.
तुमहें सावधान रहना चाहिए.	నువవు ఆచితూచి మాటలాడాలసిన అవసరం ఉంది.
उसने कहा कि वह इतना बेवकूफ है और. . .	పనికిమాలినవాడట, ఇంకా. . .
- मैं दिल से दे रही हूँ. - मुझे तुमसे पयार है.	- నిజంగానే చెపతుననా. - ఐ లవ యూ.
कोई भी आपराधिक इतिहास वाला नहीं मिला.	నేర చరితర ఉననవాళలందరినీ తనిఖీ చేసి, ఏమీ లేదని తేలచేశాం.
डैड?	నాననా?
इसमें कोई बुराई नहीं है.	అదేమీ తపపు కాదు.
हाँ.	అవును.
आदमी? कौन सा आदमी?	అతడంటే ఎవరు?
डैड?	నాననా?
वह चल बसी.	తను చనిపోయింది.
दो हफतों का अनुकंपा अवकाश.	సంఘీభావంగా రెండు వారాలు సెలవులు ఇచచారు.
हाँ.	అవును.
कुछ याद आया?	ఏమెనా గురతొచచిందా?
हाँ.	అవును.
एक रात को. . .	ఒకరోజు రాతరి వేళ. . .
हाँ.	అవును.
हाँ, ठीक है. चलो उनके सामने सीसीटीवी फुटेज को सबूत के रूप में पेश करें, समझे?	సరే మరి. సీసీటీవీ వీడియోను ఆధారంగా చూపిదదాం, సరేనా?
अंत में, हमें समय ही नहीं मिला.	చివరికి వచచేసరికి, దేనికీ సమయం లేకుండా పోయింది.
हाँ, पर मुझे उसकी बू बरदाशत नहीं होती है.	నాకు మాతరం ఆ వాసనే పడటలేదు.
जिन गरमियों में उसका देहांत हुआ था.	తను వేసవిలో చనిపోయింది.
तुमहारा दोबारा वापस जाना बेवकूफी होगी, है न?	మీరు సటేషనుకు వచచి మళలీ అకకడికి వెళలాలంటే చాలా దూరం అయిపోతుంది కదా?
और शायद तुमहारे पास उनकी रसीदें भी नहीं होंगी, है न?	వాటికి రసీదులు ఉననాయి కదా మీ దగగర?
तुमने अपना आपा खो दिया था?	విచకషణ కోలపోయారా?
फिर शुरू हो गए.	మొదలుపెడుతుననాడు బాబోయ.
अरे, चलो भी. मैं आलोचना नहीं कर रहा हूँ.	అబబా. నేనేమీ తనని అనటలేదు.
- दाँतों से काटने के निशान? - मुझे उनके बारे में समझाओगे?	- పంటి గాటలా? - దాని గురించి చెపతారా?
सेंट लूकस के करमचारियों से बात करो.	సెయింట లూకస ఆసుపతరికి వెళలి డయూటీలో ఉనన నరసులని అడుగు.
वह चला गया.	వాడు వెళలిపోయాడు.
खैर, यह सुनकर खेद हुआ.	నా పరగాఢ సానుభూతి తెలియజేసతుననాను.
यह देखो. कार में. बचचा पीछे है.	అదుగో. అతను కారులో ఉననాడు. పిలలాడు వెనుక ఉననాడు.
हिंसा का कोई इतिहास?	గతంలో ఎపపుడెన హింసకు పాలపడడాడా?
डैड, आप घर कब आएँगे?	నాననా, ఇంటికి ఎపపుడు వసతుననావు?
तुमहें याद है और कहाँ घोंपा था?	ఇంకెకకడెనా పొడిచారా?
तुम इकलौते इंसान हो जिसे उस बारे में पता होगा	అవననీ మీకు ఒకకడికే తెలుసతాయి,
वह 17 साल का था.	అపపుడు వాడికి పదిహేడేళలు.
और बूम.	గుదదేసింది.
कया वह तुमहारा फोन है?	అది మీ ఫోనేనా?
वह बेवकूफ कभी सुनती नहीं थी.	తను పిచచిది. అతని మాటలని పటటించుకునేది కాదు.
तुमहें याद है उसने कया कहा था, कया किया था, जब वह गुससे में चिललाया था?	అలా కోపంగా అరిచినపపుడు ఏమననాడో నీకు గురతుందా?
आप घर कब पहुँचेंगे?	ఇంతకీ ఇంటికి ఎపపుడు వసతుననావు?
यह बढिया है.	ఇది భలే మజాగా ఉంది.
वह बडी बात नहीं थी.	ఏమీ జరగలేదు.
अचछा? तुम कया जानना चाहते हो?	అవునా? అతని గురించి నీకేమెనా తెలుసుకోవాలనుందా?
तो तुमहें याद है?	అయితే మీకు గురతుంది అననమాట?
उसके दोसत उस पर हँस रहे थे,	వాడిని చూసి వాడి సనేహితులు వెకకిరిసతుననారు,
और वे किस बारे में चिलला रहे थे?	దేనికి అరుచుకుననారు?
कया हुआ?	ఏంటి?
इसी तरह.	అంతే.
- उसकी माँ के बारे में कया बताया? - हाँ.	- అతని అమమ గురించా? - హా.
और वे किस बारे में चिलला रहे थे?	దేనికి అరుచుకుననారు?
पर वह बेडरूम में था, दरवाजा बंद था, चाबी नहीं थी.	కానీ అపపుడు అతను బెడ రూమ లో ఉననాడు, తలుపు లాక చేసి ఉంది, తాళం చెవి కనిపించలేదు.
चलो. मैं सुन रहा हूँ.	చెపపు. వింటా.
ठीक है. सामने देखो. मेरी तरफ देखो.	సరే. ఇటు ననను చూడండి.
- वही है जो यहाँ हुआ था. - नहीं.	- ఇకకడ జరిగినది కూడా గురతు లేకుండా చేసతోంది. - లేదు.
मैं तुमहारी मदद करने की कोशिश कर रहा हूँ.	మీకు సాయపడాలనే నా ఉదదేశం.
हटो! पीछे हटो!	జరగండి! వెనకకి వెళలండి!
आप काम से घर कब लौटेंगे?	పని ముగించుకొని ఇంటికి ఎపపుడు వసతుననావు?
जाँच में आपकी मदद करने के लिए तैयार हूँ.	నేను పూరతిగా సహకరిసతాను.
वह उस आदमी के साथ एक ही छत के नीचे रहेगा. . .	ఆ మనిషితో పాటు జీవిసతూ. . .
वह कया है?	ఏంటది?
वाइटकरॉस में है. . .	ఈ వయకతి. . .
उसका और पीडित का कया? या उसका और किसी और साथी का?	అతనికీ, చనిపోయిన వయకతికి ఏమెనా గొడవలు జరిగాయా? పోనీ అతనికి, అతని పాత లవరలకు అయినా?
तो, कयों न कहानी बदल दें?	కాబటటి, మనం ఆ కథనాననే వేరుగా చెపపవచచు కదా?
तुमहें कभी अपना खुद का बचचा नहीं चाहिए था?	మీరు పిలలలు కనాలనుకోలేదా?
पकका उसने सब कुछ सुना होगा.	విని ఉంటాడు కదా.
बॉस, दे. . . माफ करना, पर,	బాస. . . ఇలా అడుగుతుననందుకు మననించాలి, కానీ,
- डीसीआई हैगरटी? - हाँ.	- డిటెకటివ చీఫ ఇనస పెకటర, హెగరటీ? - హా.
पौधे लगा रहे हैं.	మొకకల పని.
"मैं 20 सितंबर 2011 को, मेरी साथी,	"సెపటెంబర 20, 2011న జరిగిన నా లవర, అడిలెడ బరోస హతయ విషయంలో
मैंने बस अपना आपा खो दिया था.	విచకషణ కోలపోయాను.
जो समय कहा जा रहा है, वह उस समय फलैट में मौजूद नहीं थे.	ఆ ఫలాటులో లేడని కూడా చెపతుననారు.
वह जीनस. वह लूटपाट.	జీనస. లూటీ.
- सुंदर भावनाएँ! - सुंदर भावनाएँ.	- అపురూపమెన కషణాలు. - అపురూపమెన కషణాలు. అపురూపమెన కషణాలు.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
ठीक है.	సరే.
हाँ. तुमहारे बीच की भावनाएँ?	హా. మీ మమకారాలా?
- नाम बताओ. - नहीं, नहीं.	- అది మాకు చాలా ఉపయోగపడుతుంది. - లేదు, లేదు.
जब वह बचची थी, उसे नींद ही नहीं आती थी.	అససలు నిదరపోయేదే కాదు.
आपकी समसया कया है?	ఇకకడ సమసయగా మీకు ఏం అనిపిసతోంది?
देखो, इस संबंध में. . .	చూడండి, మీరు ఇచచిన సటేట మెంట విషయంలో. . .
पैसों के?	డబబా?
पैसों के?	డబబా?
तुम ठीक हो?	నువవు బాగానే ఉననావా?
पर उसकी मौत के सदमे के कारण,	కానీ ఆమె చనిపోయిన కారణంగా నేను పడిన మానసిక కషోభ వలన
उसने तुमहारी माँ से कया कहा था?	మీ అమమని ఏమననాడు?
- तुम शादी करने वाले थे? - हाँ.	- అవునా? - అవును.
उसने तुमहारी माँ से कया कहा था?	మీ అమమని ఏమననాడు?
- कोई इतिहास है? - नहीं.	- గతంలో ఏమెనా జరిగిన దాఖలాలు ఉననాయా? - లేవు.
डैन, फिर से मैं बोल रही हूँ.	డాన, మళలీ నేనే.
तुमहें पता है कि वे इसे कया कहते हैं, है न?	ఇదేంటో మీకు తెలుసు కదా?
तो फिर, ठीक है.	సరే మరి.
ठीक है. ठीक है.	సరే మరి.
तुमने कार ठोक दी.	మీరు కారు పరమాదానికి కారణమయయారు.
तुमहें कोई अंदाजा है?	ఎందుకంటారు?
और तुमहारा चहीता, एरॉल, वह उनके साथ वहाँ दंगों में भाग ले रहा था.	మీ ఎరరొల కూడా ఆ అలలరలో పాలగొననాడు.
छह महीने पहले.	ఆరు నెలలు కరితం చనిపోయింది.
- कया, तुमहारे बारे में? - हाँ.	- మిమమలనా? - హా.
इस बीच, मुझे इस आपातकालीन कॉलर की	ఈలోపు, ఎమరజెనసీ కాల చేశారు కదా, ఎరరోల ఆ సమయంలో ఫలాటులోనే ఉననాడని
नहीं. वह अनाथाशरम वगैरह में पली-बढी थी.	లేరు. తను పరభుతవ అనాథాశరమంలో పెరిగింది, తనకి ఎవరూ లేరు, అందులో ఏ సందేహమూ లేదు.
कोई खबर?	ఏమెనా తెలిసిందా?
अरे, भगवान के लिए.	అయయబాబోయ.
तुम सहमत हो?	ఓకేనా?
हे भगवान.	దేవుడా. ఓరి దేవుడా.
सीने में.	ఇంకా ఛాతిలో పొడిచా.
बिलकुल. सौ परतिशत.	పకకాగా చెపతుననా. నూటికి నూరు శాతం అతనే.
तुमहें कया खाना पसंद है?	ఏం తింటావు?
नहीं. हमें हमारा अपराधी मिल गया है.	లేదు. అతనే దోషి.
सतरह.	పదిహేడేళలు.
तो. . . यही बात है.	కాబటటి. . . మళలీ మొదటికే వచచింది పరిసథితి.
और आपको देखिए.	తన జీవితంలోకి మీరు పరవేశించారు.
जलद ही.	తవరలోనే వచచేసతా.
उसने कया कहा था? उसने तुमहारी माँ से कया कहा था?	అపపుడు ఎరరొల ఏమననాడు?
हाँ. कभी-कभी.	హా. ఒకకోసారి అలాగే పిలిచేవాడు.
यह समझाना. . .	తను చనిపోయిన ఆ వేసవి కాలానని. . .
थोडा जलदी चलो.	కావాలని అలా నిదానంగా నడవకు, గురూ.
हाँ. चलो. चलो चलें.	సరే. పద.
कया वह मेरे बारे में पूछ रहा है?	ననను అడిగాడా?
गयारह.	పదకొండు రోజులు.
अब मैंने तुमहें पकड लिया है.	దొరికావుగా.
और?	ఏమంటావు?
जलद ही.	తవరలోనే. తవరలోనే వచచేసతా.
उनके बीच झगडा हुआ था.	ఇదదరూ అరుచుకుననారు.
