पैनिक	పానిక
खेल में हिससा नहीं लिया.	నేను ఆడలేదు.
तुम जीत नहीं सकती.	గెలవలేవు.
तुम किससे डरते हो?	మరి నీకు?
यह लो.	ఇదిగో తీసుకో.
साथी.	భాగసవాములం.
चलते हैं.	మనం ఇకకడనుండి వెళదాం.
बस. . .	కేవలం, కేవలం. . .
गरेनरी.	గరానరీ, ధానయాగారం.
करना जरूरी नहीं.	వదదు.
जरा जोश दिखाओ!	నాకు అకకడనుండి వినిపించాలి! నాకు అకకడనుండి వినిపించాలి!
