जैज. जैज 124.	జాజ. జాజ 124.
वह कया? "मेरी कथनी पर धयान दो, करनी पर नहीं"?	ఏంటది? "చెపపింది చేయి, చేసేది కాదు" అనా?
बारबीकयू करना अचछा लगता है. कई शौक में से एक है.	బారబెకయూ చేయడమంటే ఇషటం. నాకునన చాలా అభిరుచులలో అదొకటి.
हैलो, जो.	హేయ, జో.
हाँ, खतम होने वाला होगा.	అవును, కాసేపటలో అయిపోతుంది.
यहाँ पर.	అకకడుంది.
जलदी बात करते हैं. कम शबदों में. हजारों से बात करते हैं.	వేగంగా మాటలాడటానికి. తకకువ పదాలు. వేల విమానాలతో మాటలాడుతుంటారు.
एक दिन मैं पायलट बनूँगी.	ఏదో ఒక రోజున పెలెట అవుతాను.
-मुझे वह जानना है. -हाँ.	-ఇతను వెళళే పరాంతంలో. -సరే.
मिल गया. वही है.	అరథమెంది. అదే మీట.
समझ गया.	అరథమెంది.
अचछा. नौ-डी-डबलयू,	సరే. 9-డీ-డబలయూ,
मुझे रनवे की रेखा में दिखा सकते हैं?	నేను రనవేతో అమరినటటు చూసతుననారా?
अब हम नहीं बचेंगे.	మన కథ ముగిసింది.
अचछा. . .	మరి. . .
बाप रे, आज काफी कुछ हुआ.	అబబో, నీ రోజు భలే గడిచింది.
ऐसा मत करो. यह नियमों का उललंघन है.	అలా చేయకు. అది కేందరచటట ఉలలంఘన.
अचछा. रफतार पर नियंतरण पाने के बाद,	సరే.  మీ వేగం నియంతరణలో రాగానే,
-उनहें और आगे होना चाहिए! -हाँ.	-ఇంకా వెనుకకు జరిగి ఉండాలి! -అవును.
मैं वहिसकी पिऊँगी. तुम पिलाओगे?	నేను విసకీ తాగుతాను. నువవు కొంటావా?
नौ-छह-बी-बी, बायीं दिशा में नमूना डालो. सेसना के पीछे.	9-6-బీ-బీ, ఎడమ గాలికి అనుకూలంగా పరవేశించు. సెసనాను అనుసరించు.
अचछा. मैं शूनय-नौ-शूनय पर हूँ.  इसे चलाना सीख रहा हूँ.	సరే. నేను 0-9-0 దగగరుననాను.  దీని పనితీరు కొంచెం అరథమవుతోంది.
इस बरिसकेट को लपेटा था?	ఈ ఛాతీమాంసానికి ఊతమిచచావా?
"बिलकुल नहीं, कभी नहीं"	"కుదరదు, ఇది నీకు సరిపోదు"
तुमसे पयार करता हूँ, ऐशली.	నువవంటే నాకిషటం, యాషలీ.
इसलिए, देखो, इस पककी नौकरी के लिए मैं तुमहारा साथ दे रहा हूँ. सच में.	చూడు, హేయ, నీకు ఈ శాశవత ఉదయోగం రావాలని మదదతునిసతుననా. నిజంగా.
सीटी बजने पर? तुम जीत गई, जान.	ఆట ముగిసాకనా? గెలుపు నీదే, బంగారం.
मेरे जैसा अभागा	నాలాంటి మూరఖుడిని
इन पलों में ईशवर हमारे साथ है.	ఇలాంటి కషణాలలో దేవుడు మనతో ఉంటాడు.
-हैलो, डग. -हैलो.	-హాయ, డగ. -హేయ.
मुझे मदद चाहिए.	నాకు సాయం కావాలి.
मुझे मदद चाहिए.	నాకు సాయం కావాలి.
-यह कया है? कया हो रहा है? -नियमावली. सावधान.	-అమమా, ఏంటది? ఏం జరుగుతోంది? -మనిషి నడపాలి. జాగరతత.
हमें मदद चाहिए.	మాకు సాయం కావాలి.
तुम यह कर सकते हो, डग, अगर दोबारा मेरी बारबीकयू सॉस खानी है.	నువవిది చేయగలవు, డగ, నా బారబెకయూ సాస మళళీ తినాలంటే నువవు ఇది చేయాలి.
अवतरण यंतर लीवर मुखय पैनल के नीचे होना चाहिए,	విమాన చకరాల లీవరస, పరధాన పయానెల కింద ఉండాలి, వాటిపె
और उनहें खो दिया.	పోగొటటుకుననాను.
तुमहारे बिना मैं नहीं कर पाता.	నువవు లేకుండా ఇది చేసేవాడిని కాదు.
मैं जरा चखकर देखना चाहता हूँ. कप में डालो.	నాకు రుచి చూడాలని ఉంది. ఆ కపలో వెయయి.
इतना सब होने के बाद भी पायलट बनना है?	ఇదంతా జరిగాక కూడా పెలెట కావాలనుకుంటుననావా?
बडी मेहरबानी. शुकरिया.	అభినందిసతుననా. ధనయవాదాలు.
यह कभी आसान नहीं होता.	ఇది ఎపపటికీ సులభం కాబోదు.
डॉना, बेटा, तैयार हो जाओ.	డోనా, బంగారం, తయారవవు.
नहीं. तुमहें कैसे पता?	నమమలేను. నీకు ఎలా తెలుసు?
एन-पाँच-पाँच-नौ-डी-डबलयू.	అది ఎన-5-5-9-డీ-డబలయూ.
जब से 13 की हुई हूँ, जो दिखता नहीं, मुझे उस पर भरोसा नहीं.	13 ఏళళు వచచినపపటి నుండి, నేను కంటితో చూడనివి నమమను.
सतरह हजार. विमान को 17, 000 पर रखने की कोशिश कीजिए.	17, 000 అడుగులు. విమానానని 17, 000 అడుగుల ఎతతులోనే ఉంచండి.
आप मेरे साथ लाइन पर रहेंगे, है न?	మీరు నాతోనే ఫోనలో ఉంటారు కదా?
दकषिण पशचिम फलोरिडा अंतरराषटरीय हवाई अडडा	సౌతవెసట ఫలోరిడా అంతరజాతీయ విమానాశరయం
देखो, मुझे नहीं पता अगर मैं यह कर पाऊँगा.	చూడు, ఇది చేయగలనో లేదో నాకు తెలియదు.
और मैं बस तुमहें खुश देखना चाहती हूँ. जो मन चाहे, वह करो.	మీరు సంతోషంగా ఉండాలి. మీరు ఏం కావాలంటే అది చేయండి.
आप जो देखने वाले हैं, वह ईसटर संडे 2009 की घटनाओं पर आधारित सचची कहानी है	మీరు చూడబోయేది ఈసటర ఆదివారం 2009లో జరిగిన ఘటనల ఆధారంగా నిజమెన కథ
इससे पहले कि आदमी मेरे बिसतर में घुसे, उसके दिमाग में घुसना अचछा लगता है.	ఒక మగాడు నా మంచంపెకి వచచేలోపు నేను అతని మెదడులోకి వెళళాలనుకుంటా.
-पता है. इतनी गंदी हूँ कि मेरा जवाब नहीं. -अचछा.	-తెలుసు. మంచిదానని అయయేంత చెడడదానని. -సరే.
अचछा. फोरट मायरस की अपनी के लिए तालियाँ.	సరే.  ఫోరట మయర గాయని కోసం కేరింతలు.
आँखों पर परदा था	కబోధిలా ఉననాను
शुकरिया.	థాంకయూ.
कोई मुशकिल है?	ఏదెనా సమసయ ఉందా?
ठीक है.	ఒపపందమే.
मारको टरैफिक. किंग एयर एन-पाँच-पाँच-नौ-डी-डबलयू.	మారకో టరాఫిక. కింగ ఎయిర ఎన-5-5-9-డీ-డబలయూ.
मुझ पर भरोसा है?	ననను నమముతావా?
हलके से.	మెలలగా.
यह ऊपर-नीचे, बायें-दायें जा रहा है.	పెకి, కిందకు, కుడికి, ఎడమకు వెళుతుననాడు.
आग और बचाव गाडियाँ, पहली परतिकरिया वालों को हवाई अडडे के	అగనిమాపక టరకలను, అతయవసర నిపుణులను సిదధంగా ఉంచండి,
-अचछा है. -लो!	-మంచిది. -అదిగో!
मैं हूँ.	ఉననాను.
-वह कितना दूर है? -लगभग 24 किलोमीटर दूर.	-ఎంత దూరంలో ఉననాడు? -24 కిలోమీటరలు.
मैं तैयार हूँ, रुका हूँ.	సిదధం, వేచి చూసతుననా.
किसी के पास चारजर है?	ఎవరి దగగరెనా చారజర ఉందా?
चलो भी.	కానివవు.
हवाई अडडा सुरकषा	విమానాశరయ భదరత
तुमसे पयार है.	నువవంటే నాకిషటం.
यहाँ आओ.	ఇలా రా.
और फिर?	ఆ తరవాత?
और मैं किसी के मुँह से "मुझे अफसोस है" भी नहीं सुनना चाहता. मैं तंग आ चुका हूँ.	నాకు ఎవరూ "నా సంతాపం" అని చెపపాలసిన పని లేదు. విని వినీ విసిగిపోయాను.
अगर विमान फिसलकर इमारत से टकरा जाए, दोबारा शुरू नहीं कर पाएँगे.	విమానం రనవే దాటి ఓ భవనానని ఢీకొడితే మనం దానని మారచలేము.
आप सोच भी नहीं सकते, आपके रासते में सब कुछ देख रहे हैं.	మీరు ఊహంచినదానికంటే మీ దారిలో చాలా ముందు చూడగలం.
अचछा. मुझे घबराहट हो रही है. मैं घर जा रहा हूँ.	సరే. ఇది చూసి భయమేసతోంది. ఇంటికి వెళతాను.
रुकना मत! हम बचचे हैं! हमें जेल नहीं ले जाएँगे!	ఆపకు! మనం మెనరస! మనలని జెలుకు తీసుకెళలరు!
जान, मैं समझती हूँ. पर वह ठीक हो जाएगा.	బంగారం, తెలుసు. అతనికి ఏమీ కాదులే.
मेहरबानी जो हमें घर ले जाने के लिए ईसटर संडे की छुटटी नहीं ली.	మమమలని చేరచడానికి నీ ఈసటర ఆదివారం తయజించడం అభినందనీయం.
आपने कहा था कि मौसम ठीक है.	వాతావరణ సమసయ ఏదీ లేదని చెపపారు.
टेरी को दो अंक मिले.	టెరరీకి రెండు పాయింటలు.
बारह हजार फुट की ऊँचाई.	అది 12, 000 అడుగులు.
मैं फोन पर नियंतरकों से बात कर रहा था.	నేను నియంతరకులతో ఫోనలో మాటలాడాను.
मैं द एलेन डीजेनेरस शो का निरमाता हूँ.	నేను ద ఎలెన డిజెనెరస షో నిరమాతను.
या फिर आखिरी.	లేదా చివరిదేమో.
बचचों के साथ वहीं रहो. ठीक है?	పిలలలతో అకకడే ఉండు. సరేనా?
पापा संभालेंगे.	నానన చేసతాడు.
उसे विमान उतारने के निरदेश दो.	తనతో మాటలాడి విమానం దింపు.
कया बात है? कया आपात सथिति है?	ఏమెంది? అతయవసర సథితి ఏంటి?
मतलब, बिलकुल.	అంటే, కచచితంగా.
परतिबंधित कषेतर	పరిమిత పరవేశం
वह ठीक उसी की दिशा में है.	అది నేరుగా అతనివెపు వెళుతోంది.
ऊपर लें! पूरी ऊरजा के साथ.	పెకి లేపు! పూరతి శకతి జోడించు.
-चलो भी! -जाओ. कुछ तो करो.	-కానిసతా! -వెళళు. ఏదెనా చెయయి.
सुनो, उसे किस रफतार पर विमान उडाना है, इसे लेकर बहुत कम गुंजाइश है.	విను, అతను ఎంత వేగంగా వెళళాలనేదానిపె మనకు తకకువ సమయం ఉంది.
यहाँ काफी बुरा हाल है. विमान पर काबू नहीं है.	ఇకకడ దారుణంగా ఉంది. ఈ విమానానని అదుపు చేయలేకపోతుననా.
पता नहीं, शायद अपने पिता को लेकर	తెలియదు, నీకు మానసిక ముగింపు కావాలేమో
अचछा. कितना समय लगेगा?	సరే. ఇంకా ఎంత సమయం?
कया, बाहर पारक में?	ఏంటి, పారకులో గడపాాలా?
मुझे इसे नीचे उतारना है, और वह भी अभी.	నేను విమానానని నేలపెకి దించాలి, అంటే వెంటనే.
-अचछा. -आवाज आ रही है?	-సరే. -వినపడుతోందా?
कया? मैं समझी नहीं.	ఏంటి? అరథం కావడం లేదు.
लगातार ऊपर चढ रहा हूँ.	కరమంగా ఆరోహిసతుననా.
तुमहारे हवाई कषेतर में हो, बताना कि किस ऊँचाई पर, किस रफतार पर है.	అతను మీ వాయుపరిధిలోకి రాగానే, అతని ఎతతు, వేగం నాకు చెపపు.
शायद वह कर पाएगी. हाँ.	చేయగలదనుకుంటా. సరే.
अचछा, मैं रनवे की रेखा में हूँ. हलकी सी. . .	సరే, నేను రనవేకు నేరుగా ఉననాను. చూసతుంటే, కాసత. . .
ए! तुम हमेशा बेईमानी करते हो!	హేయ! ఎపపుడూ మోసం చేసతావు!
बिग मो, शुकरिया. शुकरिया.	బిగ మో, ధనయవాదాలు. ధనయవాదాలు.
हाँ, रुको. यहीं करते हैं.	అవును, ఆగు. ఇకకడే పరారథిదదాం.
पसलियों की किसमत बडी अचछी थी.	అవి అదృషటం కల పకకటెముకలు.
अमरीकी उडान नौ-एल-एल,  मियामी अभिगम, 120. 5 से संपरक करें.	అమెరికన 9-ఎల-ఎల,  మయామీ అపరోచను సంపరదించు, 120. 5.
एन-पाँच-डी-डबलयू, अगर आपको ठीक लगता है तो ऐसा कर सकते हैं.	ఎన-5-డీ-డబలయూ, అది మీకు సౌకరయమనిపిసతే, అలా చేయండి.
विमान संखया एन-5-5-9-डी-डबलयू, पर वे नौ-डी-डबलयू कहेंगे.	విమాన సంఖయ ఎన-5-5-9-డీ-డబలయూ, కానీ వాళళు నెనర-డెలటా-విసకీ అంటారు.
-मैं फोन कर सकता हूँ. -मैं जाता हूँ.	-ఫోన కాల చేసతా. -వెళళి ఆపుతాను.
शायद इसने मूँगफली वाली चॉकलेट खा ली.	వేరుశెనగలు ఉండే మిఠాయి తినింది.
उसे 2-7-0 पर घुमाया? नौ-डी. . .	దానని 2-7-0 దిశకు తిపపావా? 9-డీ. . .
-कोई मुशकिल नहीं है.  -हमारे लिए मुशकिल है.	-అది సమసయ కాదు.  -కానీ అది మాకు సమసయ.
अमरीकी उडान नौ-एल-एल, मियामी अभिगम, 120. 5 से संपरक करें.	అమెరికన 9-ఎల-ఎల, మయామీ అపరోచను సంపరదించు, 120. 5.
कया कहते हो?	అయితే ఏమంటావు?
{\an8}तुमहें दौडना विलकुल नहीं आता.	{\an8}నువవు చెతతగా పరిగెడతావు.
यह मत भूलना.	అది మరిచిపోకు.
-खींचो. -अचछा.	-లాగు. -సరే.
मैं लगातार ऊपर चढ रहा हूँ, पर मेरा ऐलटीमीटर. . .	నేను కరమంగా ఆరోహిసతుననా, కానీ నా ఎతతు తెలిపే పరికరం. . .
मैडम, आप मेरे लिए सबसे लंबा और चौडा रनवे ढूँढिए.	మేడమ, మీరు నాకు అతి పొడవెన, విశాలమెన రనవే ఏరపాటు చేయండి.
समझ गई.	అలాగే.
ले लो.	తీసుకో.
ईसटर चॉकलेट कुरकुरे वेफर	ఈసటర చాకలెట కరకరలాడే వేఫరసతో
नहीं, आप वहीं रहिए, और पापा की मदद कीजिए, ठीक है?	వదదు, అకకడే ఉండు, నాననకు సాయం చేయి, సరేనా?
ठीक है.	అలాగే.
ठीक है.	అలాగే.
अगर वह उतर न पाया, तो हम मदद करेंगे.	అతను విమానం దించకపోతే, మదదతుగా మేము ఉననాం.
बहुत अचछी बात कही.	అది చాలా చకకటి ఆలోచన.
कंटरोल पैनल के बीच में, ऊपर की तरफ.	కంటరోల పయానెల మధయలో, పె వెపున.
तुम ऐसा नहीं कर सकते!	మీరు అలా చేయకూడదు!
कुरसी की पेटियाँ कसकर बाँधो.	మీ సీట బెలటస పెటటుకోండి.
हमें यहाँ से चलना चाहिए.	మనం ఇకకడి నుండి వెళళిపోవాలి.
मैं और मेरी बडी बहन, परिवार की परेत की तरफ से, शुकरिया.	నా తరపున, కుటుంబ రాకాసి అయిన అకక తరపున, థాంకయూ.
{\an8}फोरट मायरस को फोन करो. उसे उधर मोडते हैं.	{\an8}ఫోరట మయరసకు ఫోన చెయ. తన దారి మళళించి అటు పంపుదాం.
ए. पिछला डरिंक लिए कितनी देर हो गई?	హేయ. హేయ. చివరి పానీయం తాగి ఎంత సేపయింది?
सिरफ मैं और ईशवर इस विमान को उडा रहे हैं.	నేను, నా పరభువు విమానం నడుపుతుననాం.
पायलट मर चुका है, यातरी उडा रहा है,	పెలెట చనిపోయాడు, పరయాణీకుడు నడుపుతుననాడు,
नहीं. हमें और कब तक यहाँ रुकना है? मुझे नाखून रंगवाने हैं.	కాదు. అంటే ఇకకడ మనమెంత సేపు ఉండాలి? ఎందుకంటే గోరల సంరకషణ చేసుకోవాలి.
मैंने आज तक ऐसी सॉस नहीं खाई.	ఇక సాస, నేను తిననవాటిలో ఉతతమమెనది.
-बिलकुल. देखा? -यह रही.	-కచచితంగా. చూసతావా? -ఇదిగో.
-तुम कर सकते हो. -अचछा. सभी विमान, तैयार रहें.	-నువవు చేయగలవు. -సరే. అనని విమానాలు, సావధానం వహించండి.
किंग एयर का विमान उडाया है?	అతను కింగ ఎయిర నడిపాడా?
अचछा. कया चाहते हैं, मैं कया करूँ? हमें मोड लेना होगा.	సరే. ననను ఏం చేయమంటావు? మనం విమానానని తిపపాలి.
दरअसल, मैं बस अपना. . .	నిజానికి, నేను వచచింది. . .
मैंने कहा था, "गैस और कलच से पैर हटाओ. "	నేను "కలచ, యాకసిలేటరలపె నుండి కాలు తియ, " అననా.
तीन बार दिल के दौरे.	మూడు గుండెపోటులు.
मौसम बिगडने से पहले आप उतर जाएँगे.	వాతావరణం సమసయ అయయే లోపు మీరు దిగిపోతారు.
पर मैं समझता हूँ कि वह बहुत ही कुशल और अनुभवी विमान चालक है.	కానీ అతను చాలా నెపుణయం, అనుభవం కల పెలెట అని తెలుసు.
पकका मैं घूम रहा हूँ? ऊपर ठीक से दिखाई नहीं दे रहा.	నేను తిరుగుతుననానని అంటారా? ఇకకడ నాకు సరిగగా కనిపించటం లేదు.
लडकियाँ कैसी हैं?	అమమాయిలు ఎలా ఉననారు?
याद है? तुम हमेशा उसे करीब से देखना चाहती थी.	గురతుందా? ఎపపుడూ దటటమెన మేఘానని దగగరగా చూడాలనేదానివి.
तुमहें यकीन करना होगा कि तुम. . .	నువవు చేయగలవని నమమాలంతే. . .
मुझे माँ के रॉक एंड रोल जूते मिले	అమమ రాక అండ రోల షూస కనుగొననా
तुम अपना इनाम गाडी में ही छोड आए.	నీ బహుమతిని టరకలో వదిలేశావు.
-पैरों से घुमा रहे हो? -हाँ.	-నీ పాదాలతో తిపపుతుననావా? -అవును.
-फोरट मायरस टावर. सुनाई दे रहा है?  -मैंने पहले कभी किसी को मरते नहीं सुना. . .	-ఫోరట మయరస టవర. వినపడుతోందా?  -చనిపోతుండగా నేను ఎవరిని వినలేదు. . .
-हाँ. जब तुमहें इजजत करना आता था. -हाँ.	-అవును. ఆ రోజులలో నీకు మరయాద తెలిసేది. -అవును.
हवाई टरैफिक बातचीत है. विमान में पायलट मर गया.	ఎయిర టరాఫిక మాటలు. విమానంలో పెలెట మృతి.
पर यहाँ किसी के पास उस विमान का अनुभव नहीं है.	కానీ ఇకకడ ఎవరికీ ఆ విమానపు అనుభవం లేదు.
वह बात नहीं कर रहा. मतलब संपरक नहीं है.	తను మాటలాడటం లేదు. అంటే వారితో సంపరకం పోయింది.
कहो कि पिछली बार जब सेसना में था, उसे याद करे.	అతను సెసనా నడపటానని గురతుకు తెచచుకోమను.
पर फिर एक अहम नियम है.	కానీ బంగారు నియమం ఒకటుంది.
या फिर तब जब गाडी झील में थी, और मैं बीयर पी रहा था?	లేదా చెరువులో టరక ఉండగా నేను బీర తాగినపపుడా?
हाँ. "डगी, तुमहें बेलट चाहिए या छडी चाहिए? "	ఓ, గురతుంది. "డగీ, కరరతో కొటటనా లేదా చరనాకోలుతోనా? "
और अगली बार जब गेंद फेंकूँ तो उसे टोकरी में जरूर डालना.	ఇక ఈసారి దూరం నుండి బంతి విసిరితే, దానని కచచితంగా బుటటలోకి వెయయి.
मैं कल ही उसके साथ था.	నేను నినననే వాడితో ఉననాను.
छोटा है, हाँ?	చిననది కదా?
-मायैमी केंदर से संपरक. . . -कृपया 12, 000 पर बने रहें.	-మయామీ సెంటరను సంపరదించు. . . -దయచేసి 12, 000 అడుగులలోనే కొనసాగు.
नंबर नौ-डी-डबलयू, सही कहा.	9-డీ-డబలయూ, అది నిజమే.
अचछा. ठीक है.	సరే. అలాగే.
और 2-7-0 तक आगे बढना होगा.	2-7-0 దిశలో పయనిసతారు.
-अचछा. -अचछा.	-సరే. -సరే.
अवतरण यंतर खुल रहा है.	చకరాలు కిందకు దిగుతుననాయి.
लडकियो. . .	అమమాయిలు. . .
भावुक तौर पर, कैरी. मुझे भावुक तौर पर कभी करीब न आने दोगे.	ననను భావోదవేగపరంగా ఎపపటికీ లోనికి రానీయవు, కయారీ.
मतलब यह कि मेरे यहाँ रहने की कोई वजह नहीं है.	అంటే ఇకకడ ఉండటానికి నాకు ఏ కారణం లేదు.
देखो कैसे सभी विमान उसके रासते से हट रहे हैं.	మిగతా విమానాలు పకకకు వెళుతుననాయి చూడు.
फिर उसी तरह 11, 000 फुट तक उतरना होगा.	తరవాత 11, 000 అడుగులకు అవరోహణను కొనసాగించాలి.
नियंतरक बनने के लिए सूची में अगले नंबर पर हो.	తరవాత నియంతరకుడు అయయే జాబితాలో ఉననావు.
-सेल फोन बाहर. . . -पायलट से कहो	-ఆ ఫోన. . . -పెలెటకు చెపపు,
और मेरे सामने काले बादल नहीं थे.	నా ముందు నలలటి మబబులు లేవు.
मोड लेते समय धीमा था, अब तेज हो गया.  मैं अब कया करूँ?	తిపపడానికి నిదానం, ఇపపుడు దిగడానికి వేగంగా ఉననా. ఇకకడ ఏం చేయాలి?
तुमने कानून का उललंघन किया.	నువవు కేందర చటటానని ఉలలంఘించావు.
ए, उसने जो कहा, तुमहें वह दोहराना नहीं. . .	హేయ, నువవు అతను చెపపినదానని తిరిగి చెపపాలి కదా. . .
माफ करना. यह लीजिए.	ఏమండి. ఇదిగోండి.
नेपलस चरच ऑफ होप	నేపులస ఆశనిచచే చరచి
इतने लोग छोडकर जा रहे हैं, टेरी.	మనుషులని కోలపోవడంతో అలసిపోయాను, టెరరీ.
टोपी उतार देता हूँ.	నా టోపీ తీసేసతా.
यहाँ दाहिनी तरफ अजीब सा लगता है.	ఇటు కుడివెపున కూరచోవడం విడడూరంగా ఉంది.
अपनी मककई वाली बरेड जरूर बना सकता हूँ.	నా పరతయేకమెన కారనబరెడ చేసుకుంటా.
{\an8}तुम चलोगे?	{\an8}నువవూ వసతావా?
अगर आज आपको खो दिया तो बहुत बुरा होगा.	కానీ ఇవాళ మిమమలని పోగొటటుకోలేను.
कया हाल-चाल है, मिसटर जो?	సంగతులేంటి, మిసటర జో?
विमान कौन उडा रहा है?	విమానం ఎవరు నడుపుతుననారు?
किसी ने बरायन को देखा है?	బరయనను ఎవరెనా చూశారా?
-डायल देखा? -अचछा है.	-ఆ సూచిక చూశావా? -చూశాను.
दरअसल, हो सके तो, हम और नीचे उतर सकते हैं.	నిజానికి, మీరు చేయగలిగితే, అలా అవరోహిసతూనే ఉండండి.
हाँ. किंग एयर 200 है.	అవును. అది కింగ ఎయిర 200.
ए, बगी. अभी मेरे घर आ जाओ.	హేయ, బగగీ. మా ఇంటికి వెంటనే రా.
-सच में आपात सथिति है. -मियामी?	-అతయవసరం ఏరపడింది. -మయామీ?
विमान ठीक से उतारने के लिए,  उसे पाँच चीजें ठीक से करनी होंगी.	ఆ విమానానని దింపాలంటే అతను ఐదు విషయాలు సరిగా చేయాలి.
-कषितिज दिख रहा है? -नहीं.	-నీకు దిగంతం కనపడుతోందా? -లేదు.
डग अकसर उससे मिलने जाता है	డగ అతనని తరచూ సందరశిసతూ ఉంటాడు.
अचछे लोग नेकी भरी जिंदगी जी रहे हैं, अचछे काम कर रहे हैं.	వాళళు మంచి మారగంలో మంచి పనులు చేసతూ జీవితానని జీవించిన మంచి మనుషులు.
अचछा, मैगी. खींचो, बेटा, खींचो!	సరే, మయాగీ. ఊరికే లాగు, బంగారం, లాగు!
टेरी, टककर से पहले की मुदरा है.	టెరరీ, అది కూలినపపుడు ఉండాలసిన సథితి.
अचछा, किंग एयर पाँच-पाँच-नौ-डी-डबलयू.	సరే,  కింగ ఎయిర 5-5-9-డీ-డబలయూ.
अगर हम बच गए तो तुमहें छोडूँगा नहीं.	మనం ఇందులో బతికి బయటపడితే నీతో పోటలాడుతాను.
नियंतरण ककष से सेल फोन पर कॉल लगाया?	నియంతరణ గది నుండి సెల ఫోనలో కాల చేసతుననావా?
मुझे मौसम में गडबड नहीं चाहिए, मैडम.	నాకు ఎలాంటి వాతావరణ సూచిక అవసరం లేదు, మేడమ.
तुमहारी हुकूमत होगी. इचछा पूरी होगी.	నీ రాజయము వచచుగాక. నీ చితతము నెరవేరును గాక.
दो-छह-डी-बी,  रनवे 30 के पास 3 जेट वाला विमान है.	2-6-డీ-బీ, రనవే 30లో 3 జెట విమానాలుననాయి.
सेसना की तरह. कहिए कि पिछली बार जब सेसना में था, उसे याद करे.	ఒక సెసనాలాగా. అతను సెసనా నడపటానని గురతు తెచచుకోమను.
वहाँ कुछ नियंतरकों के पास पायलट अनुभव है और वे धीरे-धीरे पूरी सावधानी से,	అకకడునన నియంతరకులకు పెలెట అనుభవం ఉంటుంది, వాళళు సమయం తీసుకుని
उडान 2866.	విమానం 2866.
{\an8}कया?	{\an8}ఏంటది?
मैंने कहा था, हम हारेंगे नहीं!	చెపపా కదా, మేము ఓడిపోమని!
तो, अब हम सब को खिलाएँगे.	కనుక, మేము అందరికీ పంచిపెడతాం.
सच में? चलो भी.	నిజంగానా? కానివవు.
मैगी.	మయాగీ.
हाँ, मैडम.	అలాగే, మేడమ.
{\an8}फोरट मायरस, वायु टरैफिक नियंतरण टावर	{\an8}ఫోరట మయరస విమాన టరాఫిక కేందరం
शायद.	బహుశా.
-पता है कयों? -कयों?	-ఎందుకో తెలుసా? -ఎందుకు?
पयार का दरद.	పరేమ గాయం.
मैं अभी उससे मिला.	ఇపపుడే కలిశాను.
-वो सब जञान की बातें. . . -डग!	-నీ వంటగది గోడపె వేలాడదీసే. . . -డగ!
मैं इसका मतलब नहीं समझा.	అదేంటో నాకు తెలియదు.
{\an8}ईसटर संडे	{\an8}ఈసటర ఆదివారం
डग, कया बात है?	డగ, ఏం జరుగుతోంది?
मैगी!	మయాగీ!
मैगी!	మయాగీ!
मैगी! हे भगवान!	మయాగీ! ఓరి దేవుడా!
मैगी!	మయాగీ!
मैगी!	మయాగీ!
-कया? परथम ऑफिसर कहाँ है? -नहीं है.	-ఏంటి? సహాయ పెలెట ఎకకడా? -సహాయ పెలెట లేడు.
शूनय-छह-एक, मियामी अभिगम, 133. 77 से संपरक करें.	0-6-1, మయామీ అపరోచను సంపరదించు, 133. 77.
अचछा.	అలాగే.
रुको! बरायन!	ఆగు! బరయన!
रैलफ. तुम कया कर रहे हो?	రాలఫ. ఏం చేసతుననావు?
कैरी?	కయారీ?
शायद.	బహుశా.
पाँच-डी-डबलयू, जवाब दें.	5-డీ-డబలయూ, విననాను.
भगवान, मदद करो!	దేవుడా, సాయం చేయి!
डैन, मुझे सपीकर से हटाओ.	డాన, సపీకర మోడ ఆపేయ.
शायद.	బహుశా.
-हाँ, उसे नीचे खींचो. -मैं करती हूँ!	-అవును, కిందకు లాగు. -చేసతాను!
बायीं ओर बढता जा रहा हूँ. रनवे पर नहीं रोक सकता.	ఎడమకు తోయబడుతుననా. రనవేపె ఉంచలేకపోతుననా.
मेरी मदद कीजिए!	సాయం చేయండి! సాయం!
कैरी?	కయారీ?
कैरी?	కయారీ?
अगर वह डेटाबेस में है, तो पंजीकृत पायलट होगा.	అతను డేటాబేసలో ఉననాడు. నమోదు చేసుకునన పెలెట అయయుంటాడు.
तुम कर सकते हो.	నువవు ఇది చేయగలవు.
हमें आपसे पयार है, पापा!	నువవంటే ఇషటం, నాననా!
पापा!	నాననా!
शायद नहीं.	బహుశా కొనను.
हैलो, मेरा नाम जेमस फिलिपस है.	హలో, నా పేరు జేమస ఫిలిఫస.
{\an8}डैन सेल फोन पर अपने दोसत से पूछता,	{\an8}డాన తన సెల ఫోనలో తన మితరుడికి కాల చేసతాడు,
जितना हो सके, धीरे से एक पहिए पर उतरने को तैयार रहिए.	ఒక చకరంపె తాకడానికి సిదధమవవు,  చాలా సులభంగా.
-चिडचिडापन होने लगेगा. -मुझे नहीं खाना.	-నీకు ఆకలి వలల కోపం రాదుగా. -నాకు తినాలని లేదు.
पता नहीं अगर जजों के पास ले जाने से पहले,	ఈ మాంసం జడజీల వదదకు తీసుకెళళే లోపు
"पसलियाँ बनाओ तो सब के लिए बनाओ. "	"పకకటెముకలు వండితే, అందరికీ పంచి పెటటు. "
सेसना की तरह. और कोई चिंता मत करो.	ఒక సెసనాలాగా. ఇక దేని గురించి దిగులుపడకు.
वही ईशवर जिसने ऐसा होने दिया?	ఏంటి, ఇవి జరిగేలా చేసిన అదే దేవుడా?
-वे कया कर रहे हैं? -मुझे नहीं पता.	-వాళళేం చేసతుననారు? -తెలియదు.
हमें उसकी बिलकुल जरूरत पडेगी.	సందేహమే లేదు, మనకు అవి అవసరమవుతాయి.
