लूसी.	లూసీ.
कैसा जोक?	ఆ జోక ఏమిటి?
और कोई सवाल?	ఇంకేమెనా పరశనలు?
जानती हूँ ऊपर की उस बरबाद. . .	ఇదంతా నీకు చాలా మంచిగా ఉండి ఉంటుంది. . .
पर वह सुपर डुपर मारट हमारी हिफाजत में था.	కానీ నువవు నాశనం చేసిన ఆ సూపర డూపర మారట మా రకషణలో ఉంది.
तो वॉलट-टेक का विशवसत उततरदायितव है कि	అందుకే అది పని చేయకుండా చూసుకోవాలసిన విశవసనీయ బాధయత
तो मैंने एक और शहर तबाह किया है. फिली.	నేను ఇపపుడే కాలచేసిన ఈ పటటణం గురించి చెబుతా. ఫిలలీ.
- बरबादी होगी. - बरबादी होगी.	- నగరం తగలబడుతుంది. - నగరం తగలబడుతుంది.
कया मतलब, "किसलिए? "	"దేని కోసం" అంటే నీ ఉదదేశం?
शायद तुम पंथ में हो.	బహుశా నువవే కలట లో ఒకడి ఏమో
तो कूप, मुझे मत बताओ युदध कितना बुरा था.	ఇక, యుదధం ఎంత చెడడగా ఉంటుందో నాకు చెపపనవసరం లేదు, కూప.
हॉथॉरन परिवार से मिलें.	హాథరోనలను కలవండి.
पर हमारे ओवरसियर को आपसे मिलना है.	కానీ మా పరయవేకషకుడు మీకు చకచకా "హలో" చెబుతారట.
यहाँ ऐसा करना गैर-कानूनी है.	ఈ పరాంతాల దరిదాపులలో ఉండడం చటటవిరుదధం.
इसकी बात सुनो.	మనం తన సలహా వినాలి.
पता नहीं आप सतह पर गई हैं या नहीं, पर. . .	మీరు ఉపరితలానికి వెళలారో లేదో నాకు తెలియదు, కానీ అది. . .
आने का धनयवाद.	నీ రాకకు ధనయవాదాలు.
खुद को उनकी राख से ढक कर.	వాళల బూడిదను మాపె పూసుకోవడం దవారా.
खुद को उनकी राख से ढक कर.	వాళల బూడిదను మాపె పూసుకోవడం దవారా.
हाँ, है तो.	నాకు ఒకటి ఉంది.
रोजाना तो किसी पैदाइशी वॉलट निवासी से बात नहीं होती.	పరతి రోజూ వాలటలో పుటటినవారిని కలవలేము.
किसी को तो यहाँ वयवसथा बनाए रखनी होगी.	ఎవరెనా ముందుకు వచచి ఇకకడ కొంత కరమశికషణ తీసుకురావాలి.
यार, ऐसा मत कहो.	అబబా, ఊరుకో. అలా అనకు.
मुझे लगा कि. . .	నా ఆలోచన ఎందుకంటే. . .
यार, सोरेल, हम पुराने दोसत है न?	ఇక ఊరుకో, సొరరేల, మనం పాత మితరులం, కాదంటావా?
"खतरनाक" तो पहली शरत होती है.	పరమాదకరం అయినదానని ముందసతు అవసరం అంటారు.
बड आसकिनस. भरोसा करो.	బడ ఆసకినస. నమము, నాకు తెలుసు.
शेडी सैंडस की याद में	షేడీ శాండసను జఞాపకం చేసుకోవడం
हमें अभी निकलना होगा.	లేదు, మనం వెంటనే వెళలిపోవాలి.
नहीं, यह बात अचछी नहीं है,	ఇంకా లేదు, అందులో ఏదీ ఆదరశనీయం కాదు,
इनहें सीप कहते हैं. खाओगी?	వీటిని ఆయిసటరలు అంటారు. నీకు కావాలా?
पर यहाँ नहीं.	కానీ అది ఇది కాదు.
हो कयों नहीं सकता.	ఎందుకు కాకూడదో తెలియలేదు.
- नहीं. - नहीं.	- వదదు? - హా, థాంకయూ.
बेकरसफीलड में अपना खेत खरीदूँ.	మనకు బేకరస ఫీలడలో ఓ పెదద రాంచ కొనుకకుందాం.
पलीज.	దయచేసి.
सच कहूँ तो. . .	అంటే, నిజం అయితే. . .
कयोंकि हम परमाणु युदध के शेलटर में रहेंगे.	అణు యుదధం తరవాత ఆశరయంలో మనం బతికే అవసరమెన పరిసథితుల పరకారం.
- तो वह भी शैतान है? - नहीं. मैं. . .	- బారబ నిజంగా చెడడదనుకుంటావా? - లేదు, సరే, నేను. . .
मतलब, मैं भी इनमें कभी शामिल था.	అంటే, నా డబబు యంతరంలో నా సంపాదన కొంత పెటటాను.
यह कमीना लोगों के पिछवाडे में गोली मारने वाला	ఈ సననాసి వెధవ నడడిలో కాలచి తెచచే
अमेरिका तैयार है.	పరపంచానికి చూపించడానికి.
अचछा? जेनी सो गई?	అవునా? జేనీ నిదరపోయిందా?
इससे फरक नहीं पडता.	అవును, అది ముఖయం కాదు, కూప.
इसकी मजबूती विकिरण और दुशमनों से बचाएगी.	రేడియేషన, కమయూనిసటుల నుండి దూరంగా ఉంచడానికి తగినంత బలంగా.
परबंधन.	మేనేజమెంట.
धनयवाद.	ధనయవాదాలు.
धनयवाद.	ధనయవాదాలు.
जॉनी मॉरटन वाली फिलम याद है?	మనం జానీ మోరటానతో చేసిన సినిమా గురతుందా?
और गरम पानी से तुमहारा कया मतलब है?	"వేడి నీటి సనానం" అననావు కదా, అసలు దాని అరథం ఏంటి?
कयों पूछा?	ఎందుకు?
वैध वयवसाय नषट कर दिया.	చటటబదధమెన వయాపారానని నాశనం చేయడం.
तुमहारी सुगंध आ रही है.	నీ వాసన బాగుంది.
खाकर मजा आता है.	నినను బాగా చూసుకుంటారు.
अंतिम संसकार - कबरिसतान - दाह संसकार	శమశానవాటిక - సమాధి - దహనం
गंदा लगता है.	అది సోది.
पता नहीं.	నాకు తెలియదు.
पता नहीं.	నాకు తెలియదు.
माफ करना.	ననను కషమించు.
वह ऐसी तो नहीं थी.	నాకు అమె అలా గురతు లేదంతే.
पर सच कहूँ तो वॉलट में लौटना अचछा लगा.	కానీ వాలటలోకి తిరిగి రావడం మంచి అనుభూతిగా అంగీకరించాలి.
कया फरक पडता है?	అది ముఖయమా?
ताकि हम निगरानी कर सकें.	మీరు కొనని గంటలు కవారంటెనలో ఉండాలి.
संवाद अनुवादक कमलेश ढवले	సబటెటిల అనువాద కరత కృషణమోహన తంగిరాల
बढिया रोल था.	అది నీకు గొపప పాతర.
मुझे कुछ नहीं पता. मैं एकटर हूँ.	నాకు అసలు తెలియదు. బతకడం కోసం కౌబాయగా నటిసతాను.
तो खेलने के लिए साइन अप करना होगा.	అందుకే, మీరు ఆడాలనుకుంటే, దానికి నమోదు చేసుకోవాలి.
यार, सुई-धागा मिलेगा?	చెపపు, నీ దగగర సూది, దారం ఉందా?
वे देखना चाहते हैं कि अचछा आदमी भी	పరేకషకులూ, నీలాంటి మంచివాడిని కూడా అకకడకు చేరచవచచని
बात बस इतनी नहीं है.	అందులో సగం కూడా నీకు తెలియిదు.
हाँ.	అవును.
पर कयों?	కానీ ఎందుకు?
हाँ.	అవును.
भाग जाओ.	చకచకా వెళలు.
गाँठ	సిసటలు
बतिया नहीं सकता.	నేను కచచితంగా బతికిలేను.
हाँ.	అవును.
बेटे, ठंड रखो.	వాడి వలలో పడకు, బాబూ.
वैसे, मेरा अनुभव कहता है	ఇక, నా అనుభవంలో,
हाँ.	అవును.
सच में. मैं. . .	సరే, నిజంగానే. నేను. . .
मैं सबूत दिखाती हूँ.	నేను నీకది నిరూపిసతాను. సరేనా?
बस लेवल 12 से दूर रहें.	లెవెల 12కు దూరంగా ఉండండి, కచచితంగా.
देखो, ऐसे लोग दुनिया चला रहे हैं	ఇంకా అది, పూల పారటీకి
ठीक है. तो अमरीकी सरकार ने	సరే, యూఎస పరభుతవం
जयादा ही पसंद है.	అనుభూతిని నువవు ఇషటపడవచచు.
सडकों पर बलवा हो जाएगा.	వీధులలో అరాచకం.
पता है, यह तो सामानय बात है.	తెలుసా, అది, అది నిజానికి పూరతి సరవసాధారణం.
परीकषण में शामिल लोग	పరీకషా అంశాలు
परीकषण में शामिल लोग	పరీకషా అంశాలు
सेकस करोगे?	నాతో సెకస కావాలా?
बहुत पुराना नियम है.	అది నా కంటే ముందు నుంచి విధానం.
{\an8}कट.	{\an8}ఇంకా కట.
वह तो है.	హా, మేము కూడా.
कया मतलब?	దాని అరథమేంటి?
नहीं, यहाँ बुनाई नहीं होती.	మననించు, మేము ఇకకడ ఎకకువగా అలలికపని చేయము.
मैं बडी फैन हूँ.	నేను మీకు పెదద అభిమానిని.
पर इसे यहीं रहना होगा	నీ నేసతం సురకషిత పరయాణానికి ముందు
बुरी आशंका से.	దారుణానని ఊహించుకుంటూ.
हाँ, टॉयलेट ऐसे ही होते हैं.	అవును, టాయిలెట ఎలా పని చేసతుందో నాకు తెలుసు.
कमयुनिसट मीटिंग? अरे, यार.	నీ కమయూనిసట సమావేశాలలో ఒకటా? ఊరుకో, బాబూ.
गलती करने से बेहतर है पूछ लेना.	ఓ పని తపపుగా చేయడం కంటే అడగడం అనేది తకకువ ఇబబంది.
सही कहती हो.	దాని గురించి చెపపు.
तुमने सही कहा था.	ఈ చోటు గురించి నీ మాట నిజం.
नहीं.	తెలియదు.
कया हुआ?	ఏంటి?
दो सौ साल.	రెండు వందల ఏళలు.
उन खराबियों की वजह से कई लोग मारे गए.	మీ డిజెన లోపాలు అనేక మంచి పురుషులు, సతరీల జీవితాలను చంపగలవు.
एक-दूसरे को मारने के नए-नए तरीके हैं.	ఒకరినొకరు చంపుకోవడానికి కొతత మారగాలను కనుగొంటూనే ఉంటారు కదా?
एक करोड?	పది మిలియనలా?
बात करना मना है.	మేము దాని గురించి మాటలాడం.
पूल के पास बैठे कुछ पिएँ?	రెండు పినా కొలాడాలను పూల దగగర తాగుదామంటే?
तुमहें बुरा नहीं लगेगा?	ఏమీ అనుకోవుగా?
सरकार.	ద గవరమింట.
नहीं. कुछ नहीं होगा.	లేదు. ఉండదు.
उनमें से नहीं हो यह पकका करने के लिए मैं कुछ भी करूँगी.	అందులో నువవు, జేనీ, వాళలలో ఉండరు.
यार, कया बात है.	కానీ, హే, అందులో విషయముంది.
हाँ, सही कहते हो.	అవును, ఆ నీ మాట నిజమే కాగలదు.
तो मुझे बताएँ.	దయచేసి నాకు తెలియజేయండి.
अचछे वॉलट में.	మంచి వాలటలో చోటు కావాలి.
कैसी मुशकिल?	ఏమిటది?
मैं समझती हूँ.	ఎందుకు ఉంటావో తెలిసింది.
थोडा शोर-शराबा होता है.	అది నా అభిరుచి పరకారం విపరీతంగా ఉంటుంది.
कयों न तुम आज अपने कमरे में सोओ?	రాతరికి నీ సొంత గదిలో పడుకుంటే ఎలా ఉంటుంది?
संगीत सुनें?	హెఫె గురించి విననావా?
धतत.	అబబా ఛ.
चपपल भी.	ఇంకా సలిపపరలు.
पकडो उसे!	ఆమెను పటటుకోండి!
अचछा है न?	చాలా బాగుంది, కదా?
जरूर.	తపపకుండా.
मुझे लगता है यह छोटी-सी बात है.	సరే, అది చెపపాలంటే పనికిమాలిన ఆందోళనగా నేను అనుకుంటుననా.
औरत जरूर है.	ఓ మహిళ గురించి మాతరమే.
यह सच है कया?	నీ సందరభంలో అది నిజమేనా?
बढिया. धनयवाद.	అది గొపప విషయం. ధనయవాదాలు.
सच में.	నిజంగా అడిగా.
यहाँ रहकर देखोगे?	అయితే, ఈ చోటుకు ఓ అవకాశం ఇదదామా?
बहुत-बहुत धनयवाद.	కృతజఞతలు.
यहाँ कई लोग सतह से आए हैं इसलिए.	ఎందుకంటే ఇకకడ చాలామంది ఉపరితలం నుంచి వచచిన శరణారథులలా ఉననారు.
नहीं. लूसी.	కాదు. కాదు, అది లూసీ.
ऐसा नहीं हो.	వాలట టెక కలిగి ఉంటుంది.
शहरी जिंदगी से ऊब रहा हूँ.	మొతతం నగరం విషయంలో రెండోసారి అంచనా వేసేలా చేసింది.
मेरे पास है.	నా దగగర పెనసిళలు ఉననాయి.
नया सहायक है?	నీకు కొతత సహాయకుడు వచచాడా?
भूल गया.	అది మరిచిపోయాను.
मछली के अंडे	కేవియర
नहीं.	వదదు, వదదు.
बस, इतना ही.	సరే, అననీ చెపపేశాననే అనాలి.
काम शुरू करे. . . करें?	ఇక మొదలు. . . మొదలు. . . మొదలుపెడదామా? మొదలుపెడదామా?
हैलो, दोसतो.	ఎందుకలా, మీకు హలో, అబబాయిలూ.
हैलो.	అందరికీ హలో.
हाँ.	సరే, అవును.
है न?	నేను వెళలడం లేదా?
हाँ.	అవును, వచచాడు.
हम अपने बिछडों को वापस लाते हैं.	మా నుంచి తీసేసుకుననది పొందుతాం.
- खून बहाना होगा. - खून बहाना होगा.	- రకతం చింది తీరాలి. - రకతం చింది తీరాలి.
शेडी सैंडस को लौटाने के लिए खून बहाना होगा.	షేడీ శాండసను తెచచేందుకు, రకతం చిందించాలి.
ए.	హే. హే. హే.
