{\an8}इसाबेल	{\an8}ఇసాబెల
उन लोगों को फरक पडता है जिनहोंने इस बुसेप. . . बु. . . इस चीज पर विशवास किया था.	ఆ కాయిన ని నమమిన వారికి అవసరం, అదే బస. . . భూ. . . అదే.
{\an8}पिछले साल, मेरे पति अचानक चल बसे.	{\an8}విషయం ఏంటంటే, గత ఏడాది నా భరత అకసమాతతుగా చనిపోయాడు.
ठीक है, शुरुआत में,	సరే, ముందుగా,
तो यही हुआ. मैं उसके चकरवयूह से निकल आई थी.	కాబటటి అది నా పరిసథితి. నేను వాడి ఉచచు నుండి మెలలిగా బయటపడడాను.
मैंने कया चूका?	నేను ఏమెనా మిస అయయానా?
तुम यह कया कर रहे हो?	నువవు అసలు ఏం చేసతుననావు?
कहानी में दिलचसपी है, हँ?	నీకు ఏమాతరం ఆసకతి లేనటటు ఉంది ఎందుకు?
ठीक है. जबकि मैं अपना दिमागी संतुलन खो रही थी,	సరే. నా పరిసథితి దిగజారుతుండగా,
- अब आपको मनगढंत चीजें सुनाई दे रही हैं. आपको. . . - हाँ.	- ఇపపుడేమో ఏవేవో వినిపిసతుననాయి. ఏం. . . - అవును.
जैसे कि. . .	ఎలాంటిది అంటే. . .
यह तुमहारे लिए है.	ఇది నీకోసమే.
अगर मैंने वह पढा जो उसने मेरे लिए लिखा था, तो भी मैं पागल ही लगती.	అందులో ఉననది ఉననటటు చదివినా, అదే జరుగుతుంది.
हाँ.	అవును.
और उसके बाद ही आफटर पारटी शुरू हुई थी.	ఆఫటర పారటీ మొదలు కావడానికి ముందు 90 నిముషాలు డానస వేశాడు.
यह दिमाग सब कुछ भाँप लेता है.	నాకు లెంపకాయలు తినడం కంటే చాలా చేయడం తెలుసు.
इसके बावजूद कि मैं खुद ही सुनिशचित नहीं थी.	నాకు ఖచచితంగా తెలీకపోయినా సరే.
और उसकी राय मेरे लिए सबसे जयादा मायने रखती है.	అంటే, వేరెవవరి అభిపరాయం కననా నేను ఆమె అభిపరాయానికి ఎకకువ విలువ ఇసతాను.
- सच में पसंद नहीं था. - ठीक है.	- అది తినలేదు. - సరే.
मैं पकड सकता हूँ.	ఆ బయాగుని నేను పటటుకోగలను.
वाह, मानना पडेगा,	వావ, నీ బుసెఫలస ఉచచారణ తపప
वह झूठ बोल रहा था. बेशक.	వాడు అబదధం చెపతుననాడు. అదే అయయుండాలి.
एक सलाह देती हूँ.	నీకొక సలహా.
वह मुझे दो.	దానిని నాకు ఇవవు.
अपने ही पैसे निवेश करके "बयूसीफिलिस" की कीमत बढा रहा था.	"బిజీపిలిస" పె పెటటుబడిగా పెటటి ఆ కాయిన విలువని కృతరిమంగా పెంచుతుననాడు అని అరథమవుతోంది.
पर ये एक जैसी हैं.	కానీ అవి రెండూ ఒకేలా ఉననాయి.
सारे लोग.	చుటటూ ఉనన జనం.
या शायद मैंने ही मँगवाया?	లేక చేసి ఉంటానా?
कयोंकि यह सच है.	ఎందుకంటే అది నిజం కాబటటి.
इसका मतलब है कि अब इस परिवार की देखभाल करना मेरी जिममेदारी है	దానరథం ఇపపుడు ఈ కుటుంబ సంరకషణ నా బాధయత,
बस ठीक हैं.	పరలేదు.
एडगर के पास पहले से ही इतने पैसे थे कि वह कभी खतम नहीं हो सकते थे.	ఎడగర దగగర అపపటికే ఖరచు చేయలేనంత డబబు ఉంది.
मुझे पता है तुम यहीं हो.	నువవు అకకడే ఉననావని నాకు తెలుసు.
ठीक है, हम कहाँ थे?	సరే, మన కథ ఎకకడి వరకు వచచింది?
उसे सारवजनिक तमाशा ही चाहिए था.	అందరి ముందు వాడు ఆశించినటటే నా పరువు పోగొటటే పని.
सुबह के 4: 30 बजे हैं. आप जगी हुई कयों हैं?	ఇపపుడు ఉదయం నాలుగుననర అయింది. నువవు ఇంకా నిదర మేలకొనే ఎందుకు ఉననావు?
अब बेहतर महसूस हुआ.	ఇది బాగుంది.
फूल पारंपरिक हैं, माँ.	అంటే, పువవులు తేవడం ఆనవాయితీ, అమమా.
जिस माँ को मैं जानता हूँ, वह कूदती नहीं है.	నాకు తెలిసిన నా అమమ గెంతదు.
"तीन बचचे और कोई पालतू जानवर नहीं"?	"ముగగురు పిలలలు అలాగే సుననా పెంపుడు జంతువులు" ఎలా ఉననాయ?
कया हुआ?	ఏంటి?
हाँ, अचानक टूट चुके होते हैं.	అవును, చాలా తవరగా.
तुमहारे मसाले अवयवसथित थे.	సరే, నీ దగగర ఉనన మసాలాలు సరెన కరమంలో లేవు.
अपनी पलेट लो और तुरंत यहाँ से दफा हो जाओ, बिंग बॉय.	నువవు ఆ చలలని ఐసు ముదదని నీకు కింద నుండి పెటటుకొని ఇకకడి నుండి బయలుదేరు, బింగ బాబు.
इससे कया फरक पडता है? किसी को इसकी परवाह नहीं है.	ఏదెతే ఏముంది? ఎవరూ లెకక చేయరు.
बेशक, सारवजनिक तमाशा होगा.	ఎందుకంటే, అది అందరి ముందు చదవాలసి ఉంది కదా.
तुम आ गए.	నువవు వచచేసావు.
उसे वहीं रख दीजिए.	మీరు దానిని అకకడ పెటటొచచు.
उसका नाम कया था?	అదేమిటో మరచిపోయా, చెపపగలవా?
एक मिनट रुको.	నాకు ఒక నిమిషం కావాలి.
मेरा मतलब, तुम कया चाहती हो मैं कया करूँ?	అంటే, ననను ఏం చేయమంటావు?
बेशक. अब तुम एक मिनोज हो.	అవును, నిజం. నువవు ఇపపుడు మిననొస ఆడపడుచువి.
हमें पकका पता है कि भरम	ఖచచితంగా విషానని తాగిన పదిహేను నిముషాలకు
ठीक है.	సరే.
पर एडगर के केक खाने के बाद, 90 मिनट तक सब डांस कर रहे थे	కానీ ఎడగర కేకుని తినన తరవాత కూడా
और मैं वह जिममेदारी निभाऊँगा.	నేను అదే చేయబోతుననాను.
केवल एकाध ही टिकेंगे.	కానీ ఒకటో లేక రెండో మాతరమే నిలబడతాయి.
हँ, शायद वह सही कह रहा है.	అది నోరుతిరగని వాకయం కాబటటి నాకు చాలా నచచింది.
और मुझसे नहीं हुए.	కానీ నాకు అలాంటిది ఏదీ ఉండకూడదా.
कि आप अपना दिमागी संतुलन पूरी तरह से खो चुकी हैं.	పిచచి పెరిగి పుచచు పటటింది.
नमसते.	గుడ ఈవనింగ.
ठीक है. तो, बस हो गया?	సరే, అంతేనా?
और अब तुम उनहें बेचने की कोशिश में हो	అలాగే నువవు ఇపపుడు వాడు ఒక మోసగాడు అనన విషయం బయటకు పొకకుతుంది అని భయపడి
ऐडरॉल? असंभव.	ఆడడరరాల? నేను నమమలేకపోయా.
तुम कयों जगे हो?	నిదరపోకుండా నువవు ఏం చేసతుననావు?
मुझे उसके बारे में कुछ भी याद नहीं था.	నాకు ఏమీ గురతులేదు.
तो सुनो, पॉल नयूमन.	అంటే, విషయం ఏంటో చెపతాను, పాల నయూమయాన.
कि एडगर मुझे पागल बनाने,	కావాలనే నాకు పిచచి ఎకకిసతూ, మెండ గేమస ఆడుతుననాడు
मैं बस करूर, अभिमानी और बेहद सुंदर हूँ.	నేను ఒక కఠినాతమురాలెన, గరవంతో మదమెకకిన, సతంభించిపోయేంత అందగతతెను అనుకుంటుననారు.
हम बेहद खुश हैं कि आप आए.	మీరు ఈ వారాంతం మాతో కలిసి గడపడం చాలా సంతోషంగా ఉంది.
मैं अंतर देख रही हूँ. मैं अंतर देख रही हूँ.	నాకు ఇపపుడు అరథమెంది.
जिसके बारे में तुम सब बातें कर रहे थे, वह सच में पागल है.	మతిపోయింది అనే అనుకునేవారు.
भरम में डालने के लिए मेरी गोलियाँ बदल रहा था,	అని చెపపానే అనుకోండి,
खैर.	ఏదెతేనేం.
आप भरमित हैं.	నీకు ఏది పెనో, ఏది కిందో కూడా తెలీదు.
पर, रसीद पर आपका नाम लिखा है.	సరే, అంటే, దీని మీద అలాగే పయాకింగ సలిప మీద నీ పేరే ఉంది.
