धनयवाद.	మంచిది!
और इसने सलेटी रंग की सकरट और एक सफेद कमीज पहनी थी.	అవును, తను నడుసతూ వసతోంది ఒక గరే సకరట ఇంకా వెట షరట వేసకోని.
संभलके.	జాగరతత.
नूतन: आप कया चाहते हैं?	మీరేం కోరుకుంటుననారు?
- जी. - ठीक है ना?	అలాగే.
और तैयार? एकदम ठीक है.	రెడీయా? పరఫెకట. అయింది.
- तुमहें नशा दे रहे हैं. - नूतन की बहन: झुमके?	ఆ చెవి రింగులు.
सालगिरह मुबारक हो.	- హాపీ ఏనివరసరీ. - థాంకయు.
बच जाएँगे.	మనం తటటుకోగలం.
मैडम, मुसकुराइए.	మేడమ, సమెల.
मैं चाहता हूँ जो आप चाहती हैं.	నువవేం కోరుకుంటుననావో అది.
संभल के.	జాగరతత,
चलो.	రా.
वापस भेजना अपशकुन हो जाएगा ना?	వాళలని వెనకకి పంపడం అపశకునం అంటారు, అవునా?
धरुव: उममीद करता हूँ तू हमारे पिछवाडे में घुसने की कोशिश नहीं करेगा.	నువవు మా వెనకనుంచి చెయయవు కదా?
डिजाइनर: हेलो.	హలో.
आदिल: तुमहारा दिमाग खराब. . .	నీకు మతిగానీ పోయిందా
आराम से.	ఓ, అవును.
- तारा: हेलो. -	హలో.
कबीर: सर?	సర?
तुमहें कब निकलना है?	నువవు ఎపపుడు వెళుతుననావు?
- उसने करिसटियन लूबोटां के साथ मिलकर. . . -	అతను కరిసటియన లుబొటాంతో కలిసాడు
मैं खुश नहीं हूँ.	నేను లేను.
और फिर, ये मिलन जो है ना, दो परिवारों का नहीं है,	పెగా, ఈ బంధం రెండు కుటుంబాలది కాదు, రెండు పారటీలది! అంతే కదా!
कबीर: और मैं भी तुमहें पसंद करता हूँ.	నాకూ నువవంటే ఇషటం.
आदाब.	ఆహా. . .
परतिबंधित कषेतर	పరమాదమెన సథలం
तुम गए थे ना?	నువవకకడికి వెళళావు, కదా?
आप यहाँ आ जाओ.	- తనని ఇకకడ నిలబడనీ. - ఇకకడ, నాతో నిలబడు. ఆ, ఇకకడ.
मिसेज यादव: वो विशाल के हैं. तीन हैं ना?	- విశాలకి మూడు, కదా? - నేను జానతో మాటలాడాను.
हाँ.	ఆ.
फोटोगराफर: एक फोटो, सर?	ఒక ఫొటో, సర?
- करन: उसने एक कॉल किया था. - सच?	- తనో కాల చేసింది. - అవునా? కాల చేసి చూడు.
तुमने?	నీకు?
मिसेज यादव: कया हुआ?	- మేం నీకు సాయం చేసతాం. - ఏమయింది?
मुझे लगा ये कबीर का घर है.	ఓ, కానీ ఇది కబీర ఇళళు అనుకుననాను.
सच?	నిజంగానా?
करूँगा.	తపపకుండా.
- हम तुमहारी मदद करेंगे. -	- అవి ఇకకడ ఉండవు. - సరే. నేను చూసతాను. . .
तुम खुश रहोगी.	సంతోషంగా ఉంటావు.
दुपटटा.	దుపటటాతో జాగరతత.
कबीर: ये एकदम सही है.	అది బావుంది.
- आराम से, कोई बात नहीं. - हमम.	రిలాకస, బానే ఉంది.
ये डरेस कववाली वाली रात के लिए है, मैडम.	ఈ అవుట ఫిట కవవాలీ నెటకి, మేడమ. కానీ దీనని ఫిటింగ చెయయాలి.
चीयरस.	ఛీరస.
शाबाशी नहीं मिलेगी.	మీ ధెరయానికి మెపపుదల లభించదు.
हाँ, मैं उससे पयार करता हूँ.	ఆ, ఐ లవ హర.
वो पौधा है ना, दीदी, उसको एक सेकंड. . . वो पतता उधर बायें करना.	ఆ మొకక, ఉంది కదా అకక ఆ అదే. దానని ఎడమకి కదపండి.
मुझे माफ कर देना.	అయాం సారీ.
थोडी मछली लो ना?	కొదదిగా ఫిష టరె చెయయచచుగా?
बहुत ही अचछी हैं.	మంచిది.
कमाल का था! छातरों ने उसे बहुत पसंद किया.	వెల, అదభుతంగా జరిగింది. సటూడెంటసుకి తను బాగా నచచాడు. నిజంగా చాలా బావుండింది.
उसका वयकतितव अचछा है. और वह. . .	తను గొపపదని చెపపు. తనకి మంచి పరసనాలిటీ ఉందని. తనకి ఓ మంచి
नहीं. . . नहीं, मैं नहीं मिला.	లేదు, లేదు, కలవలేదు.
वकत आ गया है.	ఇపపటికెనా చేసతుననావ
हेलो, मैं. . .	హాయ, నేను
- मिसटर आदिल खनना अभी भी अकेले हैं. - जयादा देर तक नहीं.	ముఖయంగా ఇకకడ ఉనన లేడీస కోసం, మి, ఆదిల ఖననా ఇంకా సింగిల.
इस बार मेरी बात मानिएगा.	ఏవండీ, ఈసారి నా మాట వినండి.
पतरकार: शुकरिया, सर, शुकरिया. हाँ, मैडम.	థాంకయు, సర, థాంకయు. . .
कया हुआ?	ఏంటి?
बहुत खुश हूँ जो तुम आई. अंदर आ जाओ.	ఆ, హాయ, లోపలికి రా. నువవు వచచినందుకు సంతోషంగా ఉంది. లోపలికి రా.
थक गई.	నేను అలిసిపోయాను.
मिसेज यादव: जलदी आओ.	తవరగా రా.
मतलब, तीन दिन जददोजहद करने के बाद, आप. . .	అంటే, తెలుసా, నువవు దానని చూడడానికే మూడు రోజుల నుంచీ తిపపలు పడుతుననావు.
एक सेकंड दोगी मुझे. पलीज, मेरी बात तो सुन लो.	పలీజ, ఒకక నిముషం.
कया?	ఏంటి?
उसे भारत में एलजीबीटी अधिकारों के लिए एक ऐतिहासिक फैसला माना गया.	ఇండియాలోని ఎల. జి. బి. టి. కయూ హకకులకె ఒక
तमाशा कर सकता है, परेस बुला सकता है.	అతను తన ఫరెండసుని తీసకెళళి ధరనా చేసో, పరెసని పిలిచో ఏదో ఒకటి చెయయచచు.
अ. . . तुम. . . तुमहारी शादी हो गई?	నీకు పెళలయిందా?
चिटठी तो नवाब ने लिखी है ना?	నవాబ లెటర రాసాడు, కదా? అయితే నేను గేని ఎలా అవుతాను?
विदेशी सभयता को बढावा दे रहे हैं. भारत में ये सब नहीं चलेगा!	విదేశీ ఆచారాలను పరోతసహిసతుననారు.
नवाब होमो है! नवाब होमो है!	నవాబ ఒక హోమో!
और मुझे नहीं लगता मैंने इसे कभी तैरते देखा था.	- బావుంది. - ఇంకా యా.
घर में एक पूल था?	మాకు ఇంటలో ఓ పూలుండేది? నాకు తెలిసి నేను తనని అంతగా ఎపపుడూ
कोई गलती मत करो.	పలీజ, నేను చెపపేది విను. కమాన! ఆ పొరబాటు చెయయకు.
हमारी शादी नहीं हुई है.	వావ. బరంహమాండం. ఆ, కమాన.
कोई उससे मिल नहीं सकता. हमारे सारे दोसतों ने कोशिश कर ली.	నూతన వాళళ అకక ఆతమహతయ చేసుకుంది వాళలే బాయ ఫరెండుని చంపించారని.
ये ठीक नहीं है.	పాడుతూ ఉండండి!
समझ नहीं आया.	యు ఆర వెలకం.
हम सबके साथ हुआ है.	అది చాలా మంచిది.
तुमने?	అదే కదా.
हाँ, इसको.	కాదు, కాదు, ఆ ఎడమది. ఆ, అదే.
लडके: ओ!	నవాబ ఒక హోమో!
नहीं.	పద.
कया?	థాంకయయు.
मेरी जॉन से बात हुई है.	అలాగే.
