मेरी जान. . .	నా పరియా. . .
जब से वे आए हैं, मैं अकेले ही टहलती हूँ.	వాళలు వచచినపపటి నుంచి, నేను ఒంటరిగానే నడుసతుననాను.
कया?	ఏంటి?
कया?	ఏంటి?
शुकरिया.	ధనయవాదాలు.
वह ऐसा तो नहीं करता.	అతని వాలకంలా అనిపించలేదు.
मैं अपनी शॉटगन निकाल लूँ?	నేను షాటగన తెచచేయనా?
कि इस चकाचौंध में उनहोंने उसे भुला दिया.	వాళలు మరచిపోవడానికి కొనని మెరిసే దీపాలు సరిపోతాయి.
बिंग. . . जरा रुकिए.	బింగ. . . ఓ నిమిషం ఆగండి.
माँ?	అమమా?
माँ?	అమమా?
आप मेरे पापा को जानते थे?	మా నానన నీకు తెలుసా?
मोटर ऑयल	మోటార ఆయిల
आगे बढो, जांबाज.	కానివవు, పెదద మనిషీ.
इससे मुसीबतों का हल नहीं होता.	అది సమసయలను పరిషకరించదు.
केवल विजेता.	విజేతలు మాతరమే.
खेल खतम.	ఆట సమాపతం.
जिस जिंदगी की हमेशा से चाहत रही कया आप उसके हकदार नहीं हैं?	మీరు కలకాలం కోరుకునే జీవితానికి మీకు అరహత లేదా?
अपने पोते के पास. अब मेरे लिए वही सबसे जयादा मायने रखता है.	నా మనుమడితో ఉండడానికి. ఇపపుడు వాడే నాకు సరవసవం.
हम आपका घर खरीदना चाहते हैं	మేము మీ ఇంటిని కొనాలని భావిసతుననాం
उनहोंने इस वीरान जगह को सँवारा है.	అంతా తమ కషటంతో సంపాదించారు.
वे इशतहार हमारे लिए थे.	ఆ పాంపలెటలు మన కోసమే పంచినవి.
ओक सपरिंगस उससे कहीं बढकर है.	ఓక సపరింగస అంతకు మించి.
और वैसे, जा कहाँ रही हो? खरीदारी करने?	ఇంతకీ ఎకకడకు పరయాణం? షాపింగకా?
पर वह लडका. . .	కానీ నా మనుమడు. . .
डोलोरेस. मुझे अंदर से महसूस हो रहा है.	డోలొరెస. నాకు ఆ భావన కలిగింది.
आपकी सबसे बडी चाहत कया है?	నువవు బాగా కోరుకునే ఒక అంశం ఏంటి?
हम लोगों को संभलने में मदद की है.	మా పనులలో కలిసి సాయపడింది.
चलिए, ओक सपरिंगस के लोगो, आज रात के विजेता के लिए तालियाँ हो जाएँ.	రండి, ఓక సపరింగస, ఈ రాతరి పెదద విజేత గురించి వినండి.
इससे ओक सपरिंगस के बाहर निकल पाना ही बहुत होगा.	ఓక సపరింగస నుంచి బయలుదేరడం నీ అదృషటం.
हम यह मानकर चलें कि तुमहारा बेटा बिलकुल सही था?	నీ కొడుకు మంచోడని మేము నటించాలా ఏంటి?
विकास सूचना	అభివృదధి పరకటన
-वाकई? -बिंगो यहाँ है!	-నిజంగా? -ఇదిగో ఇకకడే బింగో!
पलीज. तुम उसके निजी मामलों में पहले ही बहुत दखल देती हो.	ఊరుకో. అకకడికి నువవేదో అతనిని పటటించుకోనటలు.
और वह इनाम!	ఇంకా ఆ బహుమతి!
तुम बस राह का रोडा हो.	నువవు దారికి అడడుననావు అంతే.
उठिए, पलीज.	పెకి లే, పలీజ.
तुमने गलत समुदाय चुन लिया, कमीने!	నువవు తపపు కమయూనిటీ ఎంచుకుననావురా, నీచుడా!
अमीर कमीने.	ధనిక దరిదరుడా.
नहीं. पैसे को मत जलाओ.	వదదు, వదదు. డబబునేం చేయొదదు.
आज यहाँ केवल मॉरिस ही लापता नहीं है.	ఇవాళ ఇకకడ కనిపించనిది మోరిస ఒకకడు మాతరమే కాదు.
इसकी चिंता मत करो.	దాని గురించి బాధపడకులే.
-कया? -यह कया हुआ?	-ఏంటిది? -అసలు ఏమయింది?
-उसने खुद को फँसा हुआ महसूस किया हो तो? -नहीं.	-ఇరుకకుపోయి ఉంటే? -లేదు, లేదు, లేదు.
इसके लिए मुझे अकेले लडने पर मजबूर न करो, पलीज.	ఇది నా ఒంటరి పోరాటం కానీయకు, దయచేసి.
-एकदम सटीक जगह है. -नहीं.	-ఇది సరిపోతుండవచచు. -లేదు, లేదు.
इस चीज से मैं खुद ही निपट लूँगी.	ఈ సంగతి నేనే చూసుకుంటాను.
लुपीटा, उस इंसान की बीवी चल बसी.	లుపిటా, అతనీ మధయనే భారయను పోగొటటుకుననాడు.
-मैं हमेशा आपके साथ हूँ. -एरिक, संभलकर रहना, बेटा.	-నేను నీతో వసతాను. -ఎరిక, జాగరతత, బాబూ.
अपनी माँ की तरह नहीं बनना चाहोगे, है न?	నువవు మీ అమమలాగా ముగిసిపోవాలని లేదు, ముగిసిపోతావా?
अब खुल चुका है	ఇపపుడు తెరిచి ఉంది
मारियो का कया?	మారియో సంగతి ఏంటి?
यहाँ आइए, बडी विजेता.	సరే, ఇటు వచచెయ, పెదద విజేత.
सब सामानय नहीं था. शैतानी लग रहा था.	అది సహజం కాదు. అది రాకషసతవం.
जब तक मैं नशे में था और मेरे पास पैसा था, मैं खुश रहता था.	నా మతతు, నా డబబు ఉననంతకాలం, అంతా నాకు మంచిదే.
ओक सपरिंगस से जिंदा निकल पाना तुमहारी खुशकिसमती होगी.	ఓక సపరింగస నుంచి బతికి బయటపడడం నీ అదృషటం.
योलांडा, कल सुबह,	యొలాండా, రేపు ఉదయాననే,
हम बेताब आतमाओं से फलते-फूलते हैं.	అనని ఆతమల తీరని కోరికలను, మేము నెరవేరుసతాము.
बस आपको खेलना है!	మీరు చేయాలసినది ఆడడమే!
तुम नशामुकत हो गए थे, है न?	సరే, నీకు చెడు అలవాటలు లేవు, అవునా?
जब मेरा बेटा बीमार हुआ. . .	నా కొడుకుకు ఆరోగయం బాగాలేకపోతే. . .
अचछी लग रही हूँ, है न? मेरे लिए तालियाँ हो जाएँ!	బాగుననాను కదా? నాకోసం చపపటలు కొటటండి!
गुजरे दौर में तुमहारे पापा को जानता था.	ఆ రోజులలో మీ నానన నాకు తెలుసు.
निराश लोगों को अपने करीब रखना.	కోరిక తీరని ఆతమలతో మనచుటటూ తిరిగేవాళలు.
यह सब बीते दिनों की बातें हैं.	ఆ రోజులు ఎపపుడో పోయాయి.
और फिर हम उनसे फलते-फूलते हैं,	అపపుడు మనం నెరవేరుసతాం,
तुमहें परेशान करने नहीं आया, केलब.	నీతో గొడవకు రాలేదు, కేలెబ.
हैलो? लुपीटा?	హలో? హలో? లుపిటా?
मुझे माफ कर देना.	ననను కషమించు.
इलाका केवल एक जगह होती है.	ఇరుగు పొరుగు అనేది ఒక పరదేశం అంతే.
तो यह सब कुछ जयादा ही हो गया.	ననను అడిగితే ఇది కాసత అతిశయోకతి అనాలి.
उसे एक बचचे के लिए सब उममीदें और सपने चुटकियों में कुरबान करने पडे.	తను ఊరకే అలా, తన ఆశలు కలలు అననీ వదిలేయాలసి వచచింది.
मुझे बेहद खुशी हो रही है!	మిసటర బిగస బింగోకు!
पता है किस तरह के लोग ऐसी चीजों में यकीन करते हैं?	ఈ చెతతను ఎలాంటి వాళలు నమముతారో తెలుసా?
हर रात आइएगा, जहाँ इनाम बडा होता जाएगा	ఇంకా పెదద బహుమతులో ఈ చోటుకు పరతి రాతరి తిరిగి రండి
तुमहारे पापा ऐसे नहीं थे.	మీ నానన మాతరం కాదు.
ओक सपरिंगस के लोगो, सुनो.	ఓక సపరింగస, వినండి.
नई दुकान खुल रही है, आपको वहाँ ले चलूँगा.	కొతతగా తెరచుకునే రీటెల షాపులు ఒకదానికి అభివృదధి చెందు.
अगर हर रासता बंद होने के बाद,	అతను బయట పడే దారి లేక,
और हमें हासिल कया हुआ है?	దానికి ఫలితంగా మనకు ఏం మిగిలింది?
भले ही आप कितने भी संतुषट कयों न हों,	మీరు ఎంత సంతృపతిగా ఉననా సరే,
तो दुनिया की कोई ताकत हमें नहीं हरा सकती!	మనలని ఓడించేది ఈ పరపంచంలో లేదు!
अभी बस छह महीने हुए हैं. उसे थोडा वकत अकेले गुजारने देते हैं.	ఇపపటికి ఆరు నెలలే అయింది. అతనికి ఏకాంతం ఇదదాం.
इस बारे में तुमसे बात नहीं करूँगी. माफ करना.	దీని మీద నీతో మాటలాడలేను. వదిలెయ.
बिंगो की रात	బింగో నెట
हम सबको चिटठियाँ मिलती रहती हैं.	మా అందరికీ లేఖలు వసతాయి.
यह तो कसीनो लगने लगा.	ఓ భారీ కేసినోలా కనిపిసతోంది.
आपको किस चीज से खुशी हासिल होगी?	నీకు సంతోషం తెచచేది ఏది?
चाहे आप कितने भी खुश हों, भले ही आप कितने भी संतुषट कयों न हों. . .	ఎంత సంతోషంగా ఉననా సరే, మీలో ఎంత సతతా ఉననా సరే. . .
अगर उसने राकेल को जाने के लिए मजबूर किया हो तो?	రకేల పారిపోయేలా వాడు ఏమెనా చేసుంటే?
-यहाँ कया खराबी है? -बहुत बेकार जगह है.	-దీనికి ఏమయింది? -ఇకకడ దారణం.
हमारे हाउस में सवागत है, कमीने!	మా ఇంటికి సవాగతం, పందీ!
आज सुबह उसके घर गई थी, उसकी कार देखी, उसने जवाब नहीं दिया.	ఈ ఉదయం ఆగాను, అతని కారు చూశాను, జవాబు లేదు.
हमेशा विजेता बनो.	ఎపపుడూ విజేతగా నిలవండి.
-धत! -बेहतर होगा भाग जा! कमीने!	-అబబా ఛ! -నువవు పారిపోవడమే నయం! చినన వెధవ!
गोरी कमीनी कहीं की.	ఆ సననాసి మొహం.
ऐसा कहो भी मत.	అలా అనను కూడా అనకు.
उसे किसी चीज के लिए मना नहीं करती.	వాడికి అననీ సమకూరుసతోంది.
हमारी दिलेर दादियों और नानियों को समरपित.	మా బామమలకు/గటటిపిండాలకు అంకితం
यह जगह जाए भाड में!	ఈ ఇరుగు పొరుగు ఎటెనా పోనీ!
केलब. आराम से, यार.	కేలెబ. ఊరుకో, ఊరుకో, బాబూ.
और खास मेहमानो. . .	ఇంకా పరతయేక అతిథులారా. . .
मुझे रात को नींद नहीं आती, इसलिए!	నాకు నిదర పటటదు, అందుకే!
इस वकत जो देख रही हूँ, इससे तो बेहतर होता कि इसे खाक के ढेर के रूप में देखती.	నేనిపపుడు చూసతుననది ఏదెనా సరే దాని కంటే బూడిద కుపప మేలు.
मुझे घिन आती है.	నాకు కోపం తెపపించింది.
उनहें अपने पास रखते हैं.	దగగర ఉంచుకుంటాం. దగగర ఉంచుకుంటాం.
कमीने, तुझे तो मैं बताता हूँ.	వెధవా, నీ అంతు చూసతా.
मुझसे कहा था कि एक बार चलने लगेगी,	ఒకసారి మళలీ ఇది పని చేసి పరిగెతతడం మొదలుపెటటాక,
-जिददी? -हाँ.	-మొండివాళలా? -ఔను.
बडे-बडे सपने.	చాలా పెదద సవపనాలు.
कल रात की बात बार-बार दिमाग में घूम रही है.	గత రాతరి ఆలోచించడం ఆపలేకపోయాను.
जहाँ हम हमेशा से रहे हैं.	మనం ఎపపటికీ ఉంటాం.
पटरीशिया की मौत से पहले भी मारियो को	ఓక సపరింగసలో తన జీవితానని పెటరిషియా చావుకంటే ముందే
और केवल लुपीटा ने ही नहीं. तुमहारी दादी ने भी.	లుపిటా మాతరమే కాదు. మీ బామమ కూడా.
नहीं.	కాలేదు.
हाथों बेचकर मौज से रह रहे हैं.	వాళల ఆసతులను ఈ డబబునన వెధవలకు అమముతుననారు.
मेरी तरफ देखो!	ననను చూడు!
कमीना कहीं का!	చచచు వెధవ!
माँ, रुक जाइए.	అమమా, ఆపు.
मेरा यकीन करो.	ననను నమము.
हम ही ओक सपरिंगस हैं.	మనం ఓక సపరింగస.
ओए, कमीने.	హేయ, చచచుమొహం.
चलिए, दादी माँ, उठिए.	అరె, బామమా, లే.
चलिए.	మేలుకో.
ओ तेरी.	అబబా.
तुम लोग मेरा घर हो. मेरे परिवार हो.	మీరే నా ఇలలు. నా కుటుంబం.
जब मेरी तरफ ऐसे देखते हो, तो अपनी दादी जैसे लगते हो,	ననను అలా చూసతే నీ చెతత బామమలా ఉననావు,
मारियो कुछ देर के लिए कमजोर पड गया था.	మారియోకు బలహీన కషణాలుననాయి.
रचनातमक परयवेकषक जनक कविरतन	కరియేటివ సూపరవెజర నలలవలలి రవిందర రెడడి
कया हमें पुलिस को बुलाना चाहिए?	మనం పోలీసులను పిలవాలా?
और तुम अचछी तरह से जानती हो कि इस एहसास का कया मतलब है!	ఆ భావన ఏంటో అందరికంటే నీకే బాగా తెలుసు!
अगला नंबर है. . .	తరువాతి సంఖయ ఏంటంటే. . .
पापा के बिना एक माँ होने के लिए जो चाहिए, पता नहीं मुझमें वह है या नहीं!	మీ నానన లేకుండా అమమగా ఉండడం ఎంత కషటమో నాకు తెలియదు!
हर सुबह मुझे तलब लगती है	పరతి ఉదయం దానికోసం తహతహలాడిపోతాను,
तुमहें एक बार मुफत में बाल कटवाने को मिलेगा!	నువవు గెలుచుకుననావు ఉచిత కషవరం!
मैं विजेता बनने जा रही हूँ.	నేను గెలవబోతుననాను.
मुझे तुमहारी जरूरत नहीं है.	నాకు నీ అవసరం లేదు.
मैं बिलकुल तुमहारी तरह हूँ.	నేను నీలాంటివాడినే.
तो. . .	అయితే. . .
और कल तक, अगर उससे बात नहीं होती,	ఇక రేపు, అతను కలవకపోతే,
बेचना? नहीं, यार, पलीज.	అమమడమా? లేదు, నాయనా, లేదు, ఊరుకో.
ओक सपरिंगस हमारे लिए अचछा रहा है.	ఓక సపరింగస మనకు మంచిది.
अगर तुम कार से चोरियाँ कर रहे हो, तो तुम कसबे के गलत हिससे में हो.	మళలీ కారలలో చోరీ చేసతుంటే, తపపుడు చోట ఉననావనే.
नए परबंधन के साथ	కొతత మేనేజమెంట నిరవహణలో
कमीने को लातों से मारो.	ఆ వెధవను తననండి.
भाग जाती, फिर पता नहीं घर पर बचचे को लेकर कया किया करती थी.	ఇంటలో పిలలాడి సంగతేంటో దేవుడికే తెలియాలి.
ओक सपरिंगस वाला जोरदार सवागत करेंगे.	సరెన ఓకస సవాగతం పలుకుదాం.
माफ करना!	ఏం అనుకోకండి!
पता नहीं.	నాకు తెలియదు.
और मेरा यही करने का इरादा है.	నా లకషయం సరిగగా అదే.
उममीद है कि सही कह रहे हो, यार.	చిననోడా, నీ ఆశ, నీ మాట నిజం కావాలని ఆశిసతాను.
कया तुम अंदर हो?	లోపలుననావా?
-तुम उसे इसतेमाल करोगे? -बस करो!	-నువవది వాడతావా? -ఆగు!
तुम कोई मायने नहीं रखती, तुमहें दिखाई नहीं देता?	నీతో సంబంధం లేదు, కనిపించడం లేదా?
जो तुम चाहते हो, वही मायने रखता है.	నీకు ఏం కావాలననదే విషయం.
हमेशा विजेता बनो.	ఎననటికీ విజేతగానే నిలువు.
राकेल उसे अपने मन का करने देती है.	వాడు ఏం చేసతానంటే దానికి రకేల అందుకు వంతపాడుతోంది.
अब तुम मजबूत हो गए, हुँह?	ఇపపుడు బలపరయోగమా?
खुद को वंचित नहीं रखूँगा.	దానికి దూరం కాను.
हर रात आइएगा, जहाँ इनाम बडा होता जाएगा	ఇంకా పెదద బహుమతులు ఉండే ఈ చోటుకు పరతి రాతరి తిరిగి రండి,
अपना सेल फोन काउंटर पर छोडे जा रही हूँ, हो सकता है कि तुमहें जरूरत पडे.	బలల మీద నా సెలఫోన పెడుతుననా, అవసరం అయితే వాడుకో.
ओक सपरिंगस में बिंगो हॉल की बात करें,	ఓక సపరింగసలో బింగో హాలకు,
हाँ!	అవును!
कमबखत नई पीढी के लोग.	చెతత సననాసులు.
तुम हार गई	నువవు ఓడిపోతావు
कमीना!	దరిదరుడా!
चलो, केलब.	నాతో రా, కేలెబ.
चलाओ गोली.	కానివవు, కాలచు.
हाँ, बस.	అవును, అంతే.
बार-बार और लगातार!	ఇంకా మళలీ, మళలీ, ఇంకా మళలీ!
खेल का वकत हो गया!	ఆట ఆడే సమయం!
और अब कया?	ఇంకా ఇపపుడేంటి?
सडे हुए, चिपकू. . . उठ!	కుళలిన, జిగట. . . పెకి లే. పెకి లే!
और मुझे तुमहारी बात सुननी चाहिए थी.	నేను మీ మాట వినాలసింది.
चलो भी! शरमाओ मत.	కానివవు, చాపు! సిగగు పడకు.
यह हुई न बात!	నేను చెబుతుననది అదే!
और एक तरह से तुमहारी भी उमर जयादा है.	ఓ రకంగా నువవూ ముసలోడివే.
वे बूढे लोग मेरे परिवार जैसे हैं.	ఆ ముసలోళలు నాకు చిరకాలంగా కుటుంబంలా ఉనన సననిహితులు.
हम सब में वह छोटी सी चाहत होती है, जिसकी लालसा हमेशा बनी रहती है.	ఒక చినన విషయానని మనమంతా గాఢంగా కాంకషిసతాం.
यह जगह हमारी है. . .	ఇది మన ఇరుగు పొరుగు పరాంతం. . .
मारो इसे.	వాడిని చంపండి.
मैं यह बात बिलकुल मानती हूँ.	నేనది ఒపపుకుంటాను.
लुपीटा, तुमहें नहीं लगता कि हम बेहतर के हकदार हैं?	లుపిటా, మనకు మెరుగెనవి తగవంటావా?
वहाँ पर पैसा पडा था, हरी-हरी लसलसी चीज फैली थी.	అకకడ డబబు, ఆకుపచచ జిగట ఉననాయి.
तुम भी.	నువవు కూడా.
पुराने कपडे की दुकानों से खरीदारी बंद कीजिए.	సరుకుల దుకాణాలలో షాపింగ ఆపు.
और हम सफर के लिए तैयार हो जाएँगे.	మనం పరయాణానికి సిదధం.
अब. . .	ఇపపుడు. . .
पर कभी-कभी, काश तुम. . .	కానీ కొననిసారలు, నాకు అనిపిసతుంది. . .
कमाल है.	అబబో.
लोग कहते हैं कि पैसों से खुशियाँ नहीं खरीद सकते.	డబబుతో సంతోషం కొనలేమని అంటారు.
वह पैसा.	డబబు.
और तुम भी इसका हिससा हो.	ఇంకా మీరు కూడా.
हाँ! धत, हाँ!	అవును! నిజంగా, అవును!
तुमहें यह कया हो गया?	నీకు ఏమయింది?
अब कोई खेल नहीं होगा.	ఇక ఆటలు లేవు.
दान पातर	విరాళాల పెటటె
उनहें पिंजडे में कैद रखना.	బోనులలో పెడతాము.
हटो, मैं बंद करती हूँ.	పకకకు జరిగితే, దాని సంగతి చూసుకుంటా.
कार दिखाने?	కారు అపాయింటమెంటా?
हमें भी खेलना चाहिए था.	మనం ఆడాలసింది.
तुमहें बस यूँ ही मिल गईं?	నీకవి దొరికాయా?
तुमहारी माँ कहाँ है?	మీ అమమ ఎకకడ?
मर गए.	చనిపోయారు.
बस.	అంతే.
उठिए, पलीज. . .	మేలుకో, మేలుకో, పలీజ. . .
हम ही ओक सपरिंगस हैं, बेटा.	మనమే ఓక సపరింగస.
माँ! नहीं!	అమమా! అమమా, వదదు!
तुमहारा दिमाग खराब हो गया है.	నీకు మతి పోతోంది.
हम आपको शुकरिया कह सकें.	నీకు మా పరశంస.
इस अचछे से ओक सपरिंगस में.	బహుశా చనిపోతాం.
और बिजली का जाना?	ఇంకా కరెంట. . . కరెంట పోతోందా?
यह पकका करने के लिए कि उसने कोई बेवकूफी का काम न किया हो.	తను ఏ పిచచి పని చేయకుండా చూడాలి.
आपका सवागत है!	మిలియన డాలరల ఆటకు సవాగతం!
ले, कमीने, ले!	తీసుకో, దరిదరుడా, తీసుకో!
ऐसी बात है?	అలాగా?
पर देखो,	కానీ ఏమెనా సరే,
कल रात मैंने अपनी दादी को कहते सुना कि कैसे मेरी माँ ने	గత రాతరి, ఈ కొతత బింగో చోటులో
संवाद अनुवादक रशमि शरमा	ఉపశీరషికలు అనువదించినది కరత కృషణమోహన తంగిరాల
तुमहारी जानकारी के लिए बता दूँ,	నీ సమాచారం కోసం,
ए, लुपीटा.	హేయ, లుపిటా, లుపిటా.
अरे, धत तेरे की.	అబబా, ఛ.
योलांडा. . .	యొలాండా. . . యొలాండా. . .
बस कीजिए!	ఆపు, ఆపు, ఆపు, ఆపు!
योलांडा.	యొలాండా. యొలాండా.
ओक सपरिंगस की अपनी जिंदगी पसंद नहीं थी.	మారియో దవేషించాడు.
नहीं!	కాదు! కాదు!
हाँ.	ఆ, అవును.
और यह मत भूल जाना कि जब सैमसन ने डेलाइला को	ఇంకా సామసనకు డిలెలా
ऐसा नहीं. . .	ఇలా కాదు. . . ఇది అలా కాదు. . .
भाड में जाए.	చెతత.
भाड में जाओ!	పోరా!
मिसटर बिगस बिंगो के मिलियन डॉलर खेल में	మి. బిగస బింగోలో
हाँ.	మనం ఉననాం.
नहीं!	అయయో, అయయయయో!
एरिक, नहीं!	ఎరిక, వదదు! వదదు! ఎరిక, వదదు!
नहीं. . .	వదదు, వదదు, వదదు, వదదు. . .
बिंगो!	బింగో! బింగో! బింగో!
बिंगो!	బింగో, బింగో, బింగో!
चालू भी हो जा!	అరే!
बस.	అంతే. అంతే.
केलब!	కేలెబ! కేలెబ! కేలెబ!
बैठो.	కూరచోండి. కూరచోండి. అకకడ.
