एक घर, एक औरत.	ఇలలు, ఒక సతరీ.
माफ कीजिए. रुको, मुझे बस हैलो कहना है.	మననించాలి. ఆగు, పలకరించనివవు.
मुझे जाना होगा. मैं यहाँ नहीं रह सकता.	మనం వెళళాలి. నేనికకడ ఉండలేను.
तुम जिममेदार कयों हो?	నీకేం బాధయతుంది?
जो चाहो ले सकते हो.	ఏం కావాలంటే అది చెయయవచచు.
यहाँ पर एक रासता है	అదిగో అకకడ ఒక దారుంది కదా
सुनो, गरेग, कोई बात नहीं.	హే, గరెగ, పరవాలేదు.
अगर तुम मुझे मार डालो तो?	నువవు ననను చంపేసతే?
यह दुनिया और कुछ नहीं,	నీ నయూరానల చుటటూ తిరిగే కాంతే
अपने गरैजुएशन के बारे में	నా గరాడయుయేషన గురించి కాల చేసాను.
आप पकका ठीक हैं ना, पापा?	నాననా, మీరు నిజంగా బాగానే ఉననారా?
-अब तुम पूरी तरह आजाद हो.	-నువవు అధికారికంగా సవేచఛ పొందావు.
इसे अपनी धारणा से बडा ही रहने दो.	నీకు అరథం కాని అంశాలనుకో.
थोडा ठंडा है, पर अचछा है.	కొంచెం చలలగా అయింది కానీ బావుంది.
अगर नरक में असल जिंदगी ऐसी हो तो?	నరకంలో నిజంగా ఇలానే ఉంటే?
या शुरू करने तक, मजाक कर रहे हैं?	లేదంటే నువవు మొదలెటటేదాకా
हैलो, खुशी है कि तुम मुझे अकेले मिले.	హే, ఒంటరిగా దొరికావు సంతోషం.
और यह मेरी ओफेलिया है. कोई बात नहीं, जान.	ఇది నా ఒఫీలియా. పరవాలేదు, బేబీ.
मैं चाहती हूँ कि आप आएँ.	అంటే, మీరు రావాలి.
-कया वह. . .	-అది. . .
उसके पास मेरा तावीज वाला हार है.	నా తావీజు అతని దగగరుంది.
दस.	పది.
और पैसा भी. तो, मेरे पास न पहचान पतर है,	నా డబబులు కూడా. అదే, ఐడీ లేదు,
मैं तुमहें एक बहुत अचछी चीज	నీకు చాలా మంచి విషయం ఒకటి చూపిసతాను.
इसे मोमबततियों के आगे घुमाओ.	వాటి వెపు ఊపు దానిని.
तुम ही मेरे साथी हो.	నువవు నావాడివి.
तुम ही मेरे साथी हो.	నువవు నావాడివి.
हाँ!	హా!
उसकी चिंता मत करो.	దాని గురించి కంగారుపడకు.
-नहीं. माफ करना.	-లేదు. సారీ.
आप कया लेना चाहेंगे?	ఏం కావాలి మీకు?
तो यह समझते.	నీకే అది.
फिर मुझे तुमहारी बात मानकर चलना होगा ना?	అపపుడు నేను నీ మాట వినాలి కదా?
सटरॉबेरी.	సటరాబెరరీలు.
शुकरिया.	థాంకస.
मजे करो.	ఎంజాయ.
फिर से शुरू करते हैं. केंडो कहाँ है?	మళళీ ఆరంభిదదాం. కెండో ఎకకడ?
-कोई सुरकषा को बुलाओ.	-ఎవరననా సెకయూరిటీని పిలవండి.
मुझे लगा बंदूक निकालेगा,	గనను కోసం చెయయి పెటటాడనుకుననాను,
परयापत नहीं हैं!	సరిపడా లేవు!
आओ चलें!	పదండి!
आपको देर नहीं हुई, पापा.	ఆలసయమవవలేదు, నానన.
अरे, यार, तुमहें माल चाहिए? हेरोइन?	హే, బాబు, మటటేమననా కావాలా?
इस पूरी दुनिया का जनम कैसे हुआ?	పరపంచం ఇలా ఎలా మారింది?
कि इंसान कितनी आसानी से	జనాలు ఇటటే అలవాటుపడటం అతి వింత.
मैं ठीक हूँ, बस ठंड है.	బాగానే ఉననాను, కొంచెం చలి అంతే.
घबराओ मत, कोई बात नहीं.	కంగారుపడకు, పరవాలేదు. పరవాలేదు.
एक घर का, जो परायदवीप पर है	దవీపకలపంలోని ఇంటిని.
लगता है मेरा अनुमान गलत था.	అదే నేను చేసిన తపపు.
मुझे किसी भी चीज की कमी	ఏ లోటు లేదు నాకు.
नहीं! मैंने इस बारे में सोचा पर नहीं किया!	లేదు! అనుకుననాను కానీ చెయయలేదు!
उस पर मेरा उधार है.	నాకు ఇవవాలిలే.
ठीक है, मैं समझ गई.	సరే, అరథమెంది.
पर तुमने कहा था कि वह अनुमानित था.	అవి సెదధాంతికమే అననావుగా.
बिलकुल. पर पहचान पतर न होने पर	అంతేలే. కానీ ఐడీ లేదని
-हो सके तो आना.	-వీలెతే రా.
आपको इस समय जिंदगी में	ఇపపుడు మీకు జీవితంలో లోటు కానీ
यह नामुमकिन है.	అది అసాధయం.
इतना जोश-खरोश छोडो.	ఆ మెదడు పొరను పకకకు నెటటు.
हाँ, हम एक मुरबबे में हैं.	హా, పపపులో కాలేసాం.
तुमहें बस इस एहसास को महसूस करना होगा	నువవు ఆ ఫీలింగును అనుభవించి
पता था मुझसे बचने की कोशिश करोगे.	అంటే ననను కలవవని తెలుసు.
-यह कया है?	-ఇదేంటి?
-यह कया है?	-ఏంటిది?
शुकर है केंडो ने	ఆ కెండో వాటిని సాధించే
हाँ, कोई कमी है,	హా, ఏదో మిససవుతుననాను,
चोटियाँ.	జడలు. జడలు.
और शायद,	ఎలాగెతేనేం,
-तुम ले लो.	-తీసుకో.
हमारा पीला माल खतम हो गया है.	మన పసుపులు అయిపోయాయి.
मैं उसके साथ कुछ नहीं करूँगी.	నేను తనకోసం ఏం చేయను.
वॉक-इन का सवागत है	నేరుగా రావచచు
-वह यहाँ नहीं हैं?	-ఇంకా రాలేదా?
हाँ, कोई बात नहीं.	హా, పరవాలేదు.
वॉक-इन का सवागत है	నేరుగా రావచచు
इनहें लगा देख	అవి అకకడ అలా ఉండటం
और पहली बार इस खूबसूरती को	మళలీ అంతా మొదటినుండి ఆసవాదిసతుననాను.
-आजमाकर देखो.	-ఒకసారి వాడి చూడు.
और इतने अचछे अभिनंदन के लिए शुकरिया.	ఇంత మంచి ఆహవానానికి థాంకస.
डॉ. कलेमेनस, जाँच का कया? आपका मिशन?	డాకటర కలెమెనస, సటడీ సంగతి?
वॉक-इन का सवागत है	నేరుగా రావచచు
सडक से हटकर, यह लेते हैं.	అలా వీధిలోకి వెళళి
मेरे दिमाग में एक बात है!	ఒక ఉపాయం చెబుతాను.
मुझे आपकी बातें समझ नहीं आ रहीं.	నీ మాటలు అరథం కావటలేదు.
तुमहारी वजह से, काम अधूरा छोडकर,	నీవలల అది పూరతవవకుండానే
इसी एहसास को याद रख सकते हो?	ఇంక ఆపేసెయయి? నాకు వెతకటానికి సహాయపడవా?
तो बताया कयों नहीं कि वह कया कह रहे थे?	అయితే అతనేమననాడో చెపపవచచుగా?
शायद मैंने उसे मार डाला, मुझे नहीं पता!	నేను చంపానేమో, నాకు తెలియదు!
-पयारी है.	-ముచచటగా ఉంది.
अब तुमहारा फोन नहीं चलता?	అయితే, ఏంటి, నీ ఫోను పని చెయయటలేదా?
नहीं.	కుదరదు.
बस करो!	ఆపిక!
कमीना कहीं का!	చెతత వెధవ!
साला!	సననాసి!
गिरो!	కిందకి!
अगर नाम नहीं पता होगा	పేరే తెలియకపోతే
-तुमहें वहाँ मिलूँगी.	-అకకడ కలుసతాను.
मेरी बेटी.	తను నా కూతురు.
-तुम ठीक तो हो?	-నువవు బాగానే ఉననావా?
और हाँ, फिर वो रोबोट,	ఇక రోబోల సంగతి,
-हाँ.	-అవును.
इससे जयादा आभार महसूस नहीं कर सकता.	నాకింతకననా అదృషటం ఏముంది.
बस एक दिन.	ఒకక రోజు అంతే.
अचछा. तभी बात बनेगी.	సరే. ఇది అలానే పని చేసతుంది.
हम एक मुरबबे में हैं.	పపపులో కాలేసాం.
ये. . . हॉलोगराम,	ఈ. . . హాలోగరాములు అననీ,
या, टेली मौजूदगी.	ఓహ, టెలీపరెజనసులు ఇవననీ.
और अगर नरक में, कभी-कभी,	ఒకవేళ నరకంలో బాగా
मेहरबानी करके मेरे मीठे,	దయచేసి నా పుడడింగ
हाँ, मेरे दाँत गंदे हैं,	నా పళళు బావుండవు,
सात, आठ, चार, चार, पाँच,	ఏడు, ఎనిమిది, నాలుగు, నాలుగు, ఐదు,
मुझे पसंद है. . .	నాకిషటం. . .
पर, एक बात बताऊँ?	కానీ చెపపనా?
मैं आती हूँ.	నేనిపపుడే వసతాను.
तुम दूर जाकर	అలా వదిలేసి వెళళి
अगर आपको मेरे पूछने से एतराज न हो,	అంటే, అడిగానని ఏమనుకోకు,
यह. . . यह बहुत ही बेहूदा सवाल है.	అది. . . అదో పిచచి పరశన.
और आप एक मिनट रुक सकते हैं?	ఒకక నిముషం ఆగుతారా?
चीजों के चितर बनाने के लिए,	ఇది విషయ దృశయీకరణకు
अब जब तुमने इतना कमाल का माहौल	ఇపపుడు ఇంత ఆహలాదకరమెన
वह कौन थी?	అదెవరు?
किसी बुरी चीज को समझने के लिए,	చెడును అభినందించాలంటే
तो. . .	అయితే. . .
आपका परायोगिक चूहा होने के अलावा?	నీ లయాబ ఎలుక అవవటం తపప?
वह तुमहें हर बार	నినను పరతి బేస బాల మయాచ
पर एक बात बताऊँ?	కానీ నీకో విషయం తెలుసా?
तुम उस अनुकरण के झाँसे में आ रहे हो.	భరమలు నినను లాగేసతుననాయి.
मैंने तुमहें खिडकी से गिरते देखा था.	నువవు కిటికీలో నుండి పడటం
पाँच, नौ, शूनय, एक, एक, दो.	ఐదు, తొమమిది, సుననా, ఒకటి, ఒకటి, రెండు.
कोई बात नहीं.	పరవాలేదు.
कोई बात नहीं.	పరవాలేదు.
पर अगर वह यहाँ मर जाता है,	కానీ ఇకకడ చనిపోతే,
पर. . . पर पहली बार जो ली थी,	కానీ అలా ఎందుకు. . .
हर कोई सहमत नहीं है.	అంతా ఒపపుకోవటలేదు ఆ విషయానని.
खूबसूरत रासते से चलना चाहोगे?	సీనిక రూటలో వెళదామా?
कयोंकि ऐसा लग रहा है	అసలు ఏదో మాయ చేసినటటుగా ఉంది.
जान! जान, हम लौट आए!	బేబీ! బేబీ, మనం తిరిగి వచచాం!
"अरे, नहीं. शायद मेरे कंधे के बारे में	"ఓహ, లేదు. నా భుజం గురించి
तिरपाल के पास, उस यंतर तक पहुँचना होगा	అలా ముకకులోకి తీసుకోవాలంటే
सुनने में आया है कि इजबेल की खोज को लेकर,	ఇజబెల పరిశోధనలో సమసయలుననాయని
यह बात अलग है कि मैं वापस नहीं जाने वाला.	నేను తిరిగి వెళళదలుచుకోలేదనన
जहाँ मामला खतम होने तक	కేసు ముగిసేవరకూ
-जाकर लाओ! अभी!	-వెళళి తీసుకో! ఇపపుడే!
शिकायत करना शुरू कर दिया.	అపపుడే ఫిరయాదులా.
तो, जैसा कि आप देख सकते हैं,	అంటే మీరే చూసారుగా,
तुमने मुझे खुश कर दिया.	నాకు బాగా నచచింది. చాలా బావుననాయి.
नहीं, छोडो भी. यह कैसे हो सकता है?	లేదు, అరే. అదెలా సాధయం?
तुमहारा दिमाग अदभुत होगा.	నీ బురరలోని ఆలోచనలు అదభుతంగా ఉండవచచు.
और मैं पूरी तरह से उसमें खो जाता हूँ.	నేను అందులో మునిగిపోతాను.
पर एक एहसास सा है.	కానీ ఇందులో ఒక ఫీలింగ ఉంది.
-और काफी हद तक तुमहारी वजह से.	-ఎకకువ శాతం నీవలలనే.
देखो, तुमहें यह बताने का	చూడు, ఇది చెపపటం
विशरामालय	బాతరూం
-हैलो, मैं पापा हूँ और यह है. . .	-హాయ, నాననను, తను. . .
वह. . . कभी-कभी,	తలచుకుంటే. . . నిజానికి,
मैं तुमहारा साथी हूँ?	నేను నీవాడినా?
तो, कया तुम. . .	అయితే, నువవలాగా అది. . .
चलो!	వెళళు!
हाँ.	అవును.
हाँ.	అలాగే.
कया देखना होगा?	ఏం చూడాలి?
कया कहते हो?	ఏమంటావు?
हाँ.	అలాగే.
हाँ.	అవును.
हाँ!	అవును!
ढेर सारा पैसा नया आया.	కుపపలు తెపపలుగా డబబు తెపపించింది.
हाँ.	అవును.
भददी कृतरिम दुनिया	నిజమెన లోకానని అభినందించేలా
हाँ.	అవును.
-तुमने देखा?	-నువవూ చూసావు కదా?
हाँ!	అవును!
वह खूबसूरत है.	తను చాలా అందంగా ఉంది.
जाओ.	వెళళు.
शायद, नरक उतनी बुरी जगह नहीं है.	అంటే నరకానికి వెళళినా
तुम उस भरम में खिचे जा रहे हो	నువవు భరమలలో మునిగి
-मैडम, आपके हाथों में कया है?	-మేడం, చేతిలో ఏంటి?
और उसके बाद तुम अपना बटुआ,	ఆ తరువాత నీ పరసు,
आपने मेरे पिता को देखा है?	మా నాననను చూసారా?
पता नहीं कया होने वाला है.	భవిషయతతు తెలియదు.
नहीं, कुछ नहीं.	అబబే, ఏం లేదు. ఏం లేదు.
वह एक नंबर का कमीना है.	వాడో పెదద వెధవ.
खूबसूरत. शाबाश!	అందంగా ఉంది. చాలా, భేష!
दोनों असली हैं.	ఈ రెండు లోకాలు వాసతవమే.
-नहीं! रुकिए!	-లేదు! దయచేసి ఆగండి!
तुमहें जाना होगा.	తీసేసతుననా.
बहुत बढिया.	చాలా బాగా చేసావు.
इससे पहले कि हम किसी सवेचछाकरमी को	బరెయిన బాకసకు వాలంటీరు
और उममीद करूँगा कि उसे	సబమిట చేసతాను, కవర పేజీ చేసతారేమో.
नहीं. आपसे मिलकर बहुत अचछा लगा.	లేవు. కలవటం బావుంది.
समझ नहीं पा रहा कि कया कहूँ.	ఏమనాలో తెలియటలేదు.
बरेनबॉकस के कोशाणु	బరెయిన బాకస కణాలు ఏదో విధంగా
हैलो, मैं पापा बोल रहा हूँ, और मैं. . .	హే, నాననను, నేను అది. . .
हाँ, जरूर. बाप रे! हाँ.	హా, అలాగే. దేవుడా! హా. హా, తపపకుండా.
-तुम मुझे सेब का सवाद चखाकर उसे. . .	-నాకు రుచి చూపించి. . .
जरूर बुरा लग रहा होगा.	బాధ ఉంటుందిగా.
और मैं तुमहें और आरथर को, तुमहारी	మీ అమమతో కలిసి నినను,
हाँ, जब मेरी आँख खुली,	హా, నేను లేచి,
-आप भी.	-మీరు కూడా.
मुझे चिढ हो रही है, पूल का तापमान	కొంచెం చిరాకుగా ఉంది,
वह कहाँ है?	తనెకకడ?
वह कहाँ है?	తనెకకడ?
"इसलिए, ऐसे पेश आइए	బాధ పడుతుననటటు నటించండి" అంటే.
उनहोंने कया कहा? कया चाहते थे?	ఏమననాడు? ఏం కావాలట?
-बहुत-बहुत शुकरिया.	-చాలా థాంకస.
एफजीपी कया होता है?	ఎఫజీపీ అంటే?
समय निकालने के लिए शुकरिया.	వచచినందుకు థాంకస.
तुमहें एक बहाने की जरूरत है, है ना?	నీకు అలిబీ కావాలి కదా?
तुमहारी बाकी की जिंदगी	జీవితాంతం జెలులో గడపాలనుకోవటలేదుగా.
हाँ, सब कुछ समझना मुशकिल हो रहा है.	హా, ఏదేంటో తెలుసుకోవటం
नंबर, आठ दबाएँ.	నెంబరు, ఎనిమిది నొకకండి.
मुझे मेरा गले का हार लाकर दो, और	నా తావీజు తీసుకు రా,
तुमहारे दिमाग से निकाला.	నీ బురరలోనుండి.
-बस करो.	-ఆపు.
कि लोग सडकों पर गिरकर मर रहे थे.	జనాలు రోడడు మీదే పడి
यह सब देखकर मैं उसकी	ఇది చూడు, నేను దానిని ఊహించలేను.
यह बंदा.	అతనే.
तुमहारे पास काफी तथय हैं, इजबेल.	ఇజబెల ఉనన డేటా చాలు.
-नहीं. . .	-లేదు, నేను. . .
चुप रहो.	ఆపిక.
हैलो, जान.	హలలో, అందగతతెలు.
अपने घटिया दाँत लेकर	నీ చెతత నోరేసుకొని వాగక వెళళిపో.
मैं बस. . . मैं नहीं चाहता कि तुमहारी	నాకు ఇషటం లేదు. . . అదే
इस औरत का कहना है कि यह मेरी बेटी है.	ఈమె నా కూతురని అంటుంది.
रुको, हो सकता है कि भविषय में	ఆగు, నీ భవిషయతతులో
धयान से. पीछे रहो!	ఒక కననేసి ఉంచు. వెనకకి జరుగు!
ठीक हो जाएगा.	తవరగానే తొలగిపోతుంది.
सही मातरा में	నీలం సఫటికలు సరిపడనంత
केंडो का कया?	ఏంటి? కెండో సంగతేంటి?
आतमहतया ही मौत का कारण हो सकती है.	మృతికి కారణం ఆతమహతయే.
-अचछा. तुमसे पयार है. बाय.	-సరే. లవ యూ. బె.
वह तुमहें बडे ही	ఆమె నినను ఒకరకంగా చూసింది.
अरे, धत!	ఓహ, అబబా! ఛా!
-मुझे लगता है तुमहें मदद चाहिए.	-నీకు సహాయం కావాలి.
हम कुछ देर के लिए रुक सकते हैं?	ఒకక నిముషం ఆగుతావా?
मेरे पास समझाने का समय नहीं है,	వివరించే సమయం లేదు,
एक कलपना है जो मेरा पीछा नहीं छोडती,	ననను వీడని ఫాంటసీ అది,
बहुत-बहुत शुकरिया.	చాలా థాంకస.
सच में, यह कया बात हुई?	ఏంటి బాబు ఇది?
-नहीं ले सकती.	-ఆ తరువాత లాగేసుకోలేవు.
मेरी दादी कहा करती थीं,	మా బామమ అనేది,
-तुमहारे बेकसूर होने के नाम.	-నీ అమాయకతవానికి.
गरेग, यह बिलकुल ठीक नहीं है.	గరెగ, ఇది దారుణం.
कई लोगों का मानना है	చాలామంది అజఞానం ఆనందం అనుకుంటారు.
और तुमहें कुछ नहीं होगा. ठीक है? अचछा.	నీకేం కాదు. సరేనా? సరే.
-माफ करना.	-సారీ.
वह बाहर कहीं गए होंगे. तुम यहाँ बैठ जाओ.	ఇపపుడే బయటకు వెళళుంటారు.
तसलली हो गई?	ఇంకా నమమకం కలగటలేదా?
मुझे याद है मुझे सिखाने के लिए	నాకు నేరపించటానికి
मेरे लिए चिकन सैंडविच	నాకు చికెన శాండవిచ, ఫరెస తే, సరేనా?
पयारा है.	ముదదుగా ఉననాడు.
तो इस बार कैसा महसूस हुआ?	ఈసారి ఎలా ఉంది?
घर?	ఇలలా?
बस.	అంతే.
चलो यहाँ से.	ఇకకడినుండి బయటపడదాం.
अचछा, बस कीजिए.	సరే, ఆపు.
धत.	అబబా.
धत!	అబబా!
-जहाँ हो, वहीं रुको!	-ఇకకడే ఉండు!
धत!	అబబా!
आप केवल पाँच बार रीफिल करवा सकते हैं.	ఐదుసారలు మాతరమే రీఫిల.
अब यह एक अदभुत आदमी बन गया है और. . .	ఇపపుడు చిరునవవుతో. . .
पर, उनहें कहीं जयादा चोटें लगीं.	కానీ, ఆయన చాలాసారలు
आराम से, हाँ.	మెలలిగా తాగండి, సరేనా.
यह तुमहारा आविषकार है.	ఇది నీ సృషటే.
मैं खाना खाने जा रहा हूँ, वह आने के बाद	నేను వెళళి లంచ చేసతాను,
"वह तुमहारे सिर में है,	అది నీ తలలో పురరె లోపల ఉంటుంది" అననారు.
-और हमेशा के लिए!	-శాశవతంగా!
यह. . . यह किसी बुरे सपने जैसा है!	ఇది. . . పెదద పీడకల!
मैं मिननतें नहीं करूँगी.	నేను అడుకకోను.
-पूछो मुझसे.	-అడుగు.
मेरे दिमाग में इतने. . .	నాకు చాలా. . .
मुझे ऐसा लग रहा है कि	కరమకరమంగా నీకు భరమలు ఎకకువవుతుననాయి.
एक, दो, तीन, चार, पाँच, छह. धत.	ఒకటి, రెండు, మూడు,
-नहीं मिला.	-నేను తనను కలవలేదు.
नींबू वाला गेटोरेड.	లెమ గేటరేడ.
मैं इन मगरूर मेहरबान नजर आने वाले	అపపుడు ఈ పొగరుబోతు,
मैं ठीक हूँ.	బావుననాను, బావుననాను.
बयॉरन तुमसे मिलना चाहते हैं.	బయోరన కలవమననారు.
अभी आया.	ఇపపుడే వసతాను.
तुम आजाद हो.	నీకు సవేచఛ లభించింది.
मैं यह अनुमान नहीं लगा पाता.	అదెతే ఊహించలేను.
ताकि हम उनके जवाबों की तुलना	ఆయన ముందు చెపపిన
अचछा. आओ चलें.	సరే. పద.
मुझे माफ करना.	కషమించు.
जब मन नहीं होता, तो इसे पहन लेता हूँ.	నాకే పటటింపు లేనపపుడు
देखा? मैंने ताकत इसतेमाल किया.	నా శకతులు వాడానా?
लोगों पर गोलियाँ चलाने से पहले	జనాలను కాలచకముందే
सात, आठ, चार, चार. . .	ఏడు, ఎనిమిది, నాలుగు, నాలుగు. . . లేదు.
तुमहें बाहर जाना है, जान? पैसा खरच करो.	బయటకు వెళదామా, బంగారం?
तुमहें माप के बारे में कहाँ से पता चला?	ఆ కొలతలు ఎలా చెపపగలవు?
मुझे हाथ से बने दो चिकन सैंडविच,	నాకు రెండు అరటిసనల
-मैं. . .	-నేను చేయను. . .
बयॉरन जिंदा है. मेरा बॉस जिंदा है.	బయోరన బతికే ఉననాడు.
माफ करना?	సారీ?
उनहीं से.	ఆయనే.
-लौट आएगी.	-తిరిగి వసతుందిలే.
जब भी मैं सुनता हूँ,	నేనెపపుడు "దేవుడా, నరకంలో వేగినటటుగా
-किसी को मुझ पर भरोसा नहीं.	-నననెవరూ నమమరు.
अचछा.	సరే. సరే.
-तुमहारे लिए कुछ लिखकर गई थी!	-చీటి పెటటానుగా!
इसे बनाया गया है और इसे मोडा जा सकता है.	దీనిని మనం కావాలసినటటు
मैं बस. . .	నేను వెళళ. . . లేను,
हाँ, देखो, यह लो और मेरे सिर पर दे मारो,	హా, చూడు, ఇది తీసుకొని
"अब 15 मिनटों तक,	మనలని గమనిసతారు. అందుకని దయచేసి
अगले पल, कया पता.	ఆ తరువాతి కషణం జరిగేది తెలియదు.
फोन का जवाब न देकर	ఫోన ఎతతకుండా నీ కలల సౌధం గురించిన
तहकीकात जारी	బరేకింగ నయూస - పరిశోధన
तुमने मेरी तसवीर बनाई.	ననను గీసావు.
हाँ! उसने मुफत में	హా! తన డబబంతా పంచేయటం ఆరంభించాడు.
मेलजोल! कलाकार और वैजञानिक हर महीने	మికసర! నెలకు ఒకసారి
चिंता मत करो.	దాని గురించి కంగారుపడకు.
नौ, दस.	తొమమిది, పది.
नहीं, उलटा है.	లేదు, లేదు, తిపపి చెపపావు.
तुम तैयार हो?	సిదధమా?
शैतान का नुमाइंदा वहाँ मौज-मसती करने वाले	మధయ మధయలో యమభటులు వచచి
वापस नहीं जा सकते. जब तक मामला	వెనకకు వెళళలేవు.
मुझे माफ कर दो.	కషమించు.
उनहोंने कहा कि हर कोई चाहता है	అంతా నీ విజయానని
शुकरिया.	థాంకయూ, థాంకయూ.
वह एक एफजीपी है!	అది ఎఫజీపీ! రీబూట చేసారు! అరే!
ए, मन है?	హే, మూడలో ఉననావా?
वापस जा सकता हूँ. मैं बेकसूर हूँ ना?	లేదు. వెళళి రాగలను.
तुमहें मानना पडेगा,	ఇది అతయదబుతమని నువవు ఒపపుకోవాలసిందే.
पर, अगर वह दिखें, तो मुझे फोन कर दोगी?	అంటే, కనిపిసతే కనుక,
मैंने तुमसे कहा था.	చెపపానుగా.
तुमहारे पास फालतू है?	ఎకకువ ఉందా?
मुँह बंद रखो और बटन दबाओ!	నోరు మూసుకొని
इस गरह पर हर इंसान मानता है	లోకంలోని అందరూ
कोई ऐसी बात कहो	నినను నమమేలా ఒకక విషయం చెపపు.
आठ, नौ, सात, नौ,	ఎనిమిది, తొమమిది, ఏడు, తొమమిది,
और, होटल की वेधशाला देख रही हो?	ఇక అకకడ కనిపించే
जंग या हद से जयादा	యుదధం కాదు అలాగని కటిక దరిదరం కాదు.
नहीं. यही करता है. . . बहुत चालाक है.	లేదు. అది ననను. . .
असली दुनिया के लिए तारीफ बटोर सकते हैं.	జనాలు తొంగి చూడవచచు.
बहुत अचछा लग रहा है.	చాలా బావుంది. ఇకకడ ఉండటం సంతోషంగా ఉంది,
मजाक कर रही हूँ. एक मिनट पहले,	తమాషా చేసానులే.
कहाँ है?	ఇదెకకడంటే? అంటే,
बस भी करो.	ఆపిక.
इनहें नहीं देखा.	చూడలేదు.
बहुत मजेदार है. आपने कभी उससे कहा,	చాలా సరదాగా ఉంది.
जाओ, बचचो.	అలాగే, పిచచి పిలలలు.
थोडा ठंडा है. इसकी उममीद नहीं की थी.	కొంచెం చలలగా ఉంది.
वह मेरे लिए सममान की बात होगी.	అది నాకే గౌరవం.
मतलब. . . पल भर के लिए मुझे छोटा बनना चाहिए?	అంటే. . . నిజం చెపపనా?
मुझे नहीं लगता कि असल दुनिया में	ఈ వాసతవిక లోకంలో
मजाक कर रहा हूँ.	జోకు చేసతుననాను, సరదాగా అననానంతే.
नहीं, बटुआ!	లేదు, లేదు, పరసు! పరసు!
बहुत विरले हैं. मैंने केंडो से लिए थे.	అవి చాలా అరుదెనవి.
तसवीरें - अब आपकी	ఫోటోస నౌ
"कोई मुशकिल है,	"తెలియాలసిన సమసయలేమననా ఉననాయా? "
वह पूरे आतमविशवास से जवाब देतीं,	ఆమె చాలా గటటిగా
समझ गए.	సరిగగా చెపపావు.
उस बारे में कोई बात नहीं करनी.	చెపపాలని లేదా.
बिलकुल.	సరిగగా చెపపావు.
और आपने कहा था,	మీరేమో,
मैं. . . मैं ठीक से	నేను. . . నేను ఉకకిరిబికకిరవుతుననాను. . .
यह लो.	అదిగో తీసుకో.
एक सेकंड के लिए, आप जरा रुक सकती हैं?	ఒకక కషణం ఆగుతారా?
दो बडे फराई और दो सोडा मिलेंगे, पलीज?	రెండు పెదద ఫరెలు,
इसी वजह से तो मैं इस नरक में आता हूँ.	ఈ మురికి కూపానికి
-इजबेल. ए!	-ఇజబెల. ఇజబెల, హే, హే!
वह कहाँ है?	ఎకకడ?
जिनमें इस झूठी दुनिया को चलाने की ताकत है.	పసుపు సఫటికలుననాయి.
मुझे अपनी दवा	నా పరిసకరిపషన రీఫిల అవవటలేదు.
हमें एक खास करिसटल लेना होगा,	పసుపు కాకుండా
इजबेल! पूछो मैंने	ఇజబెల! హే, నా పేరు చెపపానో లేదో అడుగు!
मैं आपके लिए यह छोड रही हूँ. . .	నేను నీకు. . .
और मैंने कहा था,	నేనేమో,
एक फोन आया था.	నాకో కాల వచచింది. పాత ఆఫీసు దగగర
मैं नहीं भूला. और, मैं वहाँ जरूर आऊँगा.	నేను మరిచిపోలేదు.
अगर तुम असली और नकली का फरक देख पाते,	ఏది వాసతవమో కాదో
बस?	అంతేనా?
थॉट विजुअलाइजर	ఆలోచనల
थॉट विजुअलाइजर	ఆలోచనల
वह भी चाहती है कि मैं आऊँ?	ఆమె రమమందా?
कंधा एकदम ठीक है. पैर में थोडा दरद है,	నా భుజం బావుంది.
मैं. . .	నేను. . . నేను. . .
-हाँ!	-హా! కావాలి!
मैंने कितना कुछ सोचकर रखा है,	నా ఆలోచనలననీ
कुछ ही सेकंड तक इसे आगे ले जा सकता हूँ.	ఇంకా పెకి లేచేలా
अभी! चलो!	ఇపపుడే! ఇపపుడే! కదులు!
चलो.	వెళదాం పద.
कृतरिम जीवविजञान ने वातावरण से जुडी	సింథటిక బయాలజీ
माफ कीजिए, आपको	సాంకేతిక ఇబబంది కలిగినందుకు మననించాలి.
माफ कीजिए, आपको	సాంకేతిక ఇబబంది కలిగినందుకు మననించాలి.
माफ कीजिए, आपको	సాంకేతిక ఇబబంది కలిగినందుకు మననించాలి.
माफ कीजिए, आपको	సాంకేతిక ఇబబంది కలిగినందుకు మననించాలి.
माफ कीजिए, आपको	సాంకేతిక ఇబబంది కలిగినందుకు మననించాలి.
पापा?	నాననా? నాననా?
एक मुशकिल है. मुखय दिमागी गामा धीमी है.	ఇకకడో సమసయుంది.
जलदी!	తవరగా, తవరగా!
ओह, छोटे समूहों में यह काफी मशहूर है.	ఓహ, ఇది, అంటే,
यहाँ पर! उसने दिन-दहाडे आतमहतया कर ली.	ఇకకడే! పటటపగలు
होटल पलेडीज	హోటల
मैं समझता हूँ.	తెలుసు. నేను నాలుగుసారలు మాతరమే చేసాను.
और जिस बंदे की	గరహశకల మెనింగ కంపెనీ కల వయకతి అయితే. . .
पर पहले, तुमहें मेरे लिए कुछ करना होगा.	కానీ ముందుగా,
आराम से.	కొంచెం కంగారు తగగించుకో.
साथ.	కలిసి ఉంటాం.
मैं ऐसा नहीं करूँगी. अगर नहीं हुआ तो?	నేనలా చేయను.
