तुम कौन हो ?	ఎవరు నువవు ?
किसी वजह से , वाई फा ई बंद है .	ఏదో కారణ ం వలల , వె - ఫె పని చేయడం లేదు .
बैठ जाओ .	కూ రచ ో .
ठीक है . शुकरिया .	సరే . థాంక యూ .
वहाँ अंदर कोई मै से ज आ रहा है . सुनो जरा .	అందు లో నుంచి ఏదో మె సే జ వ సతోంది . నువవు ఒక సారి వి నా లి .
तुमहें देर हो गई है . अंदर .	నువవు ఆ లస యం అయ యా వు . లోప లి కి , వెళ లు .
वैसे , हो भी सकती है .	కానీ , బహుశా ఇది అదే కా వచచు .
जन म दिन मु बार क हो !	పు టటి న రోజు శు భా కా ం కష లు !
मुझे समझ नहीं आ रहा है .	నాకు అరథం కాల ేదు .
यह सा मान य है , इस रा स ते से जाना ?	ఆ మా రగ ంలో వెళల డం , అది సా ధా రణ ంగా జ రి గే దే నా ?
मेरा . मेरा था .	నా ది . అది నా ఆలోచ న .
हाँ , लेकिन मुझे दिखा ओ . समझ ा ओ यह कैसे काम करता है .	సరే , చూపి ంచు . దాని గురించి వి వరి ంచు .
उसका कह ने का तरी का कुछ ऐसा था . वह ऐसा नहीं कह ता अगर कुछ . . .	అతను అలా చెపపా డు . అతను అలా చెపపా డు అంటే . . .
यह तुमहारी यो जना का हि ससा नहीं था , है ना ?	అది మీ ప లా న లో భా గం కాదు , కదా ?
नहीं , नहीं लगता . मुझे नहीं लगता तुम बेवकूफ हो . मुझे लगता है तुम बहुत हो श िया र हो .	లేదు , నేను అనుకో ను . నువవు మూ ర ఖ ు డి వి కా ద ను కుంటా . చాలా తెలి వెన వాడి వి .
वह ड रा हुआ नहीं था . उसकी आवा ज बहुत शा ंत और तना व - मु कत थी .	అతను భయ పడి న టలు అనిపి ంచ లేదు . చాలా పర శా ంత ంగా , ని దా న ంగా మాటలా డి న టలు అనిపి ంచింది .
ये आ ख िर ऐसा कर ही कयों रहे हैं . मैं तो यह जान ना चाहती हूँ .	అసలు వాళలు ఇలా ఎందుకు చేసతుననా ర నే ది కావాలి . నేను అదే తెలుసు కో వాలి అనుకుంటుననా ను .
यह मुझे कैसे पता चले गा ?	ఆ విషయం నాకు ఎలా తెలు సతుంది ?
जरा सोच कर देखो . वे बिना किसी वजह इसे यहाँ लेकर नहीं आए हैं .	కానీ , దాని గురించి ఆలోచి ంచు . ఏ కారణ ం లే కుండా ఆమె ని వాళలు ఇకకడ కి పం పి ంచ రు .
- कया वह यहाँ है ? - वे सब ऊपर हैं .	- తను ఇకకడ ఉందా ? - వాళల ంతా పె న అంత సతు లో ఉననారు .
वह कॉ क पि ट में नहीं हैं .	ఆయన కా క పి ట నుండి బయటకు వెళ లా రు .
अपना पा नी ? ना श ता ? अपनी पढ ने की डा य री ले ली ?	మంచి నీ ళలు ఉననా యా ? స నా కస ఉననా యా ? నీ రీ డి ంగ డె రీ తీసు కుననా వా ?
देखा ?	చూశా వా ?
कया मैं . . . पलीज , दोसत ? पलीज ?	నేను . . . దయచేసి మాటలాడ వచచా , మి తర మా ? పలీజ ?
बस पे टी पक ड लो .	ముందు ఆ బె ల టు పటటు కో .
नहीं , मैंने अभी काम के सि ल सि ले में फोन नहीं किया है .	లేదు , ఇది పని గురించి చేసిన ఫోన కాదు .
हमने इस बारे में कभी बात नहीं की , तुमने मुझे कभी फोन नहीं किया , मतलब . कुछ नहीं बचा था .	మనం ఎపపుడూ మాటలాడు కో లేదు , నువవు ఎపపుడూ ఫోన చేయ లేదు . అది అంతే .
के ए 2 9 जी - के ए न डी ए म	కె ఎ 2 9 జి - కె . ఎ న . డి . ఎ మ .
- तो कल की तरह दस मिनट की नहीं ? - नहीं , पाँच .	- అయితే ని నన టి మా ది రి గా ప ది నిమిష ాలు కా దా ? - లేదు , ఐ దు నిమిష ాలు .
कि ंग डम 2 - 9 , मैं ब ग दा द क ंट रो ल से बोल रहा हूँ , आप सुन रहे हैं ?	కి ంగ డ మ 2 - 9 , ఇది బా గ దా ద క ంట రో ల , వి ంటుననా రా ?
कि ंग डम 2 - 9 , मैं ब ग दा द क ंट रो ल से बोल रहा हूँ , आप सुन रहे हैं ?	కి ంగ డ మ 2 - 9 , ఇది బా గ దా ద క ంట రో ల , వి ంటుననా రా ?
वह गु ससा भी है . जानती हो ? गु ससा इसलिए कि उसके पू र व - पति ने उसे . . .	ఆమె కో ప ంగా కూడా ఉంది . తెలుసా ? తన మా జీ భ ర త . . .
फिर वह आदमी फर सट कला स में द ौ ड ता हुआ आया	కానీ ఆ పెదద మనిషి హ డా వు డి గా ఫ సట క లా స లోకి పరి గె తతు కొ చచా డు
यह टॉ य ले ट गए थे .	ఆయన టా యి లెట కి వెళ లా రు .
जो भी हमने सोचा था , वै सा विमान पर कुछ नहीं हो रहा है , और वह ठीक है .	విమానం లో ఏం జరుగు తుననా సరే , అతను బాగానే ఉననాడు .
हाँ , अगर आप बोल कर सं के त देने में अ सम र थ हैं .	అవును , మాట లతో సం కే తం ఇవ వడం సా ధ యం కా నపపుడు ఇలా మె సే జ అ ంది సతారు .
आज ? नहीं .	ఈ రో జా ? లేదు .
यह चाहता है ज मी न पर मौ जू द लोगों को पता चल जाए	ఏదో పొ ర పాటు జరుగు తో ందని గర ౌ ండ సి బబంది కి తెలియ ాలని అతను చూ సతుననా డు
मैं कै प टन रॉ बि न ए ले न बोल रहा हूँ . गु ड म ॉर नि ंग .	నేను కె ప టె న రా బి న అ లెన ని మాటలాడు తుననాను . గు డ మార ని ంగ .
देखो , अगर उनहें लगा कि कुछ ग ड ब ड है ,	విన ండి , ఏదెనా పరమా ద ం జరిగి ందని వాళల కి అను మా నం వ సతే ,
या तरी 2 डी ने आपको चु नौ ती दी है सवी कार करें अस वी कार करें	ప యా సి ం జర 2 డి మిమమలని స వ ాలు చేసతుననా రు ఆ మో ది ంచండి తి రస కరి ంచండి
यह उस ी पर है .	ఆ టో పె లెట లోనే ఉంది .
ब ग दा द क ंट रो ल , मैं कि ंग डम 2 - 9 से बोल रहा हूँ .	బా గ దా ద క ంట రో ల , ఇది కి ంగ డ మ 2 - 9 .
. . . जिस का मतलब है , " जलदी बताओ . "	. . . అది నా తర హ ాలో " తవర గా పూరతి చేయి " అని చెపప డం .
{ \ an8 } चु नौ ती सवी कार की गई	{ \ an8 } స వ ాలు ఆ మో ద ం
कुछ दि क कत हो सकती है .	ఏదో సమసయ ఉండ వచచ ని అనుకుంటుననా ం .
- और रो ज की तरह अपना काम करें . - लेकिन ऐसा नहीं कह सकते .	- కానీ నువవు నీ పని మీద నువవు వెళలి పో తుననావు . - నీకు కూడా ఏం జరిగి ందో తెలియదు , కదా .
तुम ठीक हो ना ? कया हो रहा है ?	నువవు బాగానే ఉననా వా , అమమాయి ? ఏం జరుగు తోంది ?
तुम यह सब थोडा बाद में करने वाले थे ,	మరి కొ ద ది పర యా ణం తరువాత మీరు ఈ పని ని చేయాలి అను కుననా రు ,
रुको . वे ल करो पह नो .	ఆగు . వె ల క రో .
शि बा न , कया तुम मुझे दु ब ई ए टी सी का नंबर मिला कर दे सकते हो ?	షి యో బ న , దు బా య ఎ టి సి ఫోన నె ం బ రు ఇ సతా వా ?
कै म रे .	కె మె ర ాలు .
चलो .	క దు లు .
पीछे मु डो .	వెన కకి తి రగ ండి .
हाँ , तो . . .	అవును , అందుకే . . .
तुम बैठ जाओ !	ముందు నువవు కూ రచ ో !
हाँ .	అవును .
म ॉर नि ंग .	గు డ మార ని ంగ .
रा सता वहाँ दिख रहा है .	అవును , మీరు ఆ రూ ట ని అకకడ చూడ చచు .
बस यही ? वह घर च ली गई ?	అంతే నా ? తను ఇంటికి వెళలి పోయి ందా ?
हम तक मै से ज पहुँ चा ने में स फ ल होता है , वह भी और किसी के नहीं , आत ंक वाद - वि रो धी वि भाग के ज रि ए ?	క ౌ ంట ర టె ర ర రి జ మ ద వా రా మన కి మె సే జ అ ంది ంచ గ లి గా రు అంటే నమమ గల మా ?
यहाँ क डी सुरकष ा लगा ई गई है . सब ठीक है .	ఇకకడ సె క యూ రి టీ చాలా గ టటి గా ఉంటుంది . ఎలా ంటి పొ ర పా టలు జరగ వు .
कयोंकि किसी वजह से , वाई फा ई बंद था .	కానీ , ఏదో కారణ ం వలల ఆ విమానం లో వె - ఫె పని చేయడం లేదు .
आ ठ . न ह ले के ऊपर अ ट ठ ी रख सकते हो .	ఎ నిమి ది . తొ మ మి ది మీద వే య డానికి నీకు ఎ నిమి ది ఉంది .
माफ करना , मुझे नी ला से मिल ना है .	ఎ కస క యూ జ మీ , నేను నీ లా ని కలు సుకో వాలి అనుకుంటుననా .
दि शा में थोडा बद ला व है , नहीं ?	అది దా రి తపప డం , కదా ?
तुम इसका जवाब दे सकती हो ना ?	దానికి నువవు జ వా బు చెపప గల వు , చెపప గల వా ?
{ \ an8 } ग ंत वय तक पहुँच ने का समय पाँच घं टे बी स मिनट	{ \ an8 } గ మయా నికి చే రే సమయం 0 5 : 2 0
चल ती रहो .	ము ందుకు క దు లు .
कि ंग डम 2 - 9 , उसका यहाँ पहुँच ने का समय कया है ?	కి ంగ డ మ 2 - 9 , దాని వే ళలు ఏంటి ?
सा इ मन , अगर मैं " पाँच " कह रही हूँ , तो मेरा मतलब पाँच ही है . मैं तुमसे झूठ नहीं बोल ूँगी .	సె మన , నేను " ఐ దు " అంటే , నా ఉదదేశం ఐ దు అనే . నేను నీకు అబ దధ ం చెపప ను .
यह बहुत जरू री है . मैं ब ग दा द क ंट रो ल से बोल रहा हूँ . हमें अपनी पह चा न बता इए .	అర జె ంట . ఇది బా గ దా ద క ంట రో ల . మాకు నిర ధా రణ అవసరం .
अचछा , तो , मैं विमान से कह दे ता हूँ कि जब तक तुम काम पर	సరే , అయితే , నువవు పని లోకి వచచే వర కూ
तुम . चे हरा सामने .	నువవు . ఎదు రు గా చూ సతూ కూ రచ ో .
लेकिन स ह यो गी पायलट कहाँ थे ?	మరి కో పె లెట ఎకకడ ?
मेरी समझ में नहीं आ रहा है .	నాకు అరథం కాల ేదు .
नीचे !	కి ంది కి !
बाकी काम ऑ टो पायलट से हो जाता है .	మి గ తా దంతా ఆ టో పె లెట .
नी ला यहाँ सबसे मा ह िर है .	నీ లా సమ రథ ు ర ాలు .
बा ई स , दो , 1 9 7 0 .	ఇ ర వె రెండు , రెండు , 1 9 7 0 .
ब ग दा द , मैं कि ंग डम 2 - 9 से बोल रही हूँ .	బా గ దా ద , ఇది కి ంగ డ మ 2 - 9 .
यह चाहता है कि उनहें पता चल जाए कि कुछ ग ड ब ड है	విమానం లో ఏదో పొ ర పాటు జరుగు తోంది గర ౌ ండ సి బబంది కి తెలియ ాలని అతను ఆ శి సతుననా డు
इन से पू छो कि कया वह गोली की आवा ज थी .	అది గ న ఏ మో ఆమె ని అడుగు .
पायलट खत रा बन सकता है	పె లెట ఒక సమసయ
देखो , मुझे लगता है तुम मेरी बात समझ रहे हो .	చూడు , నేనే ం చెబు తుననా నో నీకు అరథ మ వు తోంది అనుకుంటా .
और ?	ఇంకా ?
तुमहें पकका यकीन है ?	అది నిజ మే నా ?
यह बडी काम या बी है .	అది మీ వి జ యానని పరతి ఫ లి సతోంది .
ठीक है ? हमें म जब ूर मत करो कि हम इन से यह करवा एँ .	సరేనా ? మమ మ లని ఇలా చేయ నివ వ కు .
कया पता चला , हा इ डी ?	నాకు ఏం సమా చా రం చెబు తా వు , హ యి దీ ?
तो , डै ड ठीक हैं ?	అయితే , నానన కష ే మ ంగా ఉననా డా ?
जरा रु किए .	కా సత ఓ పి క తో ఉ ండు .
मैं इन लोगों में से किसी को नहीं जानता , पर अगर इन होंने कुछ करने की	నాకు వీ ళ లలో ఒకక రు కూడా తెలియదు , కానీ వాళలు మిమమలని ఏదెనా చేయ ాలని పరయతని సతే ,
ठीक है . दोबारा कह ती हूँ , हाँ ,	సరే . మళలీ , అవును ,
मु सी ब त .	ఒక పరిసథి తి .
सै म ठीक है .	సా మ కష ే మ ంగా ఉననాడు .
हम स फा ई कर मी हैं , दोसत .	మేము శు భ రం చేసే వాళల ం , మి తర మా .
इसका काम होते ही , इसे वापस इसकी सी ट पर ले जाना .	అతను ఇది పూరతి చేశా క , త నని తిరిగి ఆ సీ ట లో కూ రచ ో పెటట ండి .
ठीक है .	సరే .
ठीक है .	సరే .
कया हुआ ?	బాగానే ఉననా వా ?
ठीक है .	సరే .
मैं कह ता हूँ बैठ जाओ !	ముందు కూ రచ ో !
चलो .	ఇం క రా .
माफ कीजिए , ब ग दा द . हम यहीं हैं .	కష మా ప ణ లు , బా గ దా ద . మేము ఇకకడ ే ఉననా ం .
मेरी फ ला इट नौ ब ज कर बा रह मिनट पर उ डे गी	నా టే కా ఫ 9 . 1 2 గంట ల కి
2 डी : तब कया होगा ?	2 డి : మరి అపపుడు ఏం జరుగు తుంది ?
सं दि ग ध . - सं दि ग ध ?	- అను మా నా స పద ం . - అను మా నా స పద మా ?
हे . इसके लिए कुछ देना .	హేయ . ఈ ద ె బబ కి ఏదెనా క టట డానికి తీసుకు రా .
इसे खो लो .	దీ నని ఓ పె న చేయి .
कया मैं उनकी फु टे ज देख सकता हूँ ?	నేను ఫ ు టే జ చూడ చచా ?
वे फा इ टर जे ट भेज देंगे , और अगर उनहोंने ऐसा किया . . .	వాళలు వెంట నే జె ట విమా నా లని పం పి సతారు , కానీ అదే గ నుక జరిగి తే . . .
आत ंक वाद - वि रो धी वि भाग ने फोन किया था . विमान पर मु सी ब त की श ं का थी .	క ౌ ంట ర టె ర ర రి జ మ వాళలు ఫోన చేశారు . విమానం లో ఏదో పరిసథి తి త లె తతి ందని అను మా నం ఉంది .
माफ करना ?	సా రీ ?
शुकरिया . सच में .	థాంక స . మన స ఫ ూర తి గా చెప తుననాను .
हमें लगता है आज सु बह उडा न भर ने वाली एक फ ला इट में	ఈ ఉద యం టే కా ఫ అయి న విమానం లో
उस 9 / 1 1 की घट ना से पहले , विमान अ क सर त य रा सत ों से अलग रा सता ले लिया करते थे .	అ మె రి కాల ో 9 / 1 1 జరగ క ముందు , విమా నాలు దా రి మళ లి పర యా ణి ంచే వి .
से नि ल को फोन किया जा रहा है . . .	సె ని ల క ాలి ంగ . . .
ठीक है , चलो .	సరే , ఇపపుడు ఇది వి ందా ం .
तो वह हमें कहीं भी ले जा सकता है .	కాబటటి అతను మన లని ఎ కకడి కె నా తీసుకు వెళల చచు .
उनकी आवा ज से कुछ नहीं पता चल ता .	ఏమీ తెలుసు కో లే ం .
तो ?	అయితే ?
कि यह ल ंद न जाने के लिए है .	అది ల ండ న అని .
अभी पता लगा ता हूँ .	నీ గురించి కను కకు ందా మని చేశా ను .
या मै से ज पर .	లేదా మె సే జు లు పం పు కు ందా ం .
कु र सी की पे टी लगा ओ .	సీ ట బె ల ట .
वह गलत हुआ तो ?	అతను చెపపి ంది తపపు కా వచచు కదా ?
वैसे भी उसकी वहाँ अंदर कोई जरूरत नहीं है .	అతను అకకడ ఉండ నవ సరం లేదు .
तो वे हमें मार गि रा एँगे .	వాళలు మన విమా నా నని పే ల చేసతా రు .
और अप ें डि कस सिरफ एक ही बार निकल सकता है , यह बात भी सच है .	అ పె ండి కస ఆ పరే షన కేవలం ఒకక సారి మాతరమే జరుగు తుంది , కాబటటి దానని ఎదు ర కొ ందా ం .
पू छो कि कया वह गोली की आवा ज थी .	అది గ న ఏ మో అడుగు .
बर फ .	ఐ స కావాలి .
मुझे माफ करना .	సా రీ .
मतलब , यह वा कई अजीब है , तुमहें नहीं लगता ?	నా ఉదదేశం , ఇ దంతా చాలా వి చి తర ంగా ఉంది , నీకు అలా అనిపి ంచడం లేదా ?
तुमहें लगता है अगर वह सब कुछ . . .	ఎవరెనా ఆ పరే మని వది లి వెళలి పోయి న వాళల గురించి ఆలోచి సతుననా వా . . .
धत ते रे की .	ఛ .
नी ला क ुम ा र मो बा इ ल पर फोन किया जा रहा है . . .	నీ లా కు మార క ాలి ంగ మొ బె ల . . .
वै सा होता तो रा सता इतना सी धा नहीं होता .	ఇది మ రీ నే రు గా ఉనన రే ఖ .
ठीक है .	సరే .
