मै मी ?	మా మీ ?
यह आई आर ए मी टि ंग जै सी थी .	ఐ ఆర ఎ సమా వే శం లా ఉంది .
यह कब तक चले गा ? लग भ ग . . .	ఇది ఎంత కాల ం ఉంటుంది ? అంటే . . .
अपना सा मान लो और कार में बैठ ो .	మీ సా మా నలు తీసుకు ని కారు లో కూ రచ ో ండి .
कुछ नहीं . माफ करना . बस एक से क ंड दो .	ఏమీ లేదు . కషమి ంచండి . నాకు ఒకక కష ణం ఇవవ ండి .
काफी देर कर दी !	చాలా ఆ లస యం చేశా వు !
- अब तक काम हो गया होगा , है न ? - हाँ .	- ఈ పా టి కి అది పని చేసి ఉండాలి , కదా ? - అవును .
मुझे याद नहीं कि हमने कया खा या था .	మేము ఏం తి ననా మో ఖచచితంగా నాకు గురతు లేదు .
खैर , वह तुमहारे ला य क नहीं था .	కానీ , అతనికి నినను పొ ందే అర హ త లేదు .
- हे भगवान , बि बी . - माफ करना . ठीक है .	- దేవుడా , బీ బీ . - కషమించు . సరే .
- हाँ . . . - म ॉ म ने कहा कि . . .	- అవును . . . - అమమ ఏం చెపపి ంద ంటే . . .
कल इ वा के यहाँ म जे करना .	ఈ వా ఇంట లో రే పు సర దా గా గ డ ప ండి .
हाँ , हमें तुमहारे पिता जी से मिल ना है , ठीक है ? यह जरू री है .	అవును , మనం మీ నానన ని కల వాలి , సరేనా ? అది అత య వ సరం .
- अ र सला के तीन बचचे हैं . - वे तुमसे अलग तरह की म हिला एँ हैं .	- ఉ ర సు లా కి ము గ గు రు పిలల లు ఉననారు . - వాళలు నీ తో పో లి సతే భి నన మెన ఆడ వాళలు .
मुझे मा इ कल को डॉ क टर के पास ले जाना है ,	మె ఖ ే ల ని డా క టర అ పా యి ంట మె ంట కోసం తీసుకు వెళల ాలి ,
- ए . - कोई समस या नहीं है .	- హేయ . - ఏం ఫర వాలేదు .
हमें जाना होगा . बच चों , अपने को ट ले लो .	మనం వెళల ాలి . పిలల లూ , వెళలి మీ కో ట స తె చచు కో ండి .
तुम स द मे में लग रही हो . थोडा फ ला न खा ओ .	నువవు ఏదో షా క లో ఉననావు . కొ ద ది గా ఐ స క రీ మ తి ను .
- तुमहें साथ देख कर बेहद खुशी हुई . . . - अरे , हाँ . हाँ .	- మిమమలని ఇదద రి నీ ఇలా చూడ టం ము చచ ట గా ఉంది . . . - ఓహ , అవును . అవును .
तुम टो करी नहीं ला ई , अ र सला . अ र सला ?	నువవు బు టట తీసుకు రాల ే దా , ఉ ర సు లా . ఉ ర సు లా ?
उसे देखो , हमारे साथ कितनी खुश है .	త నని చూడు , మన తో కలిసి ఎంత సంతోష ంగా ఉ ందో .
और फिर , जब वह तीन से पाँच दिन के अंदर मर जाएगा ,	కానీ తరువాత , అతను చని పోయి న మూ డు నుండి అయి దు రోజు ల తరువాత ,
वह अपने जी जा को पसंद नहीं करती थी .	ఆమె కు తన బా వ అంటే ఇషటం లేదు .
मुझे स हम ति की पर वाह नहीं है !	నీ ఆ మో ద ం గురించి నేను ప టటి ంచుకో ను !
मैं सोच रही हूँ कि शायद . . .	నేను ఆలోచి సతుననాను , బహుశా ఇది . . .
वह इतना पया रा था .	చాలా మంచి ఆ తమ .
वर ना मैं उसे बता द ूँगा .	లేదా నేను అతనికి చెపపే సతాను .
कमी ना . ऐसा कौन करता है ?	చెతత వెధవ . ఇలా ఎవరు చేసతా రు ?
तो फिर गरेस से माँ ग ल ूँगी . आ धा उस ी का है .	సరే , అపపుడు నేను గరేస ని అడుగు తాను . స గం ఆమె దే కదా .
मैंने तुमहारे ऑ फि स में कई सं देश छो डे . थ ॉ मस कला फि न .	మీ కార య ాల యా నికి చాలా స ందే శ ాలు పం పి ంచా ను . నా పేరు థా మస క లా ఫి న .
सच में ? चलो देख ें ,	నిజంగా నా ? సరే , చూ దదాం ,
हाँ . हाँ .	సరే . అలాగే .
- तुम अंदर नहीं आओ गे ? - नहीं .	- నువవు లోప లి కి రా వడం లేదా ? - లేదు .
उसे पता चल गया . उसने मेरा पी छा किया .	వాడి కి తెలి సి పోయింది . వాడు ననను అను సరి ంచా డు .
हम उसे खतम कर द ें .	వాడిని వది లి ంచుకో వాలి .
बहुत खू ब .	చ కక గా ఉంది .
- हैलो ? - धत !	- హలో ? - ఛ !
हाँ , ठीक है . सुनो .	మంచిది , అలాగే . విన ండి .
हैलो ? हैलो ?	హలో ? హలో ?
म ॉ म ? म ॉ म .	అమమా ? అమమా .
हे भगवान .	ఓహ , దేవుడా .
हे भगवान .	ఓహ , దేవుడా .
व ॉर चा इ लड , हे ल प द ए ज ड . ड ौ ं की सै ंक चु अ री को पिछ ले हफ ते ढ े र पैसे मिले .	యు దధ ంలో చి ననా రు లు , వ ృ దధ ు లకు సాయం లాంటి వి . గ త వా రం గా డి ద పార కు కి భా రీ మొతత ం ఇ చచా ను .
" डे थ कै प म श रू म सबसे घ ा तक म श रू म होते हैं .	" చాలా పరా ణ ా ంత క మెన మ ష రూ మ విష ాల కు కారణ ం ఈ డె త క యా ప .
हमें हो ट ल में जो सब ूत मिले हैं ,	హో టల దగగర మనం కను కకు నన దానని ఉ ప యో గి ంచి
मैं . . . मैं सारे दा न कार य कर म ों की टि कट ें ख री द ती हूँ .	అంటే , నేను . . . నేను అనని చా రి టీ సం సథ ల కోసం అనని టి కె ట లూ కొ ంటా ను .
अरे , अंदर आओ . अंदर आओ .	ఓహ , లోప లి కి రా . లోప లి కి రా .
बुरा हुआ . बे चा रा डॉ न ल , वह हमेशा च ूक जाता है .	అది సి గ గు చే టు విషయం . పా పం డో న ల , ఎపపుడూ మి స అవు తు ంటా డు .
हे भगवान , ऑ स कर मर गया .	ఓహ , దేవుడా . ఆ స కర చని పోయా డు .
ज ॉर ज ने यह सब इ कट ठा किया . ज ॉर ज मेरा पति है .	జా ర జ ఇవ ననీ సే కరి ంచా డు . జా ర జ నా భ ర త .
- मैं नहीं बन ना चाहती . - म ॉ ली , कृपया !	- నాకు చూ సుకో వాలని లేదు . - మో లీ , దయచేసి వి ను !
- म ॉ म ? - अरे , माफ करना , जान .	- అమమా ? - ఓహ , ననను కషమించు , బు జ జీ .
दरअसल , डॉ न ल घर लौट आया है .	అది , డో న ల మా కోసం ఇంటికి వ సతా డు .
हमें बस एक - दूसरे से बात करते रहना होगा .	మనం కేవలం మన లో మనం సరి చూ సు కు ంట ూ ఉంటే సరి పో తుంది .
तुमहारे सि वा किसी ने इस पो सट म ॉर ट म का अनु रो ध नहीं किया है , श री कला फि न .	ఈ పో సట మార ట మ ని మీరు తపప ఇం కె వ వర ూ కోర లేదు , మిసటర క లా ఫి న .
तुम दोनों किस बारे में बात कर रहे थे ?	మీ రి దద రు ఏం మాటలాడు కుంటుననా రు ?
मेरी अपनी यो जना एँ हैं , धनयवाद .	నా స ొ ంత ప ను లు నాకు ఉననాయి , ధనయవాదాలు .
और मा इ कल को फ ला न चाहिए , अ र सला .	మె ఖ ే ల కి కూడా ఐ స క రీ మ కావాలి , ఉ ర సు లా .
आ मत ौर पर लै क टि क ए सि ड ज मा होने से होता है . ऐ ं ठ न .	సా ధా రణ ంగా లా క టి క యా సి డ ఎకకువ యి తే వ సతుంది . క ండ ర ాలు ప టటే య డం .
तो इन में से एक तुमहें मार सकता है .	అపపుడు ఈ చి టటి హ ంత కులు ఎవర న యి నా చం పే సతా యి .
न शे में . न शे में .	తా గ ండి . అందరూ తా గ ండి .
सोचा नहीं था कि इतनी ठ ंड में आने के लिए भी बता ना पडे गा .	నా పి రు దు లు చ లి లో గ డ డ క టటి పో వడం కోసం నేను సప ంది ంచ ాలని నాకు తెలియ లేదు .
मेरी जा ं घ में दर द है .	నాకు తొ డ క ండ ర ాలు ప టటే శా యి .
" हमें इतना पता था कि " . . . मैं भूल गई हूँ . . .	" మన కి చాలా తెలుసు ఆ కల గురించి " . . . నేను మర చి పోయా ను . . .
और फिर , एक दूस रा उ पाय है .	రెండ వది , దీ నికి మ రో ఉ పా యం ఉంది .
बेशक , मैंने अपने हाथ ध ो ए !	అవును , నేను చే తులు క డు క కుననాను !
मैं बस , मैं . . . मैं सोच रहा हूँ . . .	నేను ఇ పపుడే , నేను . . . నేను ఆలోచి సతుననాను . . .
मैं बस . . . मैं बस सोच रही थी . . . मैं बस सोच रही थी तुम . . . तुम कै सी हो .	నేను కేవలం . . . అంటే , నేను ఆలోచి సతుననాను . . . నువవు . . . నువవు ఎలా ఉననా వా అని ఆలోచి సతుననాను .
सच में , उनके पास कया सब ूत है ? सच में ?	నిజంగా , వాళలు ఏ సమా చా రా నని సే కరి ంచారు ? నిజంగా ?
सबसे पहले , मैं उल टी कर ूँगी . तुम द य नी य हो .	మొద ట గా , నేను వా ంతి చేసుకో వాలి . నువవు చెతత లా ఉననావు .
कम ब खत काफी सं दे ह करते हैं . मै मी काफी उ दा स है .	అనని ంటి కీ అను మా ని ంచే చెతత కు కక లు . మా మీ చాలా కో ప ంగా ఉంది .
- भगवान ने तुमहारे लिए बडी यो जना एँ बना ई हों गी . - शायद .	- దేవు డు నీ కోసం పెదద ఆలోచ నలు చేసి ఉంటా డు . - నేను అలాగే అనుకుంటా ను .
कया हुआ ?	ఏం అయి ంది ?
चि मी चु री स ॉ स के साथ .	చి మి చు రీ సా స తో .
मैं एक नर स हूँ .	నేను న రస ని .
नहीं , यहाँ नहीं .	లేదు , ఇకకడ జరగ కూడదు .
हैलो .	హాయ .
कया ?	ఏంటి ?
मैं काफी ड रा वना हूँ .	నేను చాలా భయ పెటట ే వాడిని .
हैलो .	హలో .
हैलो .	హలో .
कया ?	ఏంటి ?
मदद करो .	సాయం చేయి .
हाँ .	నిజం .
वह हमें जब र दस ती फ ला न कयों खिला ती है ?	తను ఎందుకు మన కి బ లవ ంత ంగా ఆ ఐ స క రీ మ పె డు తోంది ?
मुझे फ ला न चाहिए !	నాకు ఐ స క రీ మ కావాలి !
हाँ ?	ఏంటి ?
हैलो .	హాయ .
हैलो .	హాయ .
हाँ , मैं कुछ समय के लिए उ दा स था .	అవును , కొ ద ది రోజు లు నేను కో లు కో లేక పోయా ను .
ब गी चे में ?	తో ట లో నా ?
यह जगह इतनी खास कयों है ?	ఈ పర దే శా నికి అంత పర త యే క త ఏంటి ?
मेरी कई बडी यो जना एँ थीं .	నాకు చాలా పెదద ఆలోచ నలు ఉండే వి .
केवल जे पी ही खा ता है , पर वह उससे हर हफ ते बन वा ता है .	జె పి మాతరమే అది తి ంటా డు , కానీ వాడు పరతి వా రం తన తో వ ంట చేయి సతా డు .
अगर मैं सही हूँ तो , तुम भी उस दु र घट ना में शा मिल थी .	నేను పొ ర పాటు పడ కపోతే , ఆ పరమా ద ంలో మీ పర మే యం కూడా ఉ ందని తెలి సింది .
दु र भाग य पू रण हा द से होते हैं .	దు ర ద ృష ట వ శా తత ూ జ రి గే అనే క పరమా ద ాలు .
- तो तुम हर जगह एक साथ जाती हो ? - हाँ , हम काफी करी ब हैं .	- అయితే మీరు అనని చో టల కి కలి సే వెళ తా రా ? - అవును , మేము స నని హి తంగా ఉంటా ం .
- हाँ , यह रही वि जे ता . - नहीं .	- ఇది గో , మన వి జే త ఇకకడ ఉంది . - వదదు .
पता नहीं हमारी पहली डे ट पर तुम मुझे यहाँ कयों लेकर आए .	నీ మొదటి డే ట రోజు ననను ఇకకడికి ఎందుకు తీసు కొ చచా వో నాకు తెలియ డం లేదు .
शायद , आत म विश वास भी खो दिया .	నా ఆ తమ వి శ వా సం ద ె బబ తి ంది , అనుకుంటా .
- माफ करना , दोबारा ऐसा नहीं होगा . - तु र ंत ऑ फि स लौ टो .	- కషమి ంచాలి , మళలీ ఖచచితంగా ఇలా జరగ దు . - వెంట నే ఆ ఫీ సు కి తిరిగి రా .
नी च , घ ि नौ नी , और शर मना क .	నీ చం , అస హ య క రం , ఇంకా అవ మా న క రం .
शायद तुमने मुझे फोन किया . कै सी हो ?	నువవు నాకు ఫోన చేశా వు అనుకుంటా . ఏంటి సంగ తి ?
- तुमने टि कट ख री दी ? - हाँ , हाँ , हाँ .	- నువవు టి కె ట కొ ననా వా ? - అవును , అవును , అవును .
हाँ . पर . . . छो टे बच चों के साथ भी .	అవును . కానీ అలాగే . . . పిలల లతో కలిసి రా వడం .
शायद , ना जि यों वाली .	బహుశా , నా జీ ల వి .
- ड रि ंक ? श रा ब ? गि ला स में ? - माफ करना ? हाँ , हाँ .	- ఒక డ రి ంక ? ఆ ల క హ ాల దర వం ? గా జు గ లా సు ? - మన ని ంచు ? సరే , అలాగే .
मैं भी वै सा ही हूँ .	నేను కూడా అంతే .
सी ढ ि यों से ऊपर , बा ई ं तरफ दूस रा दरवा जा .	మే డ మీద , ఎడ మ వెపు రెండ ో తలు పు .
और . . . और . . .	ఇంకా . . . ఇంకా . . .
न कान ून ने , न परिवार ने , न अधि कारी यों ने . . .	చ టట పర ంగా కానీ , కుటుం బ పర ంగా కానీ , అ ధి కారు ల నుంచి కానీ . . .
काफी ता री फ हुई , ह ँ ?	పెదద పర శం స , హా ?
और हमें पता है कि तुमहें ई सटर . . . बेहद पसंद है , तो . . .	పె గా నువవు ఈ సటర ని ఎంత గా పరే మి సతా వో . . . . . . మాకు తెలుసు , కాబటటి . . .
और इ वा थोडी गु स सै ल है , मेरे जै सी नहीं है .	ఇంకా ఈ వా నా మా ది రి గా కా కుండా , కొ ద ది గా తల పొ గ రు మనిషి .
तुमने उसके साथ रिश ता तो डा ?	నీ సె కస సనే హి తు డి తో క థ ము గి సి ందా ?
अचछा ही हुआ , समझ ी ? वह बू ढ ा हो गया था .	ఇదే న యం ఏ మో అని , తెలుసా ? వాడి కి వయ సు మళ లు తోంది .
तुम स हम त हो या न हो , अ र सला , पर हम उसे ज हर देंगे ,	నువవు అవు న ననా కా ద ననా , అత డి మీద విష పర యో గం చేయ బో తుననాం , ఉ ర సు లా ,
इसलिए हमें तुमहारी मदद चाहिए . हमें ज हर निकाल ना नहीं आता है .	అందుకే మాకు నీ సహా యం కావాలి . ఈ విష ా నని ఎలా వె లి కి తీ య ాలో మాకు తెలియ డం లేదు .
तुमहें कोई के क डा मिला ?	పిలల లూ , మీకు పీ తలు దొ రి కా యా ?
वह जल द ही घर लौट आए गा .	అతను కా సే ప ట లో ఇంటికి వ సతా డు .
और मैंने . . . मैंने कोशिश की . बहुत कोशिश की , सच में की .	కానీ నేను . . . నేను పరయతని ంచా ను . నేను పరయతని ంచా ను , నిజంగా పరయతని ంచా ను .
अरे , बहुत खू ब .	ఓహ , అదభు తం .
मे टि ल डी ऑ क सि न . 3 00 मिली ग राम क ले जे में डाल दो .	మె టి ల డి గా క సిన . లి వర లోకి 3 00 మి ల లీ గరా ము లు ఇం జె క ట చేయాలి .
अब जब बरा बर हो गया , कोई किसी का ऋ ण ी नहीं है .	ఇపపుడు మనం సమ ం చేశా ం కాబటటి ఎవ వర ూ ఎవ వ రికీ ఏమీ బా కీ లే ము .
बी मा कं प नी आ ना - का नी कर रही है , पर वे पैसे दे देंगे .	ఆ బీ మా కం పె నీ చాలా ఇ బబంది పె డు తుననారు , కానీ వాళలు డబబు ఇ చ చేసతా రు .
कि हम तुमहारे लिए यह ले आ एँगे कयोंकि ,	మేము ఇకకడికి ఎందుకు వచచా మ ంటే ,
अगर हमें यह दोबारा करना है , तो इस बार ज हर का इस ते माल करेंगे .	మనం మ రో సారి పరయతని దదాం , ఈ సారి విష పర యో గం చే దదాం .
आ म म हिला ओं की तरह .	మా మూ లు ఆడ వారి మా ది రి గా .
टॉ म . वापस आओ . टॉ म .	టా మ . వెన కకి వచ చేయ . టా మ .
कया तुम अपना खा ली समय ऐसे बि ता ना पसंद करती हो ?	నీ ఖ ా ళ ీ సమ యానని నువవు ఇలా గ డు పు తా వా ?
यह ज ॉन प ॉल का वि चार था .	ఇది జా న పాల ఆలోచ న .
मेरे पास पैसे नहीं थे , और परिवार का एक स दस य मदद करने वाला था .	నీకు తెలుసా , నా దగగర డబబు లేదు , మా కుటుం బ స భ యు లలో ఒక రు నాకు సాయం చేయ ాల సి ఉంది .
कया कहूँ . . . अचछा . . . अचछा रिश ता था . हाँ .	మాకు ఏం ఉంటుంది . . . అది . . . అది బాగానే ఉండే ది . అవును .
तुम मजा किया हो . पकका तुम ज ॉन प ॉल की माँ हो ?	నువవు చాలా సర దా గా ఉంటా వు . నువవు నిజంగా జా న పాల అమమ వే నా ?
तुम और लड किया ँ ही ई सटर ब नी को संभा लो , जे पी .	ఈ సటర బ ననీ ని ఇంకా అమమాయి లని నీ దగగర వది లి వెళ తాను , జె పి .
कल रात को अचछी तरह सो नहीं पा या .	ని నన రాతరి నాకు ని దర లేదు .
तुम ऐसा सवाल कयों पू छो गे ?	అలా ంటి పర శ న ఎందుకు అడుగు తుననారు ?
बढिया है .	మంచిది .
पता नहीं और कया कहूँ .	ఇం కే ం చెపప ాలో నాకు తెలియదు .
- अरे , धत . वे अब भी व हीं हैं ? - सब बढिया है .	- ఓహ , చెతత . వాళలు ఇంకా అకకడ ే ఉననా రా ? - అంతా బాగానే ఉంది .
- बो लो . - " इसे एक प द य में लि खो . . . "	- ఇంకా చెపపు . - " ఒక పద యం లో దీని ని రా య ండి . . . "
चलो भी .	ఇం క చ ాలు .
हे भगवान .	దేవుడా .
कोशिश करना चा होगी ?	ఒక సారి ఆడ తా వా ?
और हम सुरकष ित र हें गे .	ఆ తరువాత మనం కష ే మ ంగా ఉంటా ం .
गरेस हमेशा अपने और ब ला न ड के लिए कुछ और बना ती है .	గరేస ఎపపుడూ తన కోసం ఇంకా బ లా న డ కోసం వే రే ది ఏదెనా వ ండు కు ంటుంది .
अरे , तुम कहाँ हो ?	ఓహ , నువవు ఎకకడ ఉననావు ?
मेरी तरफ से , कि से ई सटर फ ला न चाहिए ?	నేను త యా రు చేసిన ఈ సటర ఐ స క రీ మ ఎవ రికి కావాలి ?
तुमहारे जी जा जी के साथ तुमहारा रिश ता कैसा था , मि से ज गा र वी ?	మీ బా వ తో మీ అను బం ధం ఎలా ఉండే ది , మి సె స గా ర వీ ?
- परिवार के नाम . तुमहारे . . . - परिवार के नाम . तुमहारे नाम .	- మన కుటుం బా నికి . మన . . . - కుటుం బా నికి . నీకు .
हाँ . शायद . . . पता नहीं . शायद .	అవును . ఏ మో . . . నాకు తెలియదు . అంతే నే మో .
यहीं रुको .	ఇకకడ ే ఉండ ండి .
तो , अपने घु ट ने मो डो .	సరే , నీ మో కా ళ లని ఇలా వ ంచు .
कया यह सच है ?	అది నిజ మా ?
हे भगवान . मुझे बेहद खे द है , गरेस .	ఓహ , దేవుడా . నేను చాలా వి చా రి సతుననాను , గరేస .
- तुम ठीक हो ? - हाँ . हाँ , हाँ . बस , देर हो गई है .	- నువవు బాగానే ఉననా వా ? - అవును . అవును , అవును . కా సత , ఆ ల సయ మెంది .
पर मुझे लगा कि तुम . . .	కానీ నువవు రా వని అను కుననా . . .
यह लो . अब बरा बर हो गया .	ఇది తీసుకో . ఇపపుడు సరి పోయింది .
तुम अचछा काम कर रही हो .	నువవు చే సతునన పని చాలా మంచిది .
तुमने मुझे . . . तुमने मुझे फोन किया .	నువవు నాకు కాల చేసి . . . నువవే నాకు ఫోన చేశా వు .
हाँ , ब ला न ड के साथ बच प न में छु ट टि यों की फो टो थीं	అవును , బ లా న డ చినన త నం లో హ ాల ీ డే ఫో టో లు
वे उस हो ट ल में गए जहाँ मैं और बे न मिला करते थे .	నేను ఇంకా బె న కలి సే హో టల కి వెళ లా రు .
उल टा पह ना है , पर बहुत खू ब .	అది వె నుక భా గ మే , కానీ గొపప గా ఉంది .
ब ला न ड का कया ?	బ లా న డ సంగ తి ఏంటి ?
नहीं , ऐसी बात नहीं है . वह जल द ही लौट आए गा .	లేదు , జరిగింది అది కాదు . తను కొ ద ది సే ప ట లో తిరిగి వ సతా డు .
- चलो , चलो चल ें . - अ रस . म ॉ ली . जरा रुको गी भी ?	- రండి , వెళ దాం పద ండి . - ఉ రస . మో లీ . మీరు ఒకక కష ణం ఆగు తా రా ?
पर ऐसा नहीं हुआ .	కానీ నువవు కో ల పో లేదు .
मैं . . . मैं एक माँ और प तनी हूँ .	నేను . . . నేను ఒక తల లి ని ఇంకా ఒక గ ృ హి ణి ని .
यह स ज जन , बस . . .	ఈ వయ క తులు , కేవలం . . .
मैंने कहा था कि अं डे होंगे , और अब टो करी नहीं है .	అవును , కో డి గు డ లు ఉంటా య ని నీకు చెపపా ను , కానీ ఇపపుడు బు టట లు లేవు .
भगवान ! हे भगवान !	దేవుడా ! దేవుడా , బా బ ూ !
- हाँ . शायद , हाँ . - बहुत खू ब . ठीक है , पक डो , मैं ले आती हूँ .	- అవును . అవును , ఉండ చచు అనుకుంటా . - అదభు తం . సరే , చూడు , నేను వెళలి తీసు కుంటా ను .
हम आज दो पह र को उसे ब गी चे में द फ ना एँगे .	మేము వాడిని ఈ మ ధ యా హ నం మా తో ట లోనే ప ూ డ చి పె డు తుననాం .
- पे पर से का ट कर उसकी जान ल ेंगे ? - हमें के क डे मिल गए हैं .	- క త తె ర లతో చం పు తా మా ? - మాకు పీ తలు దొ రి కా యి .
तुमहारी बहन ने कुछ और कहा था .	మీ అ కక ఆ మాట చెపప లేదు .
आ परा धि क जा ँच में ख ल ल नहीं डाल ता , पर हमारे पास समय नहीं है .	కానీ మనం ఇపపుడు దానికి ఎదు రే గి పో రా డు తుననాం .
मैं बि स तर पर ही कर द ूँगी !	నేను మ ంచ ం మీద మూ తరం పో సే సతుననాను !
तो फिर , तुम अंदर जा सकती हो .	సరే , అలా గ యి తే , నువవు లోప లి కి వెళల చచు .
और तुमहें अभी तक बच चा भी नहीं हुआ है .	నీ కి ం కా పిలల లు పు టట లేదు కదా .
मुझे आज काफी काम है , तो अगर तुमहारे सवाल खतम हो गए हों . . .	నాకు ఈ రోజు చాలా ప ను లు ఉననాయి , కాబటటి మీకు ఇంకా ఏమెనా సమా చా రం కావాలి అంటే . . .
हे भगवान . ठीक है . कल रात को आओ .	ఓహ , దేవుడా . సరే . రే పు రాతరి నా దగగర కి రా .
बस . . . कै थ लि क हूँ इसलिए , समझ े ?	నేను కేవలం . . . కా థ లి క ప శ చా త తా పం , తెలుసా ?
उसे खतम कर द ें ? तुम कया कह रही हो ?	వాడిని వది లి ంచుకో వ ాలా ? మీరు ఏం ఆలోచి సతుననారు ?
हाँ . कया मैं बा थ रू म इस ते माल कर सकता हूँ ?	అలాగే . నేను మీ బా బు గ ది ని ఒకక కష ణం వే గ ంగా వాడు కో వచచా ?
तो ज ॉर ज ने तुम जै सी सु ंदर लडकी को शादी के लिए कैसे मना या ?	నీ లాంటి అంద మెన అమమాయి ని జా ర జ ఎలా పడ గొ టట ా డు ?
कुछ म ही नों में यह मौ का हाथ से छ ू ट जाएगा .	నేను కొ ద ది నె లల లో వెళలి పో వాలి .
ह ँ ?	హ ూ హ ?
ह ँ ?	హు హ ?
उसने मुझ पर एक म ृ त प कष ी फ ें का था .	అతను నా మీద కి ఒక చని పోయి న ప కషి ని వి సి రే శా డు .
प तनी को खुश रख ना होगा . वर ना पता नहीं कया हो जाए .	భా రయ ని సంతోష ంగా ఉ ంచాలి . లే కపోతే ఏం అవు తు ందో ఆ దేవు డి కే తెలియ ాలి .
खैर , अब दो बह ने ब ची हैं .	సరే , ఇం కో ఇదద రు చె ల లె ళలు ఉననారు .
हे भगवान , यह भ द दा है .	ఓహ , దేవుడా , ఇది ఘ ో ర ంగా ఉంది .
और मैं स हम त नहीं हूँ !	ఇపపుడు దీ నికి నా స మమ తి లేదు .
सु बह मेरे ऑ फि स में फोन करो . एक अप ॉ इं ट में ट लो .	రే పు ఉద యం మా కార య ాల యా నికి ఫోన చేయ ండి . అ పా యి ంట మె ంట తీసుకో ండి .
ए ! कमी ने !	ఓ య ! మో స గా డా !
वह मर गया , इ वा .	అతను చని పోయా డు , ఈ వా .
ह टो .	లే .
सोचा था देख कर उ दा स हूँ गी , पर खुशी हो रही है .	అవి మన సు ని బాధ పె డ తా యి అనుకుంటా ం కానీ అవి సంతోష ం కలి గి సతా యి .
शुकर है हमने र सो ई में नए क बर ड नहीं लग वा ए .	మనం అకకడ కొతత కి చె న యూ ని టలు పెటట కపో వడం చాలా మంచి ద యి ంది .
- अरे , धत तेरी की . - अरे , धनयवाद .	- ఓహ , ఛ . - ఓహ , ధనయవాదాలు .
बस एक साल से थोडा जयादा हुआ है .	కేవలం ఒక సం వ త సర కాల ంగా .
मैं थोडा ल ूँगा . धनयवाद .	నాకు కొ ద ది గా కావాలి . ధనయవాదాలు .
इसमें जयादा समय नहीं लगे गा .	ఇది ఎకకువ సే పు ఉండ దు .
उस इ मा रत का पह ला मा ला ? मेरा पह ला वय व सा य .	అకకడ ఉనన భ వ నం లో మొదటి అంత సతు చూశా వా ? నా మొదటి వయా పా రం .
दु र घट ना से मर ने के कई तरी के होते हैं .	మను ష ు లు రో డ డు పరమా ద ాల లో చాలా రక ాలు గా మ రణ ి సతు ంటా రు .
हम सभी को आज डै डी की याद आई , है न ?	మనం అంద రం నానన ని ఈ రోజు మి స అయ యా ము , అవును కదా ?
दिखा ऊँ गी कि मैं फा य दा करवा सकती हूँ . घु ड द ौ ड के घ ो डे की तरह , समझ ी ?	నేను ఒక పెటటు బడి అని ఆమె కు తెలి సే లా చేసతాను . అంటే రే స హా రస లో భా గ సవా మ యం లాంటి ది , తెలుసా ?
तुमने वह सुना ?	మీరు ఏమెనా వి ననా రా ?
धयान से चला ना !	జా గర తత గా డ రె వ చేయి !
मैंने थोडी . . . चा य गि रा दी .	నేను కొ ద ది గా . . . కొ ద ది గా టీ ఒ ం పే సా ను .
- कौन है , मा इ कल ? - दो आदमी .	- అది ఎవరు , మె ఖ ే ల ? - ఇదద రు అబబా యి లు .
है प पी ई सटर . मैंने ये तुमहारे पति को भेज दी हैं . बे चा रा , बे चा रा डॉ न ल .	హ యా పీ ఈ సటర . ఇ వి నీ భ ర త కు పం పా ను . పా పం , పిచచి డో న ల .
दो , चार , सा त , छ ह , छ ह , छ ह .	రెండు , నాలు గు , ఏ డు , ఆ రు , ఆ రు , ఆ రు .
ठीक है , पर कैसे ? हम यह कैसे निकाल ें ?	సరే , కానీ ఎలా ? మనం దీని నుండి విష ా నని ఎలా తీ య ాలి ?
देख ें कया पता चल ता है .	ఏం సమా చా రం దొ రు కు తు ందో చూ దదాం .
मा . . . माफ करना , तुम मजा किया हो .	అయితే . . . కషమించు , నువవు మ రీ హా సయ ంగా ఉననావు .
यह अजीब है .	వి చి తర ంగా ఉంది .
कया तुम पागल हो गई हो ?	మీ చెతత బు ర రలు పని చేయడం లేదా ?
अरे . . . वहाँ दो फो टो ए लब म थे .	అంటే . . . అందు లో రెండు ఫో టో ఆ ల బ మస ఉననాయి .
माफ करना , मुझे बा थ रू म जाना है .	మన ని ంచండి , నేను వెంట నే మూ తర శ ాల కి వెళల ాలి .
हो ट ल का मु फ त सा मान .	ఉ చి తంగా ఇ చచి న హో టల సా మ గ రి .
इसलिए पूछ ा कयोंकि मैंने रि जर वे शन बु क में तुमहारा नाम नहीं देखा .	నేను రి జర వే షన ల పు సత క ంలో మీ పేరు చూడ లేదు , అంతే .
हाँ , मुझे पता है . अभी नहीं .	అవును , నాకు తెలుసు . కానీ ఇపపుడు కాదు .
मुझे सोच ने दो , कया मेरे पास समय है ?	అది నా ప ను లకు సరి పో తు ందా లేదా ననను ఆలోచి ంచ నివ వు ,
थ ॉ मस , सच में बि स तर पर ही निकल आए गा .	థా మస , నేను నిజంగా నే మ ంచ ం మీద మూ తరం పో సే సతుననాను .
- आता होगा . - कया ? नहीं , कभी नहीं .	- అది న ర సు మాతరమే . - ఏంటి ? లేదు , అవకా శ మే లేదు .
