पै निक	పా నిక
डि गि न स , तुम मुझसे इतने ही लो गे ?	డి గ గి నస , నువవు నాకు అంతే ఛ ా ర జీ వి ధి సతా వా ?
हे भगवान .	అయ యో , దే వ డా .
हम यहाँ कब तक र हें गे ?	మనం ఇకకడ ఎ నని రోజు లు ఉంటా ము ?
- नजर चाहिए . - ऐसा कहते हैं कया ?	- చూడ గల మన సు ఉండాలి . - దీ ననీ అలా నే అంటా రా ?
तुमहारी माँ के साथ जो कुछ हुआ , ने ट ने मुझे सब बताया .	మీ అమమ తో ఏం జరిగి ందో నా ట నాకు చెపపి ంది .
मुझे तुमहारे लिए बुरा नहीं लगता .	నీ పె నాకు సా ను భ ూ తి లేదు .
तुमहें ला इ ब रे री में जरूर कुछ मिल जाएगा , ठीक है ?	లె బర రీ లో నువవు అ రు వు గా తీసుకో డానికి కొనని ఉంటా యి తీసుకో , సరేనా ?
यकीन मान ो , जरूर दि खे गा .	ననను నమ ము , నువవు దానని చూ సతా వు .
- त य करने ? - जरा सोच ो ,	- నిరణ యి ంచ డా ని కా ? - ఆలోచి ంచు ,
और मुझे लि ली के लिए पै स ों की जरूरत थी .	నాకు లి ల లీ కోసం డబబు కావాలి .
यह बात किसी से नहीं कह सकती , अचछा ?	అది ఎవ రికీ చెపప కు , సరేనా ?
कुछ भी करो .	ఏదెనా పర వాలేదు .
जो परा ंत की वे ब सा इट के लिए त सवी र ें ख ी ं च ता है .	అతను ఊ రి వె బ సె ట కు ఫో టో లు తీ సతా డు .
ऐ बी की उन त सवी र ों के लिए लू क ने तुमहें कि तने दि ए थे ?	ఆ ఆ బీ ఫో టో లకు లూ క ఎంత డబబు ఇ సతా న ననా డు ?
उसे लगा कि मुझे अचछा लगे गा .	అది నాకు బాగా అనిపి సతు ందని భా వి ంచా డు .
घ ो ड ों के शो में हि ससा ले ते देखा था .	శా న ఆ ంట ో నియ ాలో గుర రం పర దర శ న లో పో టీ చే సతునన పపుడు .
त भी मुझे पै निक के बारे में बताया ,	నాకు అతను పా నిక గురించి ,
रे , तुम कहाँ हो ?	రే , నువవు ఎకకడ ఉననావు ?
गिर ने में गु जार ता है .	పడ కుండా గ డు పు తు ంటా డు , సర దా కి .
है पी वै ले न टा इन स डे	పరే మి కు ల రోజు శు భా కా ం కష లు
- किस लिए ? - ऐ बी कला र क की त सवी र ों के लिए .	- దే నికి ? - ఆ బీ క లా రక ఫో టో లకు .
मैं सोच रही थी बा लों को थोडा सा छो टा कर दे ते हैं .	ఈ చి వర లు కొనని అ ం గు ళ ాలు క తతి రి దదాం .
मैं यह सब नहीं मान ता .	నేను అది నమమ ను .
ऐसा है ,	చూడు ,
नहीं . मेरे पास पर मि ट हैं .	కాదు . నా దగగర అనని అను మ తులు ఉననాయి .
सो ल ह ?	పద హా రా ?
अब सो जाओ .	ఇక ని దర పో వాలి .
- मुझे तो नहीं पता . - पकका ?	- నాకు ఆ విషయం తెలియదు . - ఖచచితంగా నా ?
बा प रे .	అబబా .
देखो , मुझे पता है कि तुमहारे लिए खेल कितना जरू री था .	చూడు , నీకు ఆట ఎంత ముఖ య మో నాకు తెలుసు .
उसके का ग ज पर 2 00 , 00 0 से भी जयादा नाम थे .	అతని ష ీ ట లో 2 , 00 , 00 0 ఉననాయి .
कौन सा फो टो ग रा फर ?	ఏ ఫో టో గరా ఫర ?
पता है न अगर और त ों के पति न हों और वे मिल न सा र हों ,	భ ర త లేని సనే హ పూర వ క మ హి ళల తో , మ గ వాళళు
वे मेरी पर वाह नहीं करेंगे न ?	అయి నా వాళళు నా గురించి ప టటి ంచుకో రు , కదా ?
हम च ंद सवाल पूछ ेंगे , यह हमारे साथ होंगे .	ఆయన కొనని పర శ నలు పర శ ని సతారు .
बो ला कि ख री द पर नि र भर करे गा .	అది మనం ప ంద ెం కా సే మొతత ం పె ఆ ధా ర పడు తుంది .
अब जब तुम र होगी ,	నువవు ఉ ంటుననా వు కాబటటి ,
कोई बात नहीं .	పర వాలేదు .
मुझे यह खेल और नहीं खेल ना .	నేను ఇక ఈ ఆట ఆడ ను .
कोई बात नहीं .	పర వాలేదు .
- हैलो . - हैलो .	- హే . - హే .
अचछा ? उ बा ऊ का ग जी काम होता है ?	అవును ? ఇది వి సు గు తె పప ి ంచే ప తర ాల పని కూడా ?
कई लोग इस मुशकिल से जू झ रहे हैं .	ఇక మన దొ క కల బ అనుకుంటా .
आज तुमहें बहुत मजा आए गा .	నువవు ఈ రోజు చాలా సర దా గా గ డు పు తా వు .
तुमने जो यह सा रा जा ल बि छा कर र खा है ,	మీరు ఏ ర పాటు చేసిన ఇ దంతా ,
इसे कया परे शा नी है ?	తన సమసయ ఏంటి ?
डि ब बे के लिए सबसे अचछी जगह सट ि य रि ंग के पीछे है .	క ంట ె యి న ర లో మంచి చో టు డ రె వర సీ టే .
जो उस श ै ता नी ऐ प लू सा की पी ठ से गिर ते फिर रहे थे .	ఈ రా కష సి అ పప ాల ూ సా కింద పడ ే సింది .
पर तुमने कर लिया न ?	కానీ నువవు పూరతి చేశా వు , కదా ?
अंदर चल कर बात करें ?	ఇది మనం లోప ల మాటలాడు కు ందా మా ?
मुझे द फ तर पहुँच ना है .	నేను మా ఆ ఫీ సు కు తిరిగి వెళళ ాలి .
ट रे न के पु ल पर ले गए .	రె ల వే వ ంత ె న దగగర కు తీసు కె ళళ ా రు .
तुमहें लगता है माँ हमें चाहती हैं ?	అమమ కు మన మ ంటే పరే మ ఉందా ?
फिर अ चा न क से एक दु ब ला सा घु ड स वार आया ,	అపపుడు ఈ బ కక రె డ ర వచచా డు ,
- समय निक ला जा रहा है , टा य ल र . - अचछा , ठीक है .	- టి క - టా క , టె ల ర . - సరే , మంచిది .
एक साथ बो ले .	అ ప శ కు నం .
हाँ .	అవును .
कई लोग उससे स हम त थे .	చాలా మంది అతని తో అ ంగ ీ కరి ంచారు .
तुमहारी जगह मैं होता तो उस तरफ न जाता .	నేను నువ వ యి తే అ టు వెళళ ను .
तो चा हो गे कि किसी को यह पता चले ?	అది అంద రికీ తెలియ ాలా ?
इसलिए वह समझ ें गी .	అందు కని అరథం చేసు కు ంటుంది .
कल रात कया हुआ ?	ని నన రాతరి ఏం జరిగింది ?
मेरी मदद के लिए कौन है ?	నాకు సహా యం ఏ ది ?
बहुत नि र द य ी घ ो डा था .	దు రు సు గుర రం .
सा त सौ ड ॉलर , हाँ ?	7 00 డ ాల ర లా ?
वह और त कौन है ?	ఆమె ఎవరు ?
- ह ंट की ? - ब लै क मे ल ?	- అది హ ంట ఆలోచ నా ? - బె ది రి ం పా ?
वह बस परे शान थी .	ఆమె కా సత ని రు త సా ంగా ఉంది .
कल रात ?	రే పు రాతరి ?
और यह जो अंदर वाला था ,	ఈ లోప లి వయకతి ,
अगर सवाल का जवाब नहीं आता , तो मैं जवाब नहीं दे सकती .	నాకు సమా ధా నం తెలియ కపోతే చెపప లేను .
पर यह एक चा ल भी है .	కానీ ఇ ందు లో మో సం కూడా ఉంటుంది .
हाँ , पता है .	అవును , నాకు తెలుసు .
मैं ठीक हूँ .	నేను బాగానే ఉననాను .
हमारे बीच में जयादा फर क नहीं रह जाएगा .	మని దద రం ఒక ే లా అయి పో తా ము .
ग ड ब ड करती रही तो ,	నువవు ఇ బబ ందు లలో పడు తూ ఉంటే ,
अ द ला - बद ली .	పరతి ఫ ల సిదధ ా ంత ం .
आज मेरा सिर फ टा जा रहा है .	నాకు ఈ రోజు తల ప గి లి పో యే ంత తల న ొ పప ి గా ఉంది .
वह उस आदमी के साथ जा फ ँ सी जिस से हर कोई न फ रत करता है ,	ఆమె అందరూ ద వే షి ంచే మనిషి తో ఉంది ,
कया यह ट रे न है ?	అది రె లా ?
हैलो !	హే !
तुमहें भी गु ड म ॉर नि ंग .	నీ కూ శు భ ో ద యం .
जब तक हमें तुम पर भरो सा नहीं होता .	మేము నినను నమ మే దా కా ?
पता नहीं . बस . . .	నాకు తెలియదు . నేను కేవలం . . .
बस . . . पता नहीं .	నేను కేవలం . . . నాకు తెలియదు .
तो , अब तुम कया करो गी ?	అయితే , నువవు ఇపపుడు ఏం చేయ బో తుననావు ?
तुम यहाँ कैसे ?	నువవు ఇకకడ ే ం చేసతుననా వు ?
सं भ ल कर रहना ,	జా గర తత ,
- अचछा . - चलो .	- సరే . - నువవు వెళ తా వు .
ठीक है .	సరే .
डे ना , न ?	తను డే నా , కదా ?
यह बस एक खेल है . तुमहारे लिए कम रा नंबर 1 0 7 है .	ఇది ఆట మాతర ము . నీ గ ది 1 0 7 .
जरूर .	తపప కుండా .
हाँ , पकका .	అవును , ఖచచితంగా నే .
- और पै स ों के बारे में भी . - हे भगवान .	- ఇంకా డబబు . - దేవుడా .
जरूर .	తపప కుండా .
इसलिए श हर लौ टा है .	అందుకే అతను తిరిగి న గరా నికి వచచా డు .
नहीं बता ई .	లేదు .
वह रहा .	అది గో వ సతుంది .
शे र ?	ఒక పు లా ?
दो सौ ?	రెండు వ ంద లు ?
दो सौ .	రెండు వ ంద లు .
कोई मदद कर सकता हूँ ?	ఏం కావాలి ?
मस ती बहुत हुई .	అంటే , సర దా ఇ పపుడే అయి పోయింది .
तना व ?	ఏదో ఒ తతి డా ?
तो मु ला का त त य रही !	ఇది డే ట !
सा ला .	ఛ .
और पढ ा ई ?	మరి స కూ ల సంగ తి ఏంటి ?
क सम से ,	దేవు డి మీద పరమా ణం ,
ख री द ?	ప ంద ెం మొతత మా ?
वह चला .	అది గో వెళళి పో తుంది .
सही है .	నయాయ ంగా నే అనిపి సతుంది .
धत तेरी .	ఛ .
घ ू मो .	తి రుగు . తి రుగు , తి రుగు .
