जे पी !	జె పి !
अगर तुमहें कोई काम नहीं है , तो हम मिल कर कुछ कर सकते हैं .	నువవు ఖ ా ళ ీ గా ఉంటే , మనం కలిసి ఏదెనా చేయ చచు .
सच में ? तुम सब काफी करी ब लग ती हो .	నిజంగా నా ? మీ రం తా చాలా స నని హి తంగా ఉంటా రు కదా .
मै ट	మయా ట
तुम ठीक हो , अ जन बी ?	బాగు ననా వా , అ పరి చి తు ర ాలా ?
- अभी आई . - तुम प ॉर न भी देख ती हो ? हाँ ?	- వచ చేసతుననా ను . - బ ూ తు ద ృ శ య ాలు కూడా నా ? చూ సతుననా వా ?
हे भगवान . तुमहें कया परे शा नी है ?	ఓహ , దేవుడా . నీకు ఏ మెంది ?
चलो ! वह बे हो श हो गया है .	రండి ! వాడు ని దర లోకి జా రు కుననా డు .
मेरे सत न .	నా చ ను మొ నలు .
वह कहाँ जा रहा है ?	వాడు ఎ కకడికి వెళ తుననా డు ?
हम स मु दर में जा सकते हैं . म छ ली पक ड सकते हैं . ता जी ह वा में सा ँ स ले सकते हैं .	మనం వెళల చచు . చే ప లు ప టట చచు . ఇంత క ననా మంచి గ ాలి ని పీ ల చ వచచు .
पर अंदर जो है , उसका कया ? वह इसका ह क दार नहीं था .	కానీ , అకకడ ఆ వయకతి గురించి ఏంటి ? అతను ఆ శి కష కు అర హు డు కా డు కదా .
हम उसे डर ग स देंगे और भ रे हुए बा थ ट ब में डाल ेंगे .	మనం అతనికి బ ల మెన మ తతు మ ందు ఇ చచి పూరతి నీ టి ట బ బు లో పెటట బో తుననాం .
- दू ध में डाल ेंगे . - हम दू ध में नहीं डाल ेंगे .	- పాల లలో పె డ దాం . - పాల లలో పెటట దదు .
वैसे , मुझे अभी - अभी पता चला कि मेरे डै ड य ूँ ही अ चा न क नहीं म रे .	సరే , మా నానన గురించి నేను ఈ మధయ నే ఒక విషయం తెలుసు కుననాను . ఆయన మా మూ లు గా చని పో లే దని .
तो अब मैं कमी ना हूँ ?	అయితే నేను వ కర బు దధ ి అంటా వా ?
- कुछ ऐसी चीज में डाल ना होगा जो . . . - उसके ना क का स परे .	- ఇం కే ద యి నా ఉండాలి . . . - అతని ము కకు స పరే .
काफी ते ज डर ग स होंगे .	ఇది ఎకకువ డో సు అయి ఉంటుంది .
पता नहीं मैं उससे मिलने कयों आई . उस ी ने मुझे घ ूँ सा मा रा था .	నేను ఎందుకు తన కోసం వచచా నో నా కే తెలియ డం లేదు . త నే నా పె ద ాలు చి ట లి పో యే లా చేసి ంది .
उनका कहा मान ो .	ఆమె చెపపి న టలు చేయి .
पुलिस ने इतनी आ सा नी से नहीं छो डा था .	పోలీసు ల ప హా రా లే నపపుడు చాలా ఇ బబ ందు లు ఎదు ర కొ ననా రు .
हाँ . इससे पहले कि वह किसी को ठ ो के , उसे रो को .	అవును . వాడు ఇం కె వరి నె నా చం పే య డానికి ము ందే వాడిని పటటు కో వాలి .
मैं एक स था नी य पिता हूँ और मुझे एक आदमी को लेकर चे ता व नी दे नी है .	నేను సథా ని కంగా నివ సి ంచే త ండ రి ని , ఇంకా నేను ఒక వయకతి గురించి హె చచ రి ంచాలి అనుకుంటుననా ను .
तो , अब किसी और को चो ट नहीं पहुँच नी चाहिए .	సరే , ఇం క వే రే న షట ాలు జరగ కూడదు .
इ ला ज आज मा सकते हैं .	మనం చి కి త స కి పరయతని ంచ వచచు .
उसका भी यही हा ल था .	అతను కూడా నీ లా గే ఉండే వాడు .
तो खुद से पू छो , " कया तुम कारण हो सकती हो ? "	కాబటటి నినను నువవే పర శ ని ంచుకో , " ఇ ందుకు కారణ ం నేనే నా ? " అని .
तो , हाँ .	సరే , అలాగే .
हे भगवान . मुझ में ही समस या है .	ఓహ , దేవుడా . నా విషయం లోనే ఇలా జరుగు తోంది .
तुमहारे दोनों अ ंड को ष मेरे छो टे श ॉर ट स से बाहर निकल रहे हैं .	నా షా ర టు లో నుంచి నీ వ ృష ణ ాలు బయట కొ సతుననా యి .
मुझे चिंता है कि वह उसे पर ता डि त कर रहा है .	మా అబబా యి ని అతను లె ం గి కంగా హి ం సి సతుననా డని నాకు భయ ంగా ఉంది .
- कमी नी कहीं की . - बच चों ! झ ग डा मत करो .	- నువవు ఒక కు త ంత రాల ఆడ దాని వి . - పిలల లూ ! కా సత త గ గ ండి .
जल द ही वह खतम हो जाए गी .	కొ ద ది రోజు లలో తన లో ఇం కే మీ మి గల దు .
अरे , हाँ . हाँ . मैं उसका नाम बता ने को रा जी हूँ . हाँ .	ఓహ , అవును . అవును . అతని పేరు ని చెపప డానికి నేను సిదధ ంగా ఉననాను . చెబు తాను .
कि तुम अं तर ंग भाग ों को बना ते हुए घ बरा ती हो .	మీరు శ రీ రం లో మర మ అ వయ వాల ను గ ీ సతునన పపుడు కొ ద ది గా భయ పడు తుననారు .
- ब ला , मुझे तुमसे पयार है . - मुझे भी .	- బ లా , నినను పరే మి సతుననా . - నినను కూడా పరే మి సతుననా .
रॉ जर ने तुमहारे लिए उनहें का ट दिया .	రో జర , మంచి వాడు , నీ కోసం వాటి ని క తతి రి ంచి పెటటా డు .
यह कै सी द या है ?	అది ఏ వి ధ ంగా మంచి త నం ?
नहीं , हमें यह बंद करना होगा .	లేదు , ఇది ఇం క ఆ గ ాలి .
म लि न - सै रा गो जिन दवा रा नि र मि त	మ ాలి న శా రా గో జి న రచ న
हे भगवान . वह उसे ठ ो क ने वाला . . .	ఓహ , దేవుడా . వాడు దానిని ఢ ీ కొ టట బో తుననా డు . . .
उसे बि स तर में काफी जगह चाहिए .	మ ంచ ం మీద కూడా త నే ఎకకువ ఆ కర మి ంచు కు ంటుంది .
शायद उसने तुम पर द या की ?	బహుశా అది అతని మంచి త నం కా వచచు కదా ?
उममीद है हमारे पास बै क अप यो जना है .	మన కి ప లా న బి ఉ ంద ను కుంటా .
जिस में भी एल को ह ॉल हो , जान .	ఆ ల క హ ాల ఉనన ది ఏదెనా ఫర వాలేదు , డా ర లి ంగ .
इसके नीचे घु स नहीं पा . . .	ఈ చెతత దాని కింద నేను ప టట డం లేదు . . .
धनयवाद .	ధనయవాదాలు .
हाँ , बेशक जा ग ते हो गे .	అవును , నువవు ఖచచితంగా చేసతా వు .
धनयवाद .	ధనయవాదాలు .
पर , हाँ , चिंता भी है .	కానీ , సరే , ఆ ందో ళ న కూడా ఎ కకు వే .
तो , कोई मुझे यह यो जना समझ ा ओ .	సరే , ఏ వర ెనా ఈ ప లా న గురించి నాకు చెపప ండి .
तो , अब यह मेरी गलती है , हाँ ?	అయితే , ఇపపుడు ఇది నా తపప ే అంటా వు , అవునా ?
बस . . .	కేవలం . . .
कयोंकि मुझे यह जान ना है , गरेस ,	ఎందుకంటే నేను ఒక అభి పరా యా నికి రా వాలి , గరేస ,
सू जन बरा बर होगी .	చె లలు కు చె లలు అవు తుంది .
ए , सि री . स था नी य अस पता ल तक का रा सता दिखा ओ .	హేయ , సి రి . ఇ కకడి నుండి సథా నిక హా స పి టల కి నాకు దా రి చూపి ంచు .
पागल कहीं की .	చెతత పని .
चलो भी , कम ब खत . . . बेवकूफ !	ఇం క రా , చెతత వెధవ !
हाँ . हाँ .	అవును . అవును .
पता नहीं .	నాకు తెలియదు .
पता नहीं .	నాకు తెలియదు .
तुमहारे पास अब भी . . . अ रस !	నువవు ఇంకా ఇది పటటు కుననా వే ంటి . . . ఉ రస !
पता नहीं .	నాకు తెలియదు .
तुमहें अपनी बहन के लिए बद ला लेना चाहिए था .	అది మన అ కక కోసం జరిగి ఉండాలి .
अरे , चलो . बस . . . चलो . चलो . . .	ఓహ , రండి . కేవలం . . . రండి . ఇది అందు కో ండి . . .
नहीं आ रहा ?	అతను రా వడం లేదా ?
शायद यह बेहतर होता अगर तुम ना व में जाते , ह ँ ?	బహుశా నువవు ఈ రోజు నీ పడ వని బయటకు తీ సి ఉంటే , ఇంకా బాగు ండ ే ది , హు ?
वैसे , मैंने ही तुमहें ध क का दिया था .	కానీ , నేను నినను తో శా ను .
कयोंकि , सच में , मैं ऐसे नहीं जा सकती .	ఎందుకంటే , నిజంగా చెబు తుననాను , నేను ఇలా త యా రె వెళల లేను .
तो आज ही वह दिन है ?	ఈ రో జే నా అది ?
वाह . इसमें काफी ए ह सा स छु पा है .	సరే , ఇం క . ఈ పా ట చాలా మాట లు చెబు తునన టలు ఉంది .
वह इस पर पूरी तरह से नि र भर है .	వాడు దే ని క ననా ఎకకువ గా మ ందు ల మీద ఆ ధా ర పడ తా డు .
हाँ . तो , अ र सला ने कहा कि वह अस पता ल से रो हि प न ॉल की	అలాగే . ఉ ర సు లా , రో హి ప నా ల సీ సా ని దొ ంగ చా టు గా తన హా స పి టల నుంచి తీసుకు రా గల నని
पीछे ह टो . नर स को अपना काम करने दो .	వెన కకి వెళల ండి . దీని య జ మా ను ర ాలని ఈ పని చేయ నివ వ ండి .
पे शे वर देख भा ल होगी .	ని పు ణ ు లు నీకు సే వ లు చేసతా రు ,
- माफ करना ? - सच में ?	- కషమి ంచండి ? - నీకు అరథ మ యి ందా ?
खुद पर निय ं तर ण रख ो .	నినను నువవు అ దు పు లో పెటటు కో .
अचछा ? मुझे याद नहीं है .	నువవు ఉండే దాని వా ? నాకు గురతు లేదు .
- मिन , तुम ठीक हो ? - हाँ .	- మి న , నువవు బాగానే ఉననా వా ? - అవును .
मैं सो भी नहीं रहा हूँ .	కాబటటి నాకు కొ ద ది గా కూడా ని దర లేదు .
और वह भी बि बी के हाथ ों वह हुआ .	ఇంకా , మన అంద రి లో , ట రి గ గర న ొ కకి న బీ బీ గురించి .
हाँ .	అవును .
म ॉ निका को आ राम करने के लिए	మో ని కా కి ప ది నిమిష ాలు వి రా మ ం ఇ దదాం . . .
शायद तुम यह नहीं पी यो गी .	వీ టి లో ఒకటి నువవు తీసుకో వు అనుకుంటా .
हम . . . हम करते हैं .	మేము . . . నేను పరయతని సతు ంటా ను .
बि बी के बिना नहीं .	బీ బీ లే కుండా మనం ఏం చేయ దదు .
खुश है , म हा रा नी की तरह बि स तर में ले टी रह ती है .	తను చాలా సంతోష ంగా ఉంది , బ ౌ డి కా మ హా రా ణి లా గా మ ంచ ం మీద పడు కు ని ఉంటుంది .
खुद से भी .	నాతో నేను కూడా .
आज रात बाहर से खाना म ँ गवा एँगे .	ఈ రాతరి బయట ే తి నా లి .
गरेस ! गरेस , वापस आओ !	గరేస ! గరేస ! ఇకకడికి తిరిగి రా !
हाँ .	అవును .
केवल इसी तरह मुझे कोई लडकी मिल ती .	ఒక ఆడ పిలల మె పపు పొ ంద డానికి నాకు ఉనన మా రగ ం ఇ దొ కక టే .
पु रु ष ों की ना जु क ता , है न ?	పు రు ష దు ర బ ల త వం గురించి మాటలాడ ండి , హేయ ?
तुमहें यहाँ किसी ने नहीं बुला या .	నినను ఎవ వర ూ ర మ మన లేదు .
- वह लौट आया है . - कया ?	- వాడు తి రి గొ చ చేశా డు . - వాడు ఏంటి ?
भगवान . का श वे करते .	దేవుడా . నేను అదే ఆ శి సతుననాను .
बस मुझसे बात करो .	ఊ రి కే నాతో ఒక సారి మాటలాడు .
यह कया हो रहा है ?	ఏంటి ఇ దంతా ?
इ वा यहाँ आओ	ఈ వా ఇకకడికి వచ చేయ
मैं इसलिए जे पी की आत मह तया की कोशिश के बारे में बात नहीं करती हूँ कयोंकि वह खुद इस पर बात नहीं करता था .	జె పి ఆ తమ హ త యా యత నం గురించి నేను ఎందుకు మాటలాడ న ంటే అతను ఆ పని చేయ డు .
जलदी करो .	తవర గా కా నివ వు .
मैंने ना नहीं कहा था , है न ? तुमहारी नी ली गो लि यों को .	నేను ఎపపుడూ వ దద ని చెపప లేదు , అవునా ? నీ చినన పిచచి నీ ల ం టా బ లె టలు వే సుకో నని చెపపా నా ?
तो , शायद हम जी त गए . है न ?	సరే , ఎలా గె లి చి నా గె లు పు గె లు పే . అవునా ?
तुमने आ खि री बार कब . . .	నిజ ానికి నువవు చి వరి సారి ఎ పపుడు . . .
मेरी तु ल ना में , यहाँ आने वाले आ खि री सं बं धि त ना गर ि कों को	అంటే , నా లాంటి బాధ యత ప ౌ రు లు చాలా మంది
अ ल वि दा .	వెళల ొ సతాను .
नहीं , बिलकुल नहीं . वह गे है .	లేదు , నిజంగా ఏమీ లేదు . అతను స వ లి ంగ సం పర కు డు .
वैसे , ना भी नहीं कहा .	కానీ , ఆమె లేదు అని కూడా చెపప లేదు .
आ मत ौर पर , यही नहीं करते हैं ?	అది సా మా న య ంగా అందరూ చేసే దే అనిపి సతోంది , కదా ?
अगर करेंगे , तो जाओ . मैं नजर रख ूँगी .	సరే , చేసతుననా ము అంటే , ముందు కె ళ దాం . నేను గ మని సతూ ఉంటా ను .
तुम इसे यहाँ कयों लेकर आए ?	అయితే దానిని ఇంత దూ రం ఎందుకు తీసుకు వచచా వు ?
कल ? कया तुमहें पैसे चाहिए ?	రే పా ? దాని కోసం నీకు డబబు లు ఏమెనా కా వ ాలా ?
जो पूरी तरह से कमी ना न हो .	అతను అంద రి లా గా చెతత వెధవ కా కుండా ఉంటా డే మో .
तुमहें क प फा इन ल की टि कट ें भेज द ूँगा .	ఆ టో ర న మె ంట క ప ఫె న ల టి కె టలు మీకు పో సట ు లో వ సతా యి చూ సుకో ండి .
मुझे ग ले लगा ओ , बेवकूफ .	ననను కూడా ఆ లి ంగ నం చేసుకో , చెతత దా నా .
हाँ . जरूर .	అలాగే . తపప కుండా .
मुझे बताओ गे कि कया कहा गया था ?	నా గురించి ఖచచితంగా ఏం చెపపా రో నాకు వి వరి ంచ గల రా ?
लगता है हा ल ही में मैं ही सबसे दूर रही हूँ .	ఈ మధయ కాల ంలో నేను పరతి విషయం లో న ూ లకష ల మె ళల దూ రం లో ఉనన టలు అనిపి సతోంది .
कभी - कभी , लगता है वे अब भी करेंगे .	వాళలు ఇ పపటి కే అదే అనుకుంటా రని అ పపుడ పపుడు అనిపి సతుంది .
शायद तुम सी धे कह ने के लिए माफ ी चा हूँ गा , जवाब टा ल रही हो .	నేను క ఠ ి న ంగా అడుగు తునన ందుకు కషమి ంచండి , కానీ నా ఉదదేశం లో మీరు విష యానని పూరతి గా చెపప డం లేదు .
मेरी मदद करो गी , गरेस ?	ఈ విషయం లో నాకు సాయం చేసతా రా , గరేస ?
गरेस , तुम पै दा इ शी आकर ष क हो .	గరేస , నువవు స హ జ ంగా నే చాలా ఆ కర ష ణ ీ య ంగా ఉంటా వు .
आज कया कर रहे हो ?	ఈ రోజు నీకు ఏం ప ను లు ఉననాయి ?
कया तुम पै ंट पह नो गे ?	నీకు ప యా ంటు వే సు కునే ఉదదేశం ఉందా ?
तुमहें लगता है वे इस तरह ह स तक ष े प करते ?	వాళలు ఆ వి ధ ంగా నీ జీవితం లో జో క యం చేసు కుంటుననా రని అనుకుంటుననా వా ?
और कितना नीचे गिर ो गी ?	నువవు ఇంత క ననా ఎంత త కకువ ది గ జా ర గల వు ?
आज अके ले आए हो .	ఈ రోజు మీరు ఒకక రే వచచా రు .
बद मा श .	కొ ంట ె దా నా .
कया मैं ही वजह थी ?	అది నా కారణ ంగా నే జరిగి ందా అని ?
कया मतलब ?	నీ ఉదదేశం ఏంటి ?
तो यह सही नहीं है .	అది చాలా మూ ల యం చె లలి ంచుకో వ డ మే .
कयों ? कया बदल गया ?	ఎందుకు ? ఇపపుడు ఏం మా రి పోయింది ?
- हे भगवान ! - छ ी .	- దేవు డి దయ కల గ ాలి ! - ఘ ో రం .
छ ी .	నీ చం .
और शायद मुझे कोई	ఇంకా బహుశా నేను సంగ ీ త మో ఏదో
हाँ , बेहतर होगा हम बस एक मो म ब त ती ज ला एँ ,	అవును , మనం కేవలం ఒక కొ వ వ ొ తతు వె లి గి ంచి , అతను రాతరి వే ళ స నా నం చే సతూ
- कैसे हो ? - बेहद बे च ै न हूँ .	- ఈ ఉద యం నీకు ఎలా ఉంది ? - నాకు ఆ ందో ళ న పోయింది .
- धत . - बस . . .	- చెతత , ఆ హ ! - కేవలం . . .
सब ठीक है ?	అంతా బాగానే ఉందా ?
कारण मैं खुद हूँ .	నేను నేనే .
कुछ भी करने की जरूरत नहीं है .	ఏ విషయం లో న ూ కూడా .
सच में .	ఇది బాగుంది .
घ ा ट पर दिन अचछा बी ता .	రే వు దగగర ఈ రోజు చాలా బాగా గ డి చి ంది .
एक माँ आ नहीं पा एँ गी .	మా జ టటు స భ యు లలో ఒక రి అమమ రా వడం లేదు .
इसलिए तुम डर ग सट ो र तक मेरा पी छा कर रहे थे .	అందుకే కదా , నువవు ననను దొ ంగ చా టు గా మ ందు ల దు కా ణం వర కూ అను సరి సతూ వ సతుననా వు .
वाह .	అదభు తం .
जान .	బంగా రం .
ठीक है .	సరే .
उसकी वजह से ?	అకకడ ఆ వయకతి గురి ంచా ?
धयान से .	ఇపపుడు జా గర తత .
ठीक है .	సరే .
ठीक है .	సరే .
ठीक है .	సరే .
धी मे से .	కేవలం కొ ద ది గా .
अब तुम बॉ स बन ो गे ?	ఇపపుడు నువవు నాకు బా స అవు తా వా ?
तो , छोड ो उसे .	అయితే , ఆమె ని మర చి పో దాం .
किसी को पता नहीं चले गा .	అది మి స కాదు .
सं गी त व ग ै रह सुना ई दे गा .	వి ంట ూ ంటా నే మో .
तुमहारे पास केवल एक - दूसरे का ही साथ है .	మీరు ఒక రి కొ క రు ఉననారు .
थ ॉ मस जवाब देने के लिए सला इ ड करें	థా మస స ల యి డ టు ఆన సర
अरे , धत तेरी की .	ఓహ , చెతత .
आ मत ौर पर , जो भी मेरे बि स तर में होता है , उनहें वह पसंद नहीं आता है .	వాళలు నా ప కక లో ఎవరు ఉననా అ ంగ ీ కరి ంచ రు .
ग ै ब रि एल गे है .	గా బ రి యే ల స వ లి ంగ సం పర కు డు .
अचछा ? पता नहीं .	బాగు ందా ? నాకు తెలియ డం లేదు .
और आप मुझ पर ढ े र ों पैसे ख र च करें गी .	ఇంకా నీ నుంచి ఎకకువ డబబు లు గు ం జ డానికి ఇది కేవలం ఒక సా కు మాతరమే .
हे भगवान .	చెతత .
तुम ठीक हो ?	నువవు బాగానే ఉననా వా ?
दूस रा कारण है , मैं सोच ती हूँ . . .	ఇం కొ క కారణ ం ఏమి ట ంటే , నా అంత రం గ ంలో , నేను ఆలోచి సతూ ఉంటా ను . . .
तुम ठीक हो ?	నువవు బాగానే ఉననా వా ?
तुम ठीक हो ?	నువవు బాగానే ఉననా వా ?
सब को बिना मे ह न त किए ही पैसे चाहिए .	పరతి ఒకక రూ ఏమీ చేయ కుండా నే లకష లు సం పా ది ంచే య ాలని కో రు కుంటుననా రు .
कितना भ द दा शो र है .	ఏంటి ఈ ఘ ో ర మెన , ఘ ో ర మెన శ బ ద క ాలు ష యం .
और इसलिए टा ल ने में	అందుకే వి వర ాలను కలు ప తంగా చెబు తా ము
भ यान क ?	భ యం కర మెన దా ?
मिल गया . वह यहाँ है .	నాకు దొ రికి ంది . ఇకకడ ఉంది . ఇకకడ ఉంది .
घर जाओ .	ఇంటికి వెళ లు .
कमी ने कहीं के .	నువవు ఒక చినన చెతత పో గు వి .
बे चा री .	పా పం పిచచి ది .
कया इसका कोई कारण है ?	సరే . . . అంటే , అ ందుకు ఏదెనా కారణ ం ఉందా ?
यह देख ने की जरूरत नहीं थी .	ఆ అవ సర మే లేదు .
यह हाँ जैसा नहीं लगता है .	ఆమె సప షట ంగా అవును అని చెపపి న టలు అనిపి ంచడం లేదు .
गरेस , नहीं . कभी नहीं .	గరేస , లేదు . నీ విషయం లో ఎపపుడూ అలా జరగ దు .
तो फिर , आओ .	నువవు కూడా చేయి , మరి .
वह कमी ना बचचे जैसा है .	ఆ చెతత వెధవ ఒక చినన పి లలా డు మా ది రి గా ఉంటా డు .
वह सू ं घ ले गा .	వాడి కి ఈ వా స న తెలు సతుంది .
जै र लड आता ही होगा .	జె రాల డ ఏ కష ణ ా నన యి నా ఇకకడికి రా వచచు .
अ रस , कया तुमहें मुझसे कोई परे शा नी है ?	ఉ రస , బాగానే ఉననా వా ?
का श वह बस दवा इ या ँ आज मा ता .	అతను టా బ లె టలు వే సుకో వాలని ఆ దేవు డిని కో రు కుంటా ను .
सु पर भा त .	అంద రికీ శు భ ో ద యం .
और सवाल ?	మరి కొనని పర శ న లా ?
ए .	హేయ .
ए , बेशक , यह मैं हूँ .	హేయ , నిజ ానికి , నేనే మళలీ ఫోన చేసతుననా ను .
कभी नहीं .	ఏమీ పర యో జ నం ఉండ దు .
बेशक नहीं थी .	ఖచచితంగా తను సంతో షి ంచ లేదు .
कृपया .	దయచేసి వి ను .
वर ना वह नहीं ब चे गी .	ఆమె లో కొ ద ది గా కూడా ఆ తమ వి శ వా సం మి గల లేదు .
कया आप चल सक ें गी ?	నువవు వ సతా వే మో అడుగు దాం అను కుననాను ?
शायद . . .	నేను అను కునే ది . . .
म जे करो .	సర దా గా ఆ సవా ది ంచు .
नहीं , नहीं , मैं पता लगा ता हूँ . मैं पता लगा ता हूँ .	లేదు , నేను కను కకు ంటా ను .
से कस करते हो ?	ఇంకా శ ృ ంగా రం చేసు కుంటుననా రా ?
माँ . बे चा री .	అమమా . నువవు ఒక పిచచి దాని వి .
चु प र होगी ?	నువవు ని శ శ బ ద ంగా ఉంటా వా ?
चलो भी .	పద .
हाँ , पर उसका आ कार भी .	అవును , కానీ పరతి విషయం లో ఆమె కు ఎకకువ జా గా కావాలి .
आ ठ ह जार .	ఎ నిమి ది వే ల డ ాల రలు .
जरा सोच ो , रॉ जर .	నీ మన సు లో మాట ఏమి టో నాతో చెపపు , రో జర .
उसकी बात छोड ो .	నేను ఏం అంటా న ంటే , ఆమె ను అలా వదిలే య .
खैर , धनयवाद .	సరే , ధనయవాదాలు . నేను ఆలోచి సతాను .
दस मिनट दो .	తను శ రీ రా నని క ది లి ంచు కు ంటుంది .
चलो .	లోప లి కి రా .
दु ः ख की बात है .	పా పం .
बेशक है .	నేను తపప కుండా ప టటి ంచు కుంటా ను .
बस ?	ఇం క అంతే నా ?
