धनयवाद .	మంచిది !
ल ंड च ू सू	చ ంక లు నా కే వా డా
हम सब ठीक कर सकते हैं , ठीक है ? हम कर सकते हैं , हाँ ?	అ యా ం రి య ల లీ సా రీ . మనం దీ నని ఫి కస చే స కో వచచు , సరేనా ?
मर द बिलकुल बेवकूफ होते हैं .	మ గా ళళ ంతా ఇంత ే .
दी दी , एक काम करो आप . ये पूरा घ ू मे गा ना ऐसा कै म रा , 3 6 0 हो जाएगा तो पूरा . . . इ ध र आ जाओ .	అ క కా , కే మె రా పూరతి గా 3 6 0 డి గర ీ లూ తి రుగు తుంది , మీరు ఈ ప కక కి రండి .
अरे , उसकी गु ड िया !	డ ూ డ , తన బ ొ మమ !
मैं भी तुमहें बहुत पसंद करता हूँ , जै ज .	నా కూ నువ వ ంటే ఇషటం , జా జ .
सभी : है पी बर थ डे !	హా పీ బర త డే !
आदमी : हमें आपके जैसे लोगों की जरूरत है . जो खु ल कर बात करें .	మాకు నీ వ ంటి వాళళు కావాలి . మాటలా డే వాళళు .
ता रा : चलो .	వెళ దా మా .
तुमने जो भी किया , मैं . . .	నువవే ం చేసి నా , నాకు
यही वह आदमी है जि से मैं चाहती हूँ .	నేను పరే మి ంచే ది ఇ తన నే .
न ता शा ने तुमहारे बारे में जो कुछ कहा .	న తా షా నీ గురించి అనన వ ననీ .
उनके लिए कु रस ियाँ थोडी ऊँ ची र हें गी .	క న క , వాళల కి రె యి జ చేసిన సీ టి ం గు ంటుంది .
- र मन , तुम आज स ें टर खे लो गे . - सर ?	- రా మన , నువ వి వ వాళ సె ంట ర లో ఆ డు . - సర ?
माफ कीजिए गा .	అ యా ం సా రీ .
कया हुआ ?	ఏమ య యి ంది ?
बस भी करो .	ఆ ప ది .
प तर कार 1 : आपको लगता है कि आपका परिवार . . .	మీ ర ను కో వడం మీ కుటుం బం
दु ल ह न आप हो या डो रा ?	పెళళి కూ తు రు ఎవరు ? నువ వా , డో రా నా ?
- कुछ तो करना चाहिए ना . - कया कर सकते हैं , यार ?	- ఏదో ఒకటి చెయయ ాలి గా . - ఏం చెయయ గల డు ?
एक से क ंड के लिए मेरी बात सुन लो , ठीक है ?	పలీజ , నేను చెపపే ది వి ను . ఒకక ని ము ష ం వి ను , సరేనా ?
अचछा , अचछा .	ఓ కే , అలాగే .
हाँ , अचछा एक पहले . . .	- సరే . - ఓ కే . అకకడ చూడ ాలి కదా ?
मे ड इन हे वे न	మే డ ఇ న హె వెన
शु भ रात रि .	గు డ నె ట .
अचछा .	సరే .
सच में ? पकका ?	నిజంగా నా ? ఖచచితంగా చెపప గల వా ?
फै जा का फोन था कया ?	అది ఫె జా యే నా ?
जी , बिलकुल .	అవు న ండి .
प तर कार 1 : हाँ , सर . प तर कार 2 : मु स कु रा इए , सर . मु स कु रा इए .	- ఆ , సర . - సర , స మె ల , సర . స మె ల .
तो , तु झ े कर न पसंद है , हाँ ?	అంటే , నీకు క రణ ఇష ట మా ?
वि शा ल : कया ?	ఏంటి ?
उन में हमेशा एक जि ज ञ ा सा रह ती है	ఇంకా తెలుసు కో వాల నన కు తూ హ ల ం ఆ సా కతి ఉంది
आदमी : हाँ , ये लो . देखो .	ఆ , ఇది తీ స కో . చూడు .
वि शा ल : कया हो रहा है वहाँ पे ?	ఏమ వు తోంది కకడ ?
तो आपको पता होगा कि उसके पीछे किस का हाथ होगा .	అది ఎవరు చేసా రో మీకు తెలియ ాలని .
उममीद है आप लोग शा म का मजा ले रहे हैं .	- ఓ కే . - పార టీ ని ఎ ం జా య చేసతుననా ర ను కుంటా ను .
तुमहारी याद दा श त क माल की है .	నీ మె మ రీ అదభు తం .
कुछ मत पी ना , कुछ मत खाना .	ఏమీ తా గ దదు , ఏమీ తి న దదు , వాళళు నీకు మ తతు మ ందు పె డు తుననారు .
ता रा , तुमने मेरा फोन देखा ?	తా ర , నా ఫోన చూ సా వా ?
तुम उससे मिल ते रहे हो .	నువవు త నని రో జ ూ కలు సతుననా వని తెలుసు .
ये शादी . . .	ఈ సం సా రం
. . . तुमहारी न ूत न बु आ के लिए . ठीक है ?	మీ న ూ తన అత త కి , ఓ కే ?
वि शा ल : धनयवाद .	థాంక యు , ధనయవాదాలు , థాంక యు !
तुमहारी गलती नहीं है .	అది నీ తపపు కాదు .
- एक दम ठीक है ! - न ूत न की बहन : हुआ नहीं अभी तक ?	- పర ఫె క ట ! - ఇంకా అవ లేదా ?
इसे हुआ कया है ? इस ने पी रख ी है कया ?	ఏ మెంది తన కి ? తా గే సు ందా ?
इसे तो ये भी याद नहीं कि कल रात हमने कौन सी फि ल म देख ी थी .	తన కి ఏం గురతు ండ దు . మే ం రాతరి చూ సిన సి ని మా యే గురతు ండ దు .
मुझे समझ नहीं आता , मैं कया कर ूँ .	నాకు ఏం చెయయ ాలో తెలీ ట లేదు .
दी दी , बा य ें वाला , छो टा वाला .	ఇంకా ఆ ఎడ మ ది , ఆ చినన ది .
हाँ .	అవును .
रु चि : कयोंकि ये दिल च सप है .	ఎందుకంటే , అది ఆ స కతి కర ంగా ఉంటుంది .
ज ॉन : हे लो ?	హలో ?
वाह यार , तेरी तो तर क की हो गई , यार .	- ఫా ర వార డ ? - వా వ , బ రో . నీకు పర మో షన వచచింది .
क बी र : न ई दिल ली में आपका सवागत है .	న యూ ఢ ి ల లీ కి సవా గ తం .
मैं खेल सकता हूँ डो रा के साथ ?	నేను ఆ డో చచా డో రా తో ?
ए , भा ट िया .	హే , భా టి యా .
मैं ल ूँ ?	నా కూ కొంచ ం ఇ సతా వా ?
बुला लो .	అవును . వాళ లని పి లు వు .
उस पर धयान दो .	దాని మీద ద రు ష టి పెటటు .
कुछ खाना है तो मे ज से कुछ खा लो , ठीक है ? और . . .	టే బు ల మీ దు నన వి తి ను కావాల ంటే , సరేనా ?
ए .	ఏ య .
अ ना उ ं सर : और आपको बता द ें ,	మీకు ఇం కో సమా చా రం ,
इस तरफ आप आ जाओ ना .	- మీరు , ఇ టు వెళళ ండి , మీ రీ ప కక కి . - ఎ కకడికి ? నే ని కకడ .
न ई दिल ली में ,	ఎవరెనా ఈ న యూ ఢ ి ల లీ లో ,
हाँ , ये एक तरह से . . .	అవును , అది మరి ఒక . . .
अचछा .	ఓ కే .
हाँ , इसे बस थोडी सी सू र ज की रो श नी की जरूरत है .	అవును , తన కి కొంచెం ఎ ండ త గి లి తే చ ాలు . త నని పటటు కో .
और इस ने स ले टी र ंग की स कर ट और एक स फ े द कमी ज पह नी थी .	అవును , తను న డు సతూ వ సతోంది ఒక గరే స కర ట ఇంకా వె ట ష ర ట వే స కో ని .
सं भ ल के .	జా గర తత .
न ूत न : आप कया चाहते हैं ?	మీ రే ం కో రు కుంటుననా రు ?
- जी . - ठीक है ना ?	అలాగే .
और तैयार ? एक दम ठीक है .	రె డీ యా ? పర ఫె క ట . అయి ంది .
- तुमहें न शा दे रहे हैं . - न ूत न की बहन : झ ुम के ?	ఆ చె వి రి ం గు లు .
सा लग ि रह मु बार क हो .	- హా పీ ఏ ని వర స రీ . - థాంక యు .
बच जाएँगे .	మనం త టటు కో గల ం .
मैडम , मु स कु रा इए .	మే డ మ , స మె ల .
मैं चाहता हूँ जो आप चाहती हैं .	నువవే ం కో రు కుంటుననా వో అది .
सं भ ल के .	జా గర తత ,
चलो .	రా .
वापस भेज ना अप श कु न हो जाएगा ना ?	వాళ లని వెన కకి పం ప డం అ ప శ కు నం అంటా రు , అవునా ?
ध रु व : उममीद करता हूँ त ू हमारे पिछ वा डे में घु स ने की कोशिश नहीं करे गा .	నువవు మా వెన కను ంచి చెయయ వు కదా ?
डि जा इन र : हे लो .	హలో .
आ दिल : तुमहारा दिमाग ख रा ब . . .	నీకు మ తి గా నీ పోయి ందా
आ राम से .	ఓ , అవును .
- ता रा : हे लो . -	హలో .
क बी र : सर ?	సర ?
तुमहें कब निकल ना है ?	నువవు ఎ పపుడు వెళ ు తుననావు ?
- उसने करि सट ि यन लू बो टा ं के साथ मिल कर . . . -	అతను కరి స టి యన లు బ ొ టా ంతో కలి సా డు
मैं खुश नहीं हूँ .	నేను లేను .
और फिर , ये मिल न जो है ना , दो परिवार ों का नहीं है ,	పె గా , ఈ బం ధం రెండు కుటుం బ ాల ది కాదు , రెండు పార టీ ల ది ! అంతే కదా !
क बी र : और मैं भी तुमहें पसंद करता हूँ .	నా కూ నువ వ ంటే ఇషటం .
आ दा ब .	ఆ హా . . .
परति बं धि त कष े तर	పరమా ద మెన సథ ల ం
तुम गए थे ना ?	నువ వ కకడికి వెళళ ా వు , కదా ?
आप यहाँ आ जाओ .	- త నని ఇకకడ ని ల బడ నీ . - ఇకకడ , నాతో ని ల బ డు . ఆ , ఇకకడ .
मि से ज याद व : वो वि शा ल के हैं . तीन हैं ना ?	- వి శ ాల కి మూ డు , కదా ? - నేను జా న తో మాటలా డా ను .
हाँ .	ఆ .
फो टो ग रा फर : एक फो टो , सर ?	ఒక ఫ ొ టో , సర ?
- कर न : उसने एक क ॉल किया था . - सच ?	- తన ో కాల చేసి ంది . - అవునా ? కాల చేసి చూడు .
तुमने ?	నీకు ?
मि से ज याद व : कया हुआ ?	- మే ం నీకు సాయం చేసతా ం . - ఏమ యి ంది ?
मुझे लगा ये क बी र का घर है .	ఓ , కానీ ఇది క బీ ర ఇ ళళు అను కుననాను .
सच ?	నిజంగా నా ?
कर ूँगा .	తపప కుండా .
- हम तुमहारी मदद करेंगे . -	- అవి ఇకకడ ఉండ వు . - సరే . నేను చూ సతాను . . .
तुम खुश र होगी .	సంతోష ంగా ఉంటా వు .
दु प ट टा .	దు ప టట ా తో జా గర తత .
क बी र : ये एक दम सही है .	అది బా వు ంది .
- आ राम से , कोई बात नहीं . - हम म .	రి లా కస , బా నే ఉంది .
ये ड रे स क व वाली वाली रात के लिए है , मैडम .	ఈ అవు ట ఫి ట క వ వాల ీ నె ట కి , మే డ మ . కానీ దీ నని ఫి టి ంగ చెయయ ాలి .
ची यर स .	ఛ ీ రస .
शा बा शी नहीं मिले गी .	మీ ధ ె ర యా నికి మె పపు దల ల భి ంచ దు .
हाँ , मैं उससे पयार करता हूँ .	ఆ , ఐ లవ హ ర .
वो प ौ धा है ना , दी दी , उस को एक से क ंड . . . वो पत ता उ ध र बा य ें करना .	ఆ మొ కక , ఉంది కదా అ కక ఆ అదే . దానని ఎడ మ కి క ద ప ండి .
मुझे माफ कर देना .	అ యా ం సా రీ .
थोडी म छ ली लो ना ?	కొ ద ది గా ఫి ష ట రె చెయయ చచు గా ?
बहुत ही अचछी हैं .	మంచిది .
क माल का था ! छा तर ों ने उसे बहुत पसंद किया .	వె ల , అదభు తంగా జరిగింది . సట ూ డె ంట సు కి తను బాగా న చచా డు . నిజంగా చాలా బా వు ండి ంది .
उसका वय क ति त व अचछा है . और वह . . .	తను గొపప దని చెపపు . తన కి మంచి పర స నా లి టీ ఉ ందని . తన కి ఓ మంచి
नहीं . . . नहीं , मैं नहीं मिला .	లేదు , లేదు , కల వ లేదు .
वकत आ गया है .	ఇ పపటి కె నా చేసతుననా వ
हे लो , मैं . . .	హాయ , నేను
- मि सटर आ दिल ख न ना अभी भी अके ले हैं . - जयादा देर तक नहीं .	ముఖ య ంగా ఇకకడ ఉనన లే డీ స కోసం , మి , ఆ ది ల ఖ ననా ఇంకా సి ం గి ల .
इस बार मेरी बात मा नि ए गा .	ఏ వ ండ ీ , ఈ సారి నా మాట విన ండి .
प तर कार : शुकरिया , सर , शुकरिया . हाँ , मैडम .	థాంక యు , సర , థాంక యు . . .
कया हुआ ?	ఏంటి ?
बहुत खुश हूँ जो तुम आई . अंदर आ जाओ .	ఆ , హాయ , లోప లి కి రా . నువవు వచచి న ందుకు సంతోష ంగా ఉంది . లోప లి కి రా .
थ क गई .	నేను అ లి సి పోయా ను .
मि से ज याद व : जलदी आओ .	తవర గా రా .
मतलब , तीन दिन ज द दो ज ह द करने के बाद , आप . . .	అంటే , తెలుసా , నువవు దానని చూడ డా ని కే మూ డు రోజు ల ను ంచ ీ తి పప లు పడు తుననావు .
एक से क ंड दो गी मुझे . पलीज , मेरी बात तो सुन लो .	పలీజ , ఒకక ని ము ష ం .
कया ?	ఏంటి ?
उसे भा रत में एल जी बी टी अधि कार ों के लिए एक ऐ ति हा सि क फै सला मा ना गया .	ఇ ండి య ాలో ని ఎ ల . జి . బి . టి . క యూ హ కకు ల కె ఒక
त मा शा कर सकता है , परे स बुला सकता है .	అతను తన ఫ రెండ సు ని తీ స కె ళళ ి ధ ర నా చే సో , పర ె స ని పి లి చో ఏదో ఒకటి చెయయ చచు .
अ . . . तुम . . . तुमहारी शादी हो गई ?	నీకు పె ళల యి ందా ?
चि ट ठ ी तो न वा ब ने लि ख ी है ना ?	న వా బ లె టర రా సా డు , కదా ? అయితే నేను గే ని ఎలా అవు తాను ?
वि देश ी स भ य ता को बढ ा वा दे रहे हैं . भा रत में ये सब नहीं चले गा !	వి దే శ ీ ఆ చా ర ాలను పర ో త స హి సతుననారు .
न वा ब हो मो है ! न वा ब हो मो है !	న వా బ ఒక హో మో !
और मुझे नहीं लगता मैंने इसे कभी तै र ते देखा था .	- బా వు ంది . - ఇంకా యా .
घर में एक पू ल था ?	మాకు ఇంట లో ఓ ప ూ లు ండ ే ది ? నాకు తెలి సి నేను త నని అంత గా ఎపపుడూ
कोई गलती मत करो .	పలీజ , నేను చెపపే ది వి ను . క మా న ! ఆ పొ ర బా టు చెయయ కు .
हमारी शादी नहीं हुई है .	వా వ . బ రం హ మా ండ ం . ఆ , క మా న .
कोई उससे मिल नहीं सकता . हमारे सारे दोसत ों ने कोशिश कर ली .	న ూ తన వాళళ అ కక ఆ తమ హ తయ చేసు కు ంది వాళ లే బా య ఫ రెండు ని చం పి ంచా రని .
ये ठीक नहीं है .	పా డు తూ ఉండ ండి !
समझ नहीं आया .	యు ఆర వె ల కం .
हम सब के साथ हुआ है .	అది చాలా మంచిది .
तुमने ?	అదే కదా .
हाँ , इस को .	కాదు , కాదు , ఆ ఎడ మ ది . ఆ , అదే .
लड के : ओ !	న వా బ ఒక హో మో !
नहीं .	పద .
कया ?	థాంక య యు .
मेरी ज ॉन से बात हुई है .	అలాగే .
