न व ंबर .	న వం బర .
धत ते रे की .	అబబా .
वह दिखा ई दे गया है .	ద ృ శ యం ధ ృ వీ కరి ంచ బడి ంది ద ృ శ యం ధ ృ వీ కరి ంచ బడి ంది
अब जाओ .	ఇక పద ండి , పద ండి !
उसने बि च ौ लिए का काम किया था .	ఆమె మధయ వర తి .
वह पिछ ले ग ृ ह म ंत री थे ,	రే యే స ఈ సథా నా నని తొ ల గి ంచే ముందు , అతను అంత రగ త వయ వ హా ర ాలు
आप ग ृ ह म ंत री र हें गी .	నువవు అంత రగ త వయ వ హా ర ాలు మరియు నయాయ శా ఖ మ ంత రి గా ఉంటా వు .
अब सो जाओ .	ఇపపుడు వెళళి పడు కు ందా ం , పద .
तो और कौन ?	అయితే , ఎవరు నియ మి ంచు కుననా రు ?
बस इतना ही पूछ ना था ?	అంతే నా ?
जिस में अब हमारा एक आदमी मु ठ भे ड के द ौ रा न गा य ब हो गया .	నీకు తెలు స ను కుంటా .
मदद है .	పర భు త వ వ న రు ల సహా యం ఉంది .
नहीं !	లేదు , లేదు , లేదు , లేదు , లేదు !
