रॉ बि न !	రా బి న !
न मेरे पिता , न ए नी .	లేదా మా నానన , లేదా ఆ నీ లే రు .
कया हमारे सिर फ ट ने वाले हैं ?	మన తల లు పె లి పో తా యా ?
हो म लै ंड र , मैं शुकरिया अ दा करना चाहती हूँ	హో ం లా ండ ర , నన నీ ఉద యో గా నికి సి ఫా ర సు చేసిన ందుకు నీకు క ృ త జ ఞ తలు .
तुम बा कि यों से अलग थे	మీరు అంద రి కంటే ఉనన తంగా ని లి చా రు
वह पै शन वाला ना ट क जो हमने किया था .	మనం వే సిన ఆ పా షన నా టి క .
तुमहें यह सब वी डियो से समझ में आ गया ?	వీ డి యో లో ఇ దంతా తెలి సి ందా ?
अगर तुमहें खेल ना पसंद ही नहीं ,	నీ కి ది చేయ ాలని లే కపోతే , జ టటు లో ఎందుకు చే రా వు ?
सं यु कत राज य सुरकष ा वि भाग	అ మె రి కా ర కష ణ శా ఖ
अचछा है .	అది బాగుంది .
उसने 3 0 प ौ ंड से जयादा का	అతను వా ట ఉ పా ధయ కష ు లు మా డ లి న స టి ల వె లను
तुम ?	నువ వా ?
यह सब खतम हो चुका है .	ఇది ము గి సింది .
हाँ .	అవును .
मर म मत तो जरू री है .	పు న రు దధ రణ ఇంకా మి గి లి ఉంది .
हाँ .	అవును .
अभी तक तो नहीं .	ఇంకా లేదు .
हाँ .	అవును .
ए नी ?	ఆ నీ కా ?
हाँ .	అవును .
हु जू र ए आ ला .	మ హా రా ణి .
यह बहुत अचछा सवाल है .	అది మంచి పర శ న .
जब फोन आया , तो मैं है रा न रह गई .	నాకు ఆ పి లు పు రా వడం చాలా ఆ శ చ ర యానని కలి గి ంచింది .
बस पाँच बार उनकी आत म क था पढ ी है ?	నేను అతని జీవి త చ రి తర చ ది వి ంది కేవలం ఐ దు సా ర లా ?
सु पर आत ंक वा दी की त स करी के लिए	వా రికి సూ ప ఉ గర వా ది అ కర మ ర వా ణ ా కు డబబు లి చచా రు .
- अ तया चार करना चाहता है ?	- అదే సీ ఐ ఏ కదా ? - మనం బు చ ర ను పి ల వాలి .
कं पा उ ंड वी के लिए , हमें एक पर म गु पत ,	యా ం కీ వె ట లో అత య ంత ర హ సయ మెన కా ం ప ౌ ండ వీ పేరు తెలుసు కో వాలి .
मैं यह तुमहारे लिए कर ूँगा ,	నేను అది , మీ కోసం ,
अभी - अभी कान टर ै कट पर द सत खत किए हैं ,	ఈ మ ధ యే ఒ పప ంద ం పె స ంత కం చేశా , పని లోకి చే రే ందుకు వచచా ను .
अचछा , तो , वह 5 ' 1 0 " , 7 5 कि लो का था ,	అలాగే , దా దా పు ఎ తతు 5 ' 1 0 " , 7 5 కే జీ ల బ రు వు , న లల జు టటు ,
" स मा ना न तर कष ति को रो क ने की	" అని వా రయ న ష టా నని త గ గి ంచే ఉ తత మ పర య తన మా ? "
- हैलो , डे वि ड .	- హాయ , డే వి డ . - డే వి డ .
कि ती र ंदा जी बे कार नहीं है ,	వి లు వి దయ అ సం బ దధ ం కాదు , అది క ాలా తీ త మెన ది .
पु रा ना कि शो र सि ता रा ,	మా జీ యు వ తా ర ,
पर य दि आप स की बात करें तो ? 3 4 परति श त .	కానీ గో ప య ంగా నా ? 3 4 శా తం .
तुमने टी वी पर सुना नहीं ?	టీ వీ లో విన లేదా ? మనం ఇపపుడు పర సిదధ ు ల ం .
नहीं . सट ै न ,	లేదు , లేదు . సటా న ,
बिलकुल पसंद नहीं .	అస స లు లేదు .
टी न च ॉ य स अ वार ड स पर	హే , నీ ది ఒక మంచి ఫో టో చూశా ను
अगर तुमहें आत म सम मान को लेकर	నీకు ఆ తమ గ ౌ ర వ సమసయ లు లే కపోతే , ఎందుకు ని త యం
और जैसे ही उसने ऐसा कुछ कहा	ఆమె చెపప కూడ ని ది ఏదో చెపప బో తునన కష ణ ంలో . . .
- उसने फोन कयों नहीं किया ?	- అతను ఫోన ఎందుకు చేయ లేదు ? - ఎవ రిక కావాలి ?
तुमहें उसकी फि ल म में कोई सी न नहीं मिला .	నీ దగగర బ ూ మ బా కస ఏమీ లేదు .
अपना कर य - वि कर य खुद म ं जू र कर ूँगा ,	నా కర య వి కర య ాల ఆ మో ద ం , నా అ ం శ ాలు వ రా సుకో వ టం చేసతాను .
- बु चर तो हम से भी जयादा .	- బు చ ర మ రీ ఎకకువ . - బు చ ర సంగ తి వదిలే య .
हाँ , के पस फ ॉर करा इस ट बा इ बल शि वि र में .	అవును , క రీ సతు బె బు ల క యా ంపు కొ ర కు భు జ వ స తర ాలు . పూరతి గా అదే .
अपने हाथ नीचे ही रख ो .	ఆ చే తులు కింద కు నీ ప కక కు పెటటు కో .
" तुम उनहें ढूँढ ना , हो म लै ंड र ,	" వాళళ ను పటటు కో ండి , హో ం లా ండ ర , వాళళ ను ఆ ప ండి . "
और भ ले ही हम तुमहारे भी तर देख पा ए	మాకు మీ మన సు తెలి సి నా
ठीक है .	సరే , అలాగే .
सत या ना श हो .	అబబా ఛ .
शायद मुझे अब आगे बढ ना चाहिए .	నేను ము ందుకు కొ న సా గ ాల సిన సమయం వచచి ంద ను కుంటా .
- तुम यहाँ बु चर के ब ग ैर आए ?	- నువ వి కకడికి బు చ ర లే కుండా వచచా వా ? - అవును .
उसके साथ , कया नाम है उसका ,	టీ న చా యి స అ వార డు లలో అతని తో , అతని పే రే ంటి ,
और तुम , डी प ?	నీ సంగ తి ఏంటి , డీ ప ?
हैलो , मेरी ना नी तुमहारी बहुत बडी	హాయ , మా నా నమమ మీకు పెదద అభి మా ని . నా పేరు సటా ర మ ఫర ంట .
धत तेरी .	అబబా .
धत तेरी .	అబబా .
धत तेरी .	అబబా .
मु ँ ह बंद रख ो , बेवकूफ और त ,	ఓ య . నీ చెతత వా గు డు క టటి పెటటు , పిచచి దా నా ,
और मेरी माँ भी .	ఇంకా మా అమమ అదే అనే వారు .
हाँ . स िए ट ल से हो ना ?	సరే . నువవు సి యా టె ల నుంచి వచచా వా ?
धत तेरी .	అబబా .
तुमहारा फै ला या रा य ता	పరయత నం లో పిచచి వాళళ లా పరి గె టట ా ము .
मैं हूँ .	నేనే .
और बाकी के मरी न के साथ ,	మి గి లి న నా వి కా ద ళ ంతో కలి సు ండ బో తునన టటు .
वह मेरा कं धा है , उनहोंने . . .	అది నా భు జ ం , వాళళు
माफ ी माँ ग ने की जरूरत नहीं है .	కష మా ప ణ అవసరం లేదు .
सु पर बद मा श के खत रे से आपको बचा रहे हैं .	మి మ లని సూ పర వి ల న భ యం నుండి సు ర కషి తంగా ఉ ంచే ందుకు స హాయ పడు తుననారు .
जब तुम मुझसे सच छु पा ते हो ,	నువవు నాకు నిజం చెపప డం లే దని తెలుసు , హ యూ య ీ ,
कष े तर में बाकी फ ौ जी सं वि दा कार ों पर	ఆ జ ఞ ల పర ం పర ఈ రం గ ంలో ని
उसके बाद , आप टे क - 9 से	అపపుడు పర శ ని ంచుకో వడం మొద లు పెటటా ను ,
काम पर लग ते हैं .	మనం తిరిగి పని లోకి వెళ దాం .
तो , हाँ .	అయితే , అవును .
वे मेरे हाथ - पै र का ट दे ते हैं और वे दोबारा	వాళళు నా అ వయ వ ాలు న రికి వాటి ని తిరిగి మొ లి పి సతారు , నేను తీసుకు రాల ే ను
आप चाहते हैं कि ची न को इसका पता चले ?	చె నా తెలుసు కో వాల ంటా వా ?
इं सा नों की त स करी नहीं ?	మా నవ ర వా ణ ా కాదు కదా ? దేవుడా , ఫ రె ంచ ీ .
- तुम आ खि री बार कब सो ए थे ?	- నువవు ని దర పోయి ఎంత కాల మెంది ? - తల కింద కు .
- उनहोंने मुझे नहीं बताया .	- వాళళు నాకు అది చెపప లేదు . - నువవు అడ గ లేదు .
पर मुझे अ ह सा स हुआ	కానీ నాకు అనిపి ంచింది ఏంట ంటే
मैं . . . मैं कया ?	నా సంగ తి . . . నా సంగ తి ఏ ంటా ?
अगर हो म लै ंड र को पता चल गया कि उसकी	హో ం లా ండ ర కు ఆమె నీ తో మాటలాడు తు ందని తెలి సతే , ఆమె పని అంతే .
ह यू ई , ऐसा लगा कि तुम	హ యూ య ీ , నువవు నీ పర తయ రథ ి గొ ం తు లోకి
उसके बाद , हम कोई पर जाती य , या कोई	ఆ తరువాత మనం ఒక జా తి , లేదా మ హి ళ , లేదా అద ృష టం బాగు ంటే ,
बिलकुल , तुमहें पता है कि व ॉ ट में	ఖచచితంగా , వా ట లో నువవు అంద రికీ ఎంత ముఖ య మో నీకు తెలుసు .
सुनो .	హే .
धत .	అబబా .
धत !	అబబా !
यह सा ली दुनिया नहीं .	పరపంచ ం కాదు .
कया क हें गे , कोई ग ुम नाम खबर मिली है ?	ఏంటి , అ నా మ క సమా చా ర మా ?
बस .	అంతే .
तुमसे अचछा ई सा कोई था ही नहीं .	ఏ సు గా నువవే ఉ తత మ ం .
धत !	అబబా !
मैं ही व ॉ ट हूँ .	నేనే వా ట .
और तुम कभी हमारे दिल ों से	మీరు మా హ ృ దయ ాల నుండి ఎ నన టి కీ కను మ రుగు కారు
कि मैं वह इंसान हो सकता हूँ जिस के बारे में	ఎవరూ అదభు తం అనుకో ని వయకతి
मेरी तरह कोई अपने हाथ में	నా లా గా ఎవరూ తమ చే తి లో మే కు తీ య లే కపో యే వారు .
हाँ , किसी बचचे से यह कहना	అవును , అది పిలల లకు గ ంద రగ ో ళ ం విషయం చెపప డ మే .
और मैं देख ूँगी कि मुझसे कया हो पा ए गा .	నేనే ం చేయ గల నో చూ సతాను .
जिस के बारे में हम अपने शे यर हो लड र ों से	క టటు క థ కాదు , వా సత వ క థ .
- कया चाहते हो , आ रा चला ऊँ या का ट ूँ या . . .	- దీని ని రం ప ంతో కో య ాలా , లేదా న రక ాలా లేదా - నీ కె లా ఇషటం అయితే అలా , టె గర .
हाँ , बा इ बल शि वि र के	బె బు ల క యా ం ప ప టి క కోసం ఏదెనా సరే .
तुमहें 6 7 वी ं म ं जि ल वाली पर यो ग शा ला ओं से	నువవు 6 7 లో ని పర యో గ శ ాల లలో కి వెళళి కా ం ప ౌ ండ వీ న మూ నా ను దొ ంగ లి ంచాలి .
वह तुमहारी वजह से नहीं मरी .	నీ వలల చని పో లేదు .
इन के बरा बर रह कर उ ड ने पर	మాకు వారి తో కలిసి పని చేయడం గర వ ంగా ఉంది .
कया बता ऊँ ?	ఆమె కు ఏం చెపప ాలి ?
तो जब देखो , और त ों को नी चा कयों दिखा ते हो ?	మ హి ళ లను కి ంచ ప రు సతుననా వు ?
- पुलिस ने यह देखा है ?	- పోలీసు లు ఇది చూశా రా ? - ఎవరూ చూడ లేదు .
हाँ , मे व . हमारे नए अ भ िया न	అవును , మే వ . మన కొతత పర చా రం , అ మె రి కా ర కష ణ తో .
मैंने उसे हर रो ज झ े ला है .	నే న లాంటి సథి తి ని పరతి ఒకక రో జ ూ అను భ వి ంచా ను .
कि तुमहें इस बात की गलत फ हम ी है	నువవు మమ మ లని ఒక సూ పర హ ీ రో సం సథ గా తపపు గా భా వి సతుననా వు .
किसी पर जाती य म हिला को द डी प की जगह	ఒక జా తి మ హి ళ ను డీ ప సథా నం లోకి కను గొ న గల ం , ఇక అంతా బాగు ంటుంది .
- हे भगवान , तुमहें फोन नहीं करना चाहिए .	- దేవుడా , నువవు ఫోన చేయ కూడదు . - వాడి పడ ే సే ఫోన వాడు తుననాను , ఫర వాలేదు .
सं दि ग ध का ति ल अब भी फ रा र	పరా రీ లో ఉనన అను మా ని త హ ంత కు డు బి ల లీ బు చ ర ?
मै ड लि न सट ि ल वे ल को मार डा ला .	3 0 ప ౌ ండ ల కంటే ఎకకువ సీ 4 ను ఉ ప యో గి ంచి హ త మార చా డు .
उस कमी ने की त स करी के लिए , उनहें	ఈ వెధవ ర వా ణ ా కు గుర తి ంపు లేని ఖ ా తా నుండి డబబు జ మ చేశారు .
व ॉ ट की ओर से इस पत झ ड में	ఈ శి శి రం లో వా ట అ ంది సతుంది , సి టి జ న సటా ర లెట .
. . . उसका परिवार , दोसत , पर श ं सक ,	. . . తన మి తరు లు , అభి మా ను లు ఇంకా వా ట స హ చ రు ల మధయ జ రి గా యి .
चार - सौ .	4 00 .
इन होंने वा दा किया था	వాళళు కేవలం తు పా కులు , కొ కె యి న , ఇంకా
हाथ उठा एँगे ?	చే తులు ఎ తతి చూ పు తా రా ?
कॉ फी पि ला ऊँ ?	నీకు కా ఫీ తీసుకు రా నా ?
वाह .	మంచిది .
जि से तुम जै सी इं सा नी औ ला द ने	అందు లో నువవు అడ వి లోకి వదిలే సిన ఒక పెదద పి లలా డి వి .
र च ना त म क पर य वे कष क	కరి యే టి వ సూ పర వె జర రా జే శ వల వల
अगर वे हमें फ ौ ज में शा मिल कर लें ,	వాళళు మన లని మి ల ట రీ లో చే రచు కు ంటే , ఇలా ఎ నన టి కీ జ రి గే ది కాదు .
हमें उनहें वापस ला ना होगा .	మనం వారి కోసం తిరిగి వెళళ ాలి . ఇది ఎ పపటి కీ ఆ గ దు .
" मेरे बे टे , मै व रिक से कहना	" నా కొ డు కు మా వరి కకు నాకు తన ంటే పరే మని చెపపు . "
जैसे तो हो म लै ंड र और मे व	హో ం లా ండ ర , మే వ సిదధ ంగా ఉనన ఏదో భ ో జ నం తి ని ,
जिन पर वह कं पा उ ंड वी की	పర ీ కషి ంచే ందుకు మా నవ శ రీ ర ాలు సర ఫ రా చేశారు ,
हाँ , चाहते हो .	అవును . నీకు కల వాలని ఉంది .
इसलिए , मै व रिक , मैं तुमसे कह ता हूँ ,	అందుకే , మా వ రిక ఇంకా
इससे पहले	గ తం లో
अचछा ?	నిజంగా నా ?
हे भगवान !	అబబా !
हैलो .	సరే , హలో .
माफ करना ?	ఏంటి ?
तो , अ चा न क से यह सब होता है	అయితే , మ రో సం ఘ టన జరిగి తే , మన ంద రం నా శ నం అవు తా ము .
सच में , तुम न होते तो	నిజంగా , నువవు లే కుండా మేము ఏమ యి పో తా మో .
अचछा , आ राम से , दो स तो .	సరే , ఏం ఫర వాలేదు , పిలల లు . ఏం ఫర వాలేదు .
और व ॉ ट को ज ला कर रा ख कर देंगे .	వా ట ను పే ల చే దదాం .
मि साल के त ौर पर ,	ఆ అమమాయి ని నియ మి ంచడం లాంటి వి .
तो हम पर ला ग ू कयों हो ?	అది మన కె ందుకు వర తి ం ప చేయ ాలో తెలియ డం లేదు .
आज , हम द से वे न के एक स दस य का	ఈ రోజు కు , సం తా పం ప లు కు దాం మన మ రణ ి ంచిన సె వెన స భ యు డు ,
कि शायद व ॉ ट ने ही	వా ట చం పి ంచి ఉ ంటు ందని అ ంటుననా మా ?
वही सी आई ए , जो हम पर	మన వ ృష ణ ాల కు ఏ వో వె ర లను పెటట ాలను కునన
अचछा , तो मुझे ठीक से	సరే , అయితే , నాకు ఇ త ని వి వర ాలు ఇవవ ండి .
इ बी जा के क लब मे ड में .	ఇ బి జ ాలో ని కల బ మె డ లో . అది అదభు తంగా ఉంది .
ए म . ए म ,	ఎ ం . ఎ ం . వి ను ,
हो म लै ंड र ने मेरी प तनी ,	హో ం ల యా ండ ర నా భా రయ బె క కా ను మా న భ ంగ ం చేశా డు .
" डे वि ल स ब रे थ " क डी में , यह फ ौ जी ,	డె వి లస బ రె త ఎ పి సో డ నుండి హో టల కల రక నం బర ట ూ గా గుర తి సతా రే మో .
अपनी प तनी और बचचे के पास	నేను నా భా ర యా పిలల ల దగగర కు వెళళ ాలను కుంటుననా ను .
मैं सिरफ पर यो ग के काम आता हूँ .	పర యో గ శ ాల ఎ లు కను .
तुमहें निका ला जा सकता है ,	నువవు ఉ పే కషి ంచ బడ వు , అంటే , నువవు నాకు జ వా బు దా రీ .
मैं कह ता रह ता हूँ	" సూ పర వి ల న " మంచి పద ం అనే అంటా ను .
सप लै श जो न	స ల పా ష జో న సా ండ స కీ
दरअसल , बा जू , पलीज .	నిజ ానికి , దయచేసి చే తులు న రు కు తాను .
मैं बस , दोबारा इस झ मे ले में	ననను తిరిగి ఈ ర ొ ం పి లోకి లా గ కూడ ద ను కుంటుననా ను , సరేనా ?
आप बता इए .	నాకు తెలియ చేయ ండి .
और कहीं कुछ कमी थी ,	ఏదో ము కక లేదు , నా క ది పి చ చె కకి సతుంది ,
अगर मैं ऐसा कर ूँ तो कया होगा ?	ఏం జరుగు తుంది ఒక వే ళ , నాకు తెలియదు , నేను కను క ఇలా చే సతే ?
तुम यहीं रह सकते हो ,	నువవు ఇకకడ ే ఫ రె ంచ ీ వీ ధి మి తరు లతో ఉ ండు .
तुमहारी बेटी ने शायद	నీ కూ తు రు సా కర పరా రం భి ంచింది అనుకుంటా .
एक ह जार जयादा दो गे तो	మ రో వె య యి డ ాల ర లకు మర మా ంగా నని న ర కని సతాను .
हमारे आ धे ही रो को भी यह नहीं पता	మన హ ీ రో లలో స గం మంది కి వారి న ర న రాల లో కా ం ప ౌ ండ వీ ఉ ందని తెలియదు .
ट रा ंस लू स ें ट	ట రా నస లూ సె ంట 1 9 8 0 - 2 0 2 0
मैं व ॉ ट टा वर में ही काम करता हूँ ,	నీకు తెలుసా , నేను వా ట ట వర లో 6 7 వ అంత సతు లో పర యో గ శ ాల లో పని చేసతాను .
मतलब , यह नाम ुम किन है .	అది అ సా ధ యం .
- बर नर फोन इस ते माल किए थे .	- మేము వాడి పడ ే సే ఫోన లు వా డా ము . - నీ క రథ ం కా వడం లేదు .
सुनो , अगर हमने	మనం సీ ఐ ఏ మ హి ళ కు సాయం చే సతే ,
सं वाद अनु वाद क पर वी न कौ र शो म	అను వాద కర త సమ త
न यू य ॉर क के इ करा र ना मे के लिए ,	అది మన న యూ యా రక ఒ పప ందా నికి పరా మా ణి క భా ష . ఎ ల ఏ , షి కా గో . . .
अब , मुझे लगता है कि तुमहें	ఇపపుడు , నువవు టె క నె ట లి వ స పర ీ మి య ర కు వెళళ ాలను కుంటా ?
ट रा ंस लू स ें ट का कर िया कर म	ట రా నస లూ సె ంట అంత య కరి య లు హో ం లా ండ ర , సటా ర లెట హా జ రు
हमें डर ने की कोई जरूरत नहीं .	మనకు ఫర వాలేదు .
ट रा ंस लू स ें ट वाला फर ै ं चा इ ज	ట రా నస లూ సె ంట ఫ రా ంచ ె జ , ముఖ య ంగా ఇ న వి జి బు ల ఫో రస 2 . . .
रु क जाओ .	ఆగు .
जब करो गर में	క రో గర లో బ ంద ీ గా ఉనన పపుడు .
अरे , नहीं .	అబబా .
अचछा , शुरू से .	సరే , తిరిగి మొదటి సథా నం లోకి .
वाह .	బాగుంది .
वाह .	బాగుంది .
मतलब ?	అంటే ఏంటి ?
माफ कीजिए ?	ఏంటి ?
उनहोंने म यू नि ख से	అతని మ యూ ని చ నుండి డా క ట రే ట పొ ందా రు .
तुमसे सला ह ले ने की	నేను నినను సం పర ది ంచ ాల సిన అవసరం లేదు .
तुमहारे पो सटर हर जगह देख ता हूँ .	నీ పో సట రలు అంత టా చూశా ను . వాళళు నీ నుండి వయా పా రం చేసు కుంటుననా రు .
डि प टी डा य रे क टर , मुझे पता है	డి ప యూ టీ డె రె క టర , అడి గే ందుకు ఇది స రెన సమయం కా దని తెలుసు ,
हर साल सु पर ही रो के चल ते	పరతి ఏ డు సూ ప స వ ంద ల మంది ని అని వా రయ ంగా న షట పో తుంది .
आप ओ वल ऑ फि स में घु स कर	ఓ వల కార య ాల యా నికి వెళళి , అదే శ ాలను రు దదు తా రా ?
पर इसका यह मतलब नहीं	కానీ దాని అరథం ఇక పె బ లు లు కొ న సా గ వని కాదు .
जब जब र द सत कान हों तो	మనకు సూ పర చె వు లు ంటే సూ పర క ళళు అవసరం లేదు .
द से वे न का वह स दस य	ద సె వెన లో భి నన సా మ రథ యం కలి గి న స భ యు డు .
ढ ंग के पास पो रट	మంచి పా స పో ర టు లు చ వ క గా రా వు గా ?
कि ' 3 9 में , हि ट ल र ने उनहें	1 9 3 9 లో హి టల ర డా కా వ లో తన ముఖ య వె ద యు డి గా నియ మి ంచు కుననా రు ,
आ खि री बार बता रहा हूँ ,	చి వరి సారి గా చెబు తుననాను , మనకు బు చ ర అవసరం లేదు .
पर बाद में पता चल ता है	చి వర కు అదభు త మెన వాడు అవు తా డు , నేను అలా ఉండ వచచు .
कयों नहीं ?	ఎందుకు సం పర ది ంచ కూడదు ?
कुछ देर से तो नहीं , पर , हाँ ,	కొ ంత కాల ంగా తెలియదు , కానీ , కే ప స ఫర క రె సట లో ఉనన పపుడు తెలుసు .
मुझे लगता है . . .	అది . . .
श ौ चा ल य के लिए माफ करना ,	బా తర ూ ం విషయం లో మన ని ంచాలి . నేను అది శు భ రం చేసతాను .
बिलकुल , वे बस चाहते थे	కేవలం , వాళళు నేను మిమమలని కల వాలని అను కుననా ర ంత ే .
आपने कह दिया ,	అద ంతా నేను మీ ను ండ ే పొ ందా ను .
तुमहें ऐसा कयों लगा कि मैं	ఒక వి క లా ం గు డిని ద సె వెన లోకి అను మ తి సతా నని ఎలా అను కుననా వు ?
पर इसका यह मतलब नहीं कि उस डर का	కానీ దా న రథ ం వా ట మన లని నియ ంత రి ంచే ందుకు ఆ భ యానని ఉ ప యో గి ంచుకో వచచ ని కాదు .
इस साल के अ ंत में	నా ఒ పప ంద ం , ఈ ఏ డా ది చి వర లో ము గు సతుంది .
- यह कौन है ?	- అ మె ఎవరు ? - సూ ప ఉ గర వా ది .
- हमें उसकी जरूरत नहीं .	- మనకు అతని అవసరం లేదు . - ఏ - టీ ం కు హా ని బ ల ఉండే వాడు .
यह तो बडी म जे दार बात है .	ప వి తర మెన ది .
मैं बस थोडा समय लेकर , इसे ठीक से	మనం కా సత సమయం తీసుకో వాలని అను కుననాను , అంటే , ఇది సరి గా చేయ డానికి . అంతే .
व ॉ ट ने उसका फोन	వా ట ఆమె ఫో నను బాగా ట యా ప చే సతుంది ,
चल रहा है .	మనం అకకడ గ డ ప బో తుననా ము .
हर फोन , ई मे ल , सम ू ह चर चा ,	పరతి కాల , ఈ మె యి ల , గర ూ ప చా ట , ఒక వే ళ ఒక బ ల బు వె ల గ క పోయి నా
ताकि तुम और तुमहारे दोसत	కా ం ప ౌ ండ వీ ను పరపంచ వయా ప తంగా ఉనన ఉ గర వా దు లకు అ ంది ంచారు ,
और झूठ नहीं बो लो गी .	ఇక అబ దద ాలు చ ాలు . నువవు నాకు పరమా ణం చేశా వు .
भगवान के लिए , ऐ श ली ,	దయచేసి , ఆ ష లీ , అతని వెపు చూడ కు , నా వెపు చూడు .
यही कि भगवान की नजर	పరతి కష ణం దేవు డు మన లని గ మని సతూ ఉంటా డు అని .
तुम मुझे वह हर बात बताओ गी	నువవు 9 9 వ అంత సతు లో ఏం జరుగు తు ందో అంతా నాకు తెలియ చేసతా వు ,
हाँ .	ఫర వాలేదు .
सि टि जन स टा र ला इट में	చ టట అమ లు దారు లకు ఒక అత య ంత శ కతి వ ంత మెన మార పు ను
- मुझे इससे न फ रत है .	- నా క ది న చచ లేదు . - అది చాలా శ కతి వ ంత మెన సప ంద న ,
- कयों ? कया हुआ ?	- ఎందుకు ? ఏం జరిగింది ? - ఏం జరగ లేదు .
कया लगता है , यह सुन कर ,	మీ ష ే ర హో ల డ రలు దాని గురించి ఏ మను కుంటా రని భా వి సతారు ?
हम साथ हैं .	మనం ఇది కలిసి చేసతుననా ము .
पर शायद पूरी कं प नी को	కానీ బహుశా సం సథ మొ త తా నని నా శ నం చేసే మూ ల య ంతో నే మో .
कि ए फ डी ए को अब	ఇపపుడు తెలియ డం నేను అభి న ంది ంచ ను .
यह देख कर अचछा लगा	నువవు స ౌ కర య ంగా ఉండ టం చూ సి ఆన ంద ంగా ఉంది .
जा ँच चु के थे .	అ చ రణ ీ య అ నువ ర త నాలు పర ీ కషి ంచారు .
वह एक अ भ ि ने ता है	అతను నాకు ని త యం అబ దధ ాలు చెపప ని న టు డు .
जो खा ली वकत में ,	ఒక పర పీ డ న మరియు స వ పీ డ న ర తి వయ భి చా రి గా
मै ड लि न भी ऐसी हर कत करने की	మా డ లి న కూడా ఇలా ంటి చెతత ను లా గే పరయత నం చేసే సా హ సం చేసే ద ను కో ను .
कला र कस न ए वे न यू	క లా ర కస న అ వెన యూ హె తి యన కి ంగ స ఫ రె వర
वहाँ तक पहुँच नहीं पा एँगे .	వ ృ థా పర యా స .
सन ' 4 4 की शु रु आत में ,	1 9 4 4 పరా రం భ ంలో , అ యన కు పరిసథి తులు మార వచచ ని పి ంచింది .
देखो , फर ें ची ,	ఫ రె ంచ ీ , నీ సాయం కావాలి , మి తర మా .
शायद हम सब , एक साथ ,	బహుశా మనం ఉ ండి పో వచచు , మన మ ంద రం , మీ అమమ ఒ ళళ ో .
तुमने दुनिया भर के	మీరు , మీ స హ చ రు లు జా తీ య ర కష ణ లో భా గం కా వడానికి
हम बं दो बस त कर सकते हैं .	మనం కొంచెం దొ రక బ టట వచచు . ఎవరో ఒక రు అ ందుకు సహా యం చేసతా రు .
मैं पूरी कोशिश कर ूँगी	మి స స టి ల వె ల కార య ాలను నేను చేయ గ లి గి న ంత బాగా చేసతాను .
यह सच नहीं है .	ఇది నిజం కాదు . నాకు ఇదే మీ తెలియదు .
काफी भा री - भर कम है .	అవి చాలా పద ాలు . మనకు ఆ క టటు కునే ఊ త పద ం కావాలి .
जू स लो गे ?	నువవు ఫ రె స కా తా గు తా వా ?
तुमहें सा व धा न रहना होगा ,	నువవు చాలా జా గర తత గా ఉండాలి , నీకు హా ని కల గ డం నాకు ఇషటం లేదు .
उसके बाद उसे गिर फ तार करके ,	అతని ని అ రె సట చేసి సా ండ స కీ పర భు త వ కా రా వా స కే ంద రా నికి తీసు కె ళళ ా రు ,
जहाँ कुछ देर बाद ,	కొ ద ది సే ప టి కే అతని ని బె యి ల పె వి డు దల చేశారు .
इसे देख कर मन करता है कि	అది ననను తలు పు మూ సి మ ంచ ం కింద దా కకు నే లా చే సతుంది , తెలుసా ?
वह स ड क पर नहीं थी ,	ఆమె వి ధి లో లేదు , క ాలి బా ట కు అడుగు దూ రం లో ఉంది .
जि से बे रह मी से	మ హా ఉ గర వా ది ము ఠ ా , ఎ ల డి యా బ లో చే తి లో
और इस म हा न देश के सभी बे ट ों और	ఈ గొపప దేశం య ొ కక కు మా రు లు , కు మార తె లకు చెబు తుననాను , నేను వారి ని అడ డు కుంటా ను .
चलो .	రా వెళ దాం .
हाँ .	అరథ మ యి ంది .
हैलो , यार .	హేయ .
मैंने ती र चला ए ,	నా బా ణ ాలు సం ధి ంచా ను , గురి సరి గగా ఉంది .
मेरी त ला श चल रही है और	నేను పరా రీ లో ఉననాను , నువవు మ హా పర ముఖ ు ర ాలి వి , అందుకే . . .
अस पता ल . अनु वाद करो , फर ें ची .	ఆ సు ప త రి . అ నువ ది ంచి చెపపు , ఫ రె ంచ ీ . అతని ని ఆ సు ప త రికి తీసు కె ళళ మని చెపపు .
आपको टा को	మీరు టా కో స తి న డం మంచిది
क सम से .	దేవు డి మీద పరమా ణం .
हाँ , जरूर , वह बात	అవును , తపప కుండా , అది మే య ర కు నే రు గా అందు తుంది .
- तुमने उसे फोन किया ?	- ఆమె కు ఫోన చేశా వా ? - లేదు . నే న ంత మూ ర ఖ ు డిని కా ను సరేనా ?
साथ ही , आपको याद आए गा	ఇంకా , మీరు సె నిక బ ాలు డిని కరి మి న ల మె ండ స , బి యా ండ బా ర డ రస లో
- निक लो यहाँ से !	- మనం ఇ కకడి నుండి వెళళి పో దాం ! - అయ యో ! అయ యో !
तुम चाहते हो कि	సటా ర మ ఫర ంట విషయం లో నినను సం పర ది ంచ ాల ంటా వా ?
तो , तुम लोगों को	అయితే పీ ఆర వాళళు మిమమలని ఒక చో ట చే ర చా రా లేక
- कहाँ गए हैं ?	- ఏం ఎదు ర కుననా రు ? - కలి షట పరిసథి తులు .
