पलीज . पलीज .	పలీజ . పలీజ .
और वहाँ बै कया र ड में मैं हूँ	ఆ తరవాత , నా ఇంటి పేరు పెటట బడి న
वे सच में उसकी बात ों में आ ते जा रहे हैं .	వాళళు అతను చెపపి ంది అంతా వి ంటుననా రు .
मैं बस जाकर तुमहारी स वर गवा सी बहन की इ कल ौ ती बेटी से कह द ूँगी कि तुम बहुत वय सत हो .	చని పోయి న మీ అ కక కి ఉనన ఒక ే ఒకక కూ తు రికి మీరు బాగా బి జీ గా ఉననా రని చెప తాను .
यकीन मान ो , वह कुछ छु पा रहा है . सब छु पा ते हैं .	ననను నమ ము , వాడి లో కూడా లో పం ఉంది . అంద రి లో ఉంటుంది .
- . . . यह कह ने के लिए कि मुझे . . . - हाँ .	- . . . ఏం చెపప ాలని అంటే . . . - అవును .
यह सू ट क माल का है .	ఈ సూ ట అదభు తంగా ఉంది .
हैलो . ग जब .	హాయ . వా వ .
हैलो , ची फ .	హేయ , చ ీ ఫ .
- हाँ . - वे तब नहीं होती थीं .	- అవును . - ఆ బ రా ండ అ పపటి కి లేదు .
हे भगवान . वह बहुत से क सी है .	ఓ రి , దేవుడా . భలే సె క సీ గా ఉంది .
मुझे तुमसे एक ए ह सान माँ ग ना है .	నేను నినను ఒక సహా యం అడ గ ాలి .
और मैं बस कहना चाहता हूँ . . . मुझे माफ कर दो .	అలాగే నేను నినను . . . కష మా ప ణ లు అడ గ ాలి అనుకుంటుననా .
तुमसे भी .	నాకు కూడా .
कया तुम कहीं जाना चाहती हो या शायद , मुझे नहीं . . .	నీకు ఎ కకడి కె నా వెళల ాలని ఉందా , అంటే , నాకు . . .
अरे , मुझे लगता है मुझे म ध य म से ग ं भी र करो ह न रो ग है .	హేయ , నాకు దారు ణ మెన క రో నస వయా ధి సో కి న టటు ఉంది .
मैंने वही किया जो उस ी पल करना चाहिए था जब तुमने मुझसे एक बचचे के बारे में जानकारी निकाल ने को कहा था .	ఆ కు ర రా డి మీద బు ర ద చ లల డానికి ఏమెనా వె త క మని నువవు చెపపి న వెంట నే ఏం చేయ ాల సి ఉ ందో అదే చేశా ను .
अरे ! नहीं !	హె య . ఆగు !
अरे , नहीं .	ఓహ , లేదు .
देखो , हमें थोडा साम ना करने की जरूरत है वर ना तुमहारा सं देश पहुँ चे गा नहीं	చూడ ండి , ఇది అ ంగ ీ కరి ంచడం కష ట ంగా నే ఉండ ొ చచు కానీ ఇలా చేయ కపోతే అను కునన ది జరగ కపో వచచు
- और उससे हमारे कला इं ट का च यन होगा . - तुमने उस और त की जिंदगी बर बाद कर दी .	- కారణ ంగా ఇపపుడు మన కల యి ంట ఎ నను కో బ డు తారు . - నువవు ఒక మ హి ళ జీవి తా నని నా శ నం చేసా వు .
खैर , हर साल मैं कह ता था , " आगे बढ ने का समय आ गया है . "	అంటే , పర తీ ఏ డా ది , " ఈ సారి వెళళి పో వాలి " అని చెపపు కునే వాడిని .
सुनो , कया तुम यहाँ से निकल ने में मेरी मदद कर सकती हो ?	ఇలా చూడు , కొంచెం నాకు ఇ కకడి నుండి బయటకు వెళ లే దా రి చూపి ంచు .
नहीं , मैंने नहीं किया . मुझे माफ कर दी जिए . कया आप ना राज हैं ?	లేదు , నేను పో సట చేయ లేదు . కషమి ంచండి . మీకు కో ప ంగా ఉందా ?
तुमने अब तक उसकी भर पा ई से जयादा काम किया है .	అ పపటి ప ను లకు నువవు ఎపపుడ ో పరా య శ చి తత ం చేసు కుననా వు .
तुम पहले ही जी त गई हो . तुम जी त चु की हो .	నువవు గె లి చేసా వు . నువవు గె లి చేసా వు .
कुछ बना ओ . कुछ मन ग ढ ंत बना ओ . र दद करो .	ఏదో క టి చెపపు . ఏదో క టి చెపపు . వెళళి పో దాం .
- द ख ल देने की अन ुम ति है जिन हें तुम . . . - मैं वह पर भा व दिख ने की कोशिश कर रहा हूँ	- జో క యం చేసుకో వడానికి అను మ తి ఉందా . . . - నేను నీ నిరణ య ాల కారణ ంగా జ నం మీద
अरे . मैं जानता हूँ वह आ सान नहीं था .	హేయ , ఇది సు ల భ మెన పని కా దని నాకు తెలుసు .
एक आत मा जो मुझ में अचछा ई देख सकती थी	ఒక వయకతి నె నా నేను ఎ పపటి కె నా కను గొ న గల నా ?
रुको . तुम मुझे कया बता रहे हो ? वह बच चा ?	ఆగు . నువవు చెపపే ది ఏంటి ? ఆ కు ర రా డా ?
देखा ? कया यह लगता है जैसे वह अपनी सबसे अचछी जिंदगी जी रही है ?	చూ సా వా ? ఇది చూ సతు ంటే గొపప జీవితం బర తు కు తునన వయకతి లా ఆమె కనిపి సతు ందా ?
- भ ूत ों ने सब कुछ एक ही रात में कर दिया . - आप ठीक हैं ?	- ఆ భ ూ త ాలు అద ంతా ఒకక రాతరి లోనే చేసా యి . - మీరు బాగానే ఉననా రా ?
हमारे प वि तर त यो हार से जयादा अपनी सु वि धा की पर वाह है !	అంద రి సంతోష ం కంటే వాడి సవా ర ధా నికి ఎకకువ పరా ముఖ యత ఇ చ చే వాడు .
हैलो . मैं अभी वह देख रहा हूँ .	హేయ . నేను దాని నే చూ సతుననా .
- शुकरिया . ठीक है . - खैर , नहीं .	- థాంక స . సరే . - సరే , పర లేదు .
हे भगवान , तुमने कर दिखा या .	ఓ రి , దేవుడా , నువవు సా ధి ంచా వు .
वह अचछा था . वह अचछी है . उसे बस यह नहीं पता कि मैं कौन हूँ .	అవును . ఆమె మంచి వయకతి . కానీ నేను ఏమి టో ఆమె కు తెలీదు .
मुझे टा इ नी पसंद है . न न हा टि म ?	నాకు టె ని ఇషటం . టీ నస ీ టి మ ?
तुम उनके सारे आ वर ण उ तार दो और अंदर का स वार थी ढूँढ लो	పర తీ ఒకక రూ తమ అంత రం గ ంలో సవా రథ ంతో ని ండి న వా రే అను కునే వాడిని
यह कह ने के लिए कि तुम नौ करी छोड रही हो और तुमहें पर या पत मु आ व जा चाहिए .	నీ ఉద యో గా నని మా నే సతుననా నని చెపప డానికి , అలాగే బో లె డ ంత డబబు కూడా కా వాలని చెపపు .
कया तुमने इस वाली में खुद को फो टो श ॉ प से डा ला है ?	ఈ ఫో టో లోకి నినను నువవు ఫో టో షా ప చూ సు కుననా వా ?
पता है , इससे पहले कि तुम इसके लिए तैयार थे .	కానీ , దానిని ఎదు ర కో వడానికి నువవు సిదధ ంగా ఉననావు .
तो , हमें उस ग ं दे , सम मे ल न वाले बॉ स बं दे पर ही काम करना पडे गा ?	అంటే , ఇపపుడు మనం ఆ క న వెన షన హ ాల లో ఉనన చెతత బా స ని మాతరమే పీ డి ంచ ాలా ?
उस पर केवल इसलिए ठ प पा लगा है कयोंकि वह " इस विश वास के परति क टि बद ध है	" జ నం ఎ పపటి కీ మార రు అనే బ ల మెన అభి పరా యం " కలి గి ఉనన ందుకు మాతరమే
माफ करना , वह हमारा नि शा ना नहीं है .	ననను కషమి ంచాలి , కానీ వీ డు మన వాడు కాదు .
- हैलो , नो रा . - हैलो .	- హాయ , నో రా . - హాయ .
- तुमहें देख कर अचछा लगा , व ें डी . - हाँ , जरूर लगा होगा .	- మిమమలని కల వడం సంతోష ం , వె ండ ీ . - నేను కూడా అదే అనుకుంటుననా .
यहाँ एक भ गो डा है !	అతను పా రి పో తుననా డు !
यहाँ एक भ गो डा है !	అతను పా రి పో తుననా డు !
- हाँ . - जी निय स थी .	- అవును . - భలే ఐ డి యా .
- हैलो , ओ वे न . - हैलो .	- హేయ , ఒ వెన . - హేయ .
बिलकुल ठ ंड नहीं है .	అస స లు చ లల గా లేదు .
देखो , मैं जानता हूँ मैं यह बहुत कम कह ता हूँ और तुमहें वापस कह ने की जरूरत नहीं है . . .	చూడు , నేను ఈ మాట పెదద గా అనన ని నాకు తెలుసు , నువవు దానిని నాకు తిరిగి చెపప ాల సిన పని లేదు కూడా . . .
इस मु ज रि म की फा इ ल मुझे पागल कर रही है .	ఈ వయకతి ఫె ల నాకు పిచచి ఎ కకి సతుంది .
किस के साथ . " किस से " ?	ఎవరో . " ఎవరి తో నో " ?
ठीक है . " किस से . "	అవును . " ఎవరి తో నో . "
देखो , असल में तुम बे च रहे हो वह तरी का जो असल में होना चाहिए	చూడ ండి , మీరు అమమ ాల సింది ఉ త ప తతి ని కాదు , మీ రే స రెన ఉ త ప తతి అనన భా వ నను
अब , अगर हमने इस बं दे को चु ना तो एक से भ ले दो , दो से भ ले चार	మనం ఇపపుడు వీ డిని ఎ ంచు కు ంటే ఒక రు ఇదద ర వు తారు , ఇదద రు నలు గు రు అవు తారు
बहुत बुरा कमी ना है . तुमहें बहुत पसंद आए गा .	పొ టటి గా ఉండే మ హా పా పి . వాడు నీకు బాగా న చచు తా డు .
- म ॉ ड , तुम ए च आर को मै से ज भेज रही हो ? - नहीं .	- మా డ , నువవు హె చ . ఆర కి మె సే జ పె డు తుననా వా ? - లేదు
दोसत ों , उसने हाँ कर दी . चलो काम शुरू करें .	మి తరు లా రా , ఆయన ఒ పపు కుననా డు . ఇక పని పరా రం భి దదాం .
वह . . . तुमने कहा , " अ ती त , व रत मान , भ वि ष य . "	అది . . . నువవు , " గ త , వర త మా నం , భ విష యత తు " అననా వు .
लेकिन हम तीन पर बात पक की करते हैं . ठीक है . पह ला सवाल , कया तुम कभी जि ंदा थे ?	కానీ మనం మూ డు దగగర ఆగు దాం . సరే . మొదటి పర శ న , నువవు మనిషి లా బర తి కా వా ?
हाँ , वह सी धे वा य टी सी 4 0 7 में चला गया था . पकका मुझे ढूँढ रहा होगा . माफ करना .	అవును , వె టి సి - 4 0 7 లోకి దూ కే సా డు . నా కో స మే వె తు కు తు ండ వచచు . కషమి ంచాలి .
मतलब , अगर मैंने ना च ना शुरू किया , तो मैं सब को पीछे छोड द ूँगा . मेरे सामने सब बु रे दिखा ई देंगे .	అంటే , నేను గ నుక డా నస వే య డం పరా రం భి సతే , అంద రి కంటే బాగా వే సే సతాను . నాతో పో ల చి తే అంద రి పర దర శ న ప ాలి పో తుంది .
उसकी बेटी , रे न को अब क लि ंट का छो टा भाई , ओ वे न पा ल रहा है .	ఆమె కూ తు రు , రెన ని కలి ంట తమ ము డు ఒ వెన పె ంచు తుననా డు .
वापस ध र ती पर पहुँच जाओ गे .	తిరిగి భ ూ మి పె కి వెళళి పో తా వు .
जहाँ मह ँ गी कला और डि गर ि यों से भ री दी वार ें हैं होती	గో డ ల పె లకష ల వి లు వెన క ళ ా క ండ ాలు తమ డి గర ీ లతో ని ం ప బడి న గ దు లు
हमें बस . . . हमें जाना होगा . देख ने को बहुत कुछ है .	మేము ఇక . . . మేము ఇక వెళళ ాలి . మీరు చూడ ాల సింది చాలా ఉంది .
तुम मुझसे भाग नहीं सकते जब मैं तुमहें सता रहा हूँ . हैलो ?	నేను నినను పీ డి సతు ండ గా నువవు అలా పా రి పో కూడదు . హలో ?
तुम एक दम क माल के हो . पता है ?	నువవు భలే వాడి వి . తెలుసా ?
- नहीं . - उसने पो सट नहीं किया !	- లేదు . - ఇది పో సట చేయ లేదు !
मेरा कभी कोई भाई नहीं था .	నాకు సోద రు డు అ ంట ూ ఎవరూ లే రు .
हाँ . फिर तो जरूर . अगर ग ंदा महसूस कर रहे हो तो तुमहें न हा ना चाहिए .	సరే . వెళళ ండి . మీకు ము రికి గా అనిపి సతే తపప కు ండ స నా నం చేయాలి .
लेकिन मैंने चि क न के सारे ट ु क डे निकाल दि ए , तो यह बढिया होना चाहिए .	కానీ ఇ ందు లో నుండి చి కె న అంతా తీ సే సా , కాబటటి నువవు తి న ొ చచు .
- जरूर . - वैसे यह मेरा काम नहीं है ,	- సరే . - ఇది నేను స హ జ ంగా చేసే పని కాదు ,
ओह , क लि ं टी , तुमहें वह बहुत पसंद आए गा .	ఓహ , కలి ంటి , దానిని చూ సే వర కు ఆగు .
तो हम उसे ढूँढ कयों नहीं रहे हैं ?	అయితే ఆ కు కక కోసం ఎందుకు వె త క డం లేదు ?
अरे , ग जब . तुमहारे जू ते बहुत अचछे लगे .	ఓ రి , దేవుడా , నీ బ ూ టలు భలే ఉననాయి .
- भा ड में जाओ , व ें डी . - ठीक है , तुम भी .	- మూ సుకో , వె ండ ీ . - సరే , నువవు కూడా .
ये बस आने वाली चीज ों की पर छा इ या ँ हैं .	నువవు జరగ బో యే వాటి ని చూ పు తుననావు .
हम में वह करि समस की सु बह वाली भा वना भ री हुई है	మ ాలో ఆ కరి సమ స రోజు సంతోష ం ని ండి పోయి ఉననా ం
हाँ . तुमहारे लिए करि समस पर कोई मस ती नहीं .	అవును . నీకు ఆ అంద గా డి దగగర కు వెళ లే భా గ యం లేదు .
- ठीक है . - तुमहें भ ू ख लगी है ? तुमहें जू स चाहिए ?	- సరే . - నీకు ఆ కలి గా ఉందా ? జ ూ స బా కస కా వ ాలా ?
हाँ , तुमहें मिल गया . चलो चल कर देख ें . चलो .	సూ పర , నువవు సా ధి ంచా వు . ఏంట ో చూ దదాం ప దా . న డు వు .
और हमारे च यन ही हमें हम बना ते हैं , है ना ?	మనం తీసుకు నే నిరణ య ాల ే మనం ఏంట ని చూ పు తా యి , కదా ?
मैं वा कई नहीं हूँ . तुम जानती हो , मैं बेहद वय सत रह ता हूँ	నేను అలా ంట ో డిని కాదు . అంటే , నేను చాలా బి జీ గా ఉంటా
- माफ करना . वह बहुत जयादा हो गया . - तुम ना ट क कर रहे हो . बहुत अचछे .	- కషమి ంచాలి . ఇది మ రీ దారు ణం . - నువవు న టి సతుననా వు . గొపప పని .
कयोंकि यह एक म यू जि कल है .	ఇది ఒక మ యూ జి కల కదా , అ ందుకు .
सही कहा .	అది నిజం .
और दो पह र खतम होते - होते मेरे घर पर एक नया , च म की ला पे ड पहुँच गया .	మ ధ యా హ నా నికి నా ఇంటికి ఒక కొతత కరి సమ స చె టటు వచచి పడు తుంది .
उसने कहा रि टा यर .	అతను రి టె ర అననా డు .
ग जब , हमारा काम काफी एक जैसा है , है ना ? लोगों के बारे में जानकारी ढूँढ ना .	అబబా , మన ఉద యో గ ాలు ఒక ే లాంటి వి , కదా ? ఇ తరు ల ల ొ సు గు లను వె లి కి తీ య డం .
एक सी मा है जि से ला ँ घ नहीं सकते और शायद वह यही है	దే ని కె నా ఒక హ దదు ఉంటుంది నా కె తే ఇదే ఆ హ దదు అనిపి సతుంది
- बडी जलदी हो गया . - बो लो . इसे बताओ तुम कया महसूस करती हो .	- చాలా తవర గా వచ చేసా వు . - కా నివ వు . నువవు ఏ మని అనుకుంటుననా వో చెపపు .
एक बार ज ॉ श अपने सा ला ना अचछे काम की डी ंग ें मार ना खतम कर ले , रे नी ,	ఒక సారి జా ష తన మంచి ప ను ల గురించి డబ బా కొ టటు కో వడం పూరతి చేసిన తరవాత , రె ననీ ,
माफ करना ?	ఏమ ననా రు ?
कया तुम लोग . . .	మీకు కూడా ఇది . . .
मैं . . .	నేను . . .
- समझ गया . - बढिया . ठीक है फिर . चि यर स .	- అలాగే . - మంచిది . ఇక ఉంటా . సె ల వు .
- मैं . . . - ठीक है .	- నేను . . . - సరే .
रुको . एक अ वा सत वि क पि ल ले के बारे में झूठ ?	ఆగు . లేని ఒక కు కక పిలల గురించి అబ దధ ం చెపప డ మా ?
मैंने घ ो टा ले की तरफ इ शा रा किया जि से जन ता और मी ड िया ने सन स नी खे ज बना दिया .	అ ప కీ ర తి ప ాలు చే దదాం అననా , కానీ అది పటటు కొ ని ప బ లి క ఇంకా మీ డి యా స ొ ంత క థ లు రా సే శా రు .
मैं . . .	నేను . . .
हैलो . मैं ए च आर से मार गो बोल रही हूँ .	హాయ . నేను హె చ . ఆర నుండి మా రగ ో ని .
एक बार ज ॉ श अपने सा ला ना अचछे काम की डी ंग ें मार ना खतम कर ले , रे नी ,	ఒక సారి జా ష తన మంచి ప ను ల గురించి డబ బా కొ టటు కో వడం పూరతి చేసిన తరవాత , రె ననీ ,
माफ करना ?	ఏమ ననా రు ?
नहीं , यह चार ल स डि क ें स है . यह एक मजाक है .	కాదు , ఇది చా ర లె స డి కె నస పా ట . సర దా గా ఉ ంటు ందని .
माफ करना ?	ఏమ ననా వు ?
बु री खबर है , कै री .	చె డ డ వార త , క యా రీ .
कि म बर ली ?	కి మ బె ర లి ?
कया यह खतम हो गया ?	అంతా అయి పోయి ందా ?
वह अब भी कभी - कभी बाहर आ जाता है .	అ పపుడ పపుడ ూ పా త స వ భా వం బయటకు వ సతుంది .
तुमहें पयार करने का मौ का लग भ ग मिल गया था फिर तुम , पता है , मर गए	పరే మి ంచే అవకా శం నీకు ద కకి ంది ఇంత లో నువవు చని పోయా వు అని నీకు గుర తొ చచి ంది
- खा ने के अपने वि शा ल ढ े र पर . - नहीं . क लि ंट , क लि ं टी . रुको .	- చేయ బడి న నీ పెదద టా యి లెట మీద కూ రచ ో . - లేదు . కలి ంట , కలి ంటి . ఆగు .
और ध र ती पर वापस लौट कर अपने बाकी दिन एक इंसान की तरह बि ता ने का मौ का है .	మి గి లి న నా జీవితం మళళీ భ ూ మి పె మనిషి గా బర త క డానికి అవకా శా నని ఇ చచి ననను పం పి సతారు .
ठीक है . तुम इसमें बहुत अचछे हो .	సరే . ఈ పని నువవు చాలా బాగా చేయ గల వు .
सर , आप हैं घट िया चि ड चि डे बेवकूफ	సర , మీరు ఒక చే త కా ని ప నికి మ ాలి న వెధవ
देखो , तुम क हो गे यह मेरा सप ना है	చూడు , ఇది నా కల అని నువవు అ ంటుననా వు
मैं बस सवा लों की शु रु आत कर रहा . . .	నేను ఇ పపుడే కదా ఈ అన వే ష ణ లో . . .
सब कुछ पीछे छोड कर यहाँ आ जाओ गे ?	ఇకకడికి వచ చేయ ాలని నిరణ యి ంచు కుననా వా ?
- और वह सा री खुश ियाँ जो हमने खो दी ं - हम वापस ला रहे हैं	- పో గొ టటు కునన సంతోష ా నని తీసు కొ సతుననా ం - మనం దానని తీసు కొ సతుననా ం
तुम कुछ ऐसी चीजें क होगी और करो गी जिन पर तुमहें गर व नहीं होगा .	నీకు న చచ ని మాట లు మాటలా డి , న చచ ని ప ను లు చేయ ాల సి ఉంటుంది .
मुझे पता नहीं तुम लोग इतना है रा न कयों हो रहे हो . मैंने ऐ मे ज ॉन पर एक ब टन द बा या	మీరు ఎందుకు ఇలా ఆ శ చ ర యం వయ క తం చేసతుననా రో అరథం కా వడం లేదు . నేను అ మె జా న లో ఒక బ టన న ొ కకి తే ,
इसके बा व जू द कि ट री हा उस एक सप ष ट उल लं घ न है . . .	ఆ చె టటు మీద ఇ లలు క టట డం చాలా పెదద అ తి కర మ మే అయి నా . . .
" आने - वाला " पूरा हो गया है .	ఎ ట - టు - క మ పని పూర త యి ంది .
और तुमहारी भा ं जी आई है .	అలాగే మీ మే న కో డ లు వచచింది .
रो बर टो सी . फि श मै न पर ै ट ?	రో బర టో . సి . ఫి ష మయా న పరా ట ?
अरे . तुम यह देख रहे हो ?	హేయ . నువవు ఇది చూ సతుననా వా ?
जब तुमहारा बा प उ धा र के पैसे चुका ने में वि फ ल हो जाएगा	మీ ఇంటికి లో న క టట లేక మీ నానన ఇ బబంది పడి న తరవాత
मुझे मेरी जिंदगी का सबसे बुरा पल दोबारा अनु भ व करवा कर	నా జీవితం లో అత య ంత దారు ణ మెన కష ణ ా నని చూ సే లా చేసి
और करो बस वह जो कर सकते हो	మనకు వీ లెన ంత చే సతే చ ాలు
- पे ट में गु द गु दी . - पे ट में गु द गु दी . उसे पयार हुआ था .	- మన సు లో అ ల జ డి . - మన సు లో అ ల జ డి . ఆమె పరే మ లో ఉంది .
परि ण ा म ों के बारे में सोच ो .	పర య వ సా నా లను ఆలోచి ంచుకో .
ताकि उनहें तुमहारे जैसे लोगों को देखना या उनके बारे में सोच ना ना पडे ,	మీ గురించి ఆలోచి ంచ కుండా ఉండ డం కోసం చాలా డబబు చె లలి ంచి వచచా రు ,
लेकिन यह दुनिया कया है ? एक क बी ला तो अगर तुम अपनी बि करी बढ ा ना चाहते हो	కానీ పరపంచ ం గురించి తెలుసు కదా ? వె ర రి వాళళు మీ సే లస పె రగ ాల ంటే
हम उस कमी ने हो ट ल मै ने जर पर काम करेंगे .	మనం ఆ చెతత హో టల మే నే జర తో నే సరి పెటటు కో వాలి .
तुमहें बचा ने के लिए तीन भ ूत आ रहे हैं .	నినను కా పా డ టానికి ము గ గు రు ద యయ ాలు వ సతుననారు .
हम यह कर रहे हैं . यह क माल का स फर होगा .	తపప దు అంతే . చాలా దూ రం పర యా ణి ంచ ాల సి ఉంటుంది .
घट ना ओं की वह श ृ ं ख ला जिस ने मुझे इस रा कष स में बदल दिया .	దారు ణ మెన మనిషి ని కా వడానికి కారణ మెన పరిసథి తులు నాకు తెలి సా యి .
खैर , मेरे पास तुमहारे लिए कुछ नहीं है , लड के . तो गु ड आ फ टर न ून .	సరే , నీకు ఇవ వడానికి నా దగగర ఏం లేదు , బా బు . ఇక ఉంటా ను .
ठीक है ! वह वापस बि स तर में पहुँच गई . कया मुझे एक कॉ फी मिले गी ?	సరే ! ఆమె ను తిరిగి తన మ ంచ ం మీద వది లి వచచా . మీకు ఎవరి కె నా కా ఫీ కా వ ాలా ?
कितनी गलत बात है .	ఇది మ హా దారు ణం .
हाँ , जानती हूँ .	సరే , నాకు తెలుసు .
मैंने यह कं प नी इसलिए नहीं बना ई	నేను ఈ కం పె నీ ని ఆ ఫీ సు నుండి ఇంటికి
मतलब , मुझे याद है कया हुआ . . .	అంటే , ఏం జరిగి ందో నాకు తెలుసు . . .
वह . . . यह . . .	అది . . . అది . . .
तुमहें कया चाहिए ?	నీకు ఏం కావాలి ?
तुम अभी भी जवाब नहीं जानते हो .	నీకు ఆ పర శ న కు సమా ధా నం ఇంకా తెలీదు .
- हाँ . - मुझे ग ले मिल ना नहीं आता है .	- అవును . - నేను హ గ బాగా ఇవవ లేను .
और हम जो हैं वह है बीच में कुछ	వాటి మధయ లో కొ టటు మి టట ా డే వారి మే మనం
तुमने देखा कि रे नी को सट ै न फो र ड में स ना त को त तर पर ो ग राम में जगह मिल गई ?	రె ననీ సటా న ఫో ర డ లో మా సటర స పర ో గరా మ లో జా యి న అయి ందని తెలి సి ందా ?
कया हम वा कई एक ल हर ला सकते हैं	మనం నిజంగా ఆ మార పు ను తీసుకు రా గల మా ?
- लॉ बी में एक ड ब बा र खा है , ठीक है ? - हाँ , उसे दा न कर दो . अचछा हुआ हमने उसे स जा या था .	- కరి ంద లా బీ దగగర ఒక డబ బా ఉంది , అందు లో వె య , సరేనా ? - అవును , ఇ చ చేసే య . ప యా కి ంగ చేయి ంచి మంచి ద ె ంది .
वह है तुमहारे म ूल यों का पर ती क तुमहारी नै ति क ता और तुमहारा सि द धा ंत है	మీ వి లు వ లకు మీ అమమ క ాలు అడ డం పడ తా యి మీ నీ టి ఇంకా మీ ఉద దే శ ాలు వా రికీ తెలు సతా యి
खैर , तुमहें सता ने के काम की शु रु आत थोडी ग ड ब ड रही है .	అంటే , మీ గ తం కొనని అనుకో ని పరిసథి తు లను ఎదు ర కో వాల సి వచచింది .
रो ज की भाग द ौ ड में दुनिया में थोडी अचछा ई फै ला सकते हो	నీ రోజు వా రీ జీవితం లోనే నువవు పరప ంచా నికి కొంచెం మంచి చేయ వచచు
बेह तरी न अ परा ध बो ध करवा या है , कि म बर ली .	అ పరా ధ భా వం పు టటి ంచడం లో నువవే ఫ సట , కి మ బె ర లి .
वह बहुत ड रा वना है . मुझे फिर से दिखा ओ .	భ యం కర ంగా ఉంటుంది . ఒక సారి నాకు అలా చూపి ంచు .
- मु ज रि म ? - हम तुमहारे अ ती त में घ ू म रहे हैं .	- నే ర సథ ు డి నా ? - మనం నీ గ తం లో న డ సతుననా ం .
नहीं . नहीं , मैं . . . पहले दस सी जन के लिए , मैं रि सर च में था .	లేదు . కాదు , నేను . . . నేను మొదటి ప ది సీ జ నలు , పరి శ ో ధన వి భా గ ంలో ఉననా .
मैं वा कई उममीद करता हूँ , कयोंकि हम बद ला व के ध ं धे में काम करते हैं .	నా కో రి కె తే అది నిజం కావాల నే , ఎంత ెనా మా వ ృ తతి ఆ విషయం పె నే ఆ ధా ర పడి ఉంటుంది .
बॉ ब कै ट गो लड थ वे ट वाली बिल म रे की फि ल म की तरह ?	బా బ క యా ట గో ల డ వె యి ట తో తీ సిన బి ల ము ర రే సి ని మ ాలా గా ?
- कया कहा ? - तुम घ म ं डी ग धे .	- ఏమ ననా రు ? - చెతత వెధ వా .
नहीं , मैं नहीं बद ला हूँ . मुझसे यह पूछ ना बंद करो गे ?	లేదు , నేను మార లేదు . ఇక ఆ పర శ న అడ గ డం ఆ పు తా వా ?
- टा इ नी टि म . - शुकरिया . . .	- టె ని టి మ . - థాంక స . . .
अब तुम एक अलग इंसान हो , कै र न .	మీరు ఇపపుడు ఒక కొతత వయకతి , కే రెన .
मुझे पता भी नहीं कया सोच ना चाहिए . रुको . इस समय वह कहाँ है ?	నాకు ఏం ఆలోచి ంచ ాలో కూడా తెలీ డం లేదు . ఆగు . వాడు ఇపపుడు ఎకకడ ఉననాడు ?
मेरी ऐ ले कस पी . की टन की ऐ क शन फि गर .	నా అ లె కస పి . కీ టన యా కష న బ ొ మమ .
ग जब . इस सप ने में कोई तु क नहीं है .	వా వ . ఈ క లకు ఎలా ంటి అరథం లేదు .
सी ने टर , कया आप तया ग प तर द ें गी ?	సె నె టర , మీరు రా జీ నా మా చేసతుననా రా ?
- यह एक दु हरा व है ? - वह . . . यह . . . हाँ , वह . . . एक दु हरा व .	- పా ట మళళీ మొద ల వు తు ందా ? - అది . . . అవును . పా ట . . . మళళీ మొద ల వు తుంది .
अगर हम बना ना चाहते हैं एक ल हर	ఒక మార పు ను తీసుకు రా వాలని అను కు ంటే
पता है , जब तुमने कहा , " गु ड आ फ टर न ून " ?	నువవు వాళ లకు " ఇక ఉంటా ను " అని చెపపి నపపుడు ?
पता लगा ने का एक ही तरी का है , दोसत ों .	అది తెలియ ాల ంటే ఒకక టే దా రి ఉంది , కు ర రా ళళు .
रुको . उससे बात करने से पहले , बस . . .	ఆగు . మీరు ఆమె తో మాటలా డే ముందు , కొంచెం . . .
लगता है मेरी आत मा बर फ में खेल रही है	మా హ ృ దయ ాల లో ఆ సంతోష గు డి గంట లు మో గు తుననా యి
वह अपने आप ही हो गया . मैं . . . रुको . मैं बदल गया ?	అనుకో కుండా జరిగింది . నేను . . . ఆగు . నేనే నా ?
- लेकिन तुमने नहीं किया . - लगता है मैंने नहीं किया .	- కానీ నువవు అలా చేయ లేదు . - నేను అలా చేయ లేదు .
मैं समझ ा नहीं सकता , लेकिन अगर मैं बस इस आदमी को बदल सक ूँ ,	నేను చెపపే లేను , కానీ నేను గ నుక వాడిని మా రచ గ లి గి తే ,
फ े सब ु क से पयार करने वाला हर बू ढ ा लड ना चाहता है एक सा ं सक ृ ति क ल डा ई	ఫ ే స బు క ని ఇష ట పడ ే పర తీ ము స లి వయకతి తమ సం స క ృ తి కోసం కొ ట లా డ టానికి ఇష ట పడ తారు
हैलो , मार गो . मैं बस तुमसे बच ता फिर रहा था .	హేయ , మా రగ ో . నినను దూ రం పె డ దా మని ఇ పపుడే అను కుననా .
अरे . चलो भी , गा ली मत दो .	హేయ . ఊ రు కో , వ ద రు బో తా .
मेरी करि समस और हमारे पर भ ु के जन म की	ఫె లి జ నా వి డా డ ఇంకా మన దేవు ని జ నమ గురించి
पता है ? मैं उसके साथ र हूँ गा ,	ఒక మాట చెపప నా ? నేను ఆమె తో వెళ తా ,
- शुकरिया . - नहीं .	- థాంక స . - వదదు .
सब ठीक है . मैं समझ ती हूँ यह कया महसूस कर रहा है .	ఏం పర లేదు . నీ ఫీ లి ంగ నేను అరథం చేసుకో గలను .
यह मेरी गलती है , ठीक है ?	ఇ దంతా నా తపప ే , సరేనా ?
