लूसी .	లూ సీ .
सुनो . ह ॉ ली व ु ड पु रा नी बात हो गई . भूल जाओ .	నా మాట వి ను . హ ాల ీ వు డ అనే ది గ తం . హ ాల ీ వు డని మరి చి పో .
पर मेरे पास बु री खबर है . पर . . .	మీకు దు ర వార త చెబు తా నని నా భ యం . కానీ . . .
मैं ठीक हूँ .	నేను బాగు ననాను .
मेरी माँ कू रि यर थीं .	మా అమమ ఓ కొ రి య ర .
कया ?	ఏంటి ?
और ले वल 1 2 वाली बात . . .	ఇంకా లె వె ల 1 2 విషయం , అంటే . . .
. . . ऐसी कमी दिखा ई दे रही है ,	. . . పడ డ ంతో కొ ర త ఏ ర పడి ,
अ मे रिक न स व प न के लिए .	అ మె రిక న కల కోసం .
तुम शे रि फ थे और मैं आ दि वा सी .	నువవు ష ె రి ఫ , నేను సథా నిక అ మె రిక నని .
जब कि दुनिया में आ ग लग रही है , कू पर .	వయ వ సథ ను సమ రథ ి సతుననా వు , కూ పర .
हैलो ?	హలో ?
उसे पसंद है ?	వాడి కి న చచి ందా ?
कया ?	ఏంటి ?
यही तो हमारा काम है .	ఎందుకంటే మేము చేసే ది అదే .
सुनो .	హేయ .
हम जैसे लोग जलदी भरो सा नहीं कर पा ते .	అ పరా ధ మన స సా కషి ఉనన మన లో వి శ వా సం సు ల భ ంగా రా దు .
यह कया है ?	ఏమి టి ది ?
कि बा प और बेटा लग भ ग एक जैसे ही होते हैं .	వార సత వ పు లకష ణ ాలు అంత తవర గా పో వు .
यही मो ल डे वर है .	త నే మో ల డే వర .
ठीक है . देखो , टा इट स ,	సరే . టె ట స , చూడు ,
हैलो ?	హలో ?
पर तुम वि ज ञ ा प न कर रहे हो , तो पा रि वा रिक ध ं धा हो गया है .	కానీ మీరు ఈ పర క టన లను చేయ డ ంతో , ఇది ఆ చ రణ ా తమ కంగా కుటుం బ వయా పా రం అయి ంది .
धनयवाद . मिल कर अचछा लगा .	మీకు క ృ త జ ఞ తలు . కల వడం బాగుంది .
" मैं , बार थो लो म यू कॉ ग स वर थ , से वा में त त पर हूँ . "	" నేను , బా ర తో లో మ యూ కా డ స వర త , మీకు సే వ చేయ డానికి స దా సిదధ ం . "
तुम चल नहीं पा रहे ?	ఎందుకు క దల లేవు ?
- हाँ , माँ गे थे . - तो कया कहा ?	- సరే , మరి ంత అడి గా ను . - వాళలు ఏమ ననా రు ?
कं प नी में ऐसे बहुत लोग है .	కం పె నీ అతని లాంటి వారి తో ని ండి ంది .
अब से कस करना चाहती हो ?	ఇపపుడు నా అ ంగ ం పే ల డం కా వ ాలా ?
इन में से एक कारण तो मैं कम किए दे ता हूँ .	నీ కోసం ఆ జా బి తా నుండి ఒక కారణ ం నమమ కంగా కొ టటే సతాను .
हमारे लोग उसे लेकर आ रहे हैं .	మా ఉ పరి తల ఫో రే జర లు దానిని తె సతుననారు .
समय सबसे बडा ह थ िया र है .	కాల మే అ ంతి మ ఆ యు ధం .
पता नहीं . मैं . . .	నాకు తెలియదు . నేను . . .
और इस हैं ड ल को ऊपर करें , तो सब गा य ब .	ఆ చినన పి డిని పె కి తి పప ి తే , అంతా వెళలి పో తుంది .
पाँच साल ?	ఐ దే ళ లా ?
बढिया टे क था . खुश हो ?	అది చాలా గొపప టే క . సంతోష మా ?
नहीं , ट ै कस कट ने से पहले 1 8 6 .	కాదు , నాకు 1 8 6 ద క కా యి , ప నను కు ముందు .
ठीक है .	అలా గ లా గే .
जहाँ से दूसरे वॉल ट की नि ग रा नी होगी .	పర త యే క వాల ట లోకి వెళల ాలని నిర ధా రి ంచుకో వడానికి .
कुछ लोगों का सब कुछ ल ु ट गया .	తెలుసా వీ ళ లలో కొ ంద రు అన నీ కో ల పోయా రు .
बहुत बुरा हुआ .	ఇంకా అది ఓ విష ా ద ం .
- माफ करना . - हाँ .	- ఏమ ండ ీ . - హా .
तुम आ सकती हो .	నువవు కూడా రా వచచు .
वही तो .	క చచితంగా .
अगर वे का यर नहीं हों .	ఆయన ఓ పి రి కో డు అయితే మి న హా .
दो स तो , तुम लोग खुश हो ?	అంద రికీ , సంతోష మా ?
ब दर र हु ड का यो द धा .	సో దర జా తి లో సె ని కు డిని .
ऑ फि स से हे न री था .	ఆ ఫీ సు నుంచి హె న రీ ఫోన .
मैं यु द ध में इसलिए नहीं गया था कि बाद में त ह खा ने में र हूँ	చె ర మన బడ ఆ స కి నస క ాలి కింద సె లలా ర లో బ త క డానికి
मान ो पर मा ण ु यु ग का स वर ग हो .	అ ణ ు యు గా నికి చె ంది న నిజ మెన కే మె లా ట .
गो लि यों की जगह पु रा ने दा ँ त .	మ ందు గు ండు గా పా త ద ంత ాలను ఉ ప యో గి ంచడం .
जहाँ लोग एक दूसरे का खया ल रख ते हैं .	ఇకకడ ఒక రి న ొక రు చూ సు కుంటా రు .
किस ने कहा ?	ఎవరు చెపపా రు ?
मैं खुद वॉल ट की हूँ .	నిజ ానికి నేను వాల ట వా సి నే .
दुनिया का अ ंत भी पर ो ड कट ही है .	పరపంచ అంత ం కూడా ఉ త ప తతి .
यह सिरफ एक आ म अ मरी की परिवार नहीं है .	ఇక , ఇది ఏదో సా ధా రణ మా మూ లు అ మె రి కా కుటుం బం కాదు .
वि ज ञ ा प नों के कारण फि ल म खो दी ?	ఈ పర క టన ల మూ ల ంగా ఓ సి ని మా పో వడం తెలుసా ?
ले वल 1 2 पर कयों नहीं जा सकते ?	లె వె ల 1 2 లో ఏ ము ంది , మే మె ందుకు వెళల రా దు ?
तुमहें च ढ गई है ?	నీ బు ర ర కు ఏం ఎ కకి ంది ?
जब तुम लड ने गए थे , मैं घर पर थी .	నువవు యు దధ ానికి వెళ ి తే , ఇంటి లో ఉనన ది నేను .
जिस से दोसत भी परति स पर धी बन रहे हैं .	మి తర దే శ ాలను కూడా సం భా వయ పో టీ దారు లు గా మార చి ంది .
तुम अचछे बचचे हो . सो जाओ .	మంచి కు కక వి . పడు కో .
कितनी अचछी फि ल म है .	ఆ సి ని మ ాలో బాగా న టి ంచా డు .
वह कमी नी ख तर ना क है .	ఆ దొ ంగ మొ హం చాలా పరమా ద క రం .
ऐसे लोगों के लिए , जो यह बात समझ जाते हैं ,	మన లో దానిని ఎవరు వి జ య వ ంత ంగా స వీ కరి ంచ గ లి గి తే , వాళల భ వి త
मतलब , वर क फ लो सही करना ,	చెపప ాల ంటే , వర క ఫ లో ఆ ప టి మె జే షన ,
- कया . . . र ै प पार टी ? - हाँ .	- ఏంటి . . . ము గి ంపు పార టీ నా ? - అవును .
पर अगर अ र ब ों लोग मर ने वाले हैं ,	కానీ కో ట లా ది మంది తమ పరా ణ ాలను కో ల పో తు ంటే ,
हम यहीं वॉल ट चार में काम करेंगे और	మేము ఇకకడ ే వాల ట 4 లో నివ సి సతుననా ం , పని చేసతా ం ,
तुमहारे सा थी ठीक हैं , पर कयों न हम दोनों	ఈ మీ స హో ద యో గు లకు వయ తి రే కంగా ఏమీ లేదు , కానీ నువ వ ూ నేను
जहाँ आप अपने 2 00 पड ो सि यों से मे ल जो ल बढ ा एँगे	మీ పరి య మెన వారి తో చ కక ని సా య ంత రం గ డి పి ఇంటికి వెళ లే సమయం లో
और मेरी बा ँ ह . सच में मुझे आ राम की जरूरत है .	పె గా , నా భు జ ం . తెలుసు గా , నిజంగా దానికి మరి ంత సమయం ఇవ వాలి .
हाँ , अब ठीक है .	అది గో , మె రు గగా ఉంది .
कया आप ब ट ल र शो के डा य लॉ ग बोल ेंगे ?	ఏమీ అనుకో కపోతే , ష ో నుండి బ టల ర వా యి స చేయ గల వా ?
छोड ो भी .	ఊ రు కో .
बस कुछ ही मिनट .	కొనని నిమిష ాలు అంతే .
पता है तुम हमेशा सही काम करती हो .	స రెన పని చేసే ందు కే పరయతని సతా వని నాకు తెలుసు .
कैसे लोग हैं न ?	ఈ మను ష ు లు . అంతే కదా ?
कैसा जो क ?	ఆ జో క ఏమి టి ?
और कोई सवाल ?	ఇం కే మెనా పర శ నలు ?
जानती हूँ ऊपर की उस बर बाद . . .	ఇ దంతా నీకు చాలా మంచి గా ఉ ండి ఉంటుంది . . .
पर वह सु पर ड ु पर मार ट हमारी हि फा ज त में था .	కానీ నువవు నా శ నం చేసిన ఆ సూ పర డ ూ పర మార ట మా ర కష ణ లో ఉంది .
तो वॉल ट - टे क का विश व सत उ त तर दा य ित व है कि	అందుకే అది పని చేయ కుండా చూ సుకో వాల సిన వి శ వ స నీ య బాధ యత
तो मैंने एक और श हर त बा ह किया है . फि ली .	నేను ఇ పపుడే కాల చేసిన ఈ ప టట ణం గురించి చెబు తా . ఫి ల లీ .
- बर बा दी होगी . - बर बा दी होगी .	- న గ రం త గల బ డు తుంది . - న గ రం త గల బ డు తుంది .
कया मतलब , " किस लिए ? "	" దే ని కోసం " అంటే నీ ఉదదేశం ?
शायद तुम प ं थ में हो .	బహుశా నువవే కల ట లో ఒక డి ఏ మో
तो कू प , मुझे मत बताओ यु द ध कितना बुरा था .	ఇక , యు దధ ం ఎంత చె డ డ గా ఉ ంటు ందో నాకు చెపప నవ సరం లేదు , కూ ప .
ह ॉ थ ॉर न परिवार से मिल ें .	హా థ రో న లను కల వ ండి .
पर हमारे ओ वर सि यर को आप से मिल ना है .	కానీ మా పర య వే కష కు డు మీకు చ క చ కా " హలో " చెబు తా ర ట .
यहाँ ऐसा करना ग ैर - कान ू नी है .	ఈ పరా ంత ాల ద రి దా పు లలో ఉండ డం చ టట వి రు దధ ం .
इसकी बात सुनो .	మనం తన స ల హా వి నా లి .
पता नहीं आप सत ह पर गई हैं या नहीं , पर . . .	మీరు ఉ పరి త లా నికి వెళ లా రో లే దో నాకు తెలియదు , కానీ అది . . .
आने का धनयवाद .	నీ రా కకు ధనయవాదాలు .
खुद को उनकी रा ख से ढ क कर .	వాళల బ ూ డి ద ను మా పె ప ూ సుకో వడం ద వా రా .
खुद को उनकी रा ख से ढ क कर .	వాళల బ ూ డి ద ను మా పె ప ూ సుకో వడం ద వా రా .
हाँ , है तो .	నాకు ఒకటి ఉంది .
रो जाना तो किसी पै दा इ शी वॉल ट नि वा सी से बात नहीं होती .	పరతి రో జ ూ వాల ట లో పు టటి న వారి ని కల వ లే ము .
किसी को तो यहाँ वय व स था बना ए रख नी होगी .	ఎవరెనా ము ందుకు వచచి ఇకకడ కొ ంత కర మ శి కష ణ తీసుకు రా వాలి .
यार , ऐसा मत क हो .	అబబా , ఊ రు కో . అలా అన కు .
मुझे लगा कि . . .	నా ఆలోచ న ఎందుకంటే . . .
यार , सो रे ल , हम पु रा ने दोसत है न ?	ఇక ఊ రు కో , స ొ ర రే ల , మనం పా త మి తరు ల ం , కా ద ంటా వా ?
" ख तर ना क " तो पहली श रत होती है .	పరమా ద క రం అయి న దానని ము ంద సతు అవసరం అంటా రు .
ब ड आ स किन स . भरो सा करो .	బడ ఆ స కి నస . నమ ము , నాకు తెలుసు .
शे डी सै ंड स की याद में	ష ే డీ శా ండ స ను జ ఞ ా ప కం చేసుకో వడం
हमें अभी निकल ना होगा .	లేదు , మనం వెంట నే వెళలి పో వాలి .
नहीं , यह बात अचछी नहीं है ,	ఇంకా లేదు , అందు లో ఏ దీ ఆ దర శ నీ యం కాదు ,
इन हें सी प कहते हैं . खा ओ गी ?	వీ టి ని ఆ యి సట రలు అంటా రు . నీకు కా వ ాలా ?
पर यहाँ नहीं .	కానీ అది ఇది కాదు .
हो कयों नहीं सकता .	ఎందుకు కా కూడ దో తెలియ లేదు .
- नहीं . - नहीं .	- వదదు ? - హా , థాంక యూ .
बे कर स फी लड में अपना खे त ख री द ूँ .	మనకు బ ే కర స ఫీ ల డ లో ఓ పెదద రా ంచ కొ ను కకు ందా ం .
पलीज .	దయచేసి .
सच कहूँ तो . . .	అంటే , నిజం అయితే . . .
कयोंकि हम पर मा ण ु यु द ध के शे ल टर में र हें गे .	అ ణ ు యు దధ ం తరవాత ఆ శ ర యం లో మనం బ తి కే అవ సర మెన పరిసథి తు ల పర కా రం .
- तो वह भी श ै ता न है ? - नहीं . मैं . . .	- బా ర బ నిజంగా చె డ డ ద ను కుంటా వా ? - లేదు , సరే , నేను . . .
मतलब , मैं भी इन में कभी शा मिल था .	అంటే , నా డబబు య ంత రం లో నా సం పా ద న కొ ంత పెటటా ను .
यह कमी ना लोगों के पिछ वा डे में गोली मार ने वाला	ఈ స ననా సి వెధవ న డ డి లో కాల చి తె చ చే
अ मे रि का तैयार है .	పరప ంచా నికి చూపి ంచ డానికి .
अचछा ? जे नी सो गई ?	అవునా ? జే నీ ని దర పోయి ందా ?
इससे फर क नहीं पडता .	అవును , అది ముఖ యం కాదు , కూ ప .
इसकी म जब ू ती वि कि रण और दु श म नों से बचा ए गी .	రే డి యే షన , క మ యూ ని సట ు ల నుండి ద ూర ంగా ఉ ంచ డానికి త గి న ంత బ ల ంగా .
पर बं धन .	మే నే జ మె ంట .
धनयवाद .	ధనయవాదాలు .
धनयवाद .	ధనయవాదాలు .
ज ॉ नी म ॉर टन वाली फि ल म याद है ?	మనం జా నీ మో ర టా న తో చేసిన సి ని మా గురతు ందా ?
और गर म पा नी से तुमहारा कया मतलब है ?	" వే డి నీ టి స నా నం " అననా వు కదా , అసలు దాని అరథం ఏంటి ?
कयों पूछ ा ?	ఎందుకు ?
वै ध वय व सा य न ष ट कर दिया .	చ టట బ దధ మెన వయా పా రా నని నా శ నం చేయడం .
तुमहारी सु ग ं ध आ रही है .	నీ వా స న బాగుంది .
खा कर मजा आता है .	నినను బాగా చూ సు కుంటా రు .
अं ति म सं स कार - कब रि सता न - दा ह सं स कार	శ మ శా న వాటి క - సమా ధి - ద హ నం
ग ंदा लगता है .	అది సో ది .
पता नहीं .	నాకు తెలియదు .
पता नहीं .	నాకు తెలియదు .
माफ करना .	ననను కషమించు .
वह ऐसी तो नहीं थी .	నాకు అ మె అలా గురతు లే ద ంత ే .
पर सच कहूँ तो वॉल ट में लौट ना अचछा लगा .	కానీ వాల ట లోకి తిరిగి రా వడం మంచి అను భ ూ తి గా అ ంగ ీ కరి ంచాలి .
कया फर क पडता है ?	అది ముఖ య మా ?
ताकि हम नि ग रा नी कर सक ें .	మీరు కొనని గంట లు క వార ంట ె న లో ఉండాలి .
सं वाद अनु वाद क कम ले श ढ व ले	స బ టె టి ల అను వాద కర త క ృష ణ మో హ న తం గి రాల
बढिया रो ल था .	అది నీకు గొపప పా తర .
मुझे कुछ नहीं पता . मैं एक टर हूँ .	నాకు అసలు తెలియదు . బ త క డం కోసం క ౌ బా య గా న టి సతాను .
तो खेल ने के लिए सा इन अप करना होगा .	అందుకే , మీరు ఆడ ాలను కు ంటే , దానికి న మో దు చేసుకో వాలి .
यार , सु ई - धा गा मिले गा ?	చెపపు , నీ దగగర సూ ది , దా రం ఉందా ?
वे देखना चाहते हैं कि अचछा आदमी भी	పరే కష కు లూ , నీ లాంటి మంచి వాడిని కూడా అకకడ కు చే రచ వచచ ని
बात बस इतनी नहीं है .	అందు లో స గం కూడా నీకు తెలి యి దు .
हाँ .	అవును .
पर कयों ?	కానీ ఎందుకు ?
हाँ .	అవును .
भाग जाओ .	చ క చ కా వెళ లు .
गा ँ ठ	సి సట లు
ब त िया नहीं सकता .	నేను క చచితంగా బ తి కి లేను .
हाँ .	అవును .
बे टे , ठ ंड रख ो .	వాడి వ లలో పడ కు , బా బ ూ .
वैसे , मेरा अनु भ व कह ता है	ఇక , నా అను భ వ ంలో ,
हाँ .	అవును .
सच में . मैं . . .	సరే , నిజంగా నే . నేను . . .
मैं सब ूत दिखा ती हूँ .	నేను నీ క ది ని రూ పి సతాను . సరేనా ?
बस ले वल 1 2 से दूर र हें .	లె వె ల 1 2 కు ద ూర ంగా ఉండ ండి , క చచితంగా .
देखो , ऐसे लोग दुनिया चला रहे हैं	ఇంకా అది , ప ూ ల పార టీ కి
ठीक है . तो अ मरी की सर कार ने	సరే , యూ ఎ స పర భు త వం
जयादा ही पसंद है .	అను భ ూ తి ని నువవు ఇష ట పడ వచచు .
स ड कों पर बल वा हो जाएगा .	వీ ధ ు లలో అ రా చ కం .
पता है , यह तो सा मान य बात है .	తెలుసా , అది , అది నిజ ానికి పూరతి సర వ సా ధా రణ ం .
पर ीक ष ण में शा मिल लोग	పర ీ కష ా అ ం శ ాలు
पर ीक ष ण में शा मिल लोग	పర ీ కష ా అ ం శ ాలు
से कस करो गे ?	నాతో సె కస కా వ ాలా ?
बहुत पु रा ना निय म है .	అది నా కంటే ముందు నుంచి వి ధా నం .
{ \ an8 } कट .	{ \ an8 } ఇంకా క ట .
वह तो है .	హా , మేము కూడా .
कया मतलब ?	దాని అరథ మే ంటి ?
नहीं , यहाँ बु ना ई नहीं होती .	మన ని ంచు , మేము ఇకకడ ఎకకువ గా అ లలి క పని చేయ ము .
मैं बडी फै न हूँ .	నేను మీకు పెదద అభి మా ని ని .
पर इसे यहीं रहना होगा	నీ నే స తం సు ర కషి త పర యా ణ ానికి ముందు
बु री आ श ं का से .	దారు ణ ా నని ఊ హి ంచు కు ంట ూ .
हाँ , टॉ य ले ट ऐसे ही होते हैं .	అవును , టా యి లెట ఎలా పని చే సతు ందో నాకు తెలుసు .
कम यु नि सट मी टि ंग ? अरे , यार .	నీ క మ యూ ని సట సమా వే శ ాల లో ఒక టా ? ఊ రు కో , బా బ ూ .
गलती करने से बेहतर है पूछ लेना .	ఓ పని తపపు గా చేయడం కంటే అడ గ డం అనే ది త కకువ ఇ బబంది .
सही कह ती हो .	దాని గురించి చెపపు .
तुमने सही कहा था .	ఈ చో టు గురించి నీ మాట నిజం .
नहीं .	తెలియదు .
कया हुआ ?	ఏంటి ?
दो सौ साल .	రెండు వ ంద ల ఏ ళలు .
उन ख रा बि यों की वजह से कई लोग मा रे गए .	మీ డి జె న లోప ాలు అనే క మంచి పు రు ష ు లు , సత రీ ల జీవి త ాలను చం ప గల వు .
एक - दूसरे को मार ने के नए - नए तरी के हैं .	ఒక రి న ొక రు చం పు కో వడానికి కొతత మా రగ ాలను కను గొ ంట ూ నే ఉంటా రు కదా ?
एक करो ड ?	ప ది మి లి యన లా ?
बात करना मना है .	మేము దాని గురించి మాటలా డం .
पू ल के पास बैठ े कुछ प िए ँ ?	రెండు పి నా కొ లా డ ాలను ప ూ ల దగగర తా గు దా మ ంటే ?
तुमहें बुरा नहीं लगे गा ?	ఏమీ అనుకో వు గా ?
सर कार .	ద గ వర మి ంట .
नहीं . कुछ नहीं होगा .	లేదు . ఉండ దు .
उन में से नहीं हो यह पकका करने के लिए मैं कुछ भी कर ूँगी .	అందు లో నువవు , జే నీ , వాళ లలో ఉండ రు .
यार , कया बात है .	కానీ , హే , అందు లో విషయ ము ంది .
हाँ , सही कहते हो .	అవును , ఆ నీ మాట నిజ మే కా గల దు .
तो मुझे बता एँ .	దయచేసి నాకు తెలియ జే య ండి .
अचछे वॉल ट में .	మంచి వాల ట లో చో టు కావాలి .
कै सी मुशकिल ?	ఏమి ట ది ?
मैं समझ ती हूँ .	ఎందుకు ఉంటా వో తెలి సింది .
थोडा शो र - श रा बा होता है .	అది నా అభి రు చి పర కా రం వి పర ీ తంగా ఉంటుంది .
कयों न तुम आज अपने कम रे में सो ओ ?	రాత రికి నీ స ొ ంత గ ది లో పడు కు ంటే ఎలా ఉంటుంది ?
सं गी त सुन ें ?	హె ఫె గురించి వి ననా వా ?
धत त .	అబబా ఛ .
च प पल भी .	ఇంకా స లి పప రలు .
पक डो उसे !	ఆమె ను పటటు కో ండి !
अचछा है न ?	చాలా బాగుంది , కదా ?
जरूर .	తపప కుండా .
मुझे लगता है यह छो टी - सी बात है .	సరే , అది చెపప ాల ంటే ప నికి మ ాలి న ఆ ందో ళ న గా నేను అనుకుంటుననా .
और त जरूर है .	ఓ మ హి ళ గురించి మాతరమే .
यह सच है कया ?	నీ స ంద ర భ ంలో అది నిజ మే నా ?
बढिया . धनयवाद .	అది గొపప విషయం . ధనయవాదాలు .
सच में .	నిజంగా అడి గా .
यहाँ रह कर देखो गे ?	అయితే , ఈ చో టు కు ఓ అవకా శం ఇ ద దా మా ?
बहुत - बहुत धनयवाद .	క ృ త జ ఞ తలు .
यहाँ कई लोग सत ह से आए हैं इसलिए .	ఎందుకంటే ఇకకడ చాలా మంది ఉ పరి తల ం నుంచి వచచి న శ రణ ా రథ ు లలా ఉననారు .
नहीं . लूसी .	కాదు . కాదు , అది లూ సీ .
ऐसा नहीं हो .	వాల ట టె క కలి గి ఉంటుంది .
श ह री जिंदगी से ऊ ब रहा हूँ .	మొతత ం న గ రం విషయం లో రెండ ో సారి అ ంచ నా వే సే లా చేసి ంది .
मेरे पास है .	నా దగగర పె న సి ళలు ఉననాయి .
नया स हा य क है ?	నీకు కొతత స హాయ కు డు వచచా డా ?
भूल गया .	అది మరి చి పోయా ను .
म छ ली के अं डे	కే వి య ర
नहीं .	వదదు , వదదు .
बस , इतना ही .	సరే , అన నీ చెపపే శా న నే అ నా లి .
काम शुरू करे . . . करें ?	ఇక మొద లు . . . మొద లు . . . మొద లు పె డ దా మా ? మొద లు పె డ దా మా ?
हैलो , दो स तो .	ఎందు క లా , మీకు హలో , అబబా యి లూ .
हैलो .	అంద రికీ హలో .
हाँ .	సరే , అవును .
है न ?	నేను వెళల డం లేదా ?
हाँ .	అవును , వచచా డు .
हम अपने बि छ ड ों को वापस ला ते हैं .	మా నుంచి తీ సే సు కునన ది పొ ందు తా ం .
- ख ून ब हा ना होगा . - ख ून ब हा ना होगा .	- రక తం చి ంది తీ ర ాలి . - రక తం చి ంది తీ ర ాలి .
शे डी सै ंड स को लौ टा ने के लिए ख ून ब हा ना होगा .	ష ే డీ శా ండ స ను తె చ చే ందుకు , రక తం చి ంది ంచాలి .
ए .	హే . హే . హే .
