वाह .	వా వ .
हे भगवान .	ఓహ , దేవుడా .
- बस करो , टॉ म . - " उसे कभी अपनी नजर ों से ओ झ ल होने मत देना .	- ఇం క ఆ పు , టా మ . - " ఆమె ను నీ క నను దా టి పో నివ వ కు .
वहाँ देख कर तो ऐसा नहीं लगा .	అకకడ అలా మూ సు కునన టలు కనిపి ంచ లే దే .
हे भगवान .	ఓ రి దేవుడా .
- ए . - वाह .	- హేయ . - వా వ .
और तुमहारी ?	మరి నీ ది ?
- अ ल वि दा . - अ ल वि दा , इ वा .	- బె . - ఉంటా ను , ఈ వా .
हे भगवान .	ఓహ , దేవుడా .
हम " ख र गो श को मा रो " खेल खेल ेंगे .	మనం " ష ూ ట ద బ ననీ " అనే ఆట ని ఆడ బో తుననా ము .
- हाँ . - मुझे माफ कर दो .	- సరే , అలాగే . - ననను మన ని ంచు .
वह मेरी पसंद ी दा प ें टि ंग है .	అది నాకు ఇష ట మెన చి తరం .
यह 2 0 2 2 का आ यर लै ंड है .	నా ఉదదేశం , ఇది 2 0 2 2 ఐ ర లా ండ .
तुम अस पता ल से एक स - रे निकाल सकती हो ?	ఆ ఫీ సు లో వాడి ఎ కస రే రి పో ర టు లు సం పా ది ంచ గల వా ?
और अगर होती ं , तो अभी मैं तुमसे बेहद आकर ष ित होता .	నేను మా మూ లు మ గ వాడి నే అయితే , ఈ పా టి కి నినను పొ ంది ఉండే వాడిని .
उसने कया कहा ?	అతను ఏం చెపపా డు ?
तुमने मुझे बताया कयों नहीं , टॉ म ?	నాకు ఎందుకు చెపప లేదు , టా మ ?
सब तैयार हैं ?	మన మ ంతా సిదధ మే నా ?
इससे पहले कि तुम यो जना र दद करो , मैं पहले नि शा ना लगा ल ूँ ?	మీరు మన ప థ కా నని వి ర మి ంచు కునే ముందు ననను ముందు ఆ లకష యానని కొ టట ని సతా రా ?
नहीं , उसकी रा य में , यह बि बी की ही गलती थी .	లేదు , అతని ద ృష టి లో , తపప ంతా బీ బీ దే .
उसे उस तरफ ले जाओ . उस तरफ , उस तरफ .	వాడిని అ టు వెపు మళ లి ంచండి . ఆ వెపు , ఆ వెపు .
तुम गरे सी को पैसे कब दो गे ? वह बे चा री म हिला पहले ही काफी स ह चु की है .	గరే సీ కి మీరు డబబు లు ఎ పపుడు చె లలి సతుననారు ? పా పం ఆమె ఇ పపటి కే చాలా బాధ ని అను భ వి సతోంది .
हाँ . मि ना उसे लड कि यों के क पडे पह ना या करती थीं .	అవును . మి నా వాడి కి ఆడ పిలల ల దు సతు లు తొ డి గి ము సతా బు చేసే ది .
हमें वय क ति त व म ूल या ंक न करना प डा .	మనం వయకతి త వ స మీ కష జర ప ాలి .
जब हमारा खेल शुरू होगा , मैं एक ए का ंत जगह ढूँढ ूँगी ,	ఒక సారి మనం పని లోకి ది గా క , నేను ఒక ని శ శ బ ద మెన చో టు ని వె తు కు తాను ,
सं भ व है कि वह मुझसे जयादा हो .	రక త పో టు నా కంటే నీ కే ఎకకువ ఉండ చ చే మో .
पर वह डॉ न ल को नहीं बता ए गा . उसे तुम पर द बद बा बना ए रख ना पसंद है .	కానీ అతను డో న ల కి చెపప డు . నీ మీద అ ధి కా రం చె లా యి ంచ ాలని అతనికి చాలా కో రిక ఉంది .
" कया मतलब ? " मैं वि लि य मस वाले के स की बात पूछ रही हूँ .	" ఏ విషయం గురి ంచా ? " వా తా వర ణం గురించి . ఆ చెతత వి లి య మస కేసు గురించి .
- वह केवल उस ी पर ता ला लगा ता है . - तुम . . . शायद तुमहें . . .	- దానికి మాతరమే అతను తా ళ ం వే సతా డు . - నువవు గర భ వ తి వి . . . నువవు ఇవ ననీ . . .
उस आदमी की जिंदगी का कोई भी पह लू देख लो ,	మీరు ఆ వయకతి ని ఏ కో ణ ంలో చూ సి నా ,
कया ?	ఏంటి ?
मै ट .	మయా ట .
मै ट .	మయా ట .
कैसा सं दि ग ध ?	అను మా నం దే నికి ?
बेशक है .	నాకు ఉంది .
बस . . . अरे , धत .	కేవలం . . . ఓహ , అయ యో .
उसके बच प न की त सवी र सामने आती है .	వాడు ఏదో ప సి పిలల వాడు అనన టలు అనిపి సతోంది .
कया ?	ఏంటి ?
कै सी कला स ?	ఏం క లా స ?
हमें कया करना चाहिए ?	మనం ఏం చేయ ాలని నీ ఉదదేశం ?
बस अ र सला को यह मत बता ना .	ఈ విషయం మా తరం ఉ ర సు లా కి చెపప కు .
मुझे भी .	నాకు కూడా .
हैलो .	హాయ .
हाँ . पु रा ना .	అవును . పా త వా డే .
रुको .	ఆగు .
मेरा मतलब , ऐसा नहीं .	నా ఉదదేశం , అలా ంటి ది కాదు .
हाँ , वही श बद है .	అవును , అదే స రెన పద ం .
- शा बा श . बस सा ँ स लो . - लं बी सा ँ स ें लो , सिर ि ल . चलो .	- అంతే . అలా శ వా స పీ ల చు . - దీ ర ఘ ంగా శ వా స తీసుకో , సి రి ల . లోప లి కి .
तुमने कया किया ?	ఏంటి ఈ చెతత ?
तुम कला स में बच चों को पी ट नहीं सकते , रु बे न .	నీ క లా సు లో పిలల లని నువవు కొ డు తూ అ లల రి చేయ కూడదు , రూ బె న .
नहीं . हम कला फि न इन शु र न स से हैं .	లేదు . మేము క లా ఫి న ఇ నస ూ రె నస నుండి వచచా ం .
हैलो ऑ स कर . उममीद है तुम अचछे हो	హాయ ఆ స కర . నువవు బాగు ననా వని ఆ శి సతుననాను .
हमें बस कुछ सवाल पूछ ने हैं .	మేము కేవలం కొనని పర శ నలు అడుగు తా ము .
खो ज - कोई परि ण ा म नहीं निक ला	సె రచ - ఎ టు వ ంటి ఫ లి త ాలు ల భ యం కాల ేదు
तुम कभी उस जै सी नहीं बन ो गी .	నువవు ఎ పపటి కీ ఆ చెతత వెధవ వి కాల ే వు .
मुझे पूरा विश वास है कयोंकि जब मैं किसी चीज के लिए इतनी बे ता ब होती हूँ , तो वह पकका हा सि ल करती हूँ .	నేను చేయ గల నని నాకు తెలుసు ఎందుకంటే నేను ఇంత లా కో రు కునన ఏ విషయం లో న ూ ఓ డి పో లేదు .
और पता है उसने कया कहा ?	అపపుడు అతను ఏం అననా డో తెలుసా ?
हाँ . चलो उससे क हें कि वह मु ँ ह खो ले और " आ " क हे .	అవును . అపపుడు అత డిని నో రు తె రి చి " ఆ హ " అ నా లని మనం అడుగు దాం .
दरअसल , मैंने उसके बच प न की त सवी र ें देख ी हैं , और वह तब भी कमी ना था .	నిజ ానికి వాడి చినన పపటి ఫో టో లని నేను చూశా ను , వాడు అపపుడు కూడా చెతత వెధవ లా గే ఉననాడు .
मैं तुमहारे सिर पर मार कर	నీ తల మీద కొ టటి మ రీ
याद है तुमने पूछ ा था कया मुझे नि ष ि द ध पयार हुआ था ?	నా జీవితం లో ని ష ే ధ పరే మ ఉందా అని నువవు ఇం దా క అడి గా వు , గురతు ందా ?
हाँ , पर . . . गोली अंदर घु से गी . यह अचछी शु रु आत है .	అవును , కానీ అది . . . తూ ట ాలని ఎలా తీసుకు వెళల ాలి . అదే మొదటి పని .
हाँ . जानती हूँ .	అవును . నాకు తెలుసు .
पकका यह पे ची दा होगा . उसके . . .	కొ ద ది గా ఇ బబంది ఉండ చ చే మో . ఆ క ంటి తో . . .
बताओ तुमने उसे कयों मा रा . वर ना मैं तुमहारे कॉ मि कस ज ला द ूँगी .	అతని ని ఎందుకు కొ టట ా వో నాకు చెపపు . లేదా నీ కా మి క పు సత కా నని మ ంట లలో కాల చేసతాను .
भगवान . जैसे ही खु ज ली वाले पा उ डर की बात करती हो , कोई उममीद नहीं बच ती है .	దేవుడా . దు ర ద ప ౌ డ ర ని తీసుకు వచచి న కష ణం ఆట ము గి సి పోయి న ట లే .
का श मैंने भी वही किया होता . पता नहीं मैं कया सोच रही थी .	సరే , నేను కూడా నీ లా గే చేసి ఉండ ాల సింది . నేను ఏం ఆలోచి సతుననా నో తెలియ లేదు .
वह मेरी तु ल ना में बेहतर म हिला है .	ఆమె నా క ననా తను మంచి మ హి ళ .
नि ष ि द ध पयार में दिल ट ू ट ना .	పరే మ ని ష ే ధం వలల హ ృ ద యం భ గ నం కా వడం .
मैंने सब ग ड ब ड कर दिया .	నేను అంతా గ ంద రగ ో ళ ం చేసే శా ను .
ठीक है , हम नै शन ल ग ै ल री का एक च क कर लगा ल ेंगे .	సరే , మనం తవర గా . . . తవర గా నే షన ల గ య ాల రీ ని చు టటే సి వ దదాం .
वह कया श बद है ?	అది ఏం మాట ?
तुमने उसका च श मा तो ड दिया .	నువవు అతని క ళల దద ాలు వి రగ గొ టట ా వు .
नहीं . मेरा लि ंग बडा और बै ंग नी होता रह ता है . मैं कया कर ूँ ?	లేదు . నా అ ంగ ం పెదద గా పె రుగు తూ వ ంగ ప ండు రం గు లోకి మా రు తోంది . నేను ఏం చేయాలి ?
तो बस वार म - अप समझ ा ने के लिए , हम एक सु ंदर सा घ े रा बना एँगे .	కాబటటి వార మ ప గురించి ముందు గా వి వరి ంచడం కోసం , ఒక చ కక ని వల య ంగా మనం ఏ ర పడ దాం .
कार रो को गे ? मुझे बाहर निकल ना है .	నువవు కారు ఆ ప గల వా ? నాకు ది గి పో వాలని ఉంది .
हे भगवान .	దేవుడా .
बहुत खू ब .	మంచిది .
हे भगवान .	దేవుడా .
बहुत खू ब .	అదభు తం .
वे . 6 8 और मा सक इस ते माल करते हैं , हे ल मे ट नहीं .	వాళలు . 6 8 తూ ట ాలు ఇంకా మా స కులు ఉ ప యో గి సతారు , హె ల మె టలు వా డ రు .
इससे तुम बु री माँ नहीं बन ती हो .	దాని వలల తల లి గా నీ క ృ షి ని త కకువ చేయ లేవు .
" हे भगवान " कया ? कया हुआ ?	" ఓహ , దేవుడా " ఏంటి ? ఏం జరిగింది ?
तुम उसके वि पर ी त हो . तुम रु बे न के लिए आ शी र वाद हो .	నువవు దానికి పూరతి గా వి రు దధ ం . నువవు రూ బె న జీవి తా నికి వె లు గు వి .
डो ले च ू म ने की अन ुम ति है ?	నీ క ండ లని ము దదు పెటటు కో ని సతా వా ?
मैं जाने से पहले तुमसे मिल लेना चाहता था .	నేను బయ లు దే ర డానికి ముందు ఒక సారి చూ సి వెళ దా మని వచచా ను .
मेरी आँख गई , उसके सिर में छे द हुआ .	నాకు క నను పోయింది . అతనికి త లలో చి లలు పడి ంది .
इससे फर क नहीं पडता है .	నేను ప టటి ంచుకో ను .
आप बस एक माँ हैं .	నువవు ఒ టటి గా మా అమమ వి .
जैसे कि , " अन ुम ति नहीं थी " या " ठीक नहीं था . "	అంటే , " అను మ తి " లేదా " సరే " లాంటి వి .
जो भी हो , अब सब हो चुका है .	ఏ ది ఏమెనా , ఇపపుడు అద ంతా అయి పోయింది .
और तुम . . . तुम . . .	నువవు , సరే . . . నువవు . . .
बस समय का ट ने के लिए .	అంటే , ఏదో ఒకటి చేయడం కోసం .
रुको . पीछे जाओ ! जाओ !	ఆగు . వెన కకి వెళ లు ! వెన కకి !
नहीं . नहीं . पर . . . तुम खुश ियाँ बि खे र ते थे .	లేదు . లేదు . కానీ . . . నువవు మా జీవి త ాల కు వె లు గు తె చచా వు .
- एक छे द . - . . . एक छे द के साथ .	- రం ధ ర ంతో . - . . . రం ధ రం .
बस उसकी पी डा का आ न ंद उठा ने के लिए .	కేవలం తన వి క ృ త ఆన ంద ం కోసం .
तुम सु ध रो गी नहीं .	నువవు చేశా వు .
और अगर हमने कोई उ पाय नहीं ढूँढ ा , तो सब को पता चल . . .	మనం గ నుక ఏదెనా మా రగ ం కను క కో లే కపోతే , మొతత ం అంద రికీ తెలి సి పో తుంది . . .
तुमहें यह गलत ियाँ उन पर थो प नी चाहिए थी .	చేసిన తపపు లకు ఆ య నని శి కష అను భ వి ంచే లా వదిలే య ాల సింది .
यह पे ची दा है .	అది సం కలి షట మెన ది .
हाँ , मुझे भी .	అవును , నేను కూడా .
तुमहारी ना व मुझे हिला - ड ु ला रही है .	నీ పడ వ ననను ఆ క టటు కు ంట ో ంది .
तो , मैं पु रु ष ों के साथ समय बि ता ना चा हूँ गा .	కాబటటి , నేను మ గ వారి తో కొ ద ది సమయం గ డ ప ాలని అనుకుంటుననా ను .
बेशक गरेस की वजह से नहीं . . .	ఏ ది ఏమెనా , గరేస పరిసథి తి అలా కాదు . . .
इसलिए हम यह कर रहे हैं , है न ?	వాళల కో స మే మనం ఈ పని చేసతుననా ం , అవునా ?
नहीं . मैं उस ी घर में प ली - बढ ी .	లేదు . నేను అదే ఇంట లో పె రిగి పెదద య యా ను .
मैं नहीं चाहता तुमहें देर हो .	నువవు ఇంటికి ఆ ల సయ ంగా వెళల డం ఇషటం లేదు .
- अगर मुझे बस . . . - अरे , नहीं .	- నాకు గ నుక తెలి సి ఉంటే . . . - ఓహ , లేదు .
- " बी " से बेवकूफ बि बी . - हे भगवान .	- " బి " అంటే పిచచి ముఖ ం బీ బీ అని . - ఓహ దేవుడా .
मुझे लं च तैयार करना है . पर मैं जल द फोन कर ूँगी , ठीक है ?	నేను భ ో జ నం చేయ డానికి వెళల ాలి . కానీ మనం తవర లో మళలీ మాటలాడు కు ందా ం , సరేనా ?
मुझे उस कमी ने पर धयान देने से भी न फ रत है .	ఆ చెతత వెధవ గురించి ఎకకువ సే వు మాటలాడ టం నాకు ఇషటం లేదు .
- हाँ , बढिया हूँ . - हाँ .	- అవును , చాలా బాగు ననాను . - సరే .
तुम ना व में कयों रह ते हो ?	నువవు పడ వ లో ఎందుకు నివ సి సతుననా వు ?
तो कृपया , उनका सम मान करो .	అందుకే , దయచేసి చె ట లని గ ౌ ర వి ంచండి .
ए , गरेस . तुम स पी कर फोन पर हो .	హేయ , గరేస . నువవు స పీ కర ఫోన లో ఉననావు .
वह वि लि य म म किन न की " हो प " है .	ఇది వి లి యం మయా కి నో న గ ీ సిన చి తరం ' హో ప '
हमें किस का इंतजार है ? चलो चल ें !	దే ని కోసం ఎదు రు చూ సతుననా ం ? ఇం క పరా రం భి దదాం !
शायद हमें तुमहारा र कत चा प देखना चाहिए .	బహుశా నువవు కూడా నీ బ ల డ పర ె ష ర ని పర ీ కషి ంచుకో వాలి .
मेरा मतलब , तुम यह खु ल कर सवी कार कयों नहीं करते हो ?	నా ఉదదేశం , నువవు ఎందుకు బయటకు చెపప వు ?
तुम उसे उठा ओ जब कि मैं कार पार क करता हूँ .	నువవు దానని పా తి పెటటు , ఇలా గో , నేను కారు పార క చేసతాను .
वे आ मत ौर पर दो टी म ों को आप स में भ ि डा ते हैं .	వాళల మా మూ లు సె షన లో రెండు జ టలు ఒక దాని తో ఒకటి పో టీ పడ తా యి .
तो तुमहें सच चा ई ढूँढ ने में मेरी मदद करनी होगी .	కాబటటి అసలు నిజం ఏమి టో వె లి కి తీ య డం లో నువవు నాకు సాయం చేయాలి .
तो , हमें दु र घट ना को लेकर ए का ध सवाल पूछ ने हैं .	సరే , ఆ పరమా ద ం గురించి మేము కేవలం ఒకటి రెండు పర శ నలు అడుగు తా ం .
एक ची नी , थोडा सा दू ध .	ఒక దా ంట లో చ కక ె ర , త కకువ ప ాలు .
बी मे की र कम कितनी है ?	మనం వా సత వ ంగా ఎంత చె లలి ంచాలి ?
कृपया , नहीं . नहीं .	దయచేసి , అలా చేయ కు . వదదు .
तुमसे कह ता कि तुमहारे पिता जी को तुमसे यह कह ने का कोई ह क नहीं है .	మీ నానన కి నినను పర శ ని ంచే హ కకు లే దని చెపపే వాడిని .
शु भ काम ना एँ . ये य .	గు డ ల క . యా య .
मैं पूरी तरह से प ॉ श हूँ .	నేను పా ష అమమాయి ని .
उसे जन म स पता ह से व ं चि त मत करो .	ఆ పెదద బ బా యి పు టటి న వా రా నని నువవు కా ద న కు .
तुम पर फ बता है .	ఇది నీకు సరి పోయింది .
नो रा का कया ?	నో రా సంగ తి ఏంటి ?
पु रा ना बॉ य फर ें ड ?	పా త మి తరు డా ?
वह ग ं भी र रिश ता था , समझ े ?	అది అ పప ట లో గ టటి అను బం ధం , తెలుసా ?
मुझे एक और बार दिखा ओ .	వాటి ని మ రో సారి నాకు చూపి ంచు .
हम आज - कल थो डे पर ग ति शी ल हैं .	మనం ఈ రోజు లలో చాలా అ భ యు దయ ంగా మా రా ము .
अरे , धत .	ఓహ , ఛ .
आ खि री बहन . हमने तुमहारी सा री बह नों का सा कष ा त कार लिया .	చి వరి వారు కానీ చినన వారు కాదు . మీ అ కక చె ల లె ళల ంద రి నీ మేము పర శ నలు అడి గా ము .
ठीक है . चलो , दोसत ों . चलो जैसे मर जी ना च ें .	సరే . రండి మి తరు లా రా . మన కి ఎలా అనిపి సతే అలా డా నస చే దదాం .
नहीं . नहीं बता सकती , वह सक ॉर पि ओ है .	చచ చి నా చెపప ను . నా వలల కాదు . వాడి ది వ ృ శ చి క రా శి .
अरे नहीं , रुको . मेरे पास तो सट ू डियो ही नहीं है .	ఓహ ! అయ యో , ఆ గ ండి . నాకు సట ూ డి యో లేదు .
उससे न फ रत करना जा य ज है .	వాడిని ద వే షి ంచే అర హ త నీకు ఉంది .
कयोंकि वह सब नि ष ि द ध था .	ఎందుకంటే అవి అన నీ ని ష ే ధ పరే మ లే .
सिर में छे द होना आ सान बात नहीं है .	అతని మె ద డు అలా గా య పడ టం అంత తే లి కె న విషయం కాదు .
कोई यो जना र दद नहीं कर रहा है . समझ ी ? बस अपना समय लो .	ఎవ వర ూ మన ప థ కా నని వి ర మి ంచుకో వడం లేదు . సరేనా ? నీకు కా వల సిన సమయం తీసుకో .
हाँ , पर हम सब की जिंद ग ियाँ बेहतर हो जाएँ गी .	అవును , కానీ మనం ఇంకా బాగు ంటా ము .
जू ते मत उ ता रो .	మీరు అవి ఉ ంచుకో ండి .
कया वह बि बी है ?	తను బీ బీ నా ?
ए , हम बस फो र टी फु ट जा रहे हैं .	హేయ , మేము ఇ పపుడే ఫా ర టీ ఫ ు ట కి వెళ తుననా ము .
तुम मुझे यह चीजें सि खा सकते हो	నాకు కొ ద ది గా అ ంగ ం గురించి నువవు బో ధి ంచాలి
मैं समझ ती हूँ , वह मेरी रकष ा करने की कोशिश कर रहा है .	తను ననను కా పా డ ాలని చూ సతుననా డని తెలుసు .
तो तुम प ॉ श हो या स पो र टी हो .	అయితే నువవు పా ష లేదా స పో ర టీ అమమాయి వి .
हाँ , हमने सु ल ह कर ली थी .	అవును , మేము దానని ప కక న పెటట ే శా ము .
तो मेरे सम मान की रकष ा कर रहे थे ?	అయితే నా ప రు వు ని నువవు ఎందుకు కా పా డు తుననావు ?
- नहीं थो प पा या . मैं . . . - नहीं , थो प सकते थे , टॉ म . सकते थे .	- నేను చేయ లేక పోయా ను . నేను చేయ లేక . . . - లేదు , నువవు చేయ ాల సింది , టా మ . నువవు చేయాలి .
हम तुमहारी देख भा ल करेंगे . ठीक है ? अपनी आँख मत छ ू ना . शा बा श .	మేము నినను జా గర తత గా చూ సు కుంటా ము . సరేనా ? నీ క నను ము టటు కో వడానికి పరయతని ంచ కు . అంతే .
हाँ . अब जब तुम मेरे सामने हो , तो मैं सी धे पूछ सकती हूँ .	సరే . ఇపపుడు మీరు నా ముందు ఉననారు కాబటటి , నేను నే రు గా మిమమలని ఒకటి అడుగు తాను .
इ ंदर धन ु ष वाला छो टा सा चि ह न दिखा ते .	ఆ చెతత చినన రె యి న బో రి బబ న పెటటు కు ని ఉండ ాల సింది .
- खैर , हमें चल ना चाहिए , है न ? - हाँ , मैं . . . कयोंकि हमें . . .	- సరే , మేము ఇం క వెళల ాలి , అవును కదా ? - అవును , నేను అన బో తుననాను . . . ఎందుకంటే మేము . . .
शायद , तुम मेरे साथ चल ना चा हो गे ?	బహుశా , నువవు కూడా నాతో కలు సతా వని అనుకో వచచా ?
मुझे लगा कि तुमहारी बह नों ने तुमहें बता दिया होगा .	మీ అ కక లు మీకు చెపపి ఉంటా రు అను కుననా .
- ठीक है , अ ल वि दा . - अ ल वि दा .	- సరే , ఉంటా ము . - బె .
जान , मुझे माफ . . .	బంగా రం , ననను కషమించు . . .
तर बू ज खाना चा होगी ?	నీకు ఇం కో పు చచ కా య కా వ ాలా ?
और एक ला ल बा लों वाली है , पर कभी - कभी .	ఇంకా ఎ ర ర పిలల ఉంది , కానీ కొనని సా ర లే ఎ ర ర గా ఉంటుంది .
अब भी यहाँ कयों ख डे हो ?	ఇంకా ఇకకడ ే ఎందుకు ని ల బడి ఉననావు ?
वह बंद करो . एक - दूसरे की तरफ ऐसे देखना बंद करो .	అలా చేయడం ఆ ప ండి . ఒక ళల న ొక ళలు వె ర రి మొ హ ాలు వే సు కు ని చూ సు కుంటుననా రు .
मैंने अभी - अभी मै री ट रे सी को करि समस ड रे सि ंग गा उन में	కరి సమ స డ రె స సి ంగ గ ౌ న తొ డు కకు ని ష ె డ డు వెన కాల ని ల బడి మే రీ ట రే సీ దొ ంగ చా టు గా
अचछा ? कुछ रो मा ं . . .	అవునా ? ఏదెనా ఆ స కతి కర ంగా . . .
यह कॉ नर है , और यह टॉ म है .	వీ డి పేరు కొ న ర , ఇంకా వీ డి పేరు టా మ .
कि से मा रो ?	ఏం ష ూ ట చేయాలి ?
बि बी , चलो .	బీ బీ , కా నివ వు .
म लि न - सै रा गो जिन दवा रा नि र मि त	మ ాలి న శా రా గో జి న రచ న
- माफ करना . पकका यह बहुत मुशकिल . . . - इससे तुमहारी जिंदगी बर बाद हो गई .	- కషమి ంచాలి . అది మీకు క ఠ ి న మెన ది కా వచచు . . . - ఏ ది ఏమెనా , నా ఉదదేశం , అది మీ జీవి తా నని నా శ నం చేసి ంది .
तुमने कयों . . . कया इ वा को पता है ?	నువవు అసలు ఇది ఎ పపుడు . . . ఈ వా కి ఈ విషయం తెలుసా ?
मुझे लगा था कि इससे मुझे . . .	అది ననను సంతోష ంగా ఉ ంచు తుంది అను కుననా . . .
पर कोई एक आँख वाली ले सब ि यन ब ला न ड का पा ल न - पो ष ण नहीं कर रही है .	బ లా న డ ని ఒ ంటి క నను లె స బి యన పె ంచడం లేదు కదా .
- नहीं . - नहीं ? चा य या कॉ फी लो गे ?	- లేదు . - లేదా ? మీకు టీ కానీ కా ఫీ కానీ కా వ ాలా ?
ठीक है . तुमहें जा ँच करनी चाहिए .	సరే , నువవు తన మూ త రా నని పర ీ కషి ంచాలి అనుకుంటా .
खास कर तब जब कार में कोई गा र वी लडकी हो .	ముఖ య ంగా గా ర వీ ఆడ పిలల కారు లో ఉ ంద ంటే ఇలా ంటి వి జరుగు తా యి .
हमें तुमहारी यहाँ जरूरत है .	నీ అవసరం మాకు ఉంది .
कोई ए म बु लें स बुला ओ !	ఎవరెనా అ ం బు లెన సు ని పి లవ ండి !
वह उसे देखना भी नहीं चाहती है . और वह उसके लिए कुछ भी करे गा .	ఆమె అతని వెపు చూడ లే కపో తోంది . కానీ తరువాత అతను ఆమె లో ని ఒక భా గా నని తన తో తీసుకు వెళ తా డు .
पर जैसे ही यह बढ ता है , अपनी दा ई को बुला ओ . समझ ी ?	కానీ అది మళలీ బాగా పె రిగి తే గ నుక , మీ మ ంత ర సా ని ని పి లి పి ంచండి , సరేనా ?
तुमने चा य या कॉ फी पी ?	మీరు టీ కానీ కా ఫీ కానీ తా గా రా ?
मुझे यहाँ मौ जू द होना चाहिए था .	నేను ఇకకడ ఉండ ాల సింది .
धनयवाद .	ధనయవాదాలు .
उसकी म ृ त बहन के क पडे .	అవి చని పోయి న వాడి అ కక దు సతు లు .
सा ँ स ले ते रहो .	శ వా స తీసుకు ంట ూ ఉ ండు .
तुमहें भी कभी ऐसा पयार हुआ था ?	నీ జీవితం లో ఎపపుడ యి నా పరే మ ని ష ే ధం జరిగి ందా ?
तो , उसके सिर का छे द भे द य होगा .	కాబటటి , అతని త లలో చి లలు బా హా ట ంగా నే ఉంటుంది .
उसे यकीन है कि कुछ ग ड ब ड है .	ఏదో గ ంద రగ ో ళ ం జరిగి ందని తను నమ ము తుననా డు .
पता नहीं .	నాకు తెలియదు .
पता नहीं .	నాకు తెలియదు .
पता नहीं .	నాకు తెలియదు .
कोई बात नहीं .	ఫర వాలేదు .
और तुम सबसे बु री पो कर पार ट नर हो . सच में .	నాకు దొ రికి న అ తి చెతత పో కర భా గ సవా మి వి కూడా నువవే . ఎ పపటి కీ .
शायद . . . शायद सबसे बेह तरी न हो .	బహుశా . . . నీకు తెలుసా , బహుశా అత యు తత మ తల లి వి .
और झूठ े थे .	ఇంకా అబ దధ ాల కో రు .
तुम सु ंदर हो . मजा किया हो . स मार ट हो .	నువవు అంద మెన దాని వి . సర దా గా ఉంటా వు . తెలి వెన దాని వి .
शायद लि यो टा र ड भी ख री द ल ूँ .	నేను కూడా చి రు త పు లి డ రె స సు వే సుకో వచచు .
यह तुमहारा राज य है .	ఇది నీ రా జ యం .
वह मर ना चाहते थे .	తను చని పో వాలి అను కుననా డు .
- हाँ , बिलकुल . वह डो ले बना ओ . - ठीक है .	- అవును , సరి గగా అదే . అంటే , ఈ క ండ లు పె ంచే వి ధ ంగా . - సరే .
- तुम नि शा ना लगा लो गी . - हाँ .	- నీ నె పు ణ యం నీకు తిరిగి వ సతుంది . - అవును .
का श वह कभी पै दा ही नहीं होता .	వాడు అసలు పు టట కపోతే బాగు ండ ే దని కో రు కుంటా ను .
हो श में रहो . तुम मुझे सुन रहे हो न ?	నువవు నాతో పా టే ఉ ండు . నా మాట నీకు వి ని పి సతోంది , కదా ?
हाँ .	అవును .
हि सा ब बरा बर .	సట ీ వె నస కూడా అంతే .
कैसा चर च ?	ఏ చ రచ ?
हाँ .	అవును .
धत .	ఛ .
हाँ .	అవును .
हाँ .	అవును .
धत .	ఛ .
भा ड में जाओ .	ఇం క ఆ పు .
हाँ .	అవును .
कया हुआ ?	ఏం జరిగింది ?
उसकी आँख ों से तर ंग ें निकल ती हैं जो किसी भी चीज को ज ला सकती हैं .	అతనికి ఏదెనా కాల చేయ గల శ కతి గల క నను ఉంటుంది .
नहीं रो क सकता .	నేను ఆ ప లేను అనుకుంటా .
- कया हो रहा है ? - घ बरा ओ मत . हम तैयार हैं .	- ఎందుకు అందరూ ఆ ందో ళ న పడు తుననారు ? - ఆ ందో ళ న కాదు . మనం సా ధి ంచా ం .
हाँ .	అవును .
तो फिर मेरे पीछे आओ .	అయితే దయచేసి ననను అను సరి ంచండి .
अभी , बि बी . हमारी ओर उसकी पी ठ है .	ఇపపుడు చూడు , బీ బీ . అతని వె నుక భా గం మన వెపు ఉంది .
पाँच मिनट .	అయి దు నిమిష ాలు .
अजीब बात है , पर नहीं . बस आँख ही तो फ ू टी है .	సర దా గా ఉంది , కదా . ఒక క నను కో ల పో వడం అనే ది కేవలం ఒక క నను కో ల పో వ డ మే .
कयोंकि मुझे इन ज ंग लों का को ना - को ना पता है	ఎందుకంటే ఈ అడ వి లో పరతి అ ం గు ళ ం నాకు తెలుసు ఇంకా నాకు ఇషటం కూడా ,
वह अ चा न क गु स से में आ जाती है . "	ఎలా ంటి హె చచ రిక లే కుండా కో పం తె చచు కు ంటుంది " అని .
कया खो प डी द ं भी दिख सकती है ?	ఒక పు ర రె ఇలా ఆ తమ స ంత ృ ప తి తో నవ వు తూ ఉ ంటు ందా ?
तुम मिल गई , मै मी .	నువవు నాకు దొ రి కా వు , మా మీ .
और पहली डा ं सर अग ली डा ं सर चु ने गी .	పరి చ యం పూర త యి న డా నస తరువాత డా న సర ని ఎ ం పి క చేయాలి .
तो , बाकी बह नों से कब मिल वा ओ गी ?	అయితే , నేను మి గ తా స పె స గర లస ని ఎ పపుడు కల వ గలను ?
ऑ . पर यह सच है .	తను నిజంగా నే అ టు వ ంటి ది .
आँख वाली . हा ला ँ कि , तुमहारी दु र घट ना किसी हो ट ल के बाहर गा ड ियाँ ट करा ने से जयादा ग ं भी र थी .	రెండ వది . అది హో టల వె లు ప ల జరిగి న చినన కారు పరమా ద ం మాతరమే .
