पै निक	పా నిక
फोन , पलीज .	ఫోన లు ఇ చ చేయ ండి .
ए .	హే .
धत .	ఛ .
कम से कम .	క నీ సం .
धत .	ఛ .
कया कह ती हो ?	ఏమ ంటా వు ?
सब कुछ का .	అనని టి గురించి .
मुझे भी डर लग रहा है .	నాకు కూడా భ యం .
यही लगता है , है न ? इसलिए इतने ते ज हो .	ఖచచితంగా అలా నే ఉంటుంది , కదా ? అందుకే అది అంత తెలి వెన పని .
ए , न हा ते समय च प पल पह न ना मत भूल ना .	హే , స నా నం చేసే పపుడు స లి పప రలు వే సుకో వడం గురతు ంచుకో .
अगर घर पर कोई तक ली फ है , तो मुझे बता सकती हो .	నీకు ఇంట లో సమసయ గా ఉంటే చెపపు .
कि किसी वजह से मुझे डर नहीं लगे गा .	ఏదో కారణ ం చే త నేను చేయ లే నని అను కుననాను , నీకు తెలుసా ?
और ऐसा है कि . . .	చి వర కు . . .
यकीन करना है , और कुछ ऐसा ढूँढ ना जिस पर यकीन किया जा स के .	అది నమమ కం ఇంకా నమమ గ లి గి ంది కను గొ న డం .
खु ली है	తె రి చే ఉంది
तुम भी .	నువవు కూడా .
तो , कल रात कया हुआ ?	అయితే , ని నన రాతరి ఏం జరిగింది ?
तुमहारी गाडी के लिए माफ करना .	నీ కారు కు కషమించు .
वह डॉज को ही मिले थे ,	ఆయన చని పోయా క ,
मेरी माँ . . . वह कयों गई ं ?	మా అమమ . . . అంటే , తను ఎందుకు వెళళి పోయింది ?
इसलिए अं ति म परति यो गि ता भा ला मु का ब ला है .	అందుకే చి వరి స వ ాలు జ ౌ సట .
- बताओ . - नहीं , यहाँ नहीं .	- సరే , వి ంటుననా చెపపు . - వదదు , ఇకకడ వదదు .
तो ब ला वह है ?	అదే ంట ది ?
पर तुम खेल रही थी .	కానీ ఆ డా వు .
मिल ती - जु ल ती एक क श ती है , जो बीच न दी में ख डी है .	న ది మధయ లో ఆ గి ఉ ందని చెపపా రు .
एक समय पर एक लडकी थी जो मान ती थी कि अगर उ ड ना सी ख जाए तो	అన గ న గా ఒక అమమాయి ఎ గర డం నే రచు కు ంటే
हैलो .	హే .
नंबर एक पापा	# 1 నానన
पता है ?	నీకు తెలుసా ?
अचछी बात है .	మంచిది .
देखा ? यह देखा .	అది చూశా వా ? సరి గగా అకకడ .
आ दर श रूप से और सच मु च में .	అ ల ం కార పరా య ంగా మరియు అ కష ర ాలా రెండు వి ధ ాలు గా .
पर अगर हमेशा एक ही तरह से जी तने के आ सा र कम हों ?	అవకా శ ాలు ఎపపుడూ ఒక ే లా ఉంటే ?
अचछी बात है .	స రెన ఒ పప ంద ం లా గే ఉంది .
अचछी है .	బాగానే ఉంది లే .
बा प रे . एक दम पढ ा कू हो .	అబబా . నువవు ఒక అదభు త మెన తెలి వెన దాని వి .
एक दम .	ఖచచితంగా .
इसका कया मतलब लगता है ?	దా న రథ ం ఏంటి ?
मुझे ऑ डी ए 4 की की मत बता पा एँ गी ?	మీరు నాకు ఆ డీ ఏ 4 కారు కు అ ంచ నా ధ ర చెపప గల రని అనుకుంటుననా ను .
मुझे लगा	నేను అను కుననాను
तुम और मैं .	అది నువ వ ూ నేనే ఆ డే ది .
मैं बस खुद के लिए जा रही हूँ .	నా కోసం వెళ తాను .
हेदर . ए , तुम ठीक हो ?	హే థర , హే థర . హే , హే , నువవు బాగానే ఉననా వా ?
मुझे डर लग रहा है .	నాకు భ యం .
मैं मान ती हूँ .	నేను ఆ విషయం లో నీ తో నే ఉననాను .
मैं एक सला ह दे ती हूँ .	నీ కో స ల హా .
सुन कर अचछा लगा .	మంచిది .
अपना खया ल रख ना .	జా గర తత .
हेदर !	హే థర ! హే థర !
था .	ఉండే ది .
ऐसा नहीं करो गे ?	చేయ వా ?
वही खेल .	ఆట .
अचछा .	చూ సతుననాను . సరే .
हेदर !	హే థర ! హే థర ! హే థర ! హే థర !
इसलिए	అందు కని నీ కుటుం బం పర తీ కా రం
