पै निक	పా నిక
डॉज मे सन ! अ विश व स नी य ! एक दम अ विश व स नी य !	డా డజ మే స న ! నమమ శ క య ంగా లేదు ! అస స లు నమమ శ క య ంగా లేదు !
हे भगवान .	అయ యో దేవుడా .
- अचछा . - बहुत डर लगता है .	- అవును . - ఇది చాలా భ యా న కంగా ఉంది .
मुझे पता है .	నాకు అది తెలుసు .
हमारे साथ यह करना बंद करना होगा .	మాకు ఇలా చేయడం మా నే య ాలి .
उममीद है पै र को हि ल ने से रो के गा .	నీ క ద లి కను పరి మి తం చే సతు ందని అనుకుంటుననా ను .
आज तुमहारे बारे में है .	ఈ రాతరి నీ కో స మే .
डॉज मे सन , तुमहारी बा री .	డా డజ మే స న , నువవే .
तो , सब ठीक है ?	అయితే , బాగు నన టటే నా ?
अगर हमें जी तना है , तो तै या री जरू री है .	మనం గె ల వాల ంటే హో ం వర క చేయాలి .
- हाँ . - अचछी बात है .	- సరే . - మంచిది .
तुम कहीं और नहीं जा सकते ?	నీకు ఉండే ందుకు ఇం కె కక డా చో టు లేదా ?
- बिलकुल . - और टर ॉ य वै न ?	- పూరతి గా . - ట రా య వయా న సంగ తే ంటి ?
- गो प नी य शर म . - हैलो ?	- అవ మా న కర మెన ర హ సయ ాలు . - హలో ?
के माम ले की सुन वाई होगी .	నా ట లీ వి లి య మస కేసు పరి శ ీ లి సతుంది .
मुझे नहीं लगता कि चु नौ ती में ना श ते का कोई काम होगा .	స వ ాలు లో చి రు తి ండి ఉ ంటు ంద ంటే అను మా న మే .
- अचछा लगा जो तुम आए . - हाँ .	- మా కోసం వచచా వు సంతోష ం . - నాకు తెలుసు .
और कहाँ रह ते हैं . . .	ఇంకా జీ వ నం . . .
बा प रे .	ఛ . ఛ .
कमी ना कहीं का .	చెతత వెధవ .
किसी जगह का पता लगता है या . . .	ఇది జి యో ట యా గ లేదా . . .
तुमने कहा था पै निक में साथ कुछ नहीं होता .	పా నిక లో కలిసి ఆడ టం ఉండ ద ననా వు .
- अचछा . - मु स कु रा ओ .	- సరే . - నవ వు .
बि श प - आज अ दा लत में हेदर नि ल ब नाम नै ट ली वि लि य मस	బి ష ప - ఈ రోజు కోర టు హే థర ని ల వర సె స
अ ड ता ली स से क ंड !	న ల భ ె ఎ నిమి ది సె క నలు !
तुमहें डर नहीं लगता ?	నీకు భ యం లేదా ?
- अचछा . - अचछी बात है .	- సరే . - మంచిది .
जब उसे पी ट ूँगा तो और मजा आए गा .	అలా ంటి వాడిని ఓ డి ంచా క నాకు ఆన ంద ంగా ఉంటుంది .
- हैलो . - हैलो .	- హే . - హే .
कोई बात नहीं .	పర వాలేదు .
- हैलो . - धत तेरी !	- హే . - అబ బో !
मैंने देखा .	నేను అది చూశా ను .
- मि स नि ल ? - धत तेरी .	- మి స ని ల ? - ఛ .
ग री क और रो मन . अरे , बा प रे .	గర ీ కులు , రో మన లు . దేవుడా . అయ యో , దేవుడా .
ऊँ चा ई , ऊँ चा ई से गिर ना .	ఎ త తులు , పడ ే య డం .
हम बस जा ही रहे थे .	మేము ఇ పపుడే వెళళి పో బో తుననాం .
एक , दो , तीन , चार , पाँच , छ ह , सा त , आ ठ , नौ .	ఒకటి , రెండు , మూ డు , నాలు గు , ఐ దు , ఆ రు , ఏ డు , ఎ నిమి ది , తొ మ మి ది .
कया मतलब ले लिए ?	ఆమె తీసుకు ంది అంటే ఏంటి ?
कि तने ?	ఎంత ?
- का श . - सच में ?	- నీ కో రిక . - నిజంగా నా ?
मैंने जो सुना है , बस उ तना ही पता है .	నేను వి నన దే నాకు తెలుసు .
कॉ न ट स से ओ रस ! सी पी ल वज यू !	సీ ఓ ఎ న టీ ఎ స ఎ స ఈ ఐ ఓ ఆర ఎ స ! సీ పీ ఎ ల ఓ వీ ఈ ఎ స ఓ యూ !
चलो !	వెళళ ు !
अरे , हाँ !	అవును !
चलो !	వెళళ ు !
हाँ .	అవును .
शुकरिया . सब कुछ गिर ते - गिर ते बचा .	ధనయవాదాలు . పడి పో యే వే .
मुझे माफ कर दो , नै ट .	కషమించు , నా ట .
अपना गो प नी य पह लू .	తమ ర హ సయ ాలు .
ग ंदा रि ग ली .	చె డ డ దాని వి రి గ లీ .
ओ लड रि वर रो ड के आ ख िर में जो खे त पडता है , वह पता है ?	ఓ ల డ రి వర రో డ చి వర న పొ ల ం తెలుసు గా ?
नहीं . सुनो .	లేదు , లేదు . వి ను .
ते ई स से क ंड !	ఇ ర వె మూ డు సె క నలు !
डॉज मे सन 5 5 से क ंड में !	డా డజ మే స న 5 5 సె క న లలో పూరతి చేశా డు .
हेदर , यही मौ का है .	హే థర , ఇపపుడు లేదా అసలు వదదు .
धयान रख ना . जब किसी अचछी लडकी का दिल ट ू ट ता है , अचछा नहीं लगता .	జా గర తత . మంచి మన సు లు భ గ న మె తే నాకు న చచ దు .
ए , यहाँ आओ .	హే , రా .
ठीक है .	సరే . అలాగే .
हेदर , तुमहारी बा री !	హే థర , నువవే !
इसे अ भ या स समझ लो .	ఇది శి కష ణ అ ధ యయ నం లా భా వి ంచు .
शायद .	అవు నే మో .
धत तेरी .	అబబా .
धत तेरी !	అయ యో !
मा ना जाता है कि जि मी और ऐ बी ने इस खेल में हि ससा लिया .	జి మ మీ ఇంకా ఆ బీ ఈ ఆట ఆ డా ర ను కు ందా ం .
तुम जब र द सत हो गे .	ప ూ సు కు ంటే , క ఠ ి న ంగా ఉండాలి .
कैसा है ?	అది ఎలా ఉంది ?
तुमने क माल कर दिया .	బాగా చేశా వు ! నువవు బాగా చేశా వు .
एक , ओ . दो , डी .	ఒకటి అంటే ఓ . రెండు , డీ .
तो ?	ఏంటి ?
किसी भी चीज से ?	దే ని కె నా ?
- दुनिया की सबसे खू बस ू रत म हिला को . . . - लडकी .	- అంద మెన ఆమె కు . . . - అమమా య .
मैं समझ सकती हूँ .	అరథ మ యి ంది .
धयान रख िए गा .	జా గర తత .
अचछी बात है .	మంచిది .
चलो .	పద , పద .
नहीं तो .	నిజ ానికి లేదు .
तुमसे पयार है .	ఐ లవ యూ .
- और अ सर अचछा था . - हाँ .	- అది బాగా ఫ లి ంచింది . - అవును , ఫ లి ంచింది .
घु ट नों पर . हाथ ऊपर .	మీ మో కా ళళ పె కూ రచ ో ండి . చే తులు పె కి .
अचछा ?	ఓ , అవునా ?
अचछा .	సరే , సరే .
रुको .	ఆగు . ఆగు .
अचछा .	సరే , సరే .
पार करने के लिए 9 0 से क ंड हैं , जिस के बाद मु सी ब त में आ जाएँगे	9 0 సె క న లలో దా ట ాలి లే ద ంటే పరమా ద ం ,
पाँच ह जार चार सौ सा ठ ड ॉलर .	5 , 4 6 0 డ ాల రలు .
तो , ए न .	అంటే , ఎ న , ఎ న .
कुछ - कुछ .	కొనని చెపపి ంది .
और उसके पास वि रा सत भी है .	వార సత వం ఉంది .
खेल में हि ससा नहीं लिया .	నేను ఆడ లేదు .
तुम जी त नहीं सकती .	గె లవ లేవు .
तुम किस से डर ते हो ?	మరి నీకు ?
यह लो .	ఇది గో తీసుకో .
सा थी .	భా గ సవా ము ల ం .
चल ते हैं .	మనం ఇకకడ నుండి వెళ దాం .
बस . . .	కేవలం , కేవలం . . .
गरे न री .	గరా న రీ , ధా నయా గా రం .
करना जरू री नहीं .	వదదు .
जरा जो श दिखा ओ !	నాకు అకకడ నుండి వి ని పి ంచాలి ! నాకు అకకడ నుండి వి ని పి ంచాలి !
