गरेस	గరేస
तुम यहाँ आ स - पास नहीं रह ते हो .	నువవు ఇకకడికి దగగర లో నివ సి ంచ వు కదా .
ई श वर की माँ , प वि तर म रि य म	ప వి తర మే రీ మా తా , దేవు ని తల లీ ,
और थोडा वो ड का डा ला है . मैं कल से पी ना छोड द ूँगी .	అందు లో కొ ద ది గా వో డ కా కలి సింది . నేను రే పు మీ ఇంటికి వ సతాను .
- यह गर म है . गर म है . - करि समस का रा जा आ चुका है .	- ఇది వే డి గా ఉంది . - కరి సమ స రా జు వచచా డు .
मेरा को ट कहाँ है , मै मी ?	నా కో టు ఎకకడ , మా మీ ?
तुमने यह मा इ करो वे व में तो गर म नहीं किया ?	దీని ని నువవు వే డి చేయ లేదు , అవునా ?
मैंने बर स ल स परा उ ट बना या है . और इन हें जयादा देर प का या है , जैसा कि तुमहें पसंद है .	నేను బర సె లస స పర ౌ ట స వ ండా ను . నీకు ఇష ట మెన ట లే , వాటి ని బాగా ఉ డి కి ంచా ను .
दरअसल , एक सवाल है , मि से ज वि लि य मस ,	వా సత వ ంగా , వెంట నే ఒక పర శ న , మి సె స వి లి య మస ,
अब , तुम करि समस के दिन कयों ब खे डा करना चाहती हो ?	ఇపపుడు , నువవు వెళలి కరి సమ స రోజు పెదద గొ డ వ ఎందుకు చేసతా వు ?
पुलिस ? मेरे तीन बचचे हैं . मैं जेल नहीं जा सकती .	పోలీ సా ? నాకు ము గ గు రు పిలల లు ఉననారు . నేను జె లు కు వెళల లేను .
कैसा नया दा वा ?	కొతత క లె యి మ ఏంటి ?
जै र लड फि शर . तुमहारे पिता जी का बॉ स .	జె రాల డ ఫి ష ర . మీ నానన య జ మా ని .
थ ॉ मस कला फि न , कला फि न ए ंड सं स .	థా మస క లా ఫి న . క లా ఫి న అ ండ స నస నుండి .
हे भगवान , इसका स वाद भ द दा है .	దేవుడా , ఇది రో త గా ఉంది .
- तुम . . . तुम कया कर रही हो ? - माफ करना .	- నువవు . . . ఏం చేశా వు ? - కషమించు .
हे भगवान .	ఓహ , దేవుడా .
हे भगवान .	ఓహ , దేవుడా .
हे भगवान .	ఓహ , దేవుడా .
यु वा लोगों के लिए अजीब नाम है , नहीं ?	ఈ శ తా బ ద పు కు ర రా ళ లలో ఇది వి చి తర మెన పేరు , కదా ?
. . . मुझे भी कुछ बता ना है .	. . . నేను కూడా ఒక విషయం చెపప ాలి .
- मुझे यह ठीक नहीं लगता है . - देखो .	- ఇది నా ఉద యో గం కాదు . - చూడు .
- तुमहारे लिए ड रि ंक ख री द सकती हूँ ? - नहीं , जरूरत नहीं है .	- నీకు ఒక డ రి ంక కొ నివ వ నా ? - లేదు . నువవు కొ న దదు .
धत , एक साल हो गया .	ఛ , ఏ డా ది కింద ట వచచా ను .
तुमहारा कया मतलब है ? कया मतलब तुम सं दि ग ध हो ?	అను మా ని ంచడం అంటే ఏంటి అనుకుంటుననా వు ?
एक सम र पि त पा रि वा रिक वय क ति , और श ौ किया ठ ि ठ ो लिया था .	శ ర దధ గా కుటుం బా నని చూ సు కునే వాడు , ఇంకా అతను ఔ త సా హి క హా సయ గా డు .
कम से कम तुमने अपने स मार ट जू ते पह ने हैं .	క నీ సం నువవు చ కక ని బ ూ టలు తొ డు కకు ని సిదధ ంగా ఉననావు .
कया यह पहले से ट ू टा था , या . . .	ఇది అంత కు ము ందే వి రిగి పోయి ందా , లేక . . .
देखो , अगर तुमहें लगता है कि कोई ग ड बडी है , तो हम वह ढूँढ ल ेंगे .	చూడు , అకకడ ఏదెనా అన వే షి ంచాలి అని నీకు అనిపి సతే , అపపుడు , మనం వెళలి వె తు కు దాం .
बात बस इतनी सी है . बात को समझ ो .	ఇ దంతా దాని కో స మే . నా ఉదదేశం , ఇలా చూడు .
अं डा और पया ज ? मान ो तुमहें पता था कि मैं आने वाला हूँ .	కో డి గు డ డు ఇంకా ఉ లలి పా యా ? నేను వ సతునన టలు మీకు ము ందే తెలి సిన టలు ంది .
तुमहें एक अचछी जै के ट चाहिए .	నీకు మంచి జా కె ట అవసరం .
हाँ , यह मैं ही हूँ . तुम मुझे कैसे जानते हो ?	అవును , నేనే . నువవు నాకు ఎలా తెలుసు ?
तुम शान दार हो . यह आ धि का रिक है .	నువవు అదభు త మెన దాని వి . ఇది అ ధి కా రి కం .
और हम गरेस को इससे दूर रख ेंगे .	మనం గరేస ని ఈ విషయం లో ద ూర ంగా ఉ ంచు దాం .
यह कु त ते का बि स तर है ?	ఇది కు కక ప కక కదా ?
यह शान दार है . कृपया , एक म सा ज देना .	ఇది అదభు త మెన ఆలోచ న . దయచేసి నాకు మ సా జ చేయి .
वह कमी ना मर चुका है , और हमें हमारी बहन वापस मिल गई . बस यही जरू री है .	ఆ చెతత వెధవ చచ చా డు , మన అ కక మనకు ద కకి ంది . అదే మనకు ముఖ యం .
हाँ . हमें सच में उस कमी ने की याद आए गी .	అవును . మేము నిజంగా నే ఆ చెతత వెధ వని మి స అవు తా ము .
वह बी मा डि टे क टि व मुझसे कई सवाल पूछ रहा था .	ఆ బీ మా డి టె క టి వ ఇంత కు ముందు ననను చాలా పర శ నలు అడి గా డు .
शायद इसमें कुछ कं क ड घु स गए हैं .	ఇ ందు లో ఇ సు క పడి న టలు ఉంది .
मैं अपनी बह नों के साथ थी .	నేను నా చె ల లె ళల తో కలిసి ఉననాను .
कया हुआ ? ह ँ स कयों रही हो ?	ఏంటి ? దే ని గురించి నవ వు తుననావు ?
रुको , नहीं . हम बस चाहते हैं कि तुम अपने मन की बात क हो .	ఆగు , వదదు . నువవు ఏం చెపప ాలను కుననా వో అది చెపప ాలని మే ం కో రు కుంటుననా ం .
हे भगवान . मैं अके ली रह ती हूँ .	ఓహ , దేవుడా . నా ఇంట లో నేను ఉ ంటుననా ను .
पिता , पु तर और प वि तर आत मा के नाम पर . आ मी न .	మనం ఈ భ ూ మి కి సమ ర పి సతుననా ము . ఏ మెన .
- करि समस की ब धा इ या ँ , रॉ जर . - करि समस की ब धा इ या ँ , गरेस .	- హ యా పీ కరి సమ స , రో జర . - హ యా పీ కరి సమ స , గరేస .
- धी रे से . एक बार में एक ऊँ ग ली . - . . . तुमहारी हि म मत कैसे हुई ?	- మె లల మె లల గా . ఒక సారి ఒక వే లు . - . . . నీ కె ంత ధ ె ర యం ?
वह वो लडकी नहीं रही , जै सी पहले थी . वह शा ंत और छो टी होती जा रही है .	తను ఇది వర క టి లా లేదు . కర మ ంగా మ ౌ న ంగా , స నన గా అయి పో తోంది .
कया ?	ఏంటి ?
मैं सु ंदर होना मि स करती हूँ .	నేను అంద ంగా కనిపి ంచి చాలా కాల మెంది .
या चि पस .	లేదా చి ప స .
- मुझे अचछी जै के ट कयों चाहिए ? - नया बी मा दा वा .	- మంచి జా కె ట నాకు దే ని కోసం ? - కొతత ఇ నస ూ రె నస క లె యి మ కోసం .
रुको .	ఆగు .
बो लो , इ वा , जान .	చెపపే య , ఈ వా .
कं बल ले लिए ?	దు పప టలు ఉననా యా ?
बिलकुल नहीं .	ఖచచితంగా పం ప ను .
मै ट , माफ कर दो . मै ट . मै ट .	మయా ట , మన ని ంచు . మయా ట .
बढिया त ंग जै के ट .	చ కక ని బి గు తె న జా కె ట .
मै ट .	మయా ట .
पर सुनो .	కానీ వి ను .
मैंने एक बेवकू फी की .	నేను ఒక పిచచి పని చేశా ను .
कया ?	ఏంటి ?
हाँ , बेशक वे एल वि स के लिए तो नहीं आए होंगे .	అవును , నిజం , వాళలు ఎ ల వి స కోసం ఇకకడికి వచచా రని అనుకో ను .
किसी की मौ त हुई है . सच में , थोडा सम मान करो .	ఒక వయకతి చని పోయా డు . నిజంగా , కొ ద ది గా మర యా ద గా పర వర తి ంచు .
गाडी रो को . भगवान के लिए , गाडी रो को .	నువవు కారు ని అలా ప కక కు ఆ పు . దయచేసి ప కక న ఆ పు .
मैडम जी , जाने का समय हो गया है .	మ హా రా ణ ీ , ఇం క బయ లు దే రాల సిన సమయం వచచింది .
उप - शी र ष क अनु वाद क : म ून क लि ता	ఉ ప శ ీ ర షి కలు అ నువ ది ంచిన ది స తీ శ కు మార
अभी नौ भी नहीं ब जे हैं .	ఇంకా తొ మ మి ది కూడా కాల ేదు కదా .
जू री मुझे बेहद पसंद करती हैं .	నయా యం ననను ఇష ట పడు తుంది .
तुम अब भी सु ंदर हो .	ఇ పపటి కీ అంద ంగా నే ఉననావు .
करि समस की ब धा इ या ँ , मै मी .	హ యా పీ కరి సమ స , మా మీ .
खैर , अब दोनों की बू आ रही है , ब धा ई हो .	సరే , మన ఇదద రం కం పు కొ డు తుననాం , కాబటటి అభి న ంద నలు .
बै का ने बताया नहीं कि हम अ ना थ हैं ?	మేము విష ా ద పు అ నా థ ల ం అని బె కా నీకు చెపప లేదా ?
अभी और हमारी म ृ त यु के पल में , हम पा पि यों के लिए परा र थ ना कीजिए .	మా పా పు లను , ఇంకా మా మ రణ సమయం లో మా కోసం పరా రథ ి ంచు .
वह चाहती है कि वह मर ने के बाद भी आ राम से रहे .	అతని పర లో క జీవితం బాగా స ౌ కర య ంగా ఉండ ాలని ఆమె కో రు కు ంట ో ంది .
भ ु ग ता न करने से पहले , हमें बस कुछ वि वर ण चाहिए .	మీకు డబబు లు ఇ చ చే ముందు , మీ దగగర కొనని వి వర ాలు సే కరి ంచాలి .
अगर तुम स टा र टर बना रहे हो या बना चु के हो ,	మీరు ఇ పపటి కే సటా ర టర వ ండి నా లేదా వ ండ టానికి సిదధ మ యి నా ,
नहीं . नहीं , मैं बस . . . मुझे . . .	లేదు , నేను కేవలం . . . నేను
नहीं . देखो , कुछ भी सं दे ह जन क नहीं मिला , पर फो टो देखो .	సరే , లేదు . చూడు , అను మా నా స పద ంగా ఏమీ కనిపి ంచ లేదు కానీ ఆ ఫో టో ని చూడు .
" ने की और कर ु ण ा मेरे शे ष जी वन तक मेरे साथ र हें गी ,	" ఖ చచి త ము గా మంచి తన ము మరియు దయ నా జీవి తమ ంతా ననను అను సరి ంచు గా క ,
अगर अ ंत ये ष टि में श रा ब ही पर ो स नहीं रहे हो , तो अ ंत ये ष टि आ यो जि त ही कयों करना ?	కార య కర మ ం ము గి ంపు లో మ ందు లే నపపుడు , ఈ కార య కర మ ం పెటట డం దే నికి ?
तुम ठीक हो ?	బాగానే ఉననా వా ?
यह सही नहीं लग रहा है .	ఇది స రెన ది గా అనిపి ంచడం లేదు .
सै ंड वि च गर ल	శా ండ వి చ అమమాయి
यह बस बु रे , भ द दे ज ख म को कु रे द ने जैसा है .	ఒక ఘ ో ర మెన , దారు ణ మెన కే క మీద మ ంచు ప ూ త మా ది రి గా ఉంది .
अरे . . . मेरा सिर !	చూడు . . . నా తల జా గర తత !
हम उसे खो रहे हैं .	మనకు తను దూ రం అవు తోంది .
मुझे उससे न फ रत है !	వా డ ంటే నాకు చాలా అస హ యం !
मैंने बच प न से वहाँ एक बार भी तै र ना नहीं च ू का . मैं ठीक र हूँ गी .	నా చినన త నం నుంచి నేను ఒకక సారి కూడా ఈ త కి వెళల కుండా ఉండ లేదు . నేను బాగానే ఉంటా ను .
उसने उसे प जा मा पह ना या है .	తను అతనికి పె జ మా డ రె స సు వే సింది .
वैसे भी , उस दिन हम साथ समय बि ता ने की यो जना बना रहे थे . कोई बात नहीं .	ఆ రోజు మనం కలు సు కు ందా ం అను కుననా ం కదా . అది మంచి ఆలోచ న .
ठीक है , यह रहा एक और .	సరే , ఇకకడ ఇం కొ క టి ఏదో ఉంది .
बस दिल का द ौ रा न पड वा लेना .	గు ండ ె పో టు తె చచు కో కు .
सच में ?	నిజంగా నా ?
कि सम त वाली मै मी , हाँ ?	అద ృష ట వం తు రాల ె న మా మీ , అవునా ?
- कमी ने को मार दो . - कमी ने को मार दो !	- ఆ చెతత వెధ వని చం ప ాలి . - ఆ చెతత వెధ వని చం ప ాలి !
कुछ ग ड ब ड है . अगर कुछ अ वै ध हुआ , तो हम भ ु ग ता न नहीं करेंगे .	అదే మి టో అరథం కా వడం లేదు . అది స హే తు క మెన ది కా ని ప కష ంలో మనం డబబు లు ఇవవ బో ము .
हे भगवान !	దేవుడా !
हाँ . बे कस , कृपया , कं बल ले लो गी ?	ఉననాయి . బె కస , దయచేసి వాటి ని తీసు కొ సతా వా ?
- कया वह बी मार था ? - नहीं .	- అతను అ నా రో గ య ంతో ఉననా డా ? - లేదు .
उसका लि ंग ख डा था .	అతని అ ంగ ం స తం భి ంచింది .
यह तुमहारा सै ंड वि च है ?	ఈ శా ండ వి చ మీ దే నా ?
मुझे यह बेहद पसंद आया .	ఇది నాకు న చచి ంది .
अपनी औ का त कम मत करो , गरे सी .	నీ పరమా ణ ాలు ఎపపుడూ త గ గి ంచ కు , గరే సీ .
पर मैं कुछ नहीं ला ई . . . मुझे लगा हम अपने तो हफ े कल देंगे .	కానీ నేను దీని ని తీసుకు రాల ే దే . . . మన బహు మ తులు రే పు ఇ చచు కు ందా ం అను కుననాను .
- यह बेहद शान दार है . - " फर ै ंक . "	- మీ అంద రి తో , ఇలా చ కక గా ఉంది . - " ఫ రా ంక . "
मेरे पास तुमहारा नंबर नहीं है .	మీ నె ం బ రు నా దగగర లేదు .
म ंद ी के द ौ रा न , बिना पैसे के एक नया वय व सा य शुरू करने के नाम .	ఆ రథ ి క మా ంద యం వలల డబబు లు లేని సమయం లో కొతత వయా పా రం పరా రం భి సతునన ందుకు అభి న ంద నలు .
तो , एक बार और पढ लो . नहीं .	సరే , దీని తో నే కాల కష ే పం చేయి . లేదు .
कल रात ? नहीं .	ని నన రాత రా ? లేదు .
हाँ , आ ख िर कार .	అవును , మొ త తా నికి .
- किसी को और कुछ चाहिए ? - नहीं .	- ఎవరి కె నా ఇం కే మెనా కా వ ాలా ? - మాకు చ ాలు .
तुम कल हमारे साथ तै र ने चलो गी ?	రే పు మా తో పాటు నువవు కూడా ఈ త కు వ సతా వా ?
कया तुम बस मुझे खुश रह ने नहीं दे सकती ?	ననను మీరు సంతోష ంగా ఉండ నివ వ రా ?
मुझे तुमहारे लिए बेहद खे द है .	మీకు కలి గి న విష ా దానికి వి చా రి సతుననాను .
कृपया , ज ॉन . . . अग ले करि समस में .	దయచేసి కో పప డ కు , జా న . . . . వచచే కరి సమ స కి .
तुम कया करते हो ?	నువవు ఏం పని చేసతా వు ?
- कया ढूँढ रहे हो ? - मेरी गो लिया ँ .	- దే ని కోసం వె తు కు తుననావు ? - నా మ ందు బి ళల లు .
कया तुम कुछ बोल ने से पहले थोडा सोच ो गी ?	నువవు ఏదెనా మాటలా డే ముందు నీ మె ద డు ని ఉ ప యో గి ంచ గల వా ?
और उसकी बेटी , ब ला न ड के लिए परा र थ ना करते हैं .	గరేస , ఇంకా కు మార తె బ లా న డ కోసం ఈ రోజు మనం పరా రథ నలు చే ద దా ము .
उसे पता नहीं चल ना चाहिए कि हमने कया किया .	మనం ఏం చేశా మో ఆమె తెలుసు కో లేదు .
- ई श वर , हमारी परा र थ ना सुन ें . - माफ करना . माफ करना .	- పర భు , క రు ణ తో మా మాట వి ను . - కషమించు .
एक पि ल ला .	ఒక కు కక పిలల .
इसकी चिंता मत करो .	దాని గురించి ఆ ందో ళ న పడ కు .
कया एक फ ला सक काफी है ?	ఒక ఫ లా స కు సరి పో తుంది అంటా వా ?
यहाँ आओ . शा बा श .	ఇలా రా . బాగా చేశా వు .
पू र व - बॉ स .	మా జీ య జ మా ని .
माफ करना .	నా కష మా ప ణ లు .
वि वर ण ?	వి వర ాలా ?
डै ड हि सा ब में इतने भी मा ह िर नहीं थे , समझ े ?	నానన కి గొపప నె పు ణ య ాలు ఉననాయి , కానీ అ క ౌ ంటి ంగ రా దు , సరేనా ?
- वह हमेशा से ही शा ंत थी . - बकवास .	- తను ఎపపుడూ మ ౌ న ంగా నే ఉండే ది . - అది చెతత మాట .
- करि समस की ब धा इ या ँ ! - करि समस की ब धा इ या ँ .	- హ యా పీ కరి సమ స ! - హ యా పీ కరి సమ స .
तुमहारे व जन से घर को कष ति पहुँ चे गी .	నీ వలల మన ఇ లలు కూ లి పో వచచు .
- हे भगवान . - वह मजाक था ?	- ఓహ , దేవుడా . - అది ఒక చెతత జో కా ?
अब है , और हमेशा रहे गा , बिना अ ंत का सं सा र . "	ఇపపుడు ఉనన మా ది రి గా , ఎ పపటి కీ కూడా , పరప ంచా నికి అ ం తు లేదు . "
और उममीद है अपना र वै या भी ठीक कर ले गी , अस भ य कमी नी कहीं की .	తన పర వర తన కూడా మా రచు కు ంటు ందే మో , చెతత మనిషి .
पर सच कहूँ तो , मैंने जयादा डर म ब जाने वा लों को डे ट किया है .	నేను కొ ంత మంది డ ర మ వాద య గా ళల తో డే టి ంగ చేశా ను .
पकका कोई इस साल बहुत अचछी ब नी रही .	ఎవరో ఈ ఏ డా ది చాలా మంచి గా పర వర తి ంచిన టలు ఉననారు .
कया लगता है वि ध वा कौन सी है ?	వీ ళ లలో మ ృ తు డి భా రయ ఎవరు అనుకుంటుననా వు ?
धनयवाद , नर स . इतनी जानकारी काफी है .	ధనయవాదాలు , న రస . ఇం క ఆ పే య .
पर अगर इससे भ ु ग ता न में परे शा नी हुई तो ? मेरा मतलब , मैं . . .	కానీ దాని కారణ ంగా బీ మా క లె యి మ ఆ గి పో తే ? నా ఉదదేశం , అది లే కుండా నేను బ త క లేను . . .
और मेरा भी .	నా య జ మా ని కూడా .
यह खतम हुआ .	ఇం క అయి పోయింది .
शायद , मैं बस घ बरा गई थी . मैं . . . वह . . .	నేను ఊ రి కే కంగా రు పడి పోయా ను అనుకుంటా . నేను . . . అతను . . .
कै सी हो ?	ఏంటి సంగ తి ?
हाँ . नहीं , बेशक .	అవును . లేదు , అది నిజం .
आप नहीं .	నినను కాదు .
पर स ों ? तुम बताओ .	ఎ లలు ండి ? మీరు చెపప ండి .
तो पुलिस इसकी जा ँच कर रही है ?	అయితే పోలీసు లు ఈ కేసు ని పరి శ ో ధి సతుననా రా ?
आज हम ज ॉन प ॉल वि लि य मस और उसकी पया री प तनी , गरेस ,	జా న పాల వి లి య మస , అతని పరి య మెన భా రయ
इतने उ त साह के बाद , मेरे पास कुछ खबर है .	ఈ ఉ త సా హం అంతా అయి ంది గ నుక , నేను మీకు ఒక విషయం చెపప ాలి .
तो , इसमें बस थोडा सा वि ने गर और श ै लट है .	అయితే , కేవలం కొ ద ది గా వె ని గర ఇంకా చినన ఉ లలి పా య నీ కోసం .
पर वह उसके वि रु द ध कुछ नहीं बोल ती है .	తను కూడా వాడిని ఎదు రి ంచ దు .
उसके ट ु क ड ों को म श रू म के बा ग में द फ ना ती .	ము కక లు ము కక లు గా చేసి కు కక గొ డుగు ల భ ూ ము లలో పెటట ాలని ఉంది .
बि ग सम ो क में .	ఆ హ , పెదద పొ గ న గ రం .
भगवान के लिए , ऐसा मत करो .	అలా చేయ కు , దయచేసి .
तुमहारे पास पे पर प ले ट है ?	ఒక పే పర ప లే ట ఉందా ?
- साथ ही उसकी सा लि यों के लिए भी . . . - ए .	- ఇంకా అతని మర ద ళలు . . . - హేయ .
- यहाँ आओ . - चलो यह घर में करें , ठीक है ?	- ఇలా దగగర కు రా . - ఆ ము చచ ట ఇంటికి వెళ లా క చే దదాం , సరేనా ?
बद मा श	గు చచ డ ము
- ई श वर , हमारी परा र थ ना सुन ें . - बै का . चलो भी .	- పర భు , ఆ ల కి ంచు . - బె కా . చూ సుకో .
चलो भी .	చ ాలు .
तुम सच में उ दार हो , रॉ जर .	నిజంగా నువవు బాగా ఆలోచి ంచా వు , రో జర .
कहाँ जा रही हो ?	నువవు వెళలి పో తుననా వా ?
बी मा ?	బీ మా నా ?
बस शा ंत हो जाओ .	నువవు పర శా ంత ంగా ఉ ండు .
म लि न - सै रा गो जिन दवा रा नि र मि त	మ ాలి న శా రా గో జి న రచ న
हाँ , पुलिस रि पो रट पढ ो .	సరే , పోలీ స రి పో ర ట దగగర కు వెళ లు .
हाँ , मैं बस . . . मैं अचछी तरह अ ल वि दा कहना चाहता था .	అవును . నేను వెళ తుననాను . . . కానీ స రెన వి ధ ంగా వీ డ కో లు చెపప ాలి అను కుననాను .
कृपया , कोई जरूरत हो तो बता ना .	నేను చేయ గల సహా యం ఏదెనా ఉంటే దయచేసి చెపపు .
अब नहीं रही .	ఇం క ఆ అవసరం రా దు .
है न , ब ला न ड ?	అవును కదా , బ లా న డ ?
प जा मा ? कयों ?	పె జా మ ాలా ? ఎందుకు ?
कया तुम ट करा ना चाहती थी ?	ఏంటి , కారు ఢ ీ కొ టట ాలని అను కుననా వా ?
यह आ खि री वाला है .	ఇదే చి వరి ది .
थ ॉ मस कला फि न .	నేను థా మస క లా ఫి న .
यह करि समस की पू र व सं ध या है . अब हम तुमसे मिल ही नहीं पा ते हैं .	ఇది కరి సమ స ప ండు గ . ఇం క నినను ఇ పప ట లో చూడ లే ము .
- तो फिर तुम हमें छोड आओ ? - बेशक नहीं . मैंने खुद एक गि ला स पी थी .	- సరే , అయితే నువవు డ రె వ చేసి మమ మ లని ది ంపు తా వా ? - ఖచచితంగా , ది ం ప లేను . నేను కూడా తా గా ను కదా .
ब ला न ड , तुमहारी माँ कहाँ है ?	బ లా న డ , మీ అమమ ఎకకడ ?
वाह . बढिया है .	అదభు తం . గొపప గా ఉంది .
क सम से , अगर उसने एक और बार उसे " मै मी " बुला या . . .	త నని అతను మర ొ కక సారి " మా మీ " అననా డ ంటే , దేవు డి మీద పరమా ణం చేసతుననా ను . . .
किन परि स थि ति यों में ?	ఏ పరిసథి తు లలో ?
धनयवाद .	ధనయవాదాలు .
धनयवाद .	ధనయవాదాలు .
और प वि तर आत मा की ज य हो .	మరియు ప వి తర ఆ తమ కూ కీ ర తి కలు గు గా క .
कया ? कैसे ? डै ड कभी . . .	ఏంటి ? ఎలా ? నానన కి ఎపపుడూ ఇలా . . .
मेरे सौ ते ले भाई के साथ .	నా స వ తి సోద రు డు .
बहुत - बहुत धनयवाद . करि समस की ब धा इ या ँ .	మంచి ఆలోచ న . హ యా పీ కరి సమ స .
बस एक नए दा वे में कुछ समस या एँ हैं .	అది కేవలం , ఒక కొతత క లె యి మ లో కొనని సమసయ లు ఉననాయి .
पता नहीं .	నాకు తెలియదు .
हे भगवान .	అయ యో , దేవుడా .
ठीक है . करि समस की ब धा इ या ँ .	సరే . హ యా పీ కరి సమ స .
जिस में पकका मैंने काफी समय ले लिया . मैं बस . . .	నేను ఇ పపటి కే ఎకకువ సమయం తీసు కుననాను , అనుకుంటా . నేను ఇం క వెళల ాలి . . .
पता नहीं . उसे ग ठ िया है . और वह अ ल सर भी .	నాకు తెలియదు . వాడి కి పు ళలు ఉననాయి . ఇంకా అ ల సర కూడా ఉంది .
या तुम खा ली समय में जो भी करते हो . . . रुको .	లేదా నీ చినన ఇంట లో ఏం చేయ ాలను కుననా వో చేసుకో . . . ఆ తలు పు ఉ ంచండి .
कया हम . . .	మనం కలి శా మా . . .
बस कुछ सवाल पूछ ने हैं .	అంటే , కేవలం కొనని పర శ నలు అడ గ ాలి .
- हाँ , पर मुझे . . . - तुम अभी काफी स द मे में हो . माफ करना .	- అలాగే , కానీ నేను మాటలాడ ాలి . . . - మీ మన సు లో చాలా ఆలోచ నలు ఉ ండి ఉంటా యి . కషమి ంచాలి .
कयों न मैं तुमहें एक मु फ त म सा ज द ूँ ?	నీకు ఉ చి తంగా మ సా జ చేయ నా ?
ये तुमहारे लिए हैं .	ఇ వి నీ కో స మే .
अके ले खाना खाना . अब मेरे साथ भी यही होगा .	ఒకక రి కే భ ో జ నం ఉంది . ఇక నుండి నా పరిసథి తి కూడా ఇలా గే ఉంటుంది .
मैं बा थ ट ब में ही रहना चाहती हूँ .	నాకు కొ ద ది సే పు ఈ స నా న పు తొ టట ె లోనే ఉండ ాలని ఉంది .
जो भी हो , सभी सं गी त कार ों में बे सि सट मेरे पसंद ी दा हैं .	అది ఎంత విషయ మో నాకు తెలియదు , కానీ రి థ మ వి భా గ ంలో బా స వా యి ంచే వాళల ంటే నాకు ఇషటం .
वह एक दु र घट ना थी . कोई जा ँच नहीं होगी .	అది ఒక పరమా ద ం . అకకడ . . . అంటే , అకకడ వి చా రణ ఏ దీ జరగ లేదు .
इसलिए ऐसा लग रहा है कयोंकि तुमहारा श री र बेहद अजीब और लं बा है .	ఎందుకంటే నీ శ రీ రం వి చి తర ంగా , పెదద గా ఉంది .
वह तुमहारे जी जा जी थे , बि बी .	అతను నీ బా వ , బీ బీ .
हाँ .	అవును .
काफी भी ड है .	జ నం బాగానే వచచా రు .
कया हुआ ?	ఏమి టా విషయం ?
हाँ .	అవును .
हमारी सा री चिंता एँ दूर हो जाएँ गी .	మన బాధ ల ననీ సమ సి పో తా యి .
इससे उनहें खा द मिल जाती .	అవి పె రగ డానికి ఆ చెతత ఉ ప యో గ పడు తుంది .
ह री भ री च रा गा हों में मुझे सु ख से वह रख ते हैं ,	ప చచి క బయ ళ లలో ననను ఆయన ఉ ంచు తా డు ,
मेरी सं वे द ना एँ .	నా సం తా పం .
तुम ?	నువ వా ?
कया पी रही हो ?	నువవు ఏం తా గు తుననావు ?
तुम कया करती हो ?	నువవు ఏం పని చేసతుననా వు ?
- कया मतलब ? - पर मैं अके ली थी .	- నీ ఉదదేశం ఏంటి ? - కానీ ఒ ంట రి దానిని అయ యా ను .
- ई श वर , हमारी परा र थ ना सुन ें . - वे यहाँ गरेस के लिए आए हैं .	- పర భు , వి ను . - వాళలు గరేస కోసం వచచా రు .
" य हो वा मेरे ग ड रि या हैं , मेरे पास स दा सब कुछ रहे गा .	" పర భు వు నా కా పరి , నేను ఏ దీ కోర ను .
उसे एक नया वि त ती य नि दे शक चाहिए ,	ఒక కొతత ఫ ెనా న షి య ల డె రె క టర కోసం అతను చూ సతుననా డు ,
शायद अब भी एक तो ह फा बचा है .	కరి సమ స చె టటు కింద మర ొక బహు మ తి ఉ ంద ను కుంటా .
वर ना मैं तुमहें जरूर देख ती .	నినను ఎకకడ ో చూశా నని ఖచచితంగా అనిపి సతోంది .
लोग हर दिन मा रे जाते हैं .	రో జ ూ ఏదో కారణ ంతో జ నం చని పో తూ నే ఉంటా రు .
मेरी प तनी बि स तर से उ ठ नहीं सकती है .	నా భా రయ మ ంచ ం ప టటి ఉంది .
हाँ . हाँ . वह हमारे जी जा जी थे .	అవును . అతను మా బా వ .
हाँ . तुम आ सकती हो ?	అవును . నువవు ఇ టు వెపు రా గల వా ?
उसे यह सब पता है .	అతనికి ఆ విషయ ాల ననీ తెలుసు .
यह देख कर मजा आया ?	నీకు న చచి న ది ఏమెనా చూశా వా ?
तुम ठीक हो ? बै का ?	నువవు బాగానే ఉననా వా ? బె కా ?
और अब , हम ज ॉन प ॉल वि लि य मस को ध र ती को सौ ं प ते हैं ,	అందు వలల , ఆ త ండ రి మరియు తన యు డు ఇంకా ప వి తర ఆ తమ లని సమ రి సతూ జా న పాల వి లి య మస ని
हम उनहें पुलिस को इसमें शा मिल करने नहीं दे सकते .	మనం ఇ ందు లోకి పోలీసు లని లా గ లే ము .
- सच में ? - शायद . हाँ .	- అవునా ? - అదే అనుకుంటా ను . అవును .
वे और सवा दि ष ट बन सकते थे .	అవి బాగా ఉననాయి .
मैं ल ंद न में था .	ఏ మో , నేను ల ండ న లో ఉననాను .
सत रि यों में आप धन य हैं ,	ఆడ వారి య ందు నీ వు ద ె వా శ ీ స సు లు పొ ందా వు
मैं अ ल वि दा कह ने आया था .	సరే , నేను వీ డ కో లు చెపప డానికి వచచా ను .
तुम गर भ व ती हो ?	నువవు గర భ వ తి వి అయ యా వా ?
उसे ग ह रे पा नी में ड ु बो दे ती .	లో తు గా ఉనన స ము ద రం లోకి వాడిని బ ల ంగా తో సే య ాలి .
सं भ ल कर जाना .	జా గర తత గా చూ సుకో ండి .
