सा ला !	అబబా !
स टा र ला इट , तुमहारा सा थी ए - ट रे न	సటా ర లెట , నీ స హ చ రు డు , ఏ - ట రె యి న , పర జ లు ద ృష టి ని ఆ కర షి ంచారు .
मैं यह परे स कार य कर म छोड कर नहीं	నే నీ పర ె స కార య కర మ ాల నుండి తపప ి ంచుకో లేను . నాకు జే బు లు లేవు .
हमने सोचा कि इसका बच प न सा धा रण हो ,	మనం వాడు తన చినన త నం వీ లెన ంత మా మూ లు గా గ డి పి తే మంచి దని అను కుననా ము .
स का रात म क तरी के से , ना री सु ल भ तरी के से ,	మనం సా ను కూ ల ంగా , సత రీ వాద ంతో , స ాలో చ న తో కానీ పర ో త సా హ కర ంగా . . . ఎ కకడికి ? ఏంటి ?
हैलो , टो नी सि से रो ज के	టో నీ సి సి రో స లో ఎ ండ లె స పా సతా వీ కకు సవా గ తం .
राज नी ति वि ज ञ ा न पढ ने वाली	ఒక ఒ బర లి న నుంచి రా జ యా ంగ శా స తర అమమాయి తో తి ననాను .
तुम कहाँ हो ? मुझे मिल गया .	ఎ కక డు ననా వు ? ? అది దొ రికి ంది . భయ ంగా ఉంది . ఫోన చేయ ! !
हमें एक - दूसरे का खया ल रख ना था	మనం ఒక రి న ొక రం కని పెటటు కు ఉండాలి , కానీ నువవు మా య మ యి పోయా వు .
उनहोंने बताया कि तुम हर रो ज मेरे	నువవు నా గ ది కి పరతి రోజు వచచి నా కోసం పరా రథ ి ంచా వని వాళళు చెపపా రు .
कै र ल , अगर मैं ई मान दार होता हूँ तो	కె ర ల , నేను నిజ ా యి తీ గా చెపప ాల ంటే , నీకు అసలు ఏం కావాల ో నాకు తెలియదు .
डॉ न ला रस न ने खुद उस पर द सत खत किए थे ,	దాని పె గే మ 5 లో పర తయ రథ ి కి ఒకక ప రు గ ూ ఇవ వని డా న లా రస న స వయ ంగా స ంత కం చేశా డు .
कोई बात नहीं . . . तुम . . .	ఫర వాలేదు . . . నువవు . . . నువవు తరువాత ది పటటు కుంటా వు .
तो फिर , तुमहारे लिए	సరే , నువవు తెలుసు కో వాల సిన సమ య మొ చచి ంది .
पिछ ली बार मैंने खू मी ,	కరి తం సారి పు టట గొ డుగు లు గ ూ గ ూ డ ాల స క చే రీ లో
- कै म रा रो लि ंग .	- రో లి ంగ . - ఎకకడ పరా రం భి ంచాలి ?
अचछा . देख िए , खास त ौर पर , असल में ,	సరే . అంటే , చూడు , దానికి పర త యే కి ంచి , వా సత వ ంగా నా దగగర సమా ధా నం లేదు ,
पर इससे कया फर क पडता है	కానీ హ ీ రో లు అమమాయి ల యి తే ఏంటి అబబా యి ల యి తే ఏంటి ?
य दि मैं तुमसे कहूँ	నేను అతను సరి గగా మీ వె ను కే ఉననా ర ంటే ?
मेरे लिए	నాకు
मेरे लिए	నాకు
मेरे लिए	నాకు
हो म लै ंड र काफी परे शान है	హో ం లా ండ ర నుండి ఈ సమా చా రం దా చ బడి ందని బాధ పడ డా డు .
तुमहें वापस जाना चाहिए .	నువవు తి రి గె ళళ ాలి . పి యా నో పా ఠ ాలు అయి పో యు ంటా యి .
सी आई ए उसे हमेशा के लिए अंदर कर दे ता	సీ ఐ ఏ అతని ని ఎ పపటి కీ జె లు లో పెటట ే ది , ఆమె ఇం కె పపుడు అతని ని చూడ లే కపో యే ది .
ह यू ई के साथ रह कर ,	హ యూ య ీ మీ ఇదద రి నీ బ ల హ ీ ను లను చేసా డు .
ऐसा करते वकत , तुमने उसकी बडी ,	నువవు అలా చే సతునన పపుడు ఆమె పెదద , బా ధా కర మెన క ళళ లోకి చూశా వా ?
अ मरी का सच में खुश कि सम त है	తమ కోసం అంత సా హ స వ ంత మెన హ ీ రో పో రా డ టం అ మె రి కా అద ృష టం .
- इसका कया मतलब हुआ ?	- దా న రథ ం ఏంటి ? - ఆమె నాకు ఇ చచి న చి రు నా మా .
मैंने वा दा किया था	నేను నీ ఇంటికి మళళీ రా నని మాట ఇ చచా ను .
- हैलो , बे क का .	- హే , బె క కా . - ఏం జరుగు తోంది ?
मैं यह कभी नहीं चाहता था .	నే ని ది ఎపపుడూ కో రు కో లేదు . కానీ వారు ఎపపుడూ స రెన వా రే .
- ए ली ना . . .	- ఎ లీ నా - నువ వి క వెళళ ాలి .
बकवास है . उसने तो बस	అబబా , ఛ ా . ఆమె నీ ఛ ా తి పె చేయి పె టటి ంది అంతే .
और वह सी आई ए से कह कर ,	సీ ఐ ఏ మన రి కార డు లు చె రి పే సే లా ఆమె చే సతుంది .
मैं खू बस ू रत नहीं हूँ .	నేను కా ను .
और पता है मुझे कया लगता था ?	నేను ఏం అను కునే దా నన ో తెలుసా ? " ఎవరు ప టటి ంచు కుంటా రు ? " అని .
माँ कह ती हैं कि अके ले में ,	ఒ ంట రి త నం లో నినను నువవు బాగా తెలుసు కో గల వని అమమ చెపపి ంది .
देखो , मैं बस चाहती हूँ	చూడు , నా బి డ డ సా ధా రం ణ ంగా ఉండ ాలని అనుకుంటుననా ను .
कोई भी और त दूस री बार	ఒక మ హి ళ కా వాలని కో రు కో ని ది మ రో ము కకు సర జ రీ .
गरेस , मुझे पता है	గరేస , రే న ర ను ఎవరు చం పా రో నాకు తెలుసు .
" और ई श वर उनकी आँख ों से	" ఆయన వారి క నను ల పరతి బా ష ప బి ందు వు ను తు డి చి వే యు ను ,
- अचछा , मैं चला .	- సరే , నేను వెళ ు తుననాను . - ఎ కకడికి ?
मजाक कर रहे हो कया ?	హా సయ మా డు తుననా వా ? నే ని ది ఇపపుడు తీసుకో లేను .
जब तुमहारे चे ह रे से	నీకు తెలుసా , నీ మొ హం పె చ ర మ ం చె కకు తునన పపుడు
शि वि र को बर बाद कर दिया ,	క యా ం ప ను , దాని చు టట ూ ఉనన గరా మ ాలను కూడా నా శ నం చేశా డు .
तुमहें बडी मुशकिल हो रही है	నువవు కష ట కాల ం ఎదు ర కొ ంటుననా వు ఈ మధయ నీకు మంచి భా వ న కల గ డం లేదు
च क कर चल रहा है ,	హో ం లా ండ ర కు తెలియ గానే నీ పని పడ తా డు .
मैं नहीं चाहती	నువవు ననను ఇక మీద ట ద వే షి ంచ కూడ దని .
पर मैं मरी नहीं , इसलिए ,	కానీ చని పో లేదు , క న క నువవు ననను కా పా డ ాల సిన అవసరం లేదు .
मान ो हमारी कोई अ हम ि य त ही न हो ?	మనం దద ద మమ ల మా ?
कब ?	ఎ పపుడు ?
चार ों ओर ला श ें बि छ ी हुई थीं .	అంత టా శ వ ాలు .
माफ करना कि मैंने	వీ రి లో త మని కా పా డు కునే తెలి వు ందని నమ మా ను
मैं नहीं चाहती	అతను నీ క లా చేయ ాలని నేను కో రు కో ను .
जब मैं इसकी उ मर का था ,	వాడి వయ సు లో నేను ధ వని అ వర ో ధా నని వి చ ఛ ి నన ం చేసతుననా ను .
चलो , इन बेवकूफ ों को	రండి , ఈ మూ ర ఖ ు ల ఆ త మా భి మా నా నని స ంత ృ ప తి ప రు చు దాం ,
हमें तो यही लगता है	మనం అనుకో గ లి గి ంది , అతను వి సు గే సి వెళళి పో తా డు .
हाँ , देखा , मैंने व ॉ ट की	సరే , చూడు , నేను వా ట ఫో రెన సి క ని వే ది కను చూశా ను ఇంకా . . .
तुमहें पयार का ह क है , के वि न .	నువవు పరే మి ంచ బడ డానికి అర హు డి వి , కె విన . కానీ అది నీ తో నే మొద ల వు తుంది .
आगे मत बढ ना .	వదదు .
आ ली शान शो क गु ल द सता , साथ में	వె ట చా క లెట లో ము ంచిన అ నా స పా వు రం బ ొ మమ లతో డీ ల కస బం ధ ు వి యో గ ప ూ ల గు తతి .
कया आप द से वे न की	సె వెన కొతత స భ యు ర ాలి ని కల వడానికి సిదధ మే నా ?
यह बीच वाली कु र सी	ఈ మధయ కు ర చి ఇకకడ నుండి తీ సతా రా ? ధనయవాదాలు .
या तुमहें लगता है	లేదా నినను ఈ స డి ంచు కుంటా డని అనుకుంటుననా వా ?
कि उस सु पर ही रो ने	సూ పర హ ీ రో ఒక వ ృ దధ మ హి ళ ను రెండు గా చ ీ ల చి నా ?
ये दोनों पह लू	ఎ పపటి కీ సు ఖ దు ః ఖ ాలు రెండ ూ ఉంటా యి .
कं प नी ने त य किया है	సం సథ అతని ని ఇంకా బాధ పెటట కూడ దని నిరణ యి ంచు కు ంది .
मै लि सा डे बरा ओ स की के साथ	మె లి సా డబ రో స కీ తో కేవలం స నని హి త సంబం ధం కంటే ఎకకువ , తెలుసా ?
टो नी सि से रो ज	టో ని సి సి రో స ఫ యా మి లీ రె సటా రె ంట
- मैं कहाँ हूँ ?	- నేను ఎకకడ ఉననాను ? - టో నీ సి సి రో స లో .
देखो , बात इतनी सी है	నువవు అ ణి చి వే సిన శ కతి చే త ని రో ధి ంచ బ డు తుననావు అంతే .
दोबारा मेरे और	నువవు మళళీ నా కూ నా భా రయ కు మధయ వ సతే ,
सच में , आने के लिए शुकरिया ,	నిజంగా నా , వచచి న ందుకు ధనయవాదాలు , కానీ నీకు ముఖ య మెన ప ను లు ఉ ండి ఉంటా యి .
और अगर बन ूँ भी तो	ఒక వే ళ నేను చే రి తే , నీ క ది ఇ బబంది గా మార కూడదు .
. . . पिछ ले म ही ने की	. . . గ త నె ల నె ల కొ ల పి న అత య ధి కం కంటే ప ది శా తం త కకువ .
तब मैं चाहता हूँ	నువవు ననను గురతు చేసుకో వాలి , దొ ంగ మొ హ ందా నా .
और उनके न व जा त बे टे ,	ఆమె చ ంటి బా బు కు అ పా యం తల పె టటి న టటు ఆ రో ప ణ , థ ి యా డో ర .
नहीं . मैं बडी बहन हूँ .	లేదు . నేను నీ అ కక ను . నీ కోసం నేను తిరిగి రా వాలి , కానీ . . .
- हाँ .	- సరే . - అవును .
दो पह र तक स था नी य च ै ने ल होंगे ,	మ ధ యా హ నం వర కు దే శ ీ ఛ ా నె ళళు , ఒక కో దానికి ప ది నిమిష ాలు , 2 : 00 వర కు వి దే శ ీ వి .
फिर , तीन घं टे बाद ,	మూ డు గంట ల తరువాత నేను టో నీ సి సి రో స లో మే ల కొ ననాను .
- अचछी बात है .	- గురతు ంచు కుంటా ను . - అతని అ చూ కీ లేదు .
देखो , भा ड में जाए यह दुनिया	చూడు , మంచి గా ఉండ టానికి బాగు ండ టానికి మధయ గ ంద రగ ో ళ పరి చే పరపంచ ం సంగ తి వదిలే య .
अचछा . हम यह खेल	సరే . మన మి ది ఇది వర కు మాటలా డా ము , ధనయవాదాలు .
तुमहें उसे साल की	నువవు ఆమె కు టీ చ ర ఆ ఫ ద ఇ య ర అ వార డు అ ంది ంచ ాల సు ంది ,
तुमहें लगता है	నువవు ననను ఆ శ య రయ పర చ గల వని అనుకుంటుననా వా ?
कुछ बता सकती हो	అమమాయి లు అద ె లా పూరతి చేసతా రో తెలియ చేసతా రా ?
ब डे दे व दार जू नि पर	లా ర జ పె నస జ ూ ని పర క ాలి బా ట లేదు సె యి ంట అ గ సట ీ న గ లా స
कुछ रात ें पहले ,	కొనని రా తరు లకు ముందు , జె ర సీ లోకి సూ ప ఉ గర వా ది
कि तुमने उसे	పెటటా వని సంతో షి సతా డని అనుకుంటుననా వా ?
कयोंकि मेरा बेटा	ఎందుకంటే నా కొ డు కు ఈ భ ూ మి పె న సా ధా రణ చినన పి లలా డి గా
हैलो थी न का टी का .	హలో థ ే న ఇం జ కష న . నా వ దద ఇ వి రెండు మాతరమే ఉననాయి , హా ?
उसने कभी नहीं सोचा	ఆమె ఎపపుడూ మర యా ద గా ఉండ ాలని లేదా బాగు ండ ాలని ప టటి ంచుకో లేదు .
चु प हो जाओ !	నో రు మూ సుకో ండి . నో రు మూ సుకో ండి అంతే !
भा ड में जाओ तुम .	పో వే .
पो रट लै ंड से स िए ट ल तक ,	పో ర టల యా ండ నుండి సి యా టె లకు , తరువాత ఏం రా బో తు ందో చూ సతు ండ ండి , కే ఎ ం ఎ ఫ టి .
जब आप ग रह के	ఈ భ ూ మి మీద పరతి ఒకక రి కంటే ఉనన తంగా ఉండ టం
कयोंकि तुमने	ఎందుకంటే నువవు నీ పరి యు ర ాలి ని చం పే శా వు .
हमें सच में	మేము నీ గురించి చాలా ఆ ందో ళ న చె ందా ము .
आ राम से बैठ ो .	కష ణం వి శ రా ంతి తీసుకో ండి . నాకు కు రచ ీ ఇ సతా రా ?
- मुझे बाहर निका लो .	- ననను బయటకు రా నివ వ ండి . - నువవు మా నుండి ఎ పపటి కీ తపప ి ంచుకో లేవు .
तुमहें पता था ?	నీ క ది తెలుసా ? ఎవరెనా తమ కు తా ము అలా చేసు కుంటా రా ?
मतलब , हमें तो बस	అంటే , మేము అంద రం మా పని లో సా మ రథ యం కలి గి ఉండాలి అంతే గా ?
- जब र द सत .	- అభి - మ - నో హ రం . - చాలా మంచిది .
पर , मेरे पास	అయి నా , నేను ఫోన చేయ డానికి నాకు ఎవరూ లే రు .
व ॉ ट की उ पा ध य कष	అతని పె వా ట ఉ పా ధయ కష ు లు మా డ లి న స టి ల వె లను హ తయ చేసి ,
ब गल के चर च में ,	పొ రుగు న ఉనన చ ర చి లో దా దా పు రెండు డజ న ల పోలీసు లు ఉననారు .
मुझे पता है	నేను మీకు ఏం చేశా నో నాకు తెలుసు , సరేనా ?
कहीं च ली जा ऊ ं गी	తీసుకు ని పా రి పో తాను , ఇక మీరు మమ మ లని ఎ పప టీ కీ కను గొ న లే రు .
मुझे तो यह	అవి ఎకకువ మ తతు ని సతా య ని అనుకుంటుననా ను .
अगर उसे कभी	అతను నీ గురించి ఎ పపటి కె నా తెలుసు కు ంటే . . .
वह जि ंदा है .	ఆమె బర తి కే ఉంది . వా ట ఆమె ను ఎకకడ ో నిర బం ధి ంచా డు .
जब वह यह जाने गा	అబ దద ం చెపపా వని తెలుసు కుననా క తన కె లా ఉ ంటు ందని అనుకుంటుననా వు ?
अजीब बात है	నిజ ానికి , నీ కి పపటి కే ఒకటి లే కపో వ టం బా గో లేదు .
यह देश अब	ఈ దేశం ఇపపుడు పరప ంచా నిక ంత టి కీ శ తరు వు .
कम से कम ,	ఇకకడ క నీ సం ఒక రికి కొంచెం తెలి వి ఉంది .
पड ो स में	పొ రుగు వారి లో చె డ డ పేరు పొ ందు తుననావు
पी ला घर	య ె లలో రా ంచ హ ౌ స స ూర యు డి కి 6 0 సె .
अरे . हाँ .	హే . అవును . కే ప స ఫర క రె సట అ పపటి నుండి . అవును .
मान लो , अगर ,	నీకు తెలుసా , ఒక వే ళ స పో ర ట స ఇ ల సట రే టె డ తెలుసు కు ంద ను కో ఏమ వు తుంది ?
ए .	హే . హే . హే .
- कट .	- క ట . - ఇంకా రి కార డ వు తుంది .
द	ది బా య స
अचछा .	సరే . నువవు నీ బ ూ ట లో ఏం పెటటు కుననా వు ?
- सच ?	- నిజంగా నా ? - చాలా బాగుంది , కదా ?
