पै ट !	పా ట !
या किसी भी पर कार की हि ं सा का कोई इ ति हा स नहीं है .	ఆ మాట కొ సతే అసలు నా కల యి ంట పె న హి ం స కు పాల పడి న రి కార డు లే వీ లేవు .
हाँ , जरूर . कोई समस या नहीं होगी .	తపప కుండా . మ రే ం పర వాలేదు .
उनहोंने कहा कि हम उस पर आ रो प लगा ने को तैयार नहीं हैं .	అతని పె కేసు వే య డానికి వాళలు సిదధ ంగా లే ర ట .
- हाँ . - तो सुनो .	- అవును . - విన ండి మరి .
मैंने सुना कि तुम . . . मा इ ल ए न ड में रह ते हो ?	మీ ఇ లలు మె ల ఎ ండ వెపు వెళ లే దా రి లో ఉ ందని వి ననాను , నిజ మే నా ?
यह आदमी चा कू लेकर भी नहीं घ ू म ता है .	ఇ త గా డి దగగర క తతి కూడా లేదు .
जहाँ उसकी चा कू मार कर हतया की गई थी .	క తతి పో టల కారణ ంగా చని పోయా రు .
हमने उसे पक ड लिया ? हमारे अ परा धी को ?	అతను దొ రికి న టటే నా ? ఏమ ంటా వు ?
कयोंकि हम में से कोई भी उममीद नहीं छो डे गा , है न ?	ఎందుకంటే , మనం ఎవర మూ ఆ శ వ దు లు కో ము కదా ?
श री मै थि स ?	మిసటర మయా థ ి స ?
और उन में अचछी बन ती है , ए र ॉल और तुमहारी माँ में , हाँ ?	ఎ ర ర ొ ల కి , మీ అమమ కి మంచి సా నని హి త యం ఉందా ?
श री मै थि स ?	మిసటర మయా థ ి స ?
हे ज ले न 9 9 9 क ॉल # ए र ॉल मै थि स को रि हा करो # ए र ॉल के लिए नया य	హ య ీ స లే న 9 9 9 కాల # ఎ ర ర ొ ల మయా థ ి స వి డు ద లవ వాలి # ఎ ర ర ొ ల కి నయా యం జరగ ాలి
च ौ बी स घं टे ? मुझे तीन दिन चाहिए . उनसे क हो कि मुझे तीन दिन चाहिए .	ఇ ర వె నాలు గు గంట లా ? నాకు మూ డు రోజు లు కావాలి . నాకు మూ డు రోజు లు కా వాలని అతనికి చెపపు .
मेरे बॉ य फर ें ड ने उसे उस ी चा कू से कई बार घ ों पा जिस से मुझ पर हम ला किया .	ననను పొ డి చి న క తతి తో నే , ఆమె ని కూడా చాలా సా రలు పొ డి చా డు .
मुझे पक ड स को तो पक ड लो , व ु ल फी .	చే తన ె తే పటటు కో , తో డే లా .
अरे , चलो भी . इस बारे में सोच ो .	అబబా . ఓ సారి ఆలోచి ంచండి .
कृपया , ली सा को फोन वापस दो गी ? बहुत - बहुत धन या व द .	ఫోన లీ సా కి ఇ సతా వా ? చాలా చాలా థ యా ంక స .
- मान सि क कष म ता का आ कल न भे जा . . . - कया ?	- మా న సి క సా మ రథ య వి శ లే ష ణ ని వే ది క పం పా రు . . . - ఏంటి ?
तो , हम उसे केवल 2 4 घं टे हि रा सत में रख सकते हैं . . .	కాబటటి , అత నని మనం 2 4 గంట లే ఉ ంచ గల మ ట . . .
आद त पड गई है .	అ ల వా టు లో పొ ర పాటు .
- बचचे ? - एक .	- పిలల లు ? - ఒక రు .
चलो एक नजर डाल ें .	ఓ సారి చూ దదాం .
- मुझे उनकी जरूरत नहीं थी . - नहीं .	- ఆ అవసరం లేదు . - అవును లే .
चलो भी . आज - कल वे कई च मत कार कर सकते हैं . कुछ भी सं भ व है .	అంటే , ఈ రోజు లలో వె దయ రం గ ంలో చాలా అదభు త ాలు జరుగు తుననా యి కదా . ఏదెనా సా ధయ మే .
नहीं . नहीं , कि म . मुझे त थ य चाहिए .	లేదు , లేదు , కి మ . నాకు కావాల సింది వా సత వాల ే .
मैं एक पुलिस वाला हूँ .	నేను పోలీ సో డిని .
उसने कया कहा था ?	అపపుడు ఎ ర ర ొ ల ఏమ ననా డు ?
वह अचछा आदमी है .	ఎ ర ర ొ ల చాలా మంచి వాడు .
उसने कया कहा था ?	అపపుడు ఎ ర ర ొ ల ఏమ ననా డు ?
स था नी य कष े तर में हि ं सा के इ ति हा स वाला कोई भी वय क ति .	ఆ పరా ంత ంలో గ తం లో హి ం స కు ఎవరెనా పాల పడి న టటు రి కార డు లలో ఉ ందే మో చూడ ండి .
और उनहोंने कहा कि वह दोबारा कभी चल नहीं स के गा .	అతను మళలీ న డి చే అవకా శం లే ద ంటుననా రు .
अब कहाँ जा रहे हैं ?	ఇపపుడు ఎ కకడికి వెళ తుననాం ?
उसकी मदद कौन करे गा ?	ఆమె కి ఎవరు నయా యం చేసతా రు ?
मैं उससे पयार करता था .	నేను త నని పరా ణ ంగా పరే మి ంచా ను .
हम अभी अनु रो ध कर रहे हैं .	ఇ పపుడే ఆ అ భయ రథ న పం పే పని లో ఉననా ం .
तुम बेहद भ द दे हो . पता है ?	మీరు పర మ నీ చు లు . అది మీకు తెలుసా ?
सर , मैंने अभी - अभी टि म और कॉ नर से पूछ ा	సర , ఇ పపుడే టి మ , ఇంకా కా న ర తో
मैं पीछे - पीछे आ ऊँ गी .	నీ వె ను కే ఉననా .
सब को गिर फ तार करें .	వాళల ంద రి నీ అ రె సట చేయాలి .
अस पता ल में हो श आने तक	ఆ సు ప త రి లో నాకు సప ృ హ వచచే దా కా
भ वि ष य में समस या में पड ने से यही बेहतर है	అవి ఇ పపుడే తెలుసు కో వడం మంచిది ,
मेरा नाम डै न है .	నా పేరు డా న .
हाँ .	హా .
- ठीक है . - हाँ .	- సరే . - హా .
अभी - अभी अ ख बार आया है .	ప త రిక లలో ఇం దా కే అ చచు అయి ంది .
कोई अन य तर उ पस थि ति नहीं , साथ ही ख ून के नि शान , दा ँ त से का ट ने के नि शान . . .	అ లి బె లేదు , రక త పు మర కలు ఉననాయి , ప ంటి గా టలు ఉననాయి . . .
मैं बस य ूँ ही कह रहा था .	నేను చెప తుననా న ంత ే .
ली सा - अभी का श माँ की जगह आपकी मौ त होती	లీ సా - ఇపపుడు అమమ కా కుండా నువవు చని పో యు ంటే బాగు ండ ే ది
हाँ .	హా .
मुझे उसकी देख रे ख कर रही हमारी मे डि कल टी म से पूछ ने दी जिए . थोडा इंतजार कीजिए .	అత డిని చూ సు కొ నే వె దయ బ ృ ందా నని అడి గి చెప తాను . ఒకక నిమిష ం .
- यह उस ी की आवा ज है . उसकी आवा ज सुन ना चा हो गे ? - हाँ .	- ఇది అతని స వర మే . వి నా లను ందా ? - అవును .
वे गु ससा नहीं करते हैं ?	ఎపపుడూ కో పప డ టం లాంటి వి జరగ లేదా ?
- पै स ों के . - पै स ों के .	- డబబు విషయం లో . - డబబు విషయం లో .
हाँ , सच कहूँ तो , मैं पागल हो रहा हूँ .	నిజం చెపప ాల ంటే , వాడి విషయం లో నాకు పి చ చె కకి పో తోంది .
जैसे कि , उसका पिता . कितनी देर के लिए , कब - कब आया था .	ఉ దా హ రణ కు , అతని నానన అనుకో . ఎంత సే పు ఉననాడు , ఎంత తర చు గా వచచే వాడు , ఇలా .
हाँ , वह तुमहें नहीं जानता है . उसे याद नहीं है .	అతనికి మీ రె వర ో తెలీ ద ట . గురతు లే ద ట .
तुम एक बी मा री हो .	మీరు అసలు మను ష ు లే కాదు .
तुमने उसे इतनी चो ट . . .	ఎందుకు ఆమె ని . . .
इसलिए समय आ गया है कि तुम मुझे सब सच बताओ .	కాబటటి , ఇ పపటి కె నా నిజం చెపప ండి .
कया वह ठीक है ?	అతను బాగానే ఉననా డా ?
कया वह ठीक है ?	వాడు బాగానే ఉననా డా ?
इ वे ट . तुमहें श री कार डो ना को घर छोड ने जाने में ऐ त राज नहीं होगा , है न ?	ఇ వె ట . ఏ మను కో కుండా మిసటర కార డో నా ని ఇంట లో ది ంపు తా వా ?
मेरे पास एक गवा ह है जिस ने उस दिन आ पा त का ली न से वा ओं को	ఆ రోజు మీ ఫ లా టు లో ఏదో గో ల జరుగు తునన టటు
मेरे सि वा ए , मैं किसी के साथ भी से कस कर सकता हूँ .	నాకు తపప . నాకు అమమాయి అయితే చ ాల బ బా .
हाँ , मैं जल द ही घर आ जा ऊँगा , वा दा करता हूँ . जल द ही .	హా , తవర లోనే ఇంటికి వచ చేసతా . పరమా ణ పూరతి గా చెప తుననా . వచ చేసతా ఇంకా సే ప ట లో .
अरे , यह अचछा सं के त है .	అది మంచి విషయ మే .
तुमहारे फ लै ट में हो रहे ह ं गा मे के बारे में सू च ना दी थी .	ఒక సా కషి , ఎ మర జె నస ీ సర వీ సు లకు కాల చేశారు .
ए र ॉल बस सक ूल से लौ टा था .	ఎ ర ర ొ ల అ పపుడే కాల ే జీ నుండి వచచా డు .
- मैं उससे पयार करता था . मैंने उसे नहीं मा रा . - कोई बात नहीं . ठीक है .	- తన ంటే నాకు పరా ణం . త నని నేను చం ప లేదు . - పర వాలేదు .
अरे , ऑ म ले ट , हाँ . ठीक है , हाँ .	హా , గుర తొ చచి ంది . సరే .
हमें हमारा अ परा धी मिल गया है .	నే ర సథ ు డు అత నే అంటా వు .
हम आपको नि रा श नहीं करेंगे . चिंता मत कीजिए , बॉ स .	నినను నిర శ పర చం . కంగా రు పడ వదదు , బా స .
पास ता ? फ रा इ ज ?	పా సతా ? ఫ రె ంచ ఫ రె స ?
और उस लडकी का कया ?	మరి ఆమె ఎవరు ?
चलो भी . यह कया है ?	బా బో య . ఏం మాటలాడు తుననారు ?
तो कोई तुमहें गलत नहीं समझ े गा , समझ े ?	నీ గురించి ఎవరూ చె డు గా అనుకో రని గురతు ంచుకో , సరేనా ?
बेटी है . उसे जयादा कष ट स ह ना प डा .	పా ప . తను కు దే లె పోయింది .
बेशक सु ंदर भा वना एँ थीं . मुझे माफ कर दो .	అవును లే . ననను కషమి ంచే సే య ండి .
गवा ह का ब यान - जे सन उ मर 1 8 से जयादा - पागल है	సా కషి వా ంగ మూ ల - జే స న 1 8 కు పె నే - ఏం చేసతుననా డో అతని కే తెలీ ట లేదు
कैसा झ ग डा ?	గొ డ వ పడ టం అంటే ?
नहीं .	రాల ేదు .
- मुझे बस पता है ! हाँ . - बस य ूँ ही पता है ?	- నాకు తెలుసు , అంతే . - అంతే నా ?
सुनो . मेरी बात सुनो .	విన ండి . చెపపే ది బాగా విన ండి .
मैं ब यान नहीं द ूँगा .	నేను అ ధి కా రిక ంగా ఇది చెపప ను .
उस बचचे का कया होगा ?	మరి ఆ పి లలా డి పరిసథి తి ఏంటి ?
चलो भी .	రండి .
तो , नहीं , वह ठीक नहीं है .	కాబటటి అతను అంత బాగా లే డ నే చెపప ాలి .
वह सच में शक ति शा ली है , है न ?	అస లెన పు లి కదా అతను ?
कैसा झ ग डा ?	గొ డ వ పడ టం అంటే ?
तुम सुन ना चा हो गे पै ट रिक ने तुमहारे बारे में कया कहा ?	మీ గురించి పా ట రిక ఏమ ననా డో వి నా లను ందా ?
मैं पी आर वि भाग से हूँ .	నేను పీ ఆర శా ఖ లో పని చేసతుననా ను .
- कि अभी सच चा ई पता चले , समझ े ? - हाँ .	- తరవాత ఏ పు రో గ తి లే కుండా చ తి కి ల బడ కూడదు మనం . - సరే .
वह ची ख रही है .	ఆమె కే కలు పె డు తోంది .
चलो भी !	కా నివ వ ండి !
हमें हमारा अ परा धी मिल चुका है .	దో షి మన కి దొ రి కా డు గా .
उनहोंने कहा , " बस उसकी माँ . "	వాళలు " అమమ మాతరమే వచచింది , " అని అననా రు .
" तुमहें कया लगता है हम कौन हैं ? हमारे पास कोई पैसे नहीं ब चे .	" మన మే మ ననా డబబు నన ో ళళ మా ? డబబు లు ఎకకడ ఉననాయి ?
कया यह जान बू झ कर किया गया था ? कया उसने दिमा गी सं तु ल न खो दिया था ?	అది ఉద దే శ పూర వ కంగా జరిగి ందా ? పి చ చె కకి చేశా డా ?
- हमें यह नहीं पता . - हमें यह नहीं पता ?	- అలా అని మనం ఖచచితంగా చెపప లే ం కదా . - ఖచచితంగా చెపప లే మా ?
यह बुरा नहीं है .	చె డ డ పని కూడా కాదు అది .
तुमहारे सिर में शा री रिक चो ट का कोई सब ूत नहीं है .	దానని ఎలా అరథం చేసు కుననా నో , ఇపపుడు మీ ది కూడా అలాగే అరథం చేసు కుంటుననా .
तुमहारी अपनी याद दा श त का कया , कुछ याद आया ?	మీ జ ఞ ా ప కాల పరిసథి తి ఎలా ఉంది , మీకు ఏమెనా గురతు కు వ సతుననా యా ?
कया वह अ क सर बचचे के साथ यहाँ आकर आपकी मदद करती थी ?	పి లలా డిని తీసు కొ ని తను ఇకకడికి చాలా సా ర లే వచచే దా , మీకు సాయం చే సతూ ఉండే దా ?
पर तुमहारे अंदर कया है , तुम कया करने में सक ष म हो ,	కానీ మీ లో ఏ ము ందో , మీరు ఏం చేయ గల రో ,
उसके पास एक जी न स थी , लड कि यों वाली जी न स जिस पर यू निक ॉर न ब ने थे .	వాడి కి అమమాయి లు వే సు కుంటా రు కదా , అలా ంటి జీ నస ప యా ంట ఒకటి ఉంది , దాని మీద యూ ని కార నస ఉంటా యి .
पै स ों के .	డబబు విషయం లో .
अस पता ल ने	ఆ సు ప త రి వాళలు
शायद मैंने तुमहें पहले भी इस बारे में बताया था , पर . . .	నీకు ము ందే చెపపా ను అను కుననా , కానీ . . .
- मैं बस अपना फोन ढूँढ रहा हूँ . - मैंने उसकी हतया नहीं की .	- నా ఫోన కోసం . - త నని చం పి ంది నేను కాదు .
पै ट रिक न शे में बि ता ई . . . एक रात का परि ण ा म है .	తా గి ఉనన పపుడు ఒక రాతరి జరిగి న దానికి పరతి ఫ ల ంగా . . . పా ట రిక పు టట ా డ ట .
झ ग डा नहीं करते हैं ?	గొ డ వ పడ టం ? హా ?
यह उसने किया ?	ఆ పని ఎ ర ర ొ ల చేశా డా ?
कयों पहुँ चा ई ?	అంత క సి గా పొ డి చా రు ?
अचछी चीजें करना अचछी बात है .	అంటే , మంచి ప ను లు చేయడం అనే ది మంచి విషయ మే .
मुझे मेरे घर , मै नि न घ म फ लै ट स में फ लै ट 6 1 6 में घु स ने से लेकर	మా ని ంగ మ ఫ లా ట స లో నేను ఉండే ఫ లా ట అయి న , ఫ లా ట నం బ రు 6 1 6 లోకి నేను పర వే శి ంచిన తరవాత నుండి ,
उसे छोड ो ! छोड ो !	అత డిని వ దల ండి ! వ దల ండి !
तुमहारी माँ यहाँ नहीं है .	మీ అమమ ఇకకడ లేదు .
- हमारे बीच कोई ल डा इ या ँ नहीं होती थीं . - ए र ॉल . . .	- మా కే మీ గొ డ వ లు లేదు . - ఎ ర ర ొ ల . . .
मैं बस य ूँ ही सब के सामने . . . यह सब नहीं कह ता हूँ .	వాటి ని నేను . . . నేను ఎవరి తో అ నను .
तुमहें ऐ त राज तो नहीं होगा न ?	మీ కే ం పర వాలేదు కదా ?
- कया ? - सा त वा ँ प न ना .	- ఏం వే శా రు ? - ఏ డ వ పే జీ లో ఉంది .
तुम सब ले जा चु के हो . "	అన నీ నువవు పటటు కు పోయా వు గా . " అననా .
तुमहें सा व धा न रहना चाहिए .	నువవు ఆ చి తూ చి మాటలాడ ాల సిన అవసరం ఉంది .
उसने कहा कि वह इतना बेवकूफ है और . . .	ప నికి మ ాలి న వా డ ట , ఇంకా . . .
- मैं दिल से दे रही हूँ . - मुझे तुमसे पयार है .	- నిజంగా నే చెప తుననా . - ఐ లవ యూ .
कोई भी आ परा धि क इ ति हा स वाला नहीं मिला .	నే ర చ రి తర ఉనన వాళల ంద రి నీ త ని ఖ ీ చేసి , ఏమీ లే దని తే ల చేశా ం .
डै ड ?	నా ననా ?
इसमें कोई बुरा ई नहीं है .	అదే మీ తపపు కాదు .
हाँ .	అవును .
आदमी ? कौन सा आदमी ?	అత డ ంటే ఎవరు ?
डै ड ?	నా ననా ?
वह चल ब सी .	తను చని పోయింది .
दो हफ त ों का अनु कं पा अ व का श .	సం ఘ ీ భా వ ంగా రెండు వార ాలు సె ల వు లు ఇ చచా రు .
हाँ .	అవును .
कुछ याद आया ?	ఏమెనా గుర తొ చచి ందా ?
हाँ .	అవును .
एक रात को . . .	ఒక రోజు రాతరి వే ళ . . .
हाँ .	అవును .
हाँ , ठीक है . चलो उनके सामने सी सी टी वी फु टे ज को सब ूत के रूप में पे श करें , समझ े ?	సరే మరి . సీ సీ టీ వీ వీ డి యో ను ఆ ధా ర ంగా చూపి దదాం , సరేనా ?
अ ंत में , हमें समय ही नहीं मिला .	చి వ రికి వచచే స రికి , దే ని కీ సమయం లే కుండా పోయింది .
हाँ , पर मुझे उसकी बू बर दा श त नहीं होती है .	నాకు మా తరం ఆ వా సనే పడ ట లేదు .
जिन गर मि यों में उसका दे हा ंत हुआ था .	తను వే స వి లో చని పోయింది .
तुमहारा दोबारा वापस जाना बेवकू फी होगी , है न ?	మీరు సట ే ష ను కు వచచి మళలీ అ కకడికి వెళల ాల ంటే చాలా దూ రం అయి పో తుంది కదా ?
और शायद तुमहारे पास उनकी र सी द ें भी नहीं हों गी , है न ?	వాటి కి ర సీ దు లు ఉననాయి కదా మీ దగగర ?
तुमने अपना आ पा खो दिया था ?	వి చ కష ణ కో ల పోయా రా ?
फिर शुरू हो गए .	మొద లు పె డు తుననా డు బా బో య .
अरे , चलो भी . मैं आ लो च ना नहीं कर रहा हूँ .	అబబా . నేనే మీ త నని అన ట లేదు .
- दा ँ त ों से का ट ने के नि शान ? - मुझे उनके बारे में समझ ा ओ गे ?	- ప ంటి గా ట లా ? - దాని గురించి చెప తా రా ?
स ें ट लू कस के कर म चा रि यों से बात करो .	సె యి ంట లూ కస ఆ సు ప త రికి వెళలి డ యూ టీ లో ఉనన న ర సు లని అడుగు .
वह चला गया .	వాడు వెళలి పోయా డు .
खैर , यह सुन कर खे द हुआ .	నా పర గా ఢ సా ను భ ూ తి తెలియ జే సతుననాను .
यह देखो . कार में . बच चा पीछे है .	అ దు గో . అతను కారు లో ఉననాడు . పి లలా డు వె నుక ఉననాడు .
हि ं सा का कोई इ ति हा स ?	గ తం లో ఎపపుడ ె న హి ం స కు పాల పడ డా డా ?
डै ड , आप घर कब आ एँगे ?	నా ననా , ఇంటికి ఎ పపుడు వ సతుననా వు ?
तुमहें याद है और कहाँ घ ों पा था ?	ఇం కె కకడ ెనా పొ డి చా రా ?
तुम इ कल ौ ते इंसान हो जि से उस बारे में पता होगा	అవ ననీ మీకు ఒ కకడి కే తెలు సతా యి ,
वह 1 7 साल का था .	అపపుడు వాడి కి ప ది హే డే ళలు .
और बू म .	గు ద దే సింది .
कया वह तुमहारा फोन है ?	అది మీ ఫో నే నా ?
वह बेवकूफ कभी सुन ती नहीं थी .	తను పిచచి ది . అతని మాట లని ప టటి ంచు కునే ది కాదు .
तुमहें याद है उसने कया कहा था , कया किया था , जब वह गु स से में चि ल ला या था ?	అలా కో ప ంగా అ రి చి నపపుడు ఏమ ననా డో నీకు గురతు ందా ?
आप घर कब पहुँच ेंगे ?	ఇంత కీ ఇంటికి ఎ పపుడు వ సతుననా వు ?
यह बढिया है .	ఇది భలే మ జా గా ఉంది .
वह बडी बात नहीं थी .	ఏమీ జరగ లేదు .
अचछा ? तुम कया जान ना चाहते हो ?	అవునా ? అతని గురించి నీ కే మెనా తెలుసు కో వాల ను ందా ?
तो तुमहें याद है ?	అయితే మీకు గుర తుంది అనన మాట ?
उसके दोसत उस पर ह ँ स रहे थे ,	వాడిని చూ సి వాడి సనే హి తులు వె కకి రి సతుననారు ,
और वे किस बारे में चि ल ला रहे थे ?	దే నికి అ రు చు కుననా రు ?
कया हुआ ?	ఏంటి ?
इसी तरह .	అంతే .
- उसकी माँ के बारे में कया बताया ? - हाँ .	- అతని అమమ గురి ంచా ? - హా .
और वे किस बारे में चि ल ला रहे थे ?	దే నికి అ రు చు కుననా రు ?
पर वह बे ड रू म में था , दरवा जा बंद था , चा बी नहीं थी .	కానీ అపపుడు అతను బె డ రూ మ లో ఉననాడు , తలు పు లా క చేసి ఉంది , తా ళ ం చె వి కనిపి ంచ లేదు .
चलो . मैं सुन रहा हूँ .	చెపపు . వి ంటా .
ठीक है . सामने देखो . मेरी तरफ देखो .	సరే . ఇ టు ననను చూడ ండి .
- वही है जो यहाँ हुआ था . - नहीं .	- ఇకకడ జరిగి న ది కూడా గురతు లే కుండా చే సతోంది . - లేదు .
मैं तुमहारी मदद करने की कोशिश कर रहा हूँ .	మీకు సా య పడ ాల నే నా ఉదదేశం .
ह टो ! पीछे ह टो !	జరగ ండి ! వెన కకి వెళల ండి !
आप काम से घर कब लौट ेंगे ?	పని ము గి ంచు కొ ని ఇంటికి ఎ పపుడు వ సతుననా వు ?
जा ँच में आपकी मदद करने के लिए तैयार हूँ .	నేను పూరతి గా స హ కరి సతాను .
वह उस आदमी के साथ एक ही छ त के नीचे रहे गा . . .	ఆ మనిషి తో పాటు జీవి సతూ . . .
वह कया है ?	ఏంట ది ?
वा इट कर ॉ स में है . . .	ఈ వయకతి . . .
उसका और पी डि त का कया ? या उसका और किसी और सा थी का ?	అతని కీ , చని పోయి న వయకతి కి ఏమెనా గొ డ వ లు జ రి గా యా ? పో నీ అతనికి , అతని పా త ల వర లకు అయి నా ?
तो , कयों न कहानी बदल द ें ?	కాబటటి , మనం ఆ క థ నా న నే వే రు గా చెపప వచచు కదా ?
तुमहें कभी अपना खुद का बच चा नहीं चाहिए था ?	మీరు పిలల లు క నా లను కో లేదా ?
पकका उसने सब कुछ सुना होगा .	వి ని ఉంటా డు కదా .
बॉ स , दे . . . माफ करना , पर ,	బా స . . . ఇలా అడుగు తునన ందుకు మన ని ంచాలి , కానీ ,
- डी सी आई है गर टी ? - हाँ .	- డి టె క టి వ చ ీ ఫ ఇ నస పె క టర , హె గర టీ ? - హా .
प ौ धे लगा रहे हैं .	మొ కక ల పని .
" मैं 2 0 सि त ंबर 2 0 1 1 को , मेरी सा थी ,	" సె ప టె ం బర 2 0 , 2 0 1 1 న జరిగి న నా ల వర , అడి లె డ బ రో స హ తయ విషయం లో
मैंने बस अपना आ पा खो दिया था .	వి చ కష ణ కో ల పోయా ను .
जो समय कहा जा रहा है , वह उस समय फ लै ट में मौ जू द नहीं थे .	ఆ ఫ లా టు లో లే డని కూడా చెప తుననారు .
वह जी न स . वह लू ट पा ट .	జీ నస . లూ టీ .
- सु ंदर भा वना एँ ! - सु ंदर भा वना एँ .	- అ పు రూ ప మెన కష ణ ాలు . - అ పు రూ ప మెన కష ణ ాలు . అ పు రూ ప మెన కష ణ ాలు .
ठीक है .	సరే .
ठीक है .	సరే .
ठीक है .	సరే .
ठीक है .	సరే .
हाँ . तुमहारे बीच की भा वना एँ ?	హా . మీ మమ కార ాలా ?
- नाम बताओ . - नहीं , नहीं .	- అది మాకు చాలా ఉ ప యో గ పడు తుంది . - లేదు , లేదు .
जब वह बच ची थी , उसे नी ंद ही नहीं आती थी .	అస స లు ని దర పో యే దే కాదు .
आपकी समस या कया है ?	ఇకకడ సమసయ గా మీకు ఏం అనిపి సతోంది ?
देखो , इस सं बं ध में . . .	చూడ ండి , మీరు ఇ చచి న సట ే ట మె ంట విషయం లో . . .
पै स ों के ?	డబ బా ?
पै स ों के ?	డబ బా ?
तुम ठीक हो ?	నువవు బాగానే ఉననా వా ?
पर उसकी मौ त के स द मे के कारण ,	కానీ ఆమె చని పోయి న కారణ ంగా నేను పడి న మా న సి క కష ో భ వల న
उसने तुमहारी माँ से कया कहा था ?	మీ అమమ ని ఏమ ననా డు ?
- तुम शादी करने वाले थे ? - हाँ .	- అవునా ? - అవును .
उसने तुमहारी माँ से कया कहा था ?	మీ అమమ ని ఏమ ననా డు ?
- कोई इ ति हा स है ? - नहीं .	- గ తం లో ఏమెనా జరిగి న దా ఖ ల ాలు ఉననా యా ? - లేవు .
डै न , फिर से मैं बोल रही हूँ .	డా న , మళలీ నేనే .
तुमहें पता है कि वे इसे कया कहते हैं , है न ?	ఇదే ంట ో మీకు తెలుసు కదా ?
तो फिर , ठीक है .	సరే మరి .
ठीक है . ठीक है .	సరే మరి .
तुमने कार ठ ो क दी .	మీరు కారు పరమా దానికి కారణ మ య యా రు .
तुमहें कोई अं दा जा है ?	ఎందు క ంటా రు ?
और तुमहारा च ही ता , ए र ॉल , वह उनके साथ वहाँ द ंग ों में भाग ले रहा था .	మీ ఎ ర ర ొ ల కూడా ఆ అ లల ర లో పాల గొ ననా డు .
छ ह म ही ने पहले .	ఆ రు నె లలు కరి తం చని పోయింది .
- कया , तुमहारे बारे में ? - हाँ .	- మి మమ ల నా ? - హా .
इस बीच , मुझे इस आ पा त का ली न क ॉलर की	ఈ లో పు , ఎ మర జె నస ీ కాల చేశారు కదా , ఎ ర రో ల ఆ సమయం లో ఫ లా టు లోనే ఉననా డని
नहीं . वह अ ना था शर म व ग ै रह में प ली - बढ ी थी .	లే రు . తను పర భు త వ అ నా థా శ ర మ ంలో పె రిగి ంది , తన కి ఎవరూ లే రు , అందు లో ఏ స ందే హ మూ లేదు .
कोई खबर ?	ఏమెనా తెలి సి ందా ?
अरे , भगवान के लिए .	అ యయ బా బో య .
तुम स हम त हो ?	ఓ కే నా ?
हे भगवान .	దేవుడా . ఓ రి దేవుడా .
सी ने में .	ఇంకా ఛ ా తి లో పొ డి చా .
बिलकुल . सौ परति श त .	ప క కా గా చెప తుననా . న ూ టి కి న ూ రు శా తం అత నే .
तुमहें कया खाना पसंद है ?	ఏం తి ంటా వు ?
नहीं . हमें हमारा अ परा धी मिल गया है .	లేదు . అత నే దో షి .
सत रह .	ప ది హే డే ళలు .
तो . . . यही बात है .	కాబటటి . . . మళలీ మొదటి కే వచచింది పరిసథి తి .
और आपको देख िए .	తన జీవితం లోకి మీరు పర వే శి ంచారు .
जल द ही .	తవర లోనే వచ చేసతా .
उसने कया कहा था ? उसने तुमहारी माँ से कया कहा था ?	అపపుడు ఎ ర ర ొ ల ఏమ ననా డు ?
हाँ . कभी - कभी .	హా . ఒక కో సారి అలాగే పి లి చే వాడు .
यह समझ ा ना . . .	తను చని పోయి న ఆ వే స వి క ాలా నని . . .
थोडा जलदी चलो .	కా వాలని అలా ని దా న ంగా న డ వ కు , గు రూ .
हाँ . चलो . चलो चल ें .	సరే . పద .
कया वह मेरे बारे में पूछ रहा है ?	ననను అడి గా డా ?
गया रह .	పద కొ ండు రోజు లు .
अब मैंने तुमहें पक ड लिया है .	దొ రి కా వు గా .
और ?	ఏమ ంటా వు ?
जल द ही .	తవర లోనే . తవర లోనే వచ చేసతా .
उनके बीच झ ग डा हुआ था .	ఇదద రూ అ రు చు కుననా రు .
