- रा यन !	- రా యన !
तुमहें नए वाले की जरूरत है .	నీకు కొతత ది కావాలి .
रा यन ने कभी कै ट स नहीं देख ी !	రా యన క యా ట స చూడ లేదు !
पर जो भी हाथ में आए , उसे इस ते माल करो .	కానీ వీ లె దని ఏదెనా వా డ ండి .
तुमहें परे शा नी भ री ची ख ें सुना ई दे ती हैं .	బాధ తో అ రి చే అ రు పు లు వి ంటా రు .
ए फ डी ए की अप े कष ा करने वाले हैं ,	ఎ ఫ డీ ఏ ను అ లకష యం చే సతూ ,
पर कया पता ? शायद . . .	కానీ ఎవ రికి తెలుసు ? బహుశా . . .
है ना , ए - ट रे न ?	అవును కదా , ఏ ట రె యి న ?
और जान ने के लिए : ड बल यू ड बल यू ड बल यू .	ఇంకా ఎకకువ తెలుసు కో ండి :
अगर हमारे पास कोई ठ ो स सब ूत हो तो ?	ఒక వే ళ గ టటి రు జు వు ఉంటే ?
मैं उसके करी ब हूँ . हाँ .	నేను అతని తో దగగర గా ఉంటా ను . అవును .
भा ड में जा , ना जी कमी नी !	నా పి డి గు దదు తి ను , నా జీ చెతత ముఖ ం !
जब वह मिल जाएगा ,	నేను వాడిని తీసు కొ చచా క ,
प ला न बदल गया है .	పర ణ ా ళ ి క ఇ పపుడే మా రి ంది .
हम दिल से रा यन की भ ला ई ही चाहते हैं .	అంద రికీ రా యన బాగు కావాలి .
और तुमहें ऐसा कयों लगता है कि तुम उस	నువవు ఆ జా తయ హం కార ముఖ ా నని
इसलिए तुम दिल खो ल कर न फ रत कर सकते हो .	అందుకే నువవు ద వే షి ంచ వచచు .
बस करो ! रुको , उनहें तक ली फ हो रही है .	ఆ పు ! ఆ పు , ఆమె ను గా య పర చ కు .
तो फिर तुम भी उस मु सी ब त का हि ससा हो .	ఆ సమసయ లో నేను భా గ మ వు తాను .
मैं भी आप से पयार करती हूँ .	నా కూ నువ వ ంటే పరే మ .
भा ड में जाए वह ना जी कमी नी .	ఆ నా జీ చెతత మొ హ ంది .
कोई बात नहीं .	ఫర వాలేదు .
ऐसा मत क हो . हमारे साथ चलो .	అలా అన కు . మా తో రా .
यह . . . तुमहारी माँ का था .	ఇది . . . మీ అమమ ది .
बु चर का कहना ठीक है .	బు చ ర చెపపి ంది స రెన దే , తెలుసా .
प लै ने ट व ॉ ट में आपका सवागत है !	ప లా నె ట వా ట కు సవా గ తం !
प लै ने ट व ॉ ट में आपका सवागत है .	ప లా నె ట వా ట కు సవా గ తం .
नहीं . रुको .	వదదు , వదదు . ఆగు .
नहीं , मुझे नहीं लगता कि ऐसी बात है .	లేదు , ఖచచితంగా అది కాదు .
मैं समझ ती हूँ	నీ లో నువవు కో ల పో వడం
कया बात है , स मैं था ?	ఏంట ది , సమా ంత ?
कोई गवा ह नहीं मिला .	సా కష ు లు లే రు .
वह . . . छोड ो .	అది . . . ఏం లేదు లే .
कया ? नहीं . तुमहें हमारे साथ चल ना होगा !	ఏంటి ? వదదు . నువవు మా తో రా !
हाँ , कर लिया !	అవును , తీసు కుననా రు !
" दु रा चार " कया होता है ?	" దు రా గ తం " అంటే ?
अपना झ ं डे वाला पि न लगा कर ,	నా జె ండా పి నను తో ,
हो म लै ंड र , हो म लै ंड र .	హో ం లా ండ ర , హో లా ండ ర , హో ం లా ండ ర .
लोगों से चि पक ता हूँ	వాళళ ను కో ల పో తా నే మో అనన భయ ంతో
उनहें " ना जी " श बद पसंद नहीं . बस .	వాళళ కు " నా జీ " అనన మాట
और उनहें देख ने में बडा मजा आता था .	పి లలి మొ గ గ లు వే సే వాడిని .
देख िए , मुझे पता है कि आप चाहते हैं	చూడు , నేను నీ లా ఉండ ాలని
लगता है तुम फिर से नि यु कत करने के लिए	చూ సతు ంటే మీరు పు న రు దధ రణ కు
तो फिर तुमहारे अ ंद रू नी खो ज कार या ल य को	మీ అంత రగ త పరి శ ో ధన బ యూ రో కు
मैं जो चा हूँ कर सकता हूँ !	నేను ఏ చెతత చేయ ాలను కు ంటే అది చేయ వచచు .
एक आदमी है जो कह रहा है कि जिंदगी - मौ त का	అతను బర తు కో చా వో అ ంటుననా డు ,
न ची ख ते हुए पर श ं सक होंगे , न ही	లేదా అ రి చే అభి మా ను లు
तुमहें नहीं छोड सकता था .	ఎపపుడూ వదిలే య ను .
मैं भ ला ऐसा कयों कर ूँगी ?	ఎందు క లా చేసతాను ?
बस . . . च ली जाओ .	వెళళ ండి . . . వెళళి పో ండి .
अचछा , चलो .	సరే , రా వెళ దాం .
- मे हर बा नी करके .	- తపప కుండా .
हाँ .	అవును .
यह कया था !	ఏంటి ది ! ఏంటి ది ?
हाँ .	అవును .
ठीक है . तुम कर सकते हो . हाँ , हार मत मान ना .	వెళ ు తూ ఉ ండు . నీకు వచ చేసి ంది .
जिन में सट ॉर म फर ंट	గొ బె లస ఇంకా గొ రి ంగ తో సహా
अरे , बेटा .	హే , మి తర మా , హే .
और व ॉ ट को अब	ఇపపుడు వా ట సథి ర మెన
हाँ .	అవును .
मुझे पता है कि आपकी जानकारी से ही	సటా ర మ ఫర ంట ను పడ గొ టటి ంది
तुमने जो किया , समझ नहीं आता	నువవు చేసిన దానికి
- तुमसे पयार करता हूँ . एक से ल फी मिले गी ?	- ఐ లవ యూ . సె ల ఫీ తీసుకో నా ?
तुम यहीं रह कर आ राम करो .	మీరు ఇకకడ ే ఉ ండి వి శ రా ంతి తీసుకో ండి .
तुम और कौन से श बद का इस ते माल करो गे ?	ఏ మాట నువవు మాటలాడ గల వు ?
मैं आपको कभी ध ो खा नहीं द ूँगा !	మిమమలని మో సం చేయ ను !
बहुत अचछा है .	అది చాలా బాగు ంటుంది .
मै रि यो से क हो गे कि प नी र के प को डे बना दे ?	మా రి యో ను తవర గా గర ూ యే ర ప ఫ లు
पह नो चाह े न पह नो , मुझे फर क नहीं पडता .	వే సు కుంటా వా లేదా అన వ సరం .
उसने जन ता के सामने य ौ न उ त पी ड न करने की	అ ల సట ె యి ర , అతను బ హి రం గ ంగా
झ ं डे वाले पि न के बिना ,	దీ నికి జె ండా పి న లే కుండా వెళళ లేను .
मुझे लगता है तुमहें जाना चाहिए .	నువవు వెళళ ాలను కుంటా .
यह अब ज ंग का रूप ले चुका है ,	ఇ పపు డి ది ఒక యు దధ ం ,
मुझे लगता है यह पह ल करना था .	అది చ ొ ర వ అనుకుంటా .
मुझे तुमहारे दोसत पसंद हैं . खास कर ह यू ई .	నాకు నీ సనే హి తులు న చచా రు .
उन अ परा ध ों को लेकर भी , जो तुमने किए थे .	నువవు చేసిన నే ర ాలను కూడా .
अगर तुमहें दिल च स पी हो तो .	నీకు ఆ స కతి ఉంటే .
हम ऐसे दिख ते हैं , इसलिए	చె డ డ వారు మన లని గా య పర చ ాలను కుంటుననా రు ,
चलो . सोच ो . . .	కా నివ వు . ఊ హి ంచుకో . . .
मैं चाहती हूँ कि तुम गवा ही दो .	నువవు సా కష య మి వ వాలి .
अचछा लगा कि तुम यहाँ आए , सट ै न .	మీరు ఇంత దూ రం రా వడం
मैंने तुमहारे लिए यह कभी नहीं चा हा था .	నీ క లా జరగ ాలని అనుకో లేదు .
- अचछा है ना ?	- చాలా బాగుంది , కదా ?
अगर तुम स वय ं भगवान को ,	నువవు స వయ ంగా దేవు డిని తీసుకు వచచి నా ,
टा वर में तो तुमसे नहीं मिल सकता ना ?	అంటే , ఇపపుడు నేను మీ తో
ए , गो श त के साथ बि ग हो मी खा कर देखना .	హే , నువవు ప ంది మా ం సంతో
मैं कै ट स में सभी बिल लि यों के नाम	క యా ట స లో పి లలు ల పే రలు
धत तेरी !	అయ యో !
माफ कीजिए .	ప కక కు తపపు కో ండి .
धत तेरी .	అయ యో .
और फिर एक दिन , वह च ली गई ं	ఆ తరువాత ఒక రోజు ఆమె వది లి వెళళి పోయింది ,
कया हुआ ?	ఏంటి ?
एक ही रो को लेना शो धन है ,	ఒక హ ీ రో వి డు దల ,
मैं हमेशा ऐसा कह ता हूँ ,	" ఈ కొ యో టీ ఎందు కి లా చేసతా డు ? అనుకుంటా .
नो आर अब किसी काम का नहीं रहा .	నో య ర లో సప ంద న లేదు .
. . . सट ॉर म फर ंट और	. . . ఆ రో పి త నా జీ తో సటా ర మ ఫర ంట
चिंता मत करो .	కంగా రు పడ కు , పి చచ ో డా .
दो को लेना कम जो री है .	రెండు బ ల హ ీ నం .
तो फिर हि च कि चा ए कयों ?	సం శ యం ఎందుకు ?
दो को लेना कम जो री है .	ఇదద రు బ ల హ ీ న త .
उससे व ॉ ट नहीं रु के गा .	అది వా ట ను ఆ ప దు . కా ం ప ౌ ండ వీ నీ ఆ ప దు .
मेरे साथ चलो .	నాతో రా .
छोड इसे !	ఆమె ను వదిలే య !
हम यहाँ आपकी से वा और हि फा ज त के लिए हैं .	మేము ఇకకడ ఉనన ది మీ సే వ కు
कहाँ जाना है ?	ఎ కకడికి ?
और जब बे क का मेरे पास आकर भी ख माँ गे गी	రె బె క కా మా ఇంటికి వచచి
मैं क सम खा ता हूँ .	నేను నీకు పరమా ణం చేసతుననా ను .
मुझे माफ कर दो , माँ .	ననను కషమించు . ననను కషమించు , అమమా .
वे ट	వె యి ట
तो , सट ॉर म फर ंट का तो बं दो बस त हो गया .	అయితే , అది సటా ర మ ఫర ంట .
हमने डी प के पु नर सु धा र में	డీ ప పు న రా వా సం లో
मैंने तुमहारी जान बचा ई , कमी ने .	నీ పరా ణం కా పా డా ను .
मर , सा ली !	చా వు , చెతత ముఖ ం .
मेरी अभी - अभी सट ै न एडगर से बात हुई है .	సటా న ఎడ గర తో మాటలా డా ను .
तो तुमहें लगता है कि हम पीछे ह ट जाएँगे ?	మమ మ లని తపపు కో మ ంటుననా వా ?
मैंने तुमहें " बु चर " कहते सुना कया ?	నువవు " బు చ ర " అననా వా ?
यह तो प ला न में शा मिल नहीं था .	పర ణ ా ళ ి క అది కాదు .
अभी तक उनहें बताया नहीं .	ఇంకా చెపప లేదు .
नहीं , बेटा , माफ ी माँ ग ने की जरूरत नहीं .	లేదు , మి తర మా , బాధ పడ కు .
शायद इसलिए कि हा ला त	అందుకే మో కష ట కాల ంలో ని లి చి ఉంటా ను ,
ऐसा मत क हो ! बस करो .	అలా అన కు . ఆ పు . నువవు మా తో రా వాలి .
पर अगर तुमहारे सामने एक कार य यो जना होगी ,	కార యా చ రణ పర ణ ా ళ ి క ద వా రా ,
उनके भी कुछ मा रे गए .	వాళళ వాళళు కూడా చాలా మంది చని పోయా రు .
मुझे अन ुम ा न लगा ने दो .	ననను చెపప నీ .
हाँ . इसकी वजह से	అవును . ఆ విషయ ాల ే వీ ముఖ యం కాదు
अभी !	ఇపపుడు !
- तुम ठीक हो ?	- నువవు బాగానే ఉననా వా ?
बस करो !	ఆ పు !
बस करो !	ఆ పు !
और मुझे पता है कि तुम और मे व	నువవు , మే వ ఇదద రూ
मैंने यू मे बी रा इट पर कला बा जी की ,	నేను యూ మే బి రె ట కు
मैंने वा दा किया था कि जैसे ही रा यन	నాకు రా యన దొ రక గానే ,
सट ॉर म फर ंट के अ तया चार को देख ते हुए ,	సటా ర మ ఫర ంట దు రా గ త ాలు
मुझे माफ करना , डी प ,	ననను కషమించు , డీ ప , ఒక ఖ ా ళ ీ నే ఉంది .
इससे पहले	గ తం లో
स टा र ला इट की मे हर बा नी से , हमें पता है	సటా ర లెట కు ధనయవాదాలు ,
हैलो !	హాయ ! హాయ !
राज य ?	రా ష టర ాలా ?
मि सटर एडगर , आ मत ौर पर	మిసటర ఎడ గర ,
नहीं ? तुमने कभी जि कर नहीं किया , इसलिए . . .	చని పో లేదా ? నువవు ఎపపుడూ
ऐसे मुशकिल वकत में	అతను ఈ కష ట కాల ంలో వా ట కు మంచి ఆ స తి .
उ तने करी ब नहीं है .	చాలా దగగర గా ఉండ డు , నీకు తెలుసు గా ?
और उसके बाद ,	ఆ తరువాత అతని ని ఈ సారి
अचछी बात है . बस सब को पता चल ना चाहिए	మంచిది . అందరూ నువవు
- बे ड रू म में कोई नहीं है .	- బె డ రూ ం ఖ ా ళ ీ .
मुझे लगता है अब मुझे	ఇది నా కా ళళ మీద నేను ని ల బడ ాల సిన సమయం .
तुमहारा बहुत बडा पर श ं सक हूँ .	పెదద అభి మా ని ని .
य दि तुमने इन सु पर ही रो को मा रा ,	ఈ సూ ప లను చం పి తే ,
कं पा उ ंड वी को उप लब ध करा ने का काम	కా ం ప ౌ ండ వీ వి డు దల
लेना चा हो गे ? दिल खो ल कर खाना हो तो ,	ఏదెనా ఆర డ ర ఇ సతా వా ?
और व हा इट हा उस में	శ వే త స ౌ ధం
मुझे श हर के दूसरे को ने में जाना . . .	నేను న గ రం దా టి . . .
देखो , मैं चाहता था कि वी एक राज ही रह ता ,	చూడు , నేను వీ ర హ సయ ంగా
और उसे मेरे पास वापस लेकर आओ गे .	నాకు మాట ఇవ వాలి .
निकाल दो , पलीज , मैं भी ख माँ ग ता हूँ .	దయచేసి వి డు దల చె య ,
सभी का शुकरिया . माफ कीजिए . शुकरिया .	అంద రికీ ధనయవాదాలు .
अब तुमहारी माँ तुमहारी हि फा ज त करें गी .	ఇపపుడు మీ అమమ నినను
दूस री तरफ देखा जाए तो ,	మంచి విషయం ,
कोई ह थ िया र उठा ओ . तुमहारे टी चर के पास	ఆ యు ధ ాలు తీసుకో ండి .
- हाँ .	- అవు న వు ను .
माँ कह ती हैं कि सी ख ना	అమమ నే రచు కో వడం ఒక వ రం అ ంటుంది , అందుకే . . .
यह तो लॉ ट री लग गई .	ఇది జా క పా ట . బాగా చేశారు , ఇదద రూ కూడా .
यह सब कया हुआ ?	ఏంటి ది ?
रु क जाओ .	ఆగు .
सट ॉर म फर ंट ने जो उस खास रिश ते का ,	నమమ క ంతో కూ డు కునన
नया य हो कर रहे गा . उसे स जा दी जाए गी .	నయా యం జరుగు తుంది .
हमारी पहले बात हुई है और यह बहुत अचछी है .	మేము మాటలాడు కుననా ము .
और मो का नो आर शे क , उसका तो जवाब ही नहीं .	ఇంకా మో కా నో య ర ష ే క ,
अपनी जान दे दो गे	నీ భా రయ ను చం పి న ఆ చినన వాడి కో సమా ?
कुछ पता चला ?	హే , నీకు ఏమెనా తెలి సి ందా ?
केवल सट ॉर म फर ंट का हाथ था .	నమ ము తుననా ము .
और अ मरी की सर ज मी न पर	ఇక అ మె రి కా గ డ డ మీద సూ పర వి ల నలు లే రు . . .
कयोंकि हा ला त बहुत बि ग डे हुए हैं , और . . .	ఎందుకంటే పరిసథి తులు
और मुझसे कहा था कि यह मेरी हि फा ज त करे गा .	ఇది ననను సు ర కషి తంగా
किसी सु पर बद मा श के आने की र प ट मिल ते ही	కరి యా శ ీ ల సూ పర వి ల న
रा यन ! ए .	రా యన ! హే , హే , హే .
यही वह बं दा है ?	ఇ త నే నా ?
तुमहें लगता है	తను వాళళ నానన లా గా మార తా డ ంటా వా ?
गवा ही ?	సా కష య మి వ వ ాలా ?
शायद तुमहें शी शे में देखना चाहिए , दोसत .	బహుశా నువవు ఒక సారి
नहीं , बे क का नहीं .	లేదు , బె క కా కాదు . బె క కా నాతో ఉంటుంది .
तो मैं हर चीज को ,	నేను అంద రి నీ , అనని టి నీ నా శ నం చేసతాను .
नहीं .	లేదు . లేదు .
माफ कर दो .	కషమించు . ననను కషమించు .
क ने क शन जु डा हुआ है व ॉ ट के कमी ने	క నె క ట అయి ఉంది
और मैं वहाँ बैठ ा रो रहा था .	బాగా ఏ డు సతూ .
तुमहारे आगे	అత ీ త శ క తు ల పర దర శ న చూ సతారు .
हमारे ऊपर मेरे	నా పర ధా న సి బబంది మె ద డు లో క పప బడి .
उसने कहा था कि ई सट फ लै ट बु श में	ఈ సట ఫ లా ట బు ష లో
माफ करना , डी प , पर तुमहारा र वै या	కషమించు , డీ ప ,
हम व ॉ ट को	మనం వా ట ను కా ం ప ౌ ండ వీ ను
बच प न में , मैं यही सं गी त सुना करता था .	నా ఎ ది గే వయ సు లో
हाँ , थे तो सही .	అవును .
चलो .	పద వెళ దాం .
ना च ने .	డా నస చేయ డానికి .
सक ूल में सु पर बद मा श ों का हम ला हो तो ,	బడి లో సూ పర వి ల న
कि इस अ पर तया शि त दु रा चार के होते हुए ,	ఇలా ంటి తీ వర మెన
हमें देखना होगा	మనం స రెన వయ క తు లకు డో సు లు అంద ే లా చూడ ాలి ,
- हाँ !	- చాలా మంచిది !
माफ कर दी जिए .	కషమించు . నే న లా చెపప ాలని అనుకో లేదు .
सट ॉर म फर ंट शायद 1 00 वर ष की हो सकती है .	సటా ర మ ఫర ంట వయ సు
मुझे म ं जू र नहीं .	చేయ ను .
धत तेरी !	ఛ ా !
कं पा उ ंड वी के	కా ం ప ౌ ండ వీ వా డ కా నని అను మ తి సతుననా డు .
कं पा उ ंड वी से	కా ం ప ౌ ండ వీ మా సటా క ధ ర ను పె ంచు తుంది .
माफ कर दो .	ననను కషమించు . ననను కషమించు .
ए म ए म , उसे लेकर	ఎ ం ఎ ం , నమమ కంగా నీకు మాతరమే అ పప గి ంచ గలను .
जाओ !	వెళళి పో ండి !
बद कि सम ती से , सु पर बद मा श हम ले की संभा वना	దు ర ద ృష ట వ శా తతు ,
मैं समझ ता हूँ कि वह तुमहारे दा दा के	ఆమె మీ తా త యయ
सच ?	నిజంగా నా ?
सच ?	నిజంగా నా ?
मैं कहूँ गा कि मैं तुमहारी बात समझ ा नहीं .	నాకు ఖచచితంగా
कि अपने अंदर कहीं खो जाना आ सान है .	చాలా సు ల భ ం .
तो , बताओ ,	అయితే , చెపపు , ఎందుకు ఎపపుడూ ,
कयोंकि , तुमहें तो पता ही है ,	ఎందుకంటే ,
उसकी गलती नहीं है . तुम उसे यह जरूर बता ना .	తన తపపు కాదు .
वह मेरे लिए	ఆమె అన ధి కార ంగా నాకు సూ ప ల పె ని ఘ ా కోసం
तुमहारी माँ	మీ అమమ , కొనని మంచి విషయ ాలు చెబు తుంది .
- माँ .	- అమమా , అమమా , అమమా .
मेरी गाडी लो , दोनों को मै लो री के पास	నా కారు లో ,
