मा घ रा !	మా గరా !
मैंने हमारे व ं श को बचा या .	మా వం శా నని కా పా డా ను .
- यहाँ कोई दूस रा रा सता है ? - नहीं , मुझे कोई दिखा ई नहीं दे रहा .	- ము ందుకు వెళళ డానికి వే రే దా రి ఏమెనా ఉందా ? - లేదు , ఉనన టటు నా కే మీ క న బడ టం లేదు .
हम आप से फिर मिल ेंगे ?	మేము మళలీ నినను కలు సతా మా ?
तुमहें नहीं लगता यह अजीब है कि उनहोंने हमें कभी नहीं बताया वह कारण कया था ?	తను ఆ కారణ ం మన కి ఎపపుడూ చెపప కపో వడం నీకు వి ంత గా అనిపి ంచ లేదా ?
और जब वे अस फ ल रहे , मेरे पास एक ही वि कल प था :	మరి వాళళు వి ఫ ల మ య యా క , నా ముందు ఒక ే దా రి మి గి లి ఉ ండి ంది :
हम एक दूसरे को कभी नहीं समझ पा एँगे .	నిజంగా మనం ఒక రి కొ క రం ఎపపుడూ అరథం చేసుకో లేదు .
मैंने तुमहारी जि द , तुमहारे आत म - वि ना श की कहा निया ँ सु नी थीं .	నీ మొ ండి త నం గురించి , అలాగే నీ స వీ య వి నా శ క వె ఖ రి గురించి చాలా క థ లు వి ననాను .
मुझे लगता है कि यह मेरे पिता के लिए अलग नहीं था .	మా నానన కి కూడా అలాగే అనిపి ంచ ంద ను కుంటా .
और अग ली के न उ त त रा धि कार तुम हो .	మరి త దు పరి అస లెన కే న వార సు ర ాలి వి నీ వే .
कया बचचे जानते हैं ?	పిలల ల కి తెలుసా ?
हम करी ब र हें गे .	మనం దగగర గానే ఉంటా ం .
म गर , मा घ रा , अगर तुमहें उस पर भरो सा हो तो बात अलग है .	ఒక వే ళ మా గరా , నీకు అత డి మీద నమమ క ము ంటే తపప .
इन पे ड ों से परे एक पु ल है .	వ ృ కష ాలు దా ట గానే ఒక వ ంత ె న ఉంటుంది .
उल लू नहीं है . वह एक आदमी है .	గు డ ల గ ూ బ కాదు . మనిషి ది .
य दि तुम इस दुनिया का नि र मा ण कर रहे हो . . .	మీరు పరప ంచా నని నిర మి ంచ ద లి సతే . . .
ठीक है , जाओ . जाओ , अभी .	సరే మరి , వెళళ ండి . ఇక వెళళ ండి .
आपने अभी बताया कि हम पार कर सकते हैं .	మేము వెళళ వచచ ని ఇ పపుడే అననా వే .
कोई कं जु आ नहीं है .	అసలు కం జు వా అనే దే లేదు .
हम अलग - अलग दुनिया में नहीं रह ते .	మన పరపంచ ాలు వే ర వే రు కాదు .
मैं जान ना चाहता हूँ कि उसने यह कैसे किया .	అతను అద ె లా చేశా డో నాకు తెలియ ాలి .
इस तरह की मार से अ त य धि क पी डा पहुँच ने पर भी खा मो शी .	భ రి ంచ లేని బాధ ను కలి గి ంచు సమ య ము న ని శ బ ద ం .
अ चा न क उन में द या की भा वना आ जाती है , उनका सं कल प कम जो र हो जाता है . . .	ఉనన టటు ండి జ ాలి తో సత మ త వ వడం , వారి సం కల పం స నన గి లల డం . . .
आप जल द ही ठीक हो जाएँ गी , और हम कं जु आ लौट ेंगे .	మీరు తవర గానే కో లు కుంటా రు , తిరిగి మనం కం జు వా కి చే రు కుంటా ము .
मैं जान ना चाहता हूँ किस चीज के लिए हम सभी ने इतना ब लि दा न दिया .	మన మ ంతా ఇంత త యా గం దే ని కోసం చేశా మో నాకు తెలియ ాలి .
और आपने बस इसे छ ी न लिया .	మరి మీరు ఆ ఆ శ న ంత టి నీ తు ంచే శా రే .
मुझे वै सा कोई पल नहीं याद जब उनहोंने बिना दु ख ी हुए उनके बारे में बात की हो .	బాధ పడ కుండా అమమ ఎపపుడూ తన గురించి మాటలాడ టా నని నేను విన లేదు .
कया कितनी दूर है ?	ఏ ది ఎంత దూ రం లో ఉండే ది ?
तुम मेरी बात सुनो . . .	చెపపే ది వి ను . . .
मैं ऐसा बहुत दि नों तक कर ूँगा जब तक तुम मुझे बता नहीं दे ती कि मेरी रा नी कहाँ है .	మా మ హా రా ణి ఎ కక డు ందో చెపపే వర కూ రోజు ల తర బడి ఇలా చే సతూ నే ఉంటా ను .
तुमहें अपने पिता से बात करनी चाहिए .	నువవు నీ త ండ రి తో మాటలాడ ాలి .
तुम मुझे कं जु आ वापस ले जाना चाहते हो ?	ననను తిరిగి కం జు వా కి తీసు కె ళ దా మను కుంటుననా వు కదా ?
कभी - कभी अपने बच चों की सुरकष ा का सबसे अचछा तरी का	ఒక కో సారి , నీ పిలల లను పరి ర కషి ంచ డానికి గల అత యు తత మ మా రగ ం ఏంట ంటే ,
मैंने उनहें मर ते हुए देखा .	ఆమె చని పో వడం చూశా ను .
बिलकुल नहीं . मेरा परिवार मिलने तक मैं नहीं जा ऊँ गी .	కు దర దు . నా కుటుం బం య ొ కక ఆ చూ కీ తెలి సే దా కా నే నె కకడి కీ వెళళ ే ది లేదు .
जि तनी मेरी इ चछ ा थी , उ तना मैंने तुम पर भरो सा किया है .	నాకు న చచి న ంత వర కే నీ స హ కా రం తీసు కుననాను .
जिस कष ण वे हम में से किसी को सुन ते हैं , जिस कष ण वे हमें महसूस करेंगे ,	వారు మన అ లి కి డి వి నన మ రు కష ణం , మన లని ప సి గ టటి న మ రు కష ణం ,
और जब मैंने भरो सा किया , तब याद है , तुमने मुझे कया बताया ?	నీ దగ గ రికి వచచి నపపుడు నువవే మ ననా వో గురతు ందా ?
हर की मत पर एक दूसरे की रकष ा करना .	ఎ టటి పరిసథి తి లలో న ూ ఒక రి కొ క రు ర కష ణ గా ఉండ ండి .
ताकि उनहें अपना रा सता मिल जाए .	ఒక త ండ రికి తెలి సు ండ ాలి .
लेकिन उसके पास भी द ृ ष टि है , है ना ?	కానీ అత డి కి చూ పు ఉంది కదా ?
और उसके लिए कोई कारण तो जरूर होगा .	దానికి ఒక కారణ ం ఉ ండు ండ ాలి .
कुछ ऐसा जि से वह बता नहीं सकती . . .	అదే ంట ో చెపప లే కపో తుంది . . .
इसका कया मतलब है ?	దా న రథ ం ఏమి టి ?
वह बोल ती कयों नहीं ?	ఈ మె ఎందుకు మాటలాడ టం లేదు ?
- बस . - यह पागल प न है .	- ఇక చ ాలు . - ఇది పిచచి పని .
हमने उनहें छो डा है .	నిజ ానికి వదిలే సింది మన మే .
हम नहीं जानते कौन राज य पर शा सन कर रहा है .	రా జ యానని ఇపపుడు ఎవరు పరి ర కషి సతుననా రో కూడా మన కి తెలీదు .
तुमने इसे अपनी नी ंद में सुना .	అది నీ ని దర లో వి ననా వు .
मेरे पास कहीं और जगह नहीं है .	ఇం కె కక డా నేను ఉండ లేను .
वही एक मा तर दुनिया है जिस में मैं रह ता हूँ .	నా పరపంచ మ ంతా నువ వ ూ , నీ సోద రు డే .
लड के . . .	పి లలా డా . . .
तुमहारे परिवार के शा सन से पहले अ राज क ता भ यान क थी .	మీ కుటుం బ పాల న కు ముందు ఉనన ఆ గ ంద రగ ో ళ పరిసథి తులు భ యా న కంగా ఉండే వి .
हाँ , मै म .	అలాగే , మే డ మ .
पर वे श करो , और मौ त पा ओ गे .	పర వే శి ంచా ర ంటే , మ రణ ం సం భ వి సతుంది .
तुमने यही देखा .	నువవు చూ సింది అదే నా ?
जे र ला म रे ल . . . तुमहारे पिता हैं ,	జె ర లా మ రె ల . . . మీ త ండ రి ,
कया मा घ रा ने तुमहें यह बताया था ?	అది నీకు మా గరా చెపపి ందా ?
इस वि ध र मि यों को अ वि वा दि त रह ने देना . . .	ఆ పా పా నని అలాగే వదిలే య డం . . .
परे एक न ई दुनिया है .	" ఓ కొతత పరపంచ ం ముందు ఉనన ది .
यह एक ऐसी चीज है जिस पर हमें पु नर वि चार करना चाहिए .	మనం ఓ విషయం మీద పు న ర ాలో చి ంచ ాలను కుంటా .
द ृ ष टि का उप हार अं धा हो सकता है .	చూ పు అనే వ రం , మిమమలని గు డ డి వాళళ ని చేయ గల దు .
इस माम ले में मेरे पास कोई वि कल प नहीं है , और न ही तुमहारे पास .	ఈ విషయం లో నాకు మ రో దా రి లేదు , నీకు కూడా లేదు .
- हाँ . - ठीक है .	- అరథ మెంది . - సరే మరి .
उसे सुन ना , उसे स ूँ घ ना , उसे छ ू ना . . .	తన మాట లను విన డం , తన వా స నని చూడ టం , త నని తా క డం . . .
मैं पै रिस से स हम त हूँ .	నేను ప యా రి స తో ఏ కీ భ వి సతుననాను .
मैंने वही किया जि से करने की जरूरत थी .	నేను ఏ ది చేయ ాలో అదే చేశా ను .
तो , तुम नि श चि त हो ? चार पह रे दार और उनके बीच में जगह ?	అయితే , నువవు ఖ చచి త మే కదా ? నలు గు రు కా ప లా దారు లూ , ఇంకా వారి మధయ ఉనన ఎడ ము ?
हाँ , है .	అది తే లి కే .
और अब , उसके पास तुम दोनों रहो गे .	ఇక ఇ పపటి నుండి , మీ ఇదద రూ కూడా అతని తో ఉంటా రు .
कर म चा री सभी स थ िर हैं , है ना ? केवल पह रे दार चल रहे हैं ?	అయితే కార మి కు ల ంద రూ ఉనన సథా నం లోనే ఉననా రా ? కేవలం కా ప లా దారు లే తి రుగు తుననా రా ?
यहाँ एक घु स पै ठ िया है ! यहाँ कोई है !	ఎవరో ఆ గ ంత కు డు పర వే శి ంచా డు ! ఇకకడికి ఎవరో వచచా రు !
रा नी यहाँ है .	మ హా రా ణి ఇకకడ ఉంది .
हम बु रे देश में हैं , बा बा . अ ध म भ ू मि .	మనం దు షట నే లలో ఉననా ం , బా బా . నియ మ ాల లేని నే లలో ఉననా ం .
उनकी ओर इ शा रा करो .	వాళళు ఎ కక డు ననా రో చూపి ంచు .
- अब वह समय है . - नहीं , ये सच नहीं है .	- ఆ కష ణం ఇపపుడు రా నే వచచింది ; - లేదు , అది నిజం కాదు .
या खुद से ही जवाब देना .	ఇం కో టి నా పా ప ంతో నే సమా ధా న మి వ వడం .
कया तुमहें याद है कि तुमने कया किया था ?	నువవే ం చేశా వో నీకు గురతు ందా ?
और मैंने इसे हर दिन किया है .	ఆ నా టి ను ండ ీ పర తీ రో జ ూ పో రా డు తూ నే ఉననాను .
कोई आपके खिला फ हो गया था . कौन था ?	మీకు వయ తి రే కంగా ఎవరో తి రుగు బా టు చేశారు ? ఎవర ది ?
कयों ?	ఎందుకు ?
पह रे दार ों .	కా ప లా దారు లా రా .
लेकिन उनहोंने मुझे छोड दिया .	కానీ నన నే వదిలే శా రు .
मेरी बच ची .	నా చి టటి తల లీ .
लेकिन मैं सही था .	కానీ నేను చెపపి ంది నిజం .
तुम इससे बेहतर जिंदगी की ह क दार थी .	నీకు స రెన నయా యం జరగ లేదు .
मैं ठीक हूँ .	నాకు బాగానే ఉంది .
मैंने सुना है कि जब एक पा यान सम रा ट सि ं हा सन पर च ढ ता है ,	ప యా న రా జు సి ం హా స నా నని అ ధి ష టి ంచే ట పపుడు ,
सबसे पहले , वह लड का .	ముందు గా , ఈ కు ర రా డి గురించి .
और तुम ठीक नहीं हो .	నీకు ఆ రో గ యం బాగా లేదు కూడా .
जो उसके लिए सबसे पया री थी :	తన కి తాను చెపప లేక పోయా డని నా అభి పరా యం .
एक नया भगवान भी तर रह ता है .	అందు లో ఓ కొతత దేవు డు ని వా స ము ంటుననా డు .
वे अलग हैं . उनहें इस समय अलग चीज ों की जरूरत है .	వారి దద రి మన స తత వ ాలు భి నన మెన వి . ఈ కష ణ ా న కూడా వా రికి భి నన మెన వి కావాలి .
बहुत अचछे .	మంచిది .
च म डे के , शायद .	తో లు వి , అనుకుంటా ను .
आप पार नहीं कर सकते .	మీరు వెళళ లే రు .
मेरा ड ं डा .	నా కర ర .
उप - शी र ष क अनु वाद क : ज शन	ఉ ప శ ీ ర షి క లను అ నువ ది ంచిన ది : అ లే ఖ య
मैंने चार पह रे दार देख े .	నేను నలు గు రు కా ప లా దారు లని చూశా ను .
कयोंकि मैं उनकी रा नी हूँ .	ఎందుకంటే నేను వారి మ హా రా ణి ని కాబటటి .
तुमहारे आदमी ?	నీ వాళళ ా ?
कया ऐसी परि स थि ति आने वाली है ?	అంత వర కూ వ సతు ంద ంటా వా ?
एक खो ई हुई माँ , और एक नया पिता .	తల లి ని కో ల పోయింది , ఓ కొతత త ండ రి ని కల వ బో తుంది .
तुम गलत हो .	నువవు పొ ర బడ డా వు .
उसे पता है .	అది తన కి తెలుసు .
जिस कष ण अ ला र म ब जा , यह स मा पत हो जाएगा .	మి గ తా వారి ని హె చచ రి ంచిన మ రు కష ణం , ఇ దంతా వ ృ ధా అయి పో తుంది .
पिता जी , मुझे कुछ दिखा ई नहीं दे रहा है .	నా ననా , నా కే మీ క న బడ టం లేదు .
वह अके ले होंगे .	అతను ఒ ంట రి వా డె పో తా డు .
फिर से वि चार करो .	నువవు పు న ర ాలో చి ంచుకో వాలి .
वापस जाने के लिए !	జె ర లా మ రె ల తో వెళలి చెపపు !
और एक दूस री खि ड की पर .	మర ొక రు రెండ వ కి టి కీ వ దద ఉననారు .
यह नहीं रख ता . मैं सिरफ यह पता लगा ने की कोशिश कर रहा हूँ	సంబం ధం లేదు . చ ీ క టి ఎంత తవర గా పడు తు ందో
हम आ गए हैं .	వచ చేశా ం .
केवल मैं आपकी मदद कर सकता हूँ .	ఇకకడ నీకు సాయం చేయ గ లి గి ంది నే న ొ కకడి ని మాతరమే .
हाँ .	అవును .
उसके दु श मन थे .	తన కి శ తరు వు లు ఉననారు .
हाँ .	అవును .
शायद इसलिए कयोंकि नहीं है .	బహుశా అసలు పరమా ద మే లే కపో వడం వలల కా వచచు .
धन ु ष - बा ण है . हमें इसकी आ व श य क ता है .	అకకడ ధ నస సు మరియు బా ణం ఉననాయి . వాటి అవసరం మనకు ఉంది .
हाँ .	అవును .
अगर वै सा समय आया , तो तुमहें स हम ति देने की जरूरत नहीं है .	అంత వర కూ వ సతే , నీ స మమ తి తో అవసరం ఉండ దు .
बस कुछ सै निक मेरी सुरकष ा की गा र ं टी दे सकते हैं .	నా భ దర త కి కొ ద ది మ ందే సరి పో తారు .
वह मुझे सुन ना नहीं चाहते .	నా మాట లని ఆయన అస స లు వి నా లను కో వడం లేదు .
खैर , वह शो क मना रही है .	తను బాధ లో ఉంది .
और मुझे लगता है कि जैसा मैं उनहें कहूँ गी वे वै सा ही करेंगे . . .	అంతే గా క నేను చెపపి న టటే వాళళు చేసతా రు . . .
वह अ कष म हो सकती है . वह शायद मर गई हो .	ఇపపుడు తను వి క లా ం గుర ాలు అయ యు ండ వచచు . చని పోయి కూడా ఉండ వచచు .
यह हम दोनों के लिए कोई वि कल प नहीं है .	మని దద రికీ మ రో దా రి లేదు .
मैं कई बात ों की कल प ना कर सकता हूँ .	నేను చాలా నే అనుకో గలను .
तो अब कहानी यह होगी :	ఇక ఇ పప ట ను ండ ీ క థ ఇలా ఉండ బో తుంది :
हम हमेशा से रहे हैं .	ఎ పప ట ను ంచ ో అవి వే ర వే రు పరపంచ ాల ే .
यह स था न नि र जन है . यहाँ थोडा खत रा है .	ఇకకడ ఎవ వర ూ నివ సి ంచడం లేదు . ఇది అంత పరమా ద కర మెన చో టు కాదు .
वै सा करो .	అలాగే కా నివ వు .
आ ठ बेहतर र हें गे .	ఎ నిమి ది అయితే బాగు ంటుంది .
अब . . .	ఇపపుడు . . .
सब ठीक है . अब आप सुरकष ित हैं .	ఏమీ పర వాలేదు . మీరు ఇపపుడు సు ర కషి తంగా నే ఉననారు .
मैं तुमहें तुमहारी नी ंद में मार डाल ूँगी .	నినను ని దర లోనే చం పే సతాను .
अं धे रा होने से पहले चले जाओ .	చ ీ క టి పడి మీకు క న బడ క ము ందే ఇ పపుడే బయ లు దే రండి .
तो हम करी ब र हें ?	అయితే మనం దగగర గానే ఉంటా మా ?
का ट ने वाला ! इ ध र आओ !	కో యు వా డా ! కో యు వా డా ! ఇకకడికి రా !
उनहें यह मान ने देना होता है कि आपने सुरकष ा करनी बंद कर दी है .	నువవు వి ర మి ంచా వని వాళళ కి తెలియ జే య డ మే .
तो जब वह मर गई ,	కాబటటి అమమ చని పోయి నపపుడు ,
ह नि वा खो गई है .	హ నీ వా మన సు వి రిగి పో యు ంది .
ये कैसे हुआ ?	అసలు ఇ ద ె లా జరిగింది ?
शायद . . . शायद यही होता है	బహుశా . . . బహుశా నువవు చేసే కార యం ముఖ య మెన ది ,
मेरा चा कू .	నా క తతి . నా క తతి .
तुम और कया ह ल करना चाहते हो ?	ఇంకా నువవు దే నని పరి ష కరి ంచుకో వాలి అనుకుంటుననా వు ?
अब कया ?	ఇపపుడు ఏంటి ?
तुमहारा नाम कया है ?	నీ పే రే ంటి ?
जिस दिन से तुम और तुमहारा भाई पै दा हुए	మీరు పు టటి ననా టి ను ండ ీ ,
मैं थ की हुई हूँ .	నేను చచ చే ంత అ ల సి పోయా ను కను క .
कया ?	ఏ మెంది ?
हाँ .	సరే మరి .
वे आप तक कैसे पहुँ चे ?	అసలు వీ ళళు మిమమలని ఎలా పటటు కో గ లి గా రు ?
कम जो र , स वार थी , पिछ डे .	బ ల హ ీ ను లు , సవా రథ ప రు లు , వె నుక బడ డ వారి ని .
किस तरह के जू ते ? कया वे च म डे के हैं ? कया वे ल क डी हैं ?	ఎలా ంటి బ ూ టలు ? తో లు వా ? కల ప వా ?
वह यह जान कर हमें यहाँ ला ए .	అది అతనికి తెలి సే ఇ కకడి దా కా మన లని తీసు కొ చచా డు .
और दु ख और भ या वह ता ,	దు ర వ సథ లూ , భ యా న క సం ఘ టన లూ ఎదు రె నా ,
अभी भी तुमहारे मान कों पर ख रा नहीं है , ह ँ ?	ఇంకా నీకు త గి న టటు లేదా ?
फिर मैं हार गया , रा नी मर गई .	అపపుడు నేను వి ఫ ల మ య యానని , మ హా రా ణి చని పోయి ందని అరథం .
यही समस या का ह ल है .	మాట లతో నే ముందు కె ళళ డం సా ధయ మ వు తుంది .
मैं करना नहीं चाहता .	అనుకో కుండా ఉండ టానికి పరయతని సతుననాను .
चे ट - चे ट - चे ट !	పా రా హు షా ర !
कुछ दिन , शायद स पता ह हो गए हैं .	చని పోయి కొనని రోజు లు అయ యు ండ వచచు , వార ాలు కూడా అయ యు ండ వచచు .
तुम एक सं पत ति हो जिस के साथ मैं बहुत सा व धा न रहना चाहता हूँ .	నినను అ తి జా గర తత గా చూ సు కుంటా ను .
बस बहुत हो गया .	ఇక చ ాలు .
कया तुमहारे पास है ?	మరి నువవు ?
अन य किसी म हिला दवा रा .	మ రో మ హి ళ తో .
लेकिन अब . . .	కానీ ఇపపుడు చూ సతు ంటే . . .
कयोंकि मैं डर ता था .	ఎందుకంటే నే నపపుడు భయ కం పి తు డి నె ఉననాను .
आओ .	పద ండి .
मुझे नहीं पता .	తెలీదు .
हमें दे री हो जाए गी .	అలా అయితే పర యా ణ ంలో చాలా రోజు లు పో తా యి .
ध व नि जा ल .	శ బ ద ఆ ధా రి త ఉ చచు లు .
मुझे जाना होगा .	నేను వది లి పె టటి రా వల సి వచచింది .
तुम में पर त िर ो ध करने की कष म ता बहुत जयादा है .	నీ ప ంత ం శ కతి వ ంత మెన ది .
कया मतलब ?	ఏం అ ంటుననా వు నువవు ?
पकका ?	ఖచచితంగా నా ?
जाओ .	దూ సు కు పో .
हाँ .	తపప కుండా .
उ ठ ो , चु डै ल .	పె కి లే య , ప నికి మ ాలి న దా నా .
अब . . .	కానీ ఇపపుడు . . .
मेरे लिए कि ता ब ें पढ ना .	నా కోసం పు సత కాల ను చ ద వ ండి . నా కోసం పు సత కాల ను చ ద వ ండి .
जब तक वह एक रा कष स में बदल नहीं गया .	ప కక న పెటట ే దదాం .
मेरी बात सुनो .	నేను చెపపే ది విన ండి . నా మాట విన ండి .
चलो .	వెళ దాం పద .
को फु न भी .	కొ ఫ ూ న కూడా బాధ లో ఉననాడు .
हाँ .	అయి పోయింది .
नि ः सं दे ह तुम कर सकते हो !	ఉండ గల వు !
वो ह .	ఆ గ ండి , ఆ గ ండి .
" ह ल " ?	" మాటలా డి పరి ష కరి ంచుకో వ ాలా " ?
