हाँ .	సరే .
यह घ डी की तरह है .	అది గ డి యా రం ము లలు మా ది రి .
टे ल 2 3 4 4 2 3 . शी ज ग ॉ ना .	టె యి ల 2 3 4 4 2 3 . ష ీ స గో ననా విమానం .
तुम सट े शन 1 3 9 पर उ त रे हो .	మీరు సట ే షన 1 3 9 సథా వ రం లో ల యా ండ అయ యా రు .
- ट क कर मा री . - इतना बडा मै दा न था . . .	- దానని ఢ ీ కొ టటి ంచా డు . - ఎపపుడూ చూడ న ంత పెదద మె దా నం . . .
टे ल 2 3 00 2 3 . फ ॉर ए वर यो रस . सट ॉर क का दल .	టె యి ల 2 3 00 2 3 . ఫ రె వర యు వర స విమానం . సట ో రక సి బబంది ఉననారు .
तुम समझ सकते हो कि मैं कयों जलदी लौट आया .	నేను ఇంత తవర గా ఎందుకు వచచా నని మీరు ఎ నని లె కక ల యి నా వే సుకో వచచు .
ली ड पायलट , टे ल के लिए , 3 9 0 व ें कि तने पीछे हैं ?	వె నుక భా గా నికి లీ డ పె లెట స ందే శం , 3 9 0 వ బ ృ ంద ం ఎంత దూ రం వె నుక బడి ఉంది ?
एक जरू री बात . दरअसल , मुझे समझ नहीं आया कि कया . . .	ఒక ముఖ య మెన విషయం . నిజ ానికి , ఏం జరుగు తో ందో నేను అరథం చేసుకో లే కపో తుననాను . . .
अपनी भे ड की च म डी से ब नी जै के ट दे दी , मे जर ?	మీ జా కె ట మా రచు కుననా రా , మే జర ?
धत .	ఛ .
हाँ .	అవును .
सा ँ स लो .	శ వా స తీసుకో .
गोली चला ओ , उनका खा त मा करो !	కాల పు లు పరా రం భి ంచండి , వాళల అ ం తు చూడ ండి !
धत !	ఛ !
ड ब ला सि यो को गोली लगी है .	వె నుక భా గం గ నన ర డి బ లా సి యో గా య పడ డా డు .
- छ ह ब जे ? - सही कहा .	- ఆ రు గంట లా ? - సరి గగా చెపపా వు .
ठीक है , चलो .	సరే , వెళ దాం పద ండి .
पूछ ता छ के बाद .	వి చా రణ అయ యా క చెబు తా ం .
बाद में , कै नी .	తరువాత చెబు తా , కె ననీ .
फर क नहीं पडता कि मैंने कितनी अचछी तरह से रा स ते अं कि त किए	నేను రూ ట లని ఎంత బాగా ప లా న చేసి నా కూడా
- अभी . - ब म गि रा दि ए .	- ఇపపుడు . - బా ం బు లు వి డు దల య యా యి .
वे आ रहे हैं , बि ली .	అది గో వాళలు వ సతుననారు , బి ల లీ .
तो यह रहा तुमहारा ऑ फि स .	ఇక ఇది మీ ఆ ఫీ స .
यह कल फर ै ं म लि ंग म से आया .	ఇది ఫ రా మ లి ంగ హా మ నుంచి ని నన నే వచచింది .
- कि तने छे द थे , 1 , 2 00 ? - 1 , 2 00 .	- అవి ఎ నని రం థర ాలు , ప నన ె ండు వ ంద లా ? - ప నన ె ండు వ ంద లు .
वे जिस विमान में हमें भेज रहे हैं , उसका नाम कया है ?	మన లని ఎ కకి సతునన విమానం పేరు ఏంటి ?
हम ठीक हैं !	మనం బాగానే ఉననా ం !
धत तेरी की !	నాకు మ ండి పో తోంది !
उनके पास और कौन हैं ?	వాళల కి మనం తపప ఇం క ఎవరు ఉననారు ?
एक क प डा ले आओ गे ?	తు డి చే గు డ డ ఒకటి తె సతా వా ?
मुझे सुन रहे हो ?	నా మాట మీకు వి ని పి స తో ందా ?
आगे बढ ो , कर ॉ ज .	జా గర తత గా చూ సుకో , క రో జ .
हम विमान छोड रहे हैं ! ब म गि रा दो !	మనం ఫా ర మే షన నుండి తపపు కుంటుననా ం ! బా ం బు లని ఇక వ దల ండి !
. . . तुमहारे लॉ कर में ऐसा कया है जिस की तुमहें इतनी चिंता हो रही है ?	నువవు అంత గా ఆ ందో ళ న పడ ే ంత గా లా కర లో ఏం ఉంది ?
इसे सी धा रख ना क ठ ि न होगा .	విమా నా నని సథి ర ంగా ఉ ంచడం కష టం అవు తోంది .
बढिया नि शा ना लगा या , मिल बर न .	మంచి షా ట , మి ల బర న .
- नो ज , नहीं . - टे ल , पायलट के लिए , नहीं .	- ముందు భా గం , నె గె టి వ . - పె ల ట కి వె నుక భా గం గ నన ర , కనిపి ంచ లేదు .
टे ल , ब ॉल ट रे ट , कोई पै रा श ू ट दि खे ?	వె నుక భా గం , ది గు వ గ నన ర , ఏమెనా పా రా చూ టలు కనిపి ంచా యా ?
ए , ए ! टर क रो को !	హేయ , హేయ ! టర కకు ని ఆ ప ండి !
हम ला हो रहा है .	శ తరు విమా నాలు వ సతుననా యి .
चार लौट गए , मे जर , और अब हमारे पास 1 3 विमान हैं .	నాలు గు విమా నాలు వి ర మి ంచు కుననా యి , మే జర , దాని తో ఇపపుడు మన విమా నా ల సం ఖ య పద మూ డే .
- बा कि यों का कया ? - बस जाओ .	- మి గ తా విమా నా ల సంగ తి ఏంటి ? - ముందు వెళల ండి .
वे कू द गए ! वे सभी कू द गए !	అది గో చూడు దూ కే శా రు ! వాళల ంతా వెళలి పోయా రు !
हम ला धी मा हो रहा है , लड कों . च ौ क न ना रहो .	శ తరు విమా నాలు ని దాని సతుననా యి , కు ర రా ళ లూ . జా గర తత గా గ మని సతూ ఉండ ండి .
है री , मर मत जाना .	హ యా రీ , నా చే తు లలో చని పో వదదు .
शी ज ग ॉ ना ?	ష ీ స గో ననా ఏంటి ?
धत !	చెతత !
हम ला करो !	కాల పు లు జర ప ండి !
ब म गि रा ओ !	బా ం బు లు వే య ండి !
मैं वापस बे स लौट ना चा हूँ गा .	నాకు తిరిగి వె మా నిక సథా వ రా నికి వెళల ాలని ఉంది .
ल डा कू विमान , पीछे ह ल का दा ई ं तरफ , ऊँ चा ई पर .	శ తరు విమా నాలు , కు డి వెపు .
अब गया रह ब चे हैं .	మన సం ఖ య పద కొ ండు కి పడి పోయింది .
र न वे पर आ रहे 3 9 0 व ें का विमान , यह टा वर है .	3 9 0 వ బ ృ ంద ం విమానం అ పర ో చ ట రా క వెపు వ సతోంది , మేము ట వర నుండి మాటలాడు తుననాం .
घर जाओ , लड कों .	ఇ ళల కి వెళల ండి , కు ర రా ళ లూ .
वह दू री कम करना अ सं भ व है .	ఖ ా ళ ీ ని మనం భ ర తీ చేసే అవకా శం కనిపి ంచడం లేదు .
फी डर साफ है . बाकी बल क हे ड में हैं .	ఫీ డ ర కలి య ర గా ఉంది . మి గ తా అంతా బ ల క హె డ లోకి ఎ కకి ంచి ఉంది .
कया हुआ था ?	అయితే , ఏం జరిగింది ?
इसलिए , इस मि शन में सट ीक ता सर वो परि है .	కాబటటి , ఈ మి షన లో లకష యానని ఖచచితంగా గురి చూ సి కొ టట డం చాలా ముఖ యం .
और मैं और ड गल स बा ल - बा ल ब चे .	ఆ పరమా ద ంలో నేను ఇంకా డ గల స దా దా పు చని పో యే వాళల మే .
ठीक है .	సరే .
अभी ?	ఇపపుడు ?
अभी .	ఇపపుడు .
ए , ज ॉ नी , शायद समय हो गया है	హేయ , జా నీ , బహుశా నువవు ముందు భా గ ంలో కి ంది కి ది గి
केवल 1 7 विमान ?	కేవలం ప ది హే డు విమా నా లే నా ?
तुम ठीक हो ?	నువవు బాగానే ఉననా వా ?
रा इट वे सट ग नर , नहीं .	మధయ భా గం కు డి వెపు గ నన ర , కనిపి ంచ లేదు .
जी , सर .	అరథ మెంది , సర .
पाँच मी ल पीछे होंगे , सर .	సు మా రు ఎ నిమి ది కి లో మీ టర లు వె నుక బడి ఉండ చచు , సర .
तु र ंत ब म गि रा ओ !	ఆ బా ం బు లని ఇం క వి డు దల చేయ ండి !
उनहें सब क सि खा ओ !	ఆ చెతత వెధ వల కి త గి న బు దధ ి చెపపు !
ई ं धन बंद करके ल हरा रहा हूँ .	గ యా స సర ఫ రా ఆ పే సతుననా ం , ఇంకా గ ాలి కి వ ాలు గా పె డు తుననాం .
तो ?	అయితే ?
हाँ .	వ సతుననా .
हाँ .	వి ననాను .
ए !	హేయ !
कोई भी नहीं ?	ఒకక రు కూడా తిరిగి రాల ే దా ?
चलो .	పో నివ వు .
पै रा श ू ट दि खे ?	పా రా చూ టలు ఏమెనా కనిపి ంచా యా ?
सी धे सामने .	సరి గగా మన ఎ గు వ న ఉననారు .
शा बा श .	ఇం క కా ని దదాం .
अग ली बार " मा सटर स ऑ फ दी ए यर " में	తరు వా యి భా గ ంలో
इं टे लि ज ें स रि पो रट के अनु सा र	ని ఘ ా వర గ ాల ని వే ది కల పర కా రం లకష యా నికి చు టటు ప కక ల ఉనన చాలా ఇ ళలు
का श आज मेरी जगह वह जि ंदा होता . . .	నా బ దు లు అతను ఇకకడ కూ రచు ని ఉండ ాలని నేను అనని ంటి క ననా ఎకకువ గా కో రు కుంటుననా ను . . .
चलो भी !	పద !
आ राम से .	జా గర తత గా , ని దా న ంగా .
पकका , सर ?	నిజంగా నే అ ంటుననా రా , సర ?
ब म गि रा ओ !	బా ం బు లని వి డు దల చేయ ండి !
आ स - पास के इ ला कों में जयादा तर रे ल कर मी ही रह ते हैं .	రె ల రో డ కార మి కు ల వే .
माफ कर दी जिए .	సా రీ .
चलो , चलो .	ఇది గో పద ండి , వెళ దాం పద ండి .
सारे ?	వాళల ంద రూ రాల ే దా ?
अभी ?	ఇపపుడు వే య నా ?
