इट ली .	ఇ ట లీ .
वह मर रहा है .	తను చని పో తుననా డు .
मेरी मदद करो .	నాకు సాయం చేయ ండి .
मेरी मदद करो .	నాకు సాయం చేయ ండి .
उसके बाद हमें दोबारा उडा न भर नी है .	ఆ తరువాత మనం టే కా ఫ కావాలి .
हमें ह ंग री के लोगों को रा जी करना होगा कि वे हमें इस विमान को उ तार ने द ें .	ఈ విమా నా నని ది ంచ డానికి హం గే రీ అ ధి కారు లని మనం ఒ పప ి ంచాలి .
कि ंग डम 2 - 9 , मुझे इस नौ करी में यह सब नहीं सि खा या गया था .	కి ంగ డ మ 2 - 9 , ఇది నా ఉద యో గ పరి ధి కి మి ంచిన ది .
लेकिन वह सिरफ एक इंसान नहीं है , है ना ?	అతను ఎవరో అ నా మ కు డు కాదు , కదా ?
वह रो ने लगी थी , तो टि श ू ले ने गई है .	ఏ డ చి ంది ఇంకా టి ష యూ తె చచు కుంటా నని వెళలి ంది .
तुम उनसे यही क होगी .	వాళల కి నువవు ఇదే చెపప ాలి .
कयोंकि मैं ही वह आदमी था जि से उनहोंने भे जा था .	ఎందుకంటే వాళలు పం పి ంచిన హి ట మయా న నేనే .
वह कया बो ले जा रही है ?	ఆమె ఇంకా ఎందుకు మాటలాడు తోంది ?
- इसका फै सला तुम नहीं कर सकते . - उ ता रो .	- అది నిరణ యి ంచ వల సింది నువవు కాదు . - ల యా ండ చేయి .
यहाँ सै नि कों की जरूरत है .	గర ౌ ండ లో సె ని కులు సిదధ ంగా ఉండాలి .
अगर हम यो जना के मु ता बि क नहीं चले ,	మనం ప లా న పర కా రం న డ వ కపోతే ,
हम विमान को देख सकते हैं .	విమానం కనిపి స తో ందని నిర ధా రి ంచండి .
और ? वे विमान को उ तर ने देंगे ?	మరి ? ల యా ండి ంగ కి వాళలు అను మ తి ఇ సతా రా ?
अभी भी जो स करी न पर दिख रही है , वह रो मा निया ई फी ड है ,	మీరు ఇపపుడు తె ర మీద చూ సతునన ది ర ొ మే ని యన ఎ టి సి అ ంది ంచే ద ృ శ య ాలు ,
दे वि यों और स जज नों , पलीज कोई भी खु ला सा मान संभाल कर रख ें .	లే డీ స అ ండ జె ంటి ల మెన , దయచేసి ఏమెనా వి డి గా ఉనన వ సతు వు లని దగగర గా పెటటు కో ండి .
सोच ो इसमें कया - कया ग ड ब ड हो सकती है .	మన కి ఎదు రు కా బో యే పరమా ద ాల గురించి ఆలోచి ంచు .
ऐसा तुमहारा भाई ही कह रहा है . वह नहीं चाहता कि तुम विमान को उ ता रो .	మీ తమ ము డే చెబు తుననా డు . తన కి ల యా ండ కా వడం ఇషటం లే ద ట .
शुकरिया .	థాంక స .
तो ?	సరే ?
कैसे हैं सब लोग ?	గు డ మార ని ంగ .
पी लो .	కా నివ వు .
मा इ कल , पीछे आओ . पीछे आओ .	మె ఖ ే ల , పె ర ట లోకి రా . పె ర ట లోకి రా .
हे !	హేయ !
हे .	హేయ .
हे !	హేయ !
हम ग यो र ह वाई अ ड डे से 1 9 मिनट की दू री पर हैं ,	మేము గ యే య ర ఎ యి ర పో ర టు నుండి 1 9 నిమిష ాల లో పు దూ రం లోనే ఉననా ం ,
हम दरवा जा ख ट ख टा ते रहे लेकिन कोई भी जवाब नहीं दे रहा है .	మేము తలు పు త డు తుననా ఎవరూ సమా ధా నం ఇవవ లేదు .
कया हमारे पास इन के कुछ ऐसा करने का कोई सब ूत है ,	వాళలు గ తం లో ఇ టు వ ంటి నే ర ాలు చేసిన టలు
और सबसे जयादा जरू री बात यह कि इस समय ये कहाँ हैं ?	మ రీ ముఖ య ంగా , వాళలు ఇపపుడు ఎకకడ ఉననారు ?
कोई भी जो हमारे रा स ते में आने की कोशिश करे , हम से यही करने के लिए कहा गया था .	ఎవరెనా మా దా రికి అడ డు పడి తే , మేము అదే చేయ ాలని మాకు చెపపా రు .
बिलकुल . हम ऐसा नहीं दिखा सकते कि वे हमें ब लै क मे ल कर ल ेंगे .	సరే , మన లని బ లా క మె యి ల చేసే అవకా శం ఇవవ కూడదు .
हा य . सै म ने ल सन बोल रहा हूँ .	హాయ . నేను సా మ నె లస న .
बाकी के लोग , बाहर निक लो .	మి గ తా వాళల ంతా , బయట కి వెళల ండి .
तुमने मुझसे कहा था इसकी हा लत स थ िर है , पर यह सच नहीं है , है ना ?	అతని ఆ రో గ యం ని ల క డ గా ఉ ందని చెపపా వు , కానీ తన పరిసథి తి అలా లేదు , అవునా ?
कौन सी ए ज ें सी , डे टा बे स , पी ए न सी , हो मस 2 के पास इन के रिक ॉर ड हैं ?	వాళల రి కార డు లు ఏ ఏ జె నస ీ లలో , ఏ డే టా బ ే స లలో , పోలీ స నే షన ల కం ప యూ టర స లో , హో మస 2 లో ఉననాయి ?
वे तुमहें भी मार देंगे , बिलकुल वैसे जैसे वे मुझे मार डाल ेंगे .	నా కోసం వచచి న ట లే , వాళళు మీ కోసం కూ ా డా వ సతారు .
म ॉर नि ंग , ल ु इस .	గు డ మార ని ంగ , లూ యి స .
अपना हाथ ह टा ओ .	నా మీద నీ చేయి తీ య .
- तुम कयों बो ले जा रही हो ? - बात शायद पे ची दा है .	- ఎందుకు మాటలాడు తుననావు ? - కలి షట సమసయ .
लेकिन जब वह उनकी ह द से आगे बढ ा , तो उनहोंने	కానీ అతను హ దదు మీ రా డు , వాళలు అతని కోసం మను ష ు లని పం పి ంచి
वह कैसा है ?	తను ఎలా ఉననాడు ?
- कितनी डाल ूँ ? - सा री .	- ఎ నని కావాలి ? - అవ ననీ కావాలి .
और सब यह बात अचछी तरह जानते हैं कि हम आत ंक वा दि यों से समझ ौ ता नहीं करते .	అది చాలా మంది కి తెలుసు , మనం టె ర ర రి సట ు లతో చ రచ లు జర పం .
जिस से यह अं दा जा लगा या जा रहा है कि शायद उनहें कै द करके र खा गया होगा ,	వాళ లని బ ంద ీ లు గా ఉ ంచా ర నే అను మా నా లకు ఇది దా రి తీ సతోంది
कि वे ऐसा कुछ करने की सोच भी रहे हैं .	వాళలు చే సతునన డి మా ండ లని మనం సీ రి య స గా తీసుకు ందా ం .
आप हमें बता दो कि उनकी यो जना कया है , आप कया जानती हैं .	వాళల ప లా న ఏంటి , మీకు ఏం తెలు సో చెపప ండి .
उनसे क हो हमें " स श स तर बल " चाहिए .	మన కి " సా యు ధ బ ల గ ాలు " కా వాలని వాళల కి చెపప ండి .
तुम यह बात कैसे जानते हो ?	అది నీ కె లా తెలుసు ?
वे लोग बहुत ख तर ना क हैं .	ఈ మను ష ు లు చాలా సీ రి య స గా ఉంటా రు .
सा मान सुरकष ा कर म चा रि यों में से एक ,	బ యా గే జ సె క యూ రి టీ సి బబంది లో
. . . अगर , तो कया करना होगा ?	. . . చే సతే గ నుక , అది ఎలా పని చే సతుంది ?
कुल 9 0 मिनट की दू री पर है जहाँ हम उनसे सी धे बात कर सकते हैं .	మనం నే రు గా సం పర ది ంచ డానికి అవకా శం ఉనన ఇంత కు ముందు పా యి ంట కి అది ద ూర ంగా వెళలి ంది .
- कम समय लगे गा . - नी ल .	- రెండు నిమిష ాల లో పే . - నీ ల .
अभी , पलीज .	వెంట నే కావాలి .
मेरा यकीन करो .	ననను నమ ము .
तो आप एक फै न होने ला य क ही नहीं हैं .	అసలు మరి దే ని కీ అభి మా ని గా ఉండే అర హ త ఉండ దు అంటా రు .
कुछ तो ग ड ब ड है .	ఏదో పొ ర పాటు జరిగింది .
यह बात सही है .	అది నిజ మే .
उसकी ला श सबसे पहले लू इस ने देख ी थी ,	ఆ య నని మొద ట చూ సింది లూ యి స ,
जब उनहें लगा कि पी ट पुलिस का ख ब री बन गया है , उसके बाद से , लेकिन उसने किसी को कोई खबर नहीं दी .	అతను వాళ లని మో సం చేశా డని అను కుననా రు , కానీ అతను ఎపపుడూ అలా చేయ లేదు .
दो घं टे , 4 9 मिनट .	రెండు గంట ల , 4 9 నిమిష ాలు .
अपनी सी ट ों पर बैठ े र हें . विमान की परि स थि ति यों में कोई बद ला व नहीं आया है .	మీ సీ ట లలో నే మీరు ఉండ ండి . విమానం లో పరిసథి తి మా రి ంది .
तो मैंने सु झा व दिया है कि वह यहाँ आ जाएँ .	దాని తో ఆయన నే ఇకకడికి ర మమ ని అడి గా ను .
हमें विमान को उ तर ने से रो क ना होगा .	మనం ఈ ల యా ండి ంగ ని ఆ ప ాలి .
मुझे बस अपने बचचे सही - सला मत चाहिए .	మా అబబా యి లు నాకు కావాలి .
मैं बस यही जान ना चाहता हूँ .	నేను తెలుసు కో వాలి అను కు ంటు నన ది అదే .
हम सिरफ चि कि त सी य मदद चाहते हैं .	ఇది కేవలం వె దయ పర మెన సహా యం కో స మే అని చెపప ాలి .
वि न मर स धी हुई आवा ज .	సథి ర ంగా ని దా న ంగా మాటలాడ ండి .
अपने परिवार ों , अपने रिश ते दार ों के साथ , वे यहीं आ स पास के घर ों में रह ते हैं .	వాళల కుటుం బం , వాళల బం ధ ు వు లు , అన నీ ఈ ప కక ప కక నే ఉంటా యి .
वे खुद को किसी भी तरह के हि ं सक हा ला त में नहीं देखना चा हें गे .	వాళలు హి ం సా తమ క సం ఘ టన లని ఎదు ర కో వాలి అనుకో రు .
- ग यो र ह वाई अ ड डे पर डॉ क टर तैयार र हें . - और र न वे पर एक ए म बु ले न स .	- గ యే య ర ఎ యి ర పో ర టు లో డా క టర లు సిదధ ంగా ఉండాలి . - ఇంకా ర న వే మీద అ ం బు లె నస త యా రు గా ఉండాలి .
- हे ! रुको ! - बताओ मुझे , कया किया है तुमने ?	- హేయ ! ఆ పు ! - నువవు ఏం చేశా వు ?
- तो वे भाई हैं ? - हाँ .	- అయితే వాళలు అనన ద మ ము లా ? - అవును .
कयोंकि हमें यहीं आ ना प डा .	ఎందుకంటే మేము ఇకకడ ఉండ ాల సి వచచింది .
आपने सही कहा .	అది నిజం .
और ज ॉन बे ली - बरा उन .	జా న బె యి లీ బర ౌ న య జ మా ను లు .
और फिर हम साथ मिल कर इस पर बात कर सकते हैं .	అకకడ మనం కలిసి మాటలాడు కు ందా ం .
- मेरी बात समझ आ गई ? - हाँ , कै प टन !	- నేను మీకు సప షట ంగా చెపపా నా ? - చెపపా రు , కె ప టె న !
यह देखो . तुमहें महसूस हो रहा है ?	చూడు . నీకు తెలు స తో ందా ?
एक बात साफ कर ले ते हैं , मुझे लगा था कि हम इस बारे में नहीं सोच रहे हैं .	సప షట ంగా చెపప ాల ంటే , మనం వాళల డి మా ండ లని పరి శ ీ లి ంచ ము .
देखो ! एक बार उ ध र देखो .	చూడు ! ఇలా చూడు .
मैंने माँ को फोन किया था .	అమమ కి ఫోన చేశా ను .
उसे एक कार में बैठ ा ओ और जो पता मैं तुमहें भेज रही हूँ , उसे वहाँ ले जाओ .	ఆమె ని కారు లోకి ఎ కకి ంచి , నేను పం పి ంచే అడ రె స కి తీసుకు వెళల ండి .
फोन , वी डियो क ॉल , किसी भी ए न को डे ड मा ध य म पर .	ఆమె ఫో ను లో , వీ డి యో లో ఎ న కో డి ంగ ఉనన ఏ నె ట వర క లో అయి నా వ సతారు .
दोबारा . सभी बल , विश राम .	రి పీ ట . అనని యూ ని టలు , ఉ ప సం హ రి ంచండి .
हाँ ?	సరేనా ?
हाँ ?	సరేనా ?
हाँ .	అలాగే .
उनहें पी स ना है	మనం వాటి ని కర ష చే సతే ,
बहुत अचछा .	ఇం క అయి పోయింది .
बैठ िए .	కూ రచ ో ండి .
और जो पी ट के साथ हुआ , उसके बाद से , वे मुझ पर भरो सा नहीं करते .	పీ ట గొ డ వ తరువాత వాళలు ననను నమమ డం మా నే శా రు .
एक घं टे से भी कम .	అంటే , గంట క ననా త కకువ సమయం .
तुमहें यह सब . . .	నువవు ఇ దంతా చేయ డానికి . . .
ए फ पी सी सी वाले ला इन पर हैं , अभी .	నా దగగర తా జా గా , ఎ ఫ . పి . సి . సి . సమా చా రం ఉంది .
त भी हम विमान को नीचे उ तार ने के बारे में सोच ेंगे .	వాళలు డా క టర లని సిదధ ంగా ఉ ంచ గల గ ాలి .
उसने ऐसा कहा ?	డా క టర ఆ మాట చెపపా డా ?
चल ते रहो .	ము ందుకు క దు లు .
तुम स पी कर पर हो .	స పీ కర లో మాటలా డి సతుననాను .
हमें तैयार रहना होगा .	మనం అనని ంటి కీ సిదధ ంగా ఉండాలి .
मुझे लगता है तुमहें इस सवाल का जवाब मिल गया होगा .	నీ పర శ న కి ఇది సమా ధా నం అనుకుంటా .
ताकि वह कर म चा री अप हर ण करता ओं को विमान पर च ढ ने दे .	త ద వా రా ఆమె హె జా కర లని విమానం లోకి పం పి ంచే వర కూ వీ ళ లని బ ంద ీ లు గా ఉ ంచి ఉండ చచు .
तुम कोई भी बात अपनी तरफ से नहीं क होगी , याद रख ना ? पहले तुम मुझसे पू छो गी .	నువవు వాళలు చెపపి న దానికి దే ని కీ ఒ పపు కో కూడదు , గురతు ందా ? ముందు గా నా అను మ తి తీసుకో .
नहीं .	చేసతాను .
यहाँ स श कत बल तैयार हैं .	గర ౌ ండ లో సా యు ధ బ ల గ ాలు సిదధ ంగా ఉననాయి .
कया तुम मुझे पा नी दे सकती हो ?	ఏమీ అనుకో కుండా నాకు కా సత నీ ళలు తె చచి సతా వా ?
इसे क हो !	అతనికి చెపపు !
सभी बल . . . विश राम .	అనని యూ ని టలు . . . ఉ ప సం హ రి ంచండి .
मैं कुछ समझ ा नहीं .	సా రీ , ఏంటి ?
मैं जानता हूँ आपने खबर नहीं दी .	మీరు చేయ లే దని నాకు తెలుసు .
पर मैं नहीं चाहती यह यहाँ रहे .	కానీ అతను ఇకకడ ఉండ కూడదు .
लू इस की एक और क ॉल .	లూ యి స నుంచి ఇం కో కాల వెళలి ంది .
ऐसा करने को तुम हीं ने कहा था .	ఇది నీ ఐ డి యా కదా .
बस , थोडा सा बचा है .	చి వరి చు కక .
मैं यह नहीं कह रहा हूँ कि हम यही करेंगे , मैं कह रहा हूँ यह एक वि कल प है .	మనం చే దదాం అన డం లేదు . మన కి అది ఒక అవకా శం .
उसे मत उठा ओ .	దానని అకకడ పెటట ే య ండి .
विमान उ तार ने की अन ुम ति ले रही है .	గ యే య ర ఎ యి ర పో ర టు వారి తో మాటలాడు తోంది .
ये ख रा ब हो चु के हैं . मुझे अपने हे ड फोन स चाहिए .	ఇ వి పా డె పోయా యి . నాకు నా వి కావాలి .
उसे वहाँ से निका लो , घर को सी ल करो ,	ఆమె ని అ కకడి నుండి తీసుకు రండి , ఆ ఇంటి ని సవా ధ ీ నం చేసుకో ండి ,
इसमें कोई खत रा तो नहीं ?	అది మంచి దే నా ?
एक से क ंड रु किए गा . पी ए म कार या ल य से पै ट रिक का फोन है .	నాకు ఒక సె కను టె మ ఇవ వు . పర ధా ని ఆ ఫీ సు నుండి ప యా ట రిక ఫోన చేశారు .
जिस से यह पता चले कि ये को री ध म किया ँ नहीं दे रहे हैं ?	మన దగగర ఏమెనా ఆ ధా ర ాలు ఉననా యా ?
बु डा पे सट , विमान में कुछ समस या हुई थी .	బు డా పె సట , విమానం లో మాకు ఒక పరిసథి తి త లె తతి ంది .
उल टा करके .	దానని ఇలా తి పప ి తే .
जरूर .	తపప కుండా .
आप सभी को .	మీరు అందరూ విన ండి .
फिर ये स फा ई कर मी बाहर आए .	ఆ తరువాత ఆ పా రి శు ధ యం కార మి కులు బయటకు వచచా రు .
उ ता रो .	ల యా ండ చేయి .
और मुझे लगता है इसमें से हमें ऐसी ग ति वि ध ियाँ मिल जाएँ गी जिस से यह सा बि त हो जाएगा .	మీరు చెపపే విషయ ాల కు ఆ ధా ర ాలు ఉంటా య ని ఆ శి సతా ము .
वे फै सला बता ने वाले हैं .	నిరణ యం తవర లో .
वह कहाँ है ?	ఆమె ఎ కకడికి వెళలి ంది ?
वे इसी स ड क पर रह ते हैं .	వాళలు ఈ వీ ధి లోనే ని వా సం ఉ ంటుననా రు .
वह तुमहें बचा ना चाहता था .	అతను మిమమలని కా పా డ ాలి అను కుననా డు .
यह सब काफी तक नी की जानकारी है .	ల యా ండి ంగ పర ో టో కాల స , ఇవ ననీ టె కని కల గా కలి షట ంగా ఉంటా యి .
और यह कि वे इस वकत कहाँ हैं ?	వాళలు ఎవరి తో కలిసి పని చేసతుననా రో చెబు తా రా , వెంట నే ?
और ना ही मैंने कभी कोई खबर दी .	కానీ నేను కూడా ఎపపుడూ వాళ లని మో సం చేయ లేదు .
बु डा पे सट , मैं कि ंग डम 2 - 9 से बोल रही हूँ . कया आप मुझे सुन सकते हैं ?	బు డా పె సట , ఇది కి ంగ డ మ 2 - 9 . మా మాట లు వి ంటుననా రా ?
नहीं तो कया ?	అలా చేయ కపోతే ఏం అవు తుంది ?
नहीं तो कया ?	అలా చేయ కపోతే ఏం అవు తుంది ?
तुम भी इन के साथ च ली जाओ .	కావాల ంటే నువవు కూడా వాళల తో వెళల చచు .
हम सब के लिए .	మన అంద రికీ ఇది సూ సె డ మి షన .
और वकत की त ल वार हमारे सिर पर लट का कर तो कभी नहीं .	ఇంకా ఇంత త కకువ సమయం లో .
बताओ .	కొ న సా గి ంచు .
फिर वे गाडी में बैठ कर चले गए .	ఆ తరువాత కారు డ రె వ చేసు కు ంట ూ వెళలి పోయా రు .
ब रि टि श डर ग त स कर ों के लिए इस ने ट वर क में जगह पा ना मुशकिल होता है .	బ రి టీ ష డ రగ సమ గల రలు ఆ రం భ శ ూ రు లు .
पहले इस बात का सब ूत कि हमें उनकी इस बात पर यकीन करना चाहिए	ముందు గా ఆ ధా ర ాలు , ఆ తరు వా తే
तुमहें यह सब करने में कोई दि क कत है ?	నువవు ఇ దంతా చేయ గల వా ?
आओ .	ఇలా రా .
फु ट ब ॉल के बारे में ?	ఫ ు ట బ ాల ?
हमें विमान को उ तार ने के लिए कोई चाहिए .	మనం విమా నా నని ల యా ండ చేయ డానికి ఎవరో ఒక రి సాయం కావాలి .
- वह स थ िर है . - वह मर रहा है .	- తన ఆ రో గ యం ని ల క డ గా ఉంది . - కష ీ ణి సతోంది .
तुम जान ना चाहते थे कि मैं कया जानती हूँ और मैं तुमहें बता रही हूँ .	నాకు ఏం తెలుసు అని అడి గా రు , అది మీకు చెప తాను .
कहीं वे को री ध म किया ँ तो नहीं दे रहे हैं ?	వాళల బె ది రి ంపు లని మనం సీ రి య స గా తీసుకో వచచా అని కదా ?
अभी .	వెంట నే తీ య .
बाहर !	బయట కి వెళల ండి !
आपके फै स ले की पर ती कष ा में . . .	మీరు సా ను కూ ల ంగా సప ంది సతా రని ఆ శి సతుననా ం . . .
ये इसकी मदद कर रहे थे .	అతనికి సాయం చేయ ాలని వాళలు చూశా రు .
- किस ने ? - हमने .	- ఎవరు చేశారు ? - మన వాళ లే చేశారు .
मुझे माफ कर देना .	సా రీ .
जो बातें हम करेंगे , अन ुम ति ले ने की , विमान उ तार ने के निय म ों की ,	మనం అడి గే , పర మి షన ,
